VariableCode,RegionCode,YearCode,AggValue
ctfp,AGO,1974,0.55111593008041400
ctfp,AGO,1975,0.51059979200363200
ctfp,AGO,1976,0.47309470176696800
ctfp,AGO,1977,0.48042905330658000
ctfp,AGO,1978,0.42058822512626600
ctfp,AGO,1979,0.42615172266960100
ctfp,AGO,1980,0.42775434255600000
ctfp,AGO,1981,0.40799885988235500
ctfp,AGO,1982,0.40412345528602600
ctfp,AGO,1983,0.38028526306152300
ctfp,AGO,1984,0.38580951094627400
ctfp,AGO,1985,0.38901621103286700
ctfp,AGO,1986,0.32801249623298600
ctfp,AGO,1987,0.35510748624801600
ctfp,AGO,1988,0.31830394268035900
ctfp,AGO,1989,0.32505819201469400
ctfp,AGO,1990,0.33320924639701800
ctfp,AGO,1991,0.27087506651878400
ctfp,AGO,1992,0.31006264686584500
ctfp,AGO,1993,0.23852336406707800
ctfp,AGO,1994,0.23255407810211200
ctfp,AGO,1995,0.18360637128353100
ctfp,AGO,1996,0.20128414034843400
ctfp,AGO,1997,0.19152294099330900
ctfp,AGO,1998,0.18353626132011400
ctfp,AGO,1999,0.16832359135150900
ctfp,AGO,2000,0.14244413375854500
ctfp,AGO,2001,0.14787593483924900
ctfp,AGO,2002,0.17148627340793600
ctfp,AGO,2003,0.17593815922737100
ctfp,AGO,2004,0.20677280426025400
ctfp,AGO,2005,0.26995670795440700
ctfp,AGO,2006,0.33036249876022300
ctfp,AGO,2007,0.33953171968460100
ctfp,AGO,2008,0.36568978428840600
ctfp,AGO,2009,0.24518918991088900
ctfp,AGO,2010,0.30513015389442400
ctfp,AGO,2011,0.37038186192512500
ctfp,AGO,2012,0.40860733389854400
ctfp,AGO,2013,0.43241348862648000
ctfp,AGO,2014,0.44230106472969100
ctfp,AGO,2015,0.40904223918914800
ctfp,AGO,2016,0.41025125980377200
ctfp,AGO,2017,0.40652450919151300
ctfp,AGO,2018,0.40646317601203900
ctfp,AGO,2019,0.38031673431396500
ctfp,ARG,1954,0.71153455972671500
ctfp,ARG,1955,0.70810151100158700
ctfp,ARG,1956,0.69403594732284500
ctfp,ARG,1957,0.69850587844848600
ctfp,ARG,1958,0.72870838642120400
ctfp,ARG,1959,0.65929371118545500
ctfp,ARG,1960,0.67049503326416000
ctfp,ARG,1961,0.66086888313293500
ctfp,ARG,1962,0.64338922500610400
ctfp,ARG,1963,0.60097575187683100
ctfp,ARG,1964,0.60038191080093400
ctfp,ARG,1965,0.64616811275482200
ctfp,ARG,1966,0.63345807790756200
ctfp,ARG,1967,0.64193367958068800
ctfp,ARG,1968,0.63485604524612400
ctfp,ARG,1969,0.67180120944976800
ctfp,ARG,1970,0.67294007539749100
ctfp,ARG,1971,0.65972596406936600
ctfp,ARG,1972,0.63811260461807300
ctfp,ARG,1973,0.64583450555801400
ctfp,ARG,1974,0.69602060317993200
ctfp,ARG,1975,0.67426556348800700
ctfp,ARG,1976,0.64978176355361900
ctfp,ARG,1977,0.65996807813644400
ctfp,ARG,1978,0.63384091854095500
ctfp,ARG,1979,0.65727841854095500
ctfp,ARG,1980,0.65098011493682900
ctfp,ARG,1981,0.63701277971267700
ctfp,ARG,1982,0.66026610136032100
ctfp,ARG,1983,0.67521542310714700
ctfp,ARG,1984,0.67042076587677000
ctfp,ARG,1985,0.62286186218261700
ctfp,ARG,1986,0.63690459728241000
ctfp,ARG,1987,0.63099175691604600
ctfp,ARG,1988,0.61931163072586100
ctfp,ARG,1989,0.55790287256240800
ctfp,ARG,1990,0.57617843151092500
ctfp,ARG,1991,0.60984045267105100
ctfp,ARG,1992,0.62641137838363600
ctfp,ARG,1993,0.63717079162597700
ctfp,ARG,1994,0.65743434429168700
ctfp,ARG,1995,0.69248169660568200
ctfp,ARG,1996,0.82781779766082800
ctfp,ARG,1997,0.80893027782440200
ctfp,ARG,1998,0.76573544740676900
ctfp,ARG,1999,0.71542155742645300
ctfp,ARG,2000,0.70873868465423600
ctfp,ARG,2001,0.68426650762558000
ctfp,ARG,2002,0.61254554986953700
ctfp,ARG,2003,0.64900964498519900
ctfp,ARG,2004,0.67308086156845100
ctfp,ARG,2005,0.70116549730300900
ctfp,ARG,2006,0.74059605598449700
ctfp,ARG,2007,0.77708709239959700
ctfp,ARG,2008,0.79247593879699700
ctfp,ARG,2009,0.73343765735626200
ctfp,ARG,2010,0.77752572298049900
ctfp,ARG,2011,0.82839322090148900
ctfp,ARG,2012,0.81977355480194100
ctfp,ARG,2013,0.81344866752624500
ctfp,ARG,2014,0.78193378448486300
ctfp,ARG,2015,0.79228585958480800
ctfp,ARG,2016,0.81035488843917800
ctfp,ARG,2017,0.87895596027374300
ctfp,ARG,2018,0.85940307378768900
ctfp,ARG,2019,0.81218433380127000
ctfp,ARM,1994,0.20431251823902100
ctfp,ARM,1995,0.20573015511035900
ctfp,ARM,1996,0.22609785199165300
ctfp,ARM,1997,0.24233545362949400
ctfp,ARM,1998,0.21845565736293800
ctfp,ARM,1999,0.24858002364635500
ctfp,ARM,2000,0.26265799999237100
ctfp,ARM,2001,0.28371208906173700
ctfp,ARM,2002,0.34635671973228500
