Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Age dependency ratio (% of working-age population),SP.POP.DPND,86.32660778,84.98965494,83.87940619,82.78207608,81.42457212,79.7574276,78.33235467,76.35888555,74.17131605,72.15464431,70.41717154,67.91999774,65.977037,64.23196467,62.23598156,59.8318752,58.53154355,56.61581569,54.26195426,51.9509476,50.06991959,48.84241054,47.97722722,47.48358343,47.17829784,46.72673092,47.58752297,47.99913838,47.89673795,47.60096735,47.49982201,45.93514295,44.88110403,44.30311716,43.942351,43.5382416,43.98781817,44.24618917,44.34319546,44.38028192,44.42431178,44.25274862,44.04731215,43.77213652,43.40173398,42.9890644,43.14919715,43.49138848,43.99647687,44.5926686,45.26891861,45.16771459,44.9559048,44.69956239,44.54751856,44.59333989,44.63938428,45.03943945,45.67299752,46.36661527,47.03225273
Africa Eastern and Southern,AFE,Age dependency ratio (% of working-age population),SP.POP.DPND,88.05569442,89.00534973,89.75138955,90.30093003,90.63809389,90.76959393,91.51469248,91.92416795,92.11595302,92.20995867,92.25995949,92.88303833,93.35284548,93.67221011,93.82018695,93.80193912,94.26588739,94.48813403,94.56289936,94.57623482,94.55873967,95.06005598,95.37732484,95.51836784,95.4804842,95.27928305,95.61885459,95.70829841,95.58776567,95.27714607,94.78191439,94.61957719,94.22757397,93.66574815,93.0030389,92.27839029,92.19841581,91.99022178,91.67551356,91.25410494,90.7320608,90.62301902,90.35298154,89.98552388,89.59033862,89.19474481,89.08300797,88.89748391,88.63209463,88.26905642,87.80595942,87.44289135,86.93798576,86.32619238,85.64161849,84.90119928,84.2369211,83.49098954,82.6728476,81.78834707,80.84698646
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,81.61726559,82.68867813,83.28937027,83.60407457,83.85384023,84.13051322,85.33760664,86.38758178,87.28817961,88.00433382,88.52577344,89.7775514,90.71120792,91.37867189,91.80304716,91.94576396,92.98885748,93.85839807,94.51050014,94.81592367,94.60743688,95.76230857,96.72381435,97.51523734,98.28485625,99.2641806,100.0379923,100.3184508,100.4199363,100.8525112,102.1866958,101.8558297,101.5728914,101.4977096,101.3616658,100.7510431,101.7794554,102.8217575,103.6507859,104.2758189,104.8563981,104.4761044,103.6711825,102.6632376,101.5623706,100.3491273,100.9709431,101.6001825,102.0786586,102.2490144,102.0458227,100.2244608,97.92594721,95.3387363,92.64914304,89.95409233,87.94178807,86.00075464,84.07765546,82.1097716,80.0882595
Africa Western and Central,AFW,Age dependency ratio (% of working-age population),SP.POP.DPND,80.68022846,81.56196434,82.21391263,82.67906254,82.9692313,83.09414318,84.11461803,84.82132904,85.28675704,85.58899201,85.77589556,86.68925279,87.38658481,87.89591562,88.23723051,88.43624092,89.40901165,90.0967277,90.571769,90.90825871,91.14262111,92.12883007,92.87125746,93.39847938,93.71744256,93.82892151,94.43702938,94.72962139,94.7555781,94.56188535,94.17614181,94.20381778,93.96931149,93.51811663,92.89787422,92.15329996,91.99716645,91.64243642,91.1493691,90.5803312,89.97700922,90.02891748,89.94083159,89.75586171,89.51173551,89.23046343,89.42677752,89.4848146,89.43097767,89.28308633,89.05111398,89.15620653,89.12053588,88.94831529,88.63514724,88.1852752,87.90246751,87.43068425,86.80926966,86.08580623,85.29127052
Angola,AGO,Age dependency ratio (% of working-age population),SP.POP.DPND,82.27888284,84.62404984,87.12945715,89.25606616,90.43936916,90.57311568,90.74841612,90.14254992,89.69883028,90.26559001,92.01025383,92.46780091,93.65196682,94.9861607,95.68697715,95.48807352,96.60870556,96.31116635,95.35414263,94.72791997,94.82695315,95.48261059,96.77242109,98.29228614,99.39787158,99.80795397,100.7000503,100.9320595,100.7264786,100.4084701,100.1182294,100.5954371,100.8653292,100.9469757,100.8224144,100.4874022,100.6294853,100.5100534,100.1751709,99.67862642,99.071186,99.039403,98.82302393,98.47794501,98.07344946,97.66899625,97.82605323,97.86665465,97.84078547,97.76681878,97.63770606,97.98830724,98.14544683,98.13046346,97.94220512,97.56924554,97.29458794,96.82021693,96.17574361,95.39404238,94.50267233
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,83.71052556,84.95448011,86.24139162,87.43450876,88.28750005,88.64741337,88.84575209,88.45907512,87.64598137,86.63365582,85.54684072,84.24801044,83.01880019,81.74230321,80.26114243,78.54562328,77.07658544,75.33606918,73.49834024,71.78705438,70.29962454,68.99512615,67.87362019,66.89034434,65.97989105,65.13035763,64.42528789,63.81734688,63.27509683,62.70436688,61.99490929,62.71540506,63.31197947,63.74301288,64.07723386,64.40525431,63.35169646,62.42452164,61.58218352,60.71301915,59.72358599,58.68645122,57.5428762,56.31671298,55.0733347,53.8499697,52.61953224,51.6043425,50.75273712,50.04407756,49.47790868,48.11805823,47.0330799,46.25665586,45.77467951,45.55040246,45.64503371,45.68209749,45.81003739,46.20352176,46.93010865
Andorra,AND,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Age dependency ratio (% of working-age population),SP.POP.DPND,88.06112205,89.48951082,90.78245588,91.89895004,92.72800614,93.20129301,94.08753276,94.48592405,94.5446154,94.43425344,94.22666437,94.52321103,94.59166081,94.48229536,94.24713904,93.93769956,93.80398646,93.55994381,93.22482629,92.79263397,92.25751962,91.96565785,91.53506202,90.99536823,90.3831316,89.71912735,89.44383579,89.02855788,88.51706605,87.91453377,87.332053,86.51016994,85.83044387,84.7042284,83.43262205,81.82085041,80.54492669,79.19866943,77.81701314,76.42278357,75.01733433,73.60575276,72.18209604,70.7701237,69.40035375,68.09882622,66.90232908,65.78430563,64.77850253,63.91383278,63.20162112,62.57232846,62.08932433,61.73079487,61.44658104,61.19530667,61.28340345,61.25336305,61.16458197,61.08180134,61.01996298
United Arab Emirates,ARE,Age dependency ratio (% of working-age population),SP.POP.DPND,92.29904909,87.19196271,81.92616633,76.96724557,72.45562093,68.40857242,64.71963098,61.71461231,59.41913857,57.78053991,56.82749858,50.72302377,46.33529498,43.59816893,42.29092724,42.12781511,40.64337477,39.94880481,40.18681553,41.0044855,41.96454183,43.37421701,44.82483374,46.42372708,48.11978521,49.75905516,50.06323592,49.90273838,49.4169127,48.65406631,47.63378132,45.95140526,44.29366888,42.67560878,41.10655115,39.64083406,38.91093328,38.15557494,37.68794835,37.47202268,37.24171936,33.21859086,29.86562737,27.22893854,25.24517545,23.80660444,20.98460007,18.95768942,17.63318153,16.75543226,16.06567934,16.50409252,16.80139708,17.08210353,17.41609165,17.78182157,18.16490088,18.39797429,18.60779499,18.86248521,19.15896211
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,57.68394893,57.78574676,57.74699291,57.60992912,57.43794239,57.26819619,57.26144676,57.23200691,57.19765314,57.17833184,57.19398254,57.41133255,57.65944033,57.94451989,58.28114652,58.68444141,59.43645192,60.28565784,61.17201616,61.99383645,62.69089324,63.61091008,64.16986222,64.51311996,64.83712845,65.22009673,65.3309094,65.64228909,65.9735271,66.07650728,65.86059922,65.86810731,65.54673401,65.01800401,64.46804452,63.97960595,63.57040223,63.15465761,62.73488201,62.28345388,61.78829553,61.23716927,60.73698596,60.25089063,59.7309669,59.1631553,58.74958429,58.22838117,57.66954867,57.17997682,56.81596915,56.54174813,56.37918796,56.2922668,56.21224041,56.10360435,56.10227058,56.04635544,55.95447291,55.85703345,55.76766101
Armenia,ARM,Age dependency ratio (% of working-age population),SP.POP.DPND,81.82778684,84.78674064,87.04573653,88.59703032,89.51041908,89.7753916,89.36306517,88.14761072,86.26643601,83.97172307,81.47136673,78.13177834,75.15615789,72.40097107,69.6523648,66.85542863,64.70091345,62.38681525,60.152757,58.26929336,56.81278032,55.79049885,55.17434725,54.85904569,54.67539095,54.54859224,54.49416889,54.52170947,54.69894834,55.04719407,55.46287386,56.49951647,57.61915335,58.71494689,59.65157001,60.35599456,59.99677806,59.20127033,58.09899232,56.91790641,55.82846877,54.41445035,53.35872819,52.46030419,51.41254427,50.06329691,48.8821887,47.36233029,45.77507157,44.5110101,43.790785,43.48170476,43.51396981,43.83940343,44.31489394,44.83818601,45.43113517,46.09426704,46.81538832,47.60064515,48.44552785
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Age dependency ratio (% of working-age population),SP.POP.DPND,89.46484197,89.84261752,90.28279387,90.84177577,91.4665338,92.13446368,92.32152029,92.73013375,93.36611616,94.0964481,94.50875811,91.68950316,89.29193353,87.44551773,86.12086,85.17063082,82.7271928,80.56176838,78.88180848,77.69491136,76.84676958,74.77724663,72.92727985,71.43213919,70.31646268,69.468978,67.74140975,66.11665904,64.83305309,63.85761852,63.25875258,62.21806917,61.18779695,60.29487023,59.61095409,59.02185995,57.91179118,56.88749836,56.01627922,55.24740125,54.49001992,53.50298211,52.63065557,51.83788337,51.09351787,50.34882433,49.62374733,48.84244088,48.02731937,47.20666599,46.40754416,46.01226994,45.51658646,45.02076004,44.62134587,44.36473039,44.44053914,44.52420979,44.6783573,44.94776119,45.31317238
