Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.96184244,24.03448081,24.22038258,24.38477842,24.60945666,24.89804531,25.0583893,25.21002858,25.4131839,25.29098143,25.25340969,25.15698216,25.20717011,25.48439571,25.49904763,25.98776475,26.41114566,26.88602753,27.18034011,27.49131271,27.95225757,28.56341361,28.82280628,29.35614311,29.74464743,30.11485425,30.52797643,30.97116238,31.37832283,
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13999939,24.13999939,24.03000069,24.07999992,24.19000053,24.23999977,24.32999992,24.45999908,24.59000015,24.68000031,24.71999931,25.59000015,25.95000076,26.12000084,26.53000069,26.93000031,27.65999985,28.22999954,29.47999954,30.77000046,31.69000053,32.83000183,33.84999847,34.81999969,35.75999832,36.86999893,37.99000168,38.40999985,38.95999908,
Africa Western and Central,AFW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.04851389,29.21657391,29.31608457,29.47130665,29.72616797,30.08118356,30.44706337,30.8665075,31.24062668,31.69088622,32.25364264,33.02036926,33.63462272,34.35376445,35.08606038,35.78156382,36.5922688,37.48133507,38.335355,39.28128067,40.1342364,40.72512278,41.25118321,42.16750633,43.09403125,43.43236457,44.05206016,44.77219589,45.41626038,
Angola,AGO,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.29999924,51.34000015,51.13000107,51.34999847,51.95000076,52.56000137,53,53.34000015,53.63999939,53.93000031,54.11999893,54.65999985,54.61999893,54.74000168,53.04999924,51.20999908,49.47000122,47.63000107,45.74000168,43.27000046,40.81999969,40.84000015,40.95999908,41.13000107,41.27999878,41.45999908,41.81999969,42.11000061,42.47000122,
Albania,ALB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51000023,30.44000053,30.75,31.12999916,31.61000061,32.34000015,32.31000137,33.04000092,33.79999924,34.36999893,35.02000046,35.38000107,35.91999817,36.43000031,36.84999847,37.22000122,37.5,37.56999969,36.00999832,37.31999969,35.75,36.72999954,38.91999817,40,40.04999924,40.58000183,42.54000092,42.97000122,43.43000031,
Andorra,AND,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44795989,43.98476591,44.86560059,45.10654358,45.92314845,46.4603501,47.08014179,47.76092912,48.26130121,48.58864619,49.29338188,50.32928418,50.34087764,50.13124771,50.3214769,50.51943387,50.56693493,50.74556156,51.35970507,51.65646843,52.3391075,52.94580605,53.2897459,53.6668277,54.36001321,54.53317228,54.85500429,55.94895846,56.56398526,
United Arab Emirates,ARE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.20000076,58.27999878,58.29000092,58.38000107,58.36999893,58.36999893,58.31000137,58.43999863,58.65999985,58.72000122,59.29999924,59.90999985,60.04999924,60.18000031,60.27000046,60.02000046,59.88000107,60.00999832,60.45999908,61.13999939,61.79999924,62.27000046,62.75,62.95000076,63,63.33000183,63.77000046,63.93999863,64.38999939,
Argentina,ARG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.75,67.23999786,69.83000183,70.94999695,72.29000092,74.23000336,73.65000153,74.33999634,75.58000183,76.55000305,77.15000153,78.80000305,76.80999756,75.80999756,75.45999908,75.27999878,74.94999695,74.77999878,75.58000183,75.38999939,75.38999939,75.73000336,75.44000244,75.29000092,76.08000183,76.98999786,77.5,77.98999786,78.09999847,
