Entity,Scenario,Year,Energy-BBOE,Carbon-emissions-Btons,Population-M,Extrene-poverty-M,Population-raw,Primary-energy-raw
World,Observations,1960,,4.415647605,3035.16018,,3035160180,
World,Observations,1961,,4.432388495,3091.843506,,3091843506,
World,Observations,1962,,4.451640592,3150.420759,,3150420759,
World,Observations,1963,,4.455225629,3211.000941,,3211000941,
World,Observations,1964,,4.519585441,3273.978271,,3273978271,
World,Observations,1965,25.44861215,4.505937014,3339.583509,,3339583509,43247.517
World,Observations,1966,26.82266837,4.58736497,3407.92263,,3407922630,45582.596
World,Observations,1967,27.83238429,4.713665395,3478.770102,,3478770102,47298.513
World,Observations,1968,29.52780932,4.902980054,3551.599432,,3551599432,50179.728
World,Observations,1969,31.52367233,5.049676192,3625.680964,,3625680964,53571.509
World,Observations,1970,33.5096301,5.35244423,3700.685676,,3700685676,56946.457
World,Observations,1971,34.87449958,5.503010661,3775.76003,,3775760030,59265.924
World,Observations,1972,36.76658101,5.703471947,3851.650585,,3851650585,62481.338
World,Observations,1973,38.8835387,5.899879469,3927.780518,,3927780518,66078.908
World,Observations,1974,39.09259119,5.834622378,4003.794178,,4003794178,66434.173
World,Observations,1975,39.30431462,6.069446063,4079.480473,,4079480473,66793.977
World,Observations,1976,41.42810646,6.210217574,4154.666824,,4154666824,70403.161
World,Observations,1977,42.94752585,6.314918428,4229.505917,,4229505917,72985.271
World,Observations,1978,44.45251255,6.358040004,4304.533597,,4304533597,75542.854
World,Observations,1979,46.00389253,6.512820837,4380.50618,,4380506180,78179.278
World,Observations,1980,45.67972391,6.451009771,4458.274952,,4458274952,77628.384
World,Observations,1981,45.46611924,6.370580398,4536.996616,,4536996616,77265.383
World,Observations,1982,45.18871697,6.307163119,4617.386524,,4617386524,76793.964
World,Observations,1983,45.92110417,6.457211031,4699.569184,,4699569184,78038.587
World,Observations,1984,48.12462153,6.7766359,4784.011512,,4784011512,81783.257
World,Observations,1985,49.40092829,6.882877959,4870.921665,,4870921665,83952.22
World,Observations,1986,50.48879623,6.945373195,4960.567998,,4960567998,85800.949
World,Observations,1987,52.25084044,7.06775806,5052.521994,,5052521994,88795.377
World,Observations,1988,54.24712006,7.261298587,5145.425992,,5145425992,92187.866
World,Observations,1989,55.29910487,7.303642888,5237.441433,,5237441433,93975.615
World,Observations,1990,55.93893618,7.38230138,5327.529078,,5327529078,95062.948
World,Observations,1991,56.33160992,7.491863542,5414.289382,,5414289382,95730.26
World,Observations,1992,56.75464134,7.358411803,5498.919891,,5498919891,96449.162
World,Observations,1993,57.14953468,7.395384084,5581.597596,,5581597596,97120.246
World,Observations,1994,57.88097979,7.581741809,5663.150426,,5663150426,98363.268
World,Observations,1995,59.09183425,7.702006928,5744.212929,,5744212929,100421.001
World,Observations,1996,60.82706379,7.913749657,5824.891927,,5824891927,103369.86
