Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDPR[1],Afghanistan,Growth Rate,IF,2.647,1.189,3.912,-1.935,4,4.524,4.5,4.435,4.808,4.821,4.94,5.09,5.051,5.109,5.23,5.375,5.548,5.639,5.717,5.756,5.842,5.951,6.074,6.135,6.162,6.218,6.235,6.258,6.276,6.283,6.219,6.281,6.298,6.31,6.317,6.296,6.268,6.252,6.236,6.241,6.16,6.176,6.213,6.218,6.196,6.177,6.14,6.109,6.055,5.984,5.892,5.82,5.746,5.647,5.604,5.523,5.449,5.371,5.287,5.202,5.113,5.026,4.938,4.826,4.73,4.622,4.524,4.4,4.268,4.133,3.855,3.73,3.6,3.481,3.366,3.261,3.145,3.042,2.954,2.865,2.728,2.652,2.579,2.505
GDPR[5],Afghanistan,Growth Rate,SSP1,2.647,4.357,5.45,6.318,5.97,6.513,7.123,7.635,8.048,8.452,8.765,9.069,9.348,9.557,9.756,9.936,10.1,10.26,10.34,10.4,10.39,10.31,10.22,10.12,10,9.88,9.751,9.616,9.477,9.33,9.176,9.019,8.862,8.702,8.539,8.373,8.205,8.033,7.861,7.689,7.518,7.351,7.187,7.026,6.866,6.708,6.55,6.392,6.236,6.083,5.933,5.785,5.641,5.499,5.361,5.225,5.092,4.964,4.838,4.715,4.595,4.476,4.358,4.242,4.13,4.02,3.914,3.81,3.709,3.611,3.514,3.422,3.333,3.247,3.163,3.081,3,2.92,2.842,2.765,2.689,2.614,2.54,2.466
GDPR[6],Afghanistan,Growth Rate,SSP2,2.647,4.419,5.353,6.03,5.464,5.76,6.108,6.364,6.482,6.659,6.708,6.744,6.783,6.854,6.872,6.871,6.898,7.004,7.102,7.183,7.255,7.316,7.363,7.373,7.447,7.474,7.497,7.518,7.516,7.527,7.536,7.553,7.565,7.566,7.566,7.56,7.543,7.522,7.49,7.443,7.421,7.401,7.363,7.316,7.265,7.214,7.169,7.123,7.077,6.983,6.889,6.797,6.708,6.621,6.533,6.446,6.358,6.27,6.182,6.095,6.007,5.921,5.836,5.753,5.669,5.586,5.502,5.419,5.336,5.255,5.174,5.095,5.017,4.94,4.864,4.789,4.716,4.644,4.574,4.504,4.436,4.37,4.305,4.241
GDPR[7],Afghanistan,Growth Rate,SSP3,2.647,4.697,5.581,6.135,5.42,5.528,5.698,5.811,5.839,5.852,5.801,5.746,5.699,5.649,5.598,5.595,5.553,5.584,5.633,5.686,5.755,5.749,5.773,5.754,5.773,5.779,5.763,5.739,5.719,5.686,5.649,5.629,5.603,5.578,5.553,5.525,5.494,5.462,5.426,5.364,5.321,5.302,5.272,5.227,5.185,5.14,5.092,5.041,4.992,4.975,4.918,4.887,4.851,4.813,4.773,4.715,4.679,4.635,4.576,4.52,4.454,4.39,4.328,4.264,4.196,4.128,4.062,4.002,3.931,3.87,3.759,3.738,3.698,3.652,3.59,3.545,3.489,3.445,3.401,3.367,3.301,3.281,3.247,3.212
GDPR[8],Afghanistan,Growth Rate,SSP4,2.647,4.608,5.506,6.051,5.296,5.386,5.519,5.604,5.576,5.61,5.492,5.399,5.29,5.179,5.096,4.942,4.838,4.85,4.885,4.914,4.967,4.954,4.963,4.952,4.943,4.922,4.894,4.863,4.832,4.799,4.754,4.729,4.695,4.662,4.629,4.591,4.56,4.516,4.48,4.442,4.405,4.366,4.328,4.3,4.269,4.231,4.188,4.137,4.096,4.051,4.007,3.982,3.956,3.927,3.895,3.861,3.824,3.786,3.742,3.679,3.617,3.561,3.511,3.46,3.415,3.361,3.31,3.263,3.204,3.146,3.062,3.063,3.037,3.004,2.961,2.908,2.875,2.85,2.828,2.801,2.767,2.756,2.752,2.716
GDPR[9],Afghanistan,Growth Rate,SSP5,2.647,4.309,5.438,6.369,6.115,6.739,7.495,8.165,8.768,9.35,9.82,10.26,10.67,11,11.29,11.45,11.47,11.43,11.36,11.27,11.16,11.04,10.92,10.79,10.64,10.48,10.32,10.16,9.988,9.813,9.633,9.453,9.274,9.095,8.913,8.732,8.547,8.359,8.17,7.985,7.803,7.627,7.46,7.298,7.138,6.979,6.822,6.664,6.507,6.355,6.207,6.062,5.921,5.782,5.648,5.517,5.391,5.272,5.158,5.046,4.937,4.829,4.722,4.615,4.513,4.414,4.317,4.224,4.134,4.046,3.96,3.878,3.8,3.725,3.652,3.58,3.509,3.44,3.373,3.306,3.24,3.175,3.111,3.048
GDPR[1],Albania,Growth Rate,IF,3.802,4.071,2.174,-3.311,5.3,4.5,4.1,2.987,2.882,2.807,2.714,2.695,2.75,2.862,3.014,3.172,3.154,3.212,3.248,3.26,3.265,3.273,3.283,3.312,3.346,3.392,3.428,3.466,3.499,3.51,3.495,3.762,3.728,3.684,3.605,3.499,3.381,3.258,3.137,3.022,2.933,2.843,2.749,2.662,2.58,2.509,2.43,2.356,2.282,2.213,2.102,2.043,1.993,1.955,1.838,1.882,1.941,1.985,2.054,2.186,2.155,2.103,2.036,1.941,1.808,1.653,1.707,1.632,1.548,1.495,1.437,1.359,1.252,1.157,1.072,1.001,0.942,0.903,0.873,0.84,0.738,0.711,0.707,0.685
GDPR[5],Albania,Growth Rate,SSP1,3.802,3.93,4.081,4.307,4.475,4.597,4.608,4.702,4.831,4.935,5.034,5.125,5.199,5.257,5.301,5.328,5.267,5.246,5.193,5.126,5.044,4.957,4.841,4.713,4.583,4.454,4.313,4.155,3.988,3.828,3.671,3.524,3.392,3.273,3.154,3.035,2.926,2.827,2.734,2.643,2.551,2.461,2.367,2.271,2.177,2.085,1.991,1.891,1.4,1.302,1.233,1.171,1.121,1.077,1.033,0.989,0.947,0.907,0.867,0.83,0.793,0.752,0.702,0.65,0.598,0.547,0.499,0.453,0.413,0.371,0.33,0.292,0.26,0.23,0.2,0.169,0.138,0.107,0.073,0.038,-0.001,-0.057,-0.114,-0.178
GDPR[6],Albania,Growth Rate,SSP2,3.802,3.936,4.016,4.145,4.157,4.206,4.089,4.053,4.04,4.02,3.991,3.957,3.917,3.861,3.814,3.754,3.651,3.629,3.619,3.604,3.592,3.573,3.551,3.527,3.504,3.48,3.443,3.389,3.322,3.25,3.172,3.117,3.066,3.019,2.975,2.935,2.9,2.872,2.856,2.839,2.829,2.788,2.716,2.641,2.57,2.5,2.428,2.355,2.278,2.205,2.132,2.066,2.009,1.959,1.909,1.859,1.811,1.758,1.707,1.657,1.582,1.304,1.277,1.245,1.217,1.187,1.161,1.137,1.116,1.095,1.075,1.058,1.043,1.03,1.019,1.01,1.002,0.996,0.992,0.99,0.989,0.977,0.965,0.958
GDPR[7],Albania,Growth Rate,SSP3,3.802,4.043,4.073,4.103,3.979,3.894,3.72,3.582,3.49,3.387,3.296,3.204,3.093,2.968,2.852,2.737,2.586,2.527,2.5,2.468,2.448,2.424,2.397,2.366,2.339,2.317,2.277,2.23,2.167,2.102,2.033,1.981,1.941,1.899,1.867,1.839,1.816,1.798,1.794,1.789,1.801,1.799,1.793,1.791,1.788,1.796,1.801,1.805,1.811,1.822,1.816,1.838,1.86,1.896,1.967,1.931,1.932,1.935,1.931,1.934,1.914,1.878,1.842,1.815,1.777,1.75,1.742,1.723,1.699,1.688,1.669,1.635,1.604,1.574,1.547,1.525,1.503,1.488,1.473,1.463,1.453,1.449,1.447,1.446
