Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDPPCP[1],Afghanistan,Thousand 2011$,IF,1.758,1.74,1.774,1.701,1.725,1.765,1.827,1.857,1.892,1.928,1.966,2.008,2.049,2.093,2.14,2.191,2.245,2.303,2.365,2.429,2.498,2.571,2.649,2.732,2.819,2.91,3.006,3.106,3.212,3.321,3.434,3.554,3.679,3.809,3.945,4.087,4.234,4.387,4.547,4.713,4.884,5.064,5.252,5.449,5.655,5.868,6.091,6.322,6.561,6.808,7.062,7.325,7.595,7.874,8.161,8.456,8.757,9.066,9.382,9.704,10.03,10.37,10.71,11.05,11.41,11.76,12.12,12.48,12.85,13.21,13.57,13.92,14.27,14.62,14.97,15.32,15.67,16.01,16.36,16.7,17.04,17.38,17.72,18.06
GDPPCP[5],Afghanistan,Thousand 2011$,SSP1,1.758,1.794,1.836,1.884,1.941,2.007,2.083,2.168,2.262,2.366,2.481,2.607,2.745,2.895,3.057,3.233,3.423,3.627,3.846,4.082,4.334,4.604,4.891,5.198,5.525,5.872,6.24,6.63,7.044,7.481,7.943,8.429,8.941,9.479,10.04,10.63,11.25,11.9,12.57,13.27,14.01,14.77,15.56,16.38,17.22,18.1,19.01,19.94,20.9,21.89,22.91,23.96,25.04,26.14,27.28,28.44,29.63,30.85,32.1,33.37,34.67,36,37.36,38.74,40.15,41.58,43.03,44.51,46.02,47.55,49.1,50.68,52.28,53.9,55.56,57.23,58.93,60.65,62.39,64.16,65.95,67.76,69.59,71.43
GDPPCP[6],Afghanistan,Thousand 2011$,SSP2,1.758,1.791,1.827,1.867,1.912,1.961,2.015,2.072,2.132,2.196,2.262,2.333,2.407,2.484,2.564,2.649,2.738,2.832,2.932,3.037,3.149,3.267,3.392,3.523,3.661,3.806,3.959,4.12,4.289,4.467,4.654,4.85,5.055,5.27,5.495,5.73,5.975,6.232,6.499,6.778,7.069,7.373,7.689,8.019,8.363,8.721,9.095,9.484,9.89,10.31,10.76,11.22,11.69,12.19,12.71,13.25,13.81,14.39,14.99,15.62,16.27,16.94,17.64,18.36,19.11,19.88,20.68,21.51,22.36,23.24,24.15,25.09,26.06,27.07,28.1,29.16,30.26,31.39,32.56,33.75,34.99,36.25,37.56,38.89
GDPPCP[7],Afghanistan,Thousand 2011$,SSP3,1.758,1.79,1.824,1.858,1.895,1.933,1.973,2.015,2.056,2.098,2.142,2.186,2.231,2.277,2.325,2.373,2.424,2.476,2.532,2.59,2.65,2.713,2.778,2.846,2.916,2.988,3.062,3.138,3.216,3.296,3.378,3.462,3.549,3.637,3.729,3.822,3.918,4.016,4.117,4.219,4.325,4.433,4.543,4.657,4.773,4.892,5.015,5.14,5.268,5.399,5.533,5.669,5.809,5.952,6.097,6.244,6.395,6.547,6.702,6.859,7.018,7.179,7.342,7.507,7.673,7.841,8.01,8.181,8.355,8.53,8.707,8.886,9.067,9.25,9.435,9.622,9.812,10,10.2,10.39,10.59,10.8,11,11.21
GDPPCP[8],Afghanistan,Thousand 2011$,SSP4,1.758,1.79,1.823,1.857,1.893,1.931,1.97,2.01,2.05,2.09,2.131,2.171,2.212,2.253,2.293,2.333,2.374,2.417,2.461,2.507,2.555,2.604,2.655,2.707,2.761,2.815,2.872,2.929,2.987,3.046,3.106,3.167,3.229,3.293,3.358,3.424,3.491,3.56,3.63,3.701,3.773,3.847,3.922,3.998,4.076,4.155,4.236,4.318,4.401,4.486,4.572,4.66,4.749,4.839,4.93,5.023,5.116,5.21,5.305,5.4,5.497,5.593,5.691,5.789,5.887,5.986,6.085,6.185,6.286,6.387,6.49,6.593,6.697,6.803,6.909,7.016,7.125,7.235,7.346,7.459,7.573,7.69,7.808,7.928
GDPPCP[9],Afghanistan,Thousand 2011$,SSP5,1.758,1.795,1.838,1.889,1.95,2.022,2.107,2.203,2.313,2.436,2.575,2.729,2.901,3.091,3.299,3.526,3.774,4.042,4.331,4.643,4.978,5.337,5.723,6.136,6.578,7.05,7.553,8.089,8.659,9.265,9.907,10.59,11.31,12.07,12.87,13.71,14.6,15.53,16.51,17.54,18.61,19.73,20.9,22.13,23.4,24.72,26.1,27.52,29,30.53,32.12,33.76,35.45,37.2,39.01,40.87,42.79,44.77,46.82,48.92,51.09,53.32,55.61,57.97,60.38,62.86,65.4,68.01,70.68,73.41,76.21,79.08,82.02,85.03,88.1,91.26,94.48,97.77,101.1,104.6,108.1,111.7,115.3,119.1
GDPPCP[1],Albania,Thousand 2011$,IF,11.8,12.11,12.19,11.67,12.18,12.64,13.01,13.2,13.43,13.66,13.89,14.12,14.36,14.62,14.91,15.21,15.53,15.86,16.2,16.56,16.94,17.32,17.72,18.14,18.58,19.03,19.51,20,20.51,21.03,21.57,22.17,22.78,23.4,24.02,24.66,25.3,25.94,26.58,27.23,27.89,28.56,29.24,29.93,30.63,31.34,32.07,32.81,33.57,34.34,35.11,35.9,36.71,37.54,38.38,39.28,40.24,41.27,42.39,43.61,44.88,46.19,47.57,49.05,50.53,51.99,53.54,55.11,56.7,58.33,59.99,61.67,63.35,65.04,66.73,68.44,70.16,71.91,73.69,75.51,77.29,79.13,81.01,82.95
GDPPCP[5],Albania,Thousand 2011$,SSP1,11.8,12.08,12.39,12.71,13.06,13.43,13.82,14.23,14.67,15.13,15.62,16.14,16.67,17.23,17.82,18.42,19.05,19.69,20.35,21.02,21.7,22.4,23.11,23.83,24.56,25.3,26.05,26.8,27.54,28.29,29.03,29.76,30.5,31.24,31.99,32.73,33.48,34.23,34.98,35.74,36.5,37.27,38.03,38.8,39.58,40.35,41.12,41.89,42.65,43.4,44.14,44.88,45.61,46.35,47.08,47.82,48.56,49.31,50.06,50.83,51.61,52.39,53.19,53.99,54.8,55.62,56.45,57.3,58.15,59.02,59.9,60.79,61.69,62.61,63.53,64.47,65.42,66.39,67.37,68.37,69.39,70.44,71.51,72.62
GDPPCP[6],Albania,Thousand 2011$,SSP2,11.8,12.07,12.36,12.66,12.97,13.28,13.61,13.93,14.27,14.61,14.96,15.32,15.68,16.04,16.4,16.77,17.14,17.52,17.91,18.31,18.72,19.14,19.57,20,20.45,20.9,21.36,21.82,22.28,22.75,23.21,23.68,24.15,24.63,25.11,25.6,26.1,26.6,27.11,27.63,28.16,28.7,29.25,29.8,30.37,30.94,31.52,32.11,32.7,33.3,33.91,34.53,35.15,35.79,36.45,37.11,37.79,38.48,39.18,39.89,40.61,41.34,42.08,42.82,43.57,44.32,45.08,45.85,46.62,47.4,48.18,48.97,49.76,50.57,51.38,52.2,53.03,53.87,54.72,55.58,56.45,57.33,58.22,59.13
GDPPCP[7],Albania,Thousand 2011$,SSP3,11.8,12.06,12.33,12.59,12.85,13.11,13.36,13.6,13.85,14.08,14.32,14.55,14.77,14.99,15.2,15.41,15.61,15.81,16.01,16.22,16.43,16.64,16.86,17.07,17.29,17.5,17.72,17.93,18.14,18.34,18.53,18.72,18.91,19.1,19.28,19.46,19.65,19.83,20.01,20.2,20.39,20.59,20.78,20.98,21.19,21.39,21.6,21.82,22.04,22.27,22.5,22.73,22.98,23.23,23.48,23.75,24.02,24.29,24.57,24.84,25.11,25.38,25.65,25.92,26.18,26.44,26.69,26.94,27.19,27.43,27.67,27.92,28.16,28.4,28.64,28.88,29.12,29.37,29.62,29.87,30.13,30.39,30.66,30.94
