Unit,Entity,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
DepRatio,WB High Income,IF,0.511,0.517,0.524,0.53,0.537,0.544,0.55,0.557,0.563,0.57,0.576,0.582,0.589,0.596,0.603,0.61,0.617,0.624,0.631,0.638,0.644,0.651,0.657,0.663,0.669,0.674,0.679,0.684,0.689,0.693,0.698,0.703,0.707,0.712,0.717,0.722,0.726,0.73,0.734,0.738,0.741,0.745,0.748,0.751,0.753,0.755,0.756,0.757,0.758,0.758,0.758,0.758,0.757,0.757,0.757,0.757,0.758,0.759,0.76,0.762,0.764,0.766,0.768,0.77,0.771,0.772,0.773,0.773,0.773,0.774,0.774,0.775,0.775,0.776,0.777,0.777,0.778,0.778,0.779,0.779,0.78,0.78,0.781,0.781
DepRatio,WB High Income,SSP1,0.511,0.517,0.522,0.528,0.533,0.539,0.545,0.55,0.556,0.561,0.567,0.572,0.578,0.584,0.59,0.597,0.603,0.609,0.615,0.621,0.627,0.633,0.639,0.645,0.651,0.656,0.661,0.667,0.671,0.676,0.681,0.686,0.691,0.696,0.7,0.705,0.709,0.713,0.717,0.721,0.724,0.727,0.73,0.733,0.735,0.737,0.738,0.739,0.74,0.74,0.74,0.74,0.739,0.739,0.739,0.739,0.739,0.74,0.741,0.742,0.743,0.744,0.745,0.746,0.745,0.744,0.743,0.742,0.74,0.739,0.737,0.735,0.733,0.73,0.728,0.725,0.723,0.72,0.717,0.714,0.712,0.709,0.706,0.704
DepRatio,WB High Income,SSP2,0.511,0.517,0.523,0.529,0.535,0.54,0.546,0.552,0.557,0.563,0.569,0.575,0.581,0.587,0.593,0.6,0.607,0.613,0.619,0.625,0.63,0.636,0.641,0.647,0.652,0.657,0.661,0.665,0.67,0.674,0.678,0.682,0.686,0.69,0.694,0.698,0.701,0.704,0.708,0.71,0.713,0.715,0.717,0.719,0.721,0.722,0.723,0.723,0.723,0.723,0.723,0.722,0.721,0.721,0.72,0.72,0.721,0.722,0.723,0.724,0.726,0.728,0.729,0.731,0.732,0.733,0.734,0.735,0.736,0.737,0.738,0.74,0.741,0.743,0.744,0.746,0.748,0.749,0.751,0.753,0.755,0.757,0.759,0.761
DepRatio,WB High Income,SSP3,0.511,0.519,0.526,0.534,0.542,0.549,0.556,0.563,0.57,0.576,0.582,0.589,0.595,0.602,0.609,0.616,0.623,0.63,0.637,0.644,0.651,0.659,0.667,0.675,0.683,0.691,0.7,0.708,0.715,0.723,0.731,0.739,0.747,0.755,0.763,0.771,0.779,0.787,0.795,0.803,0.81,0.818,0.826,0.834,0.841,0.849,0.856,0.863,0.87,0.877,0.883,0.89,0.897,0.904,0.913,0.922,0.932,0.943,0.955,0.969,0.983,0.997,1.012,1.028,1.043,1.057,1.073,1.088,1.104,1.119,1.135,1.151,1.166,1.182,1.198,1.213,1.229,1.244,1.261,1.279,1.298,1.317,1.338,1.359
DepRatio,WB High Income,SSP4,0.511,0.518,0.524,0.53,0.536,0.542,0.548,0.554,0.559,0.564,0.569,0.574,0.58,0.585,0.591,0.597,0.603,0.608,0.614,0.619,0.625,0.631,0.637,0.642,0.648,0.654,0.66,0.665,0.67,0.675,0.68,0.685,0.689,0.694,0.699,0.704,0.708,0.712,0.716,0.72,0.724,0.728,0.731,0.735,0.738,0.741,0.744,0.747,0.749,0.751,0.753,0.754,0.756,0.758,0.76,0.763,0.767,0.771,0.775,0.78,0.785,0.79,0.796,0.801,0.806,0.811,0.815,0.82,0.825,0.83,0.834,0.839,0.844,0.848,0.852,0.856,0.86,0.864,0.869,0.873,0.879,0.884,0.89,0.895
DepRatio,WB High Income,SSP5,0.511,0.515,0.52,0.524,0.529,0.533,0.537,0.542,0.547,0.551,0.556,0.561,0.566,0.571,0.577,0.583,0.588,0.593,0.598,0.603,0.607,0.611,0.616,0.619,0.623,0.626,0.629,0.631,0.634,0.636,0.638,0.641,0.644,0.646,0.649,0.651,0.653,0.654,0.655,0.656,0.657,0.658,0.658,0.657,0.657,0.655,0.654,0.651,0.649,0.646,0.643,0.639,0.636,0.632,0.628,0.625,0.622,0.619,0.616,0.613,0.611,0.608,0.605,0.602,0.598,0.594,0.59,0.586,0.582,0.578,0.574,0.57,0.566,0.562,0.558,0.554,0.551,0.547,0.543,0.539,0.535,0.531,0.528,0.524
DepRatio,WB Low Income,IF,0.857,0.846,0.835,0.824,0.813,0.803,0.793,0.783,0.774,0.765,0.756,0.747,0.739,0.731,0.723,0.716,0.712,0.708,0.703,0.698,0.692,0.685,0.678,0.67,0.662,0.653,0.644,0.635,0.626,0.617,0.608,0.6,0.591,0.583,0.575,0.568,0.56,0.553,0.546,0.54,0.533,0.528,0.522,0.517,0.512,0.507,0.503,0.499,0.495,0.491,0.488,0.485,0.483,0.48,0.478,0.477,0.476,0.475,0.475,0.475,0.476,0.477,0.479,0.481,0.483,0.485,0.487,0.489,0.491,0.495,0.498,0.502,0.506,0.51,0.515,0.52,0.525,0.531,0.537,0.542,0.548,0.554,0.56,0.567
DepRatio,WB Low Income,SSP1,0.857,0.855,0.851,0.846,0.84,0.832,0.823,0.812,0.8,0.786,0.77,0.753,0.735,0.717,0.7,0.682,0.667,0.652,0.639,0.626,0.614,0.602,0.591,0.581,0.572,0.563,0.555,0.547,0.539,0.532,0.525,0.518,0.512,0.507,0.502,0.498,0.495,0.492,0.49,0.489,0.488,0.489,0.49,0.492,0.495,0.499,0.504,0.51,0.516,0.523,0.531,0.54,0.549,0.56,0.571,0.584,0.597,0.612,0.628,0.645,0.664,0.684,0.706,0.729,0.754,0.78,0.806,0.833,0.861,0.889,0.919,0.95,0.982,1.014,1.048,1.082,1.117,1.154,1.192,1.233,1.275,1.319,1.365,1.413
DepRatio,WB Low Income,SSP2,0.857,0.851,0.843,0.835,0.827,0.819,0.81,0.801,0.79,0.779,0.767,0.754,0.741,0.728,0.715,0.702,0.692,0.682,0.672,0.663,0.654,0.645,0.636,0.628,0.62,0.612,0.604,0.597,0.59,0.584,0.578,0.573,0.568,0.563,0.559,0.555,0.551,0.548,0.545,0.542,0.54,0.538,0.536,0.535,0.534,0.534,0.534,0.535,0.536,0.537,0.539,0.541,0.544,0.547,0.551,0.555,0.56,0.566,0.572,0.578,0.585,0.593,0.601,0.609,0.618,0.628,0.636,0.645,0.654,0.664,0.673,0.684,0.694,0.705,0.716,0.728,0.74,0.752,0.765,0.778,0.791,0.805,0.82,0.834
DepRatio,WB Low Income,SSP3,0.857,0.846,0.835,0.824,0.814,0.804,0.794,0.785,0.776,0.767,0.758,0.748,0.739,0.73,0.721,0.712,0.706,0.7,0.694,0.687,0.68,0.674,0.667,0.66,0.653,0.646,0.64,0.633,0.628,0.623,0.619,0.615,0.612,0.608,0.605,0.602,0.6,0.597,0.594,0.591,0.589,0.586,0.584,0.582,0.579,0.577,0.574,0.572,0.57,0.569,0.567,0.566,0.565,0.564,0.564,0.564,0.564,0.564,0.565,0.566,0.568,0.569,0.571,0.573,0.575,0.577,0.579,0.58,0.582,0.584,0.586,0.589,0.592,0.595,0.598,0.601,0.605,0.608,0.612,0.616,0.62,0.623,0.627,0.632
