Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDPR[1],WB High Income,Growth Rate,IF,2.46,2.225,1.623,-4.605,5.066,4.444,2.146,1.672,1.533,1.415,1.342,1.3,1.274,1.261,1.25,1.259,1.271,1.275,1.27,1.271,1.261,1.25,1.248,1.238,1.235,1.235,1.235,1.234,1.229,1.219,1.192,1.187,1.162,1.152,1.15,1.143,1.139,1.139,1.138,1.143,1.146,1.138,1.144,1.147,1.153,1.159,1.164,1.17,1.171,1.175,1.169,1.175,1.176,1.176,1.162,1.15,1.139,1.124,1.111,1.1,1.09,1.084,1.076,1.079,1.084,1.096,1.072,1.072,1.077,1.078,1.073,1.073,1.056,1.058,1.056,1.059,1.066,1.072,1.076,1.075,1.071,1.073,1.092,1.1
GDPR[5],WB High Income,Growth Rate,SSP1,2.46,2.271,2.389,2.346,2.326,2.241,2.193,2.173,2.188,2.18,2.168,2.157,2.142,2.121,2.101,2.083,2.054,2.008,1.968,1.926,1.885,1.836,1.796,1.755,1.715,1.676,1.633,1.582,1.53,1.48,1.43,1.389,1.359,1.335,1.311,1.29,1.273,1.262,1.254,1.246,1.239,1.232,1.224,1.214,1.205,1.196,1.183,1.165,1.144,1.124,1.103,1.081,1.055,1.029,1.003,0.976,0.953,0.937,0.925,0.912,0.9,0.885,0.865,0.843,0.822,0.802,0.786,0.771,0.757,0.743,0.729,0.717,0.704,0.693,0.681,0.669,0.658,0.646,0.633,0.62,0.607,0.591,0.575,0.557
GDPR[6],WB High Income,Growth Rate,SSP2,2.46,2.185,2.274,2.2,2.147,2.028,1.944,1.886,1.862,1.819,1.775,1.734,1.694,1.653,1.614,1.579,1.545,1.507,1.49,1.469,1.452,1.431,1.409,1.386,1.367,1.349,1.327,1.299,1.268,1.241,1.212,1.19,1.177,1.168,1.16,1.153,1.149,1.149,1.152,1.155,1.157,1.159,1.158,1.156,1.153,1.15,1.144,1.135,1.122,1.11,1.098,1.083,1.066,1.047,1.029,1.01,0.994,0.983,0.976,0.968,0.96,0.95,0.938,0.923,0.909,0.896,0.886,0.876,0.866,0.857,0.847,0.838,0.83,0.823,0.816,0.808,0.8,0.793,0.785,0.776,0.768,0.756,0.744,0.732
GDPR[7],WB High Income,Growth Rate,SSP3,2.46,1.902,1.957,1.849,1.764,1.61,1.494,1.407,1.356,1.286,1.217,1.153,1.09,1.029,0.971,0.916,0.867,0.818,0.784,0.753,0.721,0.692,0.657,0.622,0.588,0.556,0.52,0.475,0.43,0.387,0.345,0.303,0.275,0.254,0.234,0.216,0.202,0.193,0.187,0.181,0.176,0.171,0.166,0.16,0.153,0.148,0.137,0.12,0.099,0.078,0.057,0.035,0.009,-0.017,-0.043,-0.07,-0.092,-0.104,-0.11,-0.116,-0.122,-0.13,-0.143,-0.16,-0.174,-0.188,-0.194,-0.2,-0.202,-0.205,-0.207,-0.208,-0.208,-0.207,-0.207,-0.207,-0.209,-0.211,-0.214,-0.22,-0.228,-0.242,-0.258,-0.278
GDPR[8],WB High Income,Growth Rate,SSP4,2.46,2.14,2.264,2.23,2.219,2.146,2.105,2.086,2.096,2.085,2.07,2.055,2.035,2.009,1.978,1.953,1.915,1.86,1.81,1.76,1.71,1.659,1.611,1.567,1.524,1.482,1.437,1.387,1.337,1.29,1.243,1.205,1.175,1.152,1.13,1.109,1.094,1.085,1.08,1.075,1.07,1.064,1.055,1.043,1.032,1.02,1.004,0.983,0.959,0.935,0.911,0.885,0.855,0.824,0.794,0.762,0.737,0.721,0.712,0.702,0.692,0.68,0.662,0.642,0.623,0.604,0.591,0.578,0.568,0.557,0.546,0.537,0.529,0.523,0.516,0.508,0.498,0.488,0.476,0.462,0.446,0.424,0.401,0.374
GDPR[9],WB High Income,Growth Rate,SSP5,2.46,2.518,2.697,2.718,2.762,2.744,2.76,2.796,2.86,2.899,2.93,2.956,2.971,2.972,2.973,2.973,2.953,2.905,2.856,2.808,2.759,2.708,2.674,2.642,2.611,2.581,2.546,2.505,2.464,2.426,2.388,2.358,2.337,2.321,2.306,2.293,2.284,2.281,2.281,2.28,2.28,2.279,2.276,2.272,2.268,2.264,2.258,2.25,2.24,2.229,2.219,2.207,2.193,2.179,2.165,2.15,2.136,2.125,2.114,2.102,2.09,2.077,2.061,2.044,2.028,2.012,1.998,1.985,1.972,1.96,1.947,1.936,1.924,1.913,1.903,1.893,1.884,1.875,1.868,1.86,1.854,1.846,1.84,1.834
GDPR[1],WB Low Income,Growth Rate,IF,3.663,3.723,3.376,0.293,2.486,4.406,5.427,4.715,4.99,4.892,4.896,4.976,5.055,5.235,5.431,5.616,5.775,5.943,6.042,6.11,6.287,6.448,6.556,6.669,6.816,6.922,7.034,7.118,7.196,7.248,7.277,7.338,7.357,7.374,7.394,7.386,7.372,7.375,7.365,7.346,7.323,7.284,7.244,7.18,7.143,7.078,6.982,6.884,6.77,6.65,6.512,6.386,6.257,6.132,6.006,5.89,5.757,5.625,5.487,5.353,5.219,5.086,4.961,4.825,4.733,4.615,4.51,4.397,4.282,4.163,3.88,3.778,3.675,3.568,3.472,3.396,3.305,3.226,3.15,3.077,2.874,2.799,2.736,2.677
GDPR[5],WB Low Income,Growth Rate,SSP1,3.663,6.2,7.963,8.49,8.595,8.95,9.223,9.513,9.797,10.07,10.27,10.39,10.49,10.57,10.6,10.59,10.54,10.47,10.37,10.26,10.14,10.01,9.873,9.737,9.59,9.436,9.28,9.121,8.959,8.793,8.624,8.457,8.292,8.128,7.963,7.796,7.633,7.469,7.307,7.145,6.983,6.823,6.664,6.508,6.353,6.2,6.049,5.899,5.748,5.602,5.458,5.318,5.179,5.043,4.91,4.781,4.655,4.534,4.416,4.302,4.19,4.08,3.972,3.867,3.766,3.669,3.573,3.479,3.387,3.297,3.206,3.12,3.037,2.955,2.874,2.794,2.715,2.637,2.561,2.487,2.411,2.337,2.265,2.192
GDPR[6],WB Low Income,Growth Rate,SSP2,3.663,6.196,7.776,8.061,7.891,7.99,8.041,8.081,8.115,8.174,8.203,8.159,8.083,8.013,7.92,7.82,7.742,7.741,7.753,7.764,7.765,7.786,7.774,7.752,7.725,7.692,7.656,7.613,7.572,7.52,7.467,7.407,7.343,7.277,7.211,7.142,7.067,6.988,6.906,6.825,6.739,6.658,6.575,6.492,6.409,6.325,6.243,6.162,6.082,5.998,5.915,5.831,5.749,5.665,5.582,5.499,5.416,5.333,5.25,5.167,5.086,5.005,4.924,4.845,4.767,4.692,4.619,4.549,4.478,4.409,4.337,4.27,4.202,4.136,4.07,4.006,3.941,3.876,3.812,3.75,3.687,3.626,3.567,3.508
GDPR[7],WB Low Income,Growth Rate,SSP3,3.663,6.217,7.63,7.716,7.331,7.216,7.068,6.938,6.816,6.705,6.593,6.419,6.205,5.968,5.745,5.527,5.33,5.259,5.229,5.215,5.184,5.158,5.144,5.133,5.097,5.069,5.039,5,4.965,4.92,4.873,4.847,4.81,4.776,4.748,4.726,4.697,4.672,4.638,4.612,4.581,4.554,4.524,4.506,4.483,4.451,4.428,4.408,4.383,4.357,4.326,4.299,4.272,4.241,4.205,4.163,4.138,4.082,4.031,3.977,3.935,3.876,3.837,3.771,3.748,3.679,3.673,3.608,3.603,3.531,3.467,3.425,3.423,3.353,3.338,3.269,3.258,3.204,3.204,3.14,3.11,3.061,3.057,2.993
