Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDP[1],WB High Income,Trillion 2011$,IF,54.18,55.38,56.27,53.63,56.33,58.83,60.09,61.1,62.03,62.9,63.74,64.57,65.39,66.21,67.03,67.87,68.73,69.6,70.48,71.37,72.27,73.17,74.07,74.99,75.91,76.84,77.79,78.74,79.71,80.67,81.63,82.6,83.55,84.51,85.48,86.46,87.44,88.43,89.43,90.45,91.49,92.53,93.58,94.66,95.74,96.85,97.98,99.12,100.3,101.5,102.6,103.8,105.1,106.3,107.5,108.8,110,111.2,112.5,113.7,115,116.2,117.4,118.7,120,121.3,122.6,123.9,125.3,126.6,128,129.3,130.7,132.1,133.5,134.9,136.3,137.8,139.3,140.8,142.3,143.8,145.4,147
GDP[5],WB High Income,Trillion 2011$,SSP1,54.18,55.4,56.72,58.04,59.38,60.71,62.03,63.38,64.76,66.16,67.59,69.05,70.52,72.01,73.52,75.05,76.59,78.13,79.66,81.19,82.72,84.24,85.75,87.25,88.75,90.23,91.71,93.15,94.58,95.98,97.35,98.7,100,101.4,102.7,104,105.3,106.7,108,109.4,110.7,112.1,113.4,114.8,116.2,117.6,119,120.4,121.7,123.1,124.5,125.8,127.1,128.4,129.7,131,132.2,133.5,134.7,135.9,137.2,138.4,139.6,140.7,141.9,143,144.2,145.3,146.4,147.5,148.5,149.6,150.6,151.7,152.7,153.7,154.7,155.7,156.7,157.7,158.7,159.6,160.5,161.4
GDP[6],WB High Income,Trillion 2011$,SSP2,54.18,55.35,56.6,57.84,59.08,60.27,61.44,62.59,63.75,64.91,66.06,67.2,68.33,69.46,70.57,71.69,72.79,73.88,74.98,76.08,77.18,78.28,79.38,80.48,81.58,82.68,83.77,84.86,85.94,87,88.05,89.1,90.15,91.2,92.25,93.32,94.39,95.47,96.57,97.68,98.81,99.95,101.1,102.3,103.5,104.6,105.8,107,108.2,109.4,110.6,111.8,113,114.2,115.4,116.5,117.7,118.9,120,121.2,122.3,123.5,124.7,125.8,126.9,128.1,129.2,130.3,131.5,132.6,133.7,134.8,136,137.1,138.2,139.3,140.4,141.5,142.6,143.7,144.8,145.9,147,148.1
GDP[7],WB High Income,Trillion 2011$,SSP3,54.18,55.2,56.27,57.31,58.31,59.25,60.13,60.97,61.79,62.58,63.34,64.06,64.76,65.42,66.05,66.66,67.23,67.78,68.31,68.82,69.31,69.79,70.24,70.68,71.09,71.48,71.85,72.19,72.5,72.78,73.03,73.25,73.45,73.63,73.8,73.96,74.11,74.25,74.39,74.52,74.65,74.78,74.9,75.02,75.13,75.24,75.34,75.43,75.5,75.56,75.6,75.63,75.63,75.62,75.58,75.53,75.46,75.38,75.29,75.2,75.11,75.01,74.9,74.78,74.65,74.51,74.36,74.21,74.06,73.91,73.75,73.6,73.44,73.29,73.13,72.98,72.82,72.67,72.51,72.35,72.18,72.01,71.82,71.62
GDP[8],WB High Income,Trillion 2011$,SSP4,54.18,55.33,56.57,57.83,59.11,60.37,61.63,62.91,64.23,65.56,66.92,68.29,69.67,71.07,72.47,73.88,75.3,76.69,78.08,79.45,80.81,82.15,83.47,84.77,86.06,87.34,88.59,89.82,91.02,92.19,93.34,94.46,95.57,96.67,97.76,98.84,99.92,101,102.1,103.2,104.3,105.4,106.5,107.6,108.7,109.8,110.9,112,113.1,114.2,115.2,116.2,117.2,118.2,119.1,120,120.9,121.8,122.6,123.5,124.4,125.2,126,126.8,127.6,128.4,129.2,129.9,130.6,131.4,132.1,132.8,133.5,134.2,134.9,135.6,136.2,136.9,137.5,138.2,138.8,139.4,139.9,140.5
GDP[9],WB High Income,Trillion 2011$,SSP5,54.18,55.53,57.02,58.57,60.18,61.82,63.52,65.29,67.15,69.09,71.11,73.21,75.38,77.62,79.92,82.29,84.72,87.18,89.66,92.18,94.72,97.28,99.88,102.5,105.2,107.9,110.6,113.4,116.2,119,121.9,124.7,127.6,130.6,133.6,136.7,139.8,143,146.2,149.6,153,156.5,160,163.7,167.4,171.2,175,179,183,187,191.2,195.4,199.7,204,208.5,212.9,217.5,222.1,226.8,231.5,236.4,241.3,246.3,251.3,256.4,261.5,266.8,272,277.4,282.8,288.3,293.9,299.6,305.3,311.1,317,322.9,329,335.1,341.4,347.7,354.1,360.6,367.2
GDP[1],WB Low Income,Trillion 2011$,IF,0.517,0.536,0.553,0.554,0.568,0.592,0.624,0.653,0.686,0.719,0.754,0.792,0.831,0.875,0.922,0.973,1.029,1.09,1.156,1.226,1.302,1.386,1.476,1.574,1.681,1.796,1.922,2.058,2.205,2.364,2.535,2.721,2.92,3.134,3.365,3.613,3.878,4.163,4.468,4.796,5.146,5.519,5.918,6.342,6.794,7.274,7.78,8.315,8.877,9.466,10.08,10.72,11.39,12.09,12.82,13.57,14.35,15.16,15.99,16.84,17.72,18.62,19.54,20.49,21.45,22.44,23.45,24.48,25.53,26.59,27.62,28.66,29.72,30.77,31.84,32.92,34.01,35.1,36.2,37.32,38.38,39.46,40.53,41.61
GDP[5],WB Low Income,Trillion 2011$,SSP1,0.517,0.549,0.592,0.642,0.696,0.758,0.828,0.906,0.994,1.093,1.205,1.33,1.468,1.623,1.794,1.984,2.192,2.421,2.671,2.944,3.241,3.565,3.916,4.296,4.707,5.15,5.626,6.138,6.687,7.274,7.899,8.566,9.275,10.03,10.82,11.67,12.56,13.49,14.48,15.51,16.59,17.72,18.9,20.13,21.4,22.73,24.1,25.52,26.98,28.49,30.05,31.64,33.28,34.96,36.67,38.42,40.21,42.03,43.88,45.77,47.69,49.63,51.6,53.59,55.61,57.65,59.71,61.78,63.87,65.97,68.09,70.21,72.34,74.48,76.62,78.76,80.89,83.02,85.15,87.27,89.37,91.46,93.53,95.57
GDP[6],WB Low Income,Trillion 2011$,SSP2,0.517,0.549,0.591,0.638,0.688,0.743,0.802,0.866,0.936,1.012,1.095,1.184,1.279,1.381,1.491,1.607,1.731,1.864,2.009,2.164,2.332,2.513,2.708,2.917,3.142,3.383,3.642,3.919,4.215,4.531,4.869,5.229,5.612,6.02,6.453,6.913,7.401,7.917,8.462,9.039,9.647,10.29,10.96,11.67,12.42,13.21,14.03,14.89,15.8,16.74,17.73,18.76,19.84,20.96,22.13,23.35,24.61,25.92,27.28,28.69,30.14,31.65,33.21,34.81,36.47,38.18,39.94,41.76,43.63,45.55,47.52,49.55,51.63,53.76,55.95,58.19,60.48,62.82,65.21,67.66,70.15,72.69,75.28,77.92
GDP[7],WB Low Income,Trillion 2011$,SSP3,0.517,0.549,0.59,0.635,0.682,0.73,0.782,0.836,0.892,0.952,1.015,1.079,1.146,1.214,1.284,1.355,1.427,1.502,1.58,1.662,1.748,1.838,1.933,2.032,2.135,2.243,2.356,2.474,2.596,2.724,2.856,2.995,3.138,3.288,3.444,3.606,3.775,3.951,4.134,4.325,4.522,4.728,4.941,5.163,5.394,5.634,5.883,6.142,6.41,6.689,6.978,7.277,7.588,7.909,8.241,8.584,8.938,9.303,9.677,10.06,10.46,10.86,11.28,11.7,12.14,12.59,13.05,13.52,14,14.5,15,15.51,16.04,16.58,17.13,17.69,18.27,18.85,19.46,20.07,20.69,21.32,21.97,22.63
