Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDPP[1],WB High Income,Trillion 2011$,IF,51.53,52.75,53.61,51.09,53.73,56.14,57.37,58.35,59.28,60.15,61,61.83,62.65,63.48,64.3,65.15,66.01,66.88,67.76,68.65,69.56,70.47,71.39,72.31,73.24,74.18,75.13,76.09,77.05,78.02,78.98,79.94,80.9,81.86,82.83,83.81,84.8,85.8,86.81,87.84,88.88,89.92,90.99,92.07,93.17,94.29,95.42,96.58,97.75,98.95,100.1,101.4,102.6,103.9,105.1,106.4,107.6,108.9,110.1,111.4,112.7,113.9,115.2,116.5,117.8,119.2,120.5,121.9,123.2,124.6,126,127.4,128.8,130.3,131.7,133.2,134.7,136.2,137.7,139.3,140.8,142.4,144.1,145.7
GDPP[5],WB High Income,Trillion 2011$,SSP1,51.53,52.84,54.17,55.51,56.86,58.2,59.55,60.78,62.15,63.56,64.99,66.44,67.92,69.41,70.91,72.44,73.97,75.51,77.05,78.59,80.13,81.66,83.18,84.69,86.2,87.69,89.17,90.63,92.06,93.47,94.85,96.21,97.56,98.91,100.3,101.6,102.9,104.3,105.6,107,108.3,109.7,111.1,112.5,113.9,115.3,116.7,118.1,119.5,120.9,122.3,123.6,125,126.3,127.6,128.9,130.2,131.4,132.7,134,135.2,136.4,137.7,138.9,140.1,141.2,142.4,143.5,144.7,145.8,146.9,148,149.1,150.2,151.3,152.4,153.4,154.5,155.5,156.5,157.5,158.5,159.5,160.4
GDPP[6],WB High Income,Trillion 2011$,SSP2,51.53,52.8,54.07,55.33,56.57,57.79,58.98,60.03,61.2,62.37,63.53,64.68,65.82,66.96,68.09,69.21,70.33,71.44,72.56,73.68,74.81,75.94,77.06,78.19,79.31,80.43,81.55,82.66,83.75,84.84,85.91,86.98,88.05,89.13,90.21,91.3,92.39,93.5,94.62,95.76,96.91,98.08,99.25,100.4,101.6,102.9,104.1,105.3,106.5,107.7,109,110.2,111.4,112.6,113.8,115,116.2,117.4,118.5,119.7,120.9,122.1,123.3,124.5,125.6,126.8,128,129.1,130.3,131.4,132.6,133.7,134.9,136,137.2,138.3,139.5,140.6,141.8,142.9,144.1,145.2,146.3,147.5
GDPP[7],WB High Income,Trillion 2011$,SSP3,51.53,52.66,53.76,54.83,55.85,56.82,57.75,58.5,59.34,60.16,60.95,61.71,62.43,63.13,63.79,64.43,65.04,65.62,66.2,66.75,67.29,67.81,68.31,68.79,69.25,69.68,70.09,70.47,70.82,71.13,71.42,71.68,71.93,72.15,72.37,72.57,72.76,72.94,73.12,73.29,73.46,73.62,73.78,73.93,74.08,74.23,74.36,74.49,74.6,74.69,74.76,74.82,74.86,74.88,74.88,74.86,74.82,74.77,74.72,74.66,74.6,74.53,74.45,74.36,74.25,74.13,74.01,73.89,73.76,73.63,73.5,73.37,73.23,73.1,72.96,72.83,72.69,72.55,72.41,72.26,72.11,71.95,71.78,71.59
GDPP[8],WB High Income,Trillion 2011$,SSP4,51.53,52.78,54.04,55.32,56.6,57.88,59.17,60.34,61.65,62.99,64.34,65.71,67.1,68.49,69.89,71.3,72.71,74.12,75.51,76.89,78.26,79.61,80.95,82.27,83.58,84.87,86.13,87.38,88.59,89.78,90.94,92.08,93.21,94.33,95.44,96.55,97.65,98.75,99.86,101,102.1,103.2,104.4,105.5,106.6,107.8,108.9,110,111.1,112.2,113.2,114.3,115.3,116.3,117.3,118.2,119.1,120,120.9,121.8,122.7,123.6,124.4,125.3,126.1,126.9,127.7,128.5,129.3,130,130.8,131.5,132.3,133,133.8,134.5,135.2,135.9,136.6,137.3,137.9,138.6,139.2,139.8
GDPP[9],WB High Income,Trillion 2011$,SSP5,51.53,52.97,54.47,56.01,57.62,59.27,60.97,62.62,64.45,66.38,68.37,70.44,72.58,74.79,77.06,79.4,81.79,84.22,86.68,89.17,91.68,94.23,96.8,99.42,102.1,104.8,107.5,110.2,113,115.8,118.6,121.4,124.3,127.2,130.2,133.2,136.3,139.5,142.7,146,149.4,152.9,156.4,160,163.7,167.4,171.3,175.2,179.1,183.2,187.3,191.5,195.8,200.1,204.5,209,213.5,218.1,222.8,227.5,232.4,237.3,242.2,247.3,252.4,257.5,262.8,268.1,273.5,279,284.5,290.1,295.8,301.6,307.5,313.4,319.4,325.6,331.8,338.1,344.5,351,357.7,364.4
GDPP[1],WB Low Income,Trillion 2011$,IF,1.155,1.202,1.242,1.246,1.278,1.342,1.426,1.485,1.555,1.627,1.703,1.783,1.866,1.956,2.052,2.154,2.264,2.381,2.505,2.636,2.777,2.927,3.087,3.257,3.439,3.633,3.84,4.06,4.293,4.541,4.804,5.082,5.377,5.688,6.018,6.365,6.731,7.117,7.524,7.953,8.404,8.878,9.376,9.898,10.45,11.02,11.62,12.24,12.89,13.57,14.26,14.98,15.73,16.49,17.28,18.1,18.93,19.79,20.67,21.56,22.48,23.41,24.35,25.32,26.3,27.3,28.32,29.35,30.39,31.44,32.45,33.47,34.5,35.53,36.56,37.61,38.68,39.76,40.84,41.94,42.99,44.04,45.1,46.16
GDPP[5],WB Low Income,Trillion 2011$,SSP1,1.155,1.229,1.311,1.4,1.497,1.601,1.715,1.84,1.98,2.134,2.303,2.489,2.691,2.913,3.156,3.419,3.705,4.013,4.346,4.704,5.088,5.5,5.941,6.413,6.917,7.453,8.024,8.629,9.271,9.951,10.67,11.42,12.22,13.06,13.94,14.86,15.83,16.84,17.89,18.99,20.13,21.32,22.55,23.83,25.15,26.51,27.91,29.36,30.84,32.36,33.93,35.53,37.16,38.83,40.53,42.27,44.03,45.82,47.65,49.5,51.38,53.28,55.2,57.15,59.11,61.1,63.1,65.11,67.14,69.19,71.23,73.29,75.36,77.42,79.49,81.56,83.63,85.69,87.75,89.79,91.82,93.84,95.84,97.82
GDPP[6],WB Low Income,Trillion 2011$,SSP2,1.155,1.23,1.311,1.396,1.487,1.581,1.681,1.787,1.902,2.026,2.157,2.296,2.442,2.597,2.76,2.931,3.112,3.304,3.508,3.725,3.955,4.2,4.459,4.734,5.025,5.333,5.659,6.003,6.366,6.749,7.153,7.579,8.027,8.499,8.995,9.516,10.06,10.64,11.24,11.87,12.54,13.23,13.95,14.71,15.5,16.33,17.19,18.09,19.03,20.01,21.03,22.08,23.18,24.33,25.51,26.74,28.01,29.33,30.69,32.1,33.56,35.06,36.61,38.2,39.85,41.54,43.29,45.08,46.93,48.83,50.77,52.77,54.82,56.92,59.08,61.28,63.53,65.83,68.19,70.59,73.04,75.53,78.08,80.67
GDPP[7],WB Low Income,Trillion 2011$,SSP3,1.155,1.231,1.311,1.395,1.48,1.568,1.657,1.75,1.848,1.951,2.057,2.166,2.278,2.392,2.508,2.627,2.748,2.874,3.005,3.142,3.284,3.433,3.587,3.748,3.914,4.088,4.268,4.454,4.648,4.847,5.054,5.268,5.49,5.718,5.955,6.199,6.451,6.712,6.982,7.26,7.546,7.842,8.148,8.463,8.787,9.122,9.468,9.824,10.19,10.57,10.96,11.36,11.77,12.19,12.63,13.07,13.53,14,14.48,14.97,15.47,15.98,16.5,17.04,17.58,18.14,18.71,19.29,19.88,20.49,21.11,21.74,22.39,23.04,23.71,24.39,25.08,25.78,26.49,27.22,27.96,28.71,29.47,30.24
GDPP[8],WB Low Income,Trillion 2011$,SSP4,1.155,1.23,1.309,1.39,1.473,1.556,1.64,1.726,1.817,1.911,2.008,2.107,2.206,2.305,2.403,2.501,2.599,2.699,2.803,2.909,3.02,3.133,3.25,3.37,3.494,3.621,3.752,3.886,4.023,4.164,4.309,4.457,4.608,4.763,4.922,5.085,5.252,5.423,5.599,5.778,5.961,6.148,6.34,6.536,6.737,6.942,7.152,7.367,7.587,7.811,8.041,8.275,8.514,8.758,9.007,9.26,9.519,9.781,10.05,10.32,10.6,10.88,11.16,11.45,11.74,12.04,12.34,12.65,12.97,13.29,13.61,13.94,14.27,14.61,14.96,15.31,15.66,16.02,16.39,16.76,17.13,17.5,17.89,18.27
GDPP[9],WB Low Income,Trillion 2011$,SSP5,1.155,1.23,1.313,1.405,1.506,1.618,1.743,1.883,2.042,2.221,2.421,2.643,2.892,3.169,3.477,3.816,4.188,4.593,5.032,5.507,6.02,6.574,7.17,7.81,8.498,9.233,10.02,10.86,11.75,12.7,13.7,14.77,15.89,17.08,18.33,19.65,21.04,22.49,24.01,25.61,27.27,29.01,30.82,32.7,34.65,36.68,38.78,40.95,43.2,45.51,47.9,50.35,52.88,55.47,58.12,60.85,63.63,66.49,69.41,72.39,75.44,78.55,81.72,84.94,88.23,91.57,94.96,98.41,101.9,105.5,109,112.7,116.4,120.1,123.9,127.7,131.5,135.4,139.3,143.2,147.2,151.1,155.1,159.1
