Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GDPPCP[1],WB High Income,Thousand 2011$,IF,43.38,44.21,44.77,42.53,44.6,46.47,47.36,48.05,48.71,49.33,49.93,50.52,51.11,51.71,52.33,52.96,53.62,54.29,54.97,55.68,56.39,57.12,57.87,58.62,59.39,60.17,60.97,61.79,62.61,63.46,64.3,65.16,66.01,66.88,67.77,68.66,69.57,70.49,71.43,72.39,73.36,74.35,75.36,76.38,77.42,78.48,79.56,80.66,81.78,82.91,84.05,85.21,86.38,87.57,88.76,89.95,91.15,92.34,93.54,94.74,95.93,97.14,98.35,99.57,100.8,102.1,103.3,104.6,105.9,107.1,108.4,109.7,111,112.3,113.6,115,116.3,117.7,119,120.4,121.8,123.2,124.6,126.1
GDPPCP[5],WB High Income,Thousand 2011$,SSP1,43.38,44.26,45.14,46.03,46.92,47.8,48.68,49.45,50.34,51.26,52.18,53.13,54.08,55.04,56.02,57,57.99,58.97,59.96,60.93,61.91,62.87,63.83,64.78,65.72,66.66,67.58,68.49,69.37,70.25,71.1,71.94,72.78,73.61,74.45,75.28,76.11,76.95,77.8,78.66,79.53,80.4,81.29,82.19,83.11,84.04,84.98,85.93,86.88,87.84,88.8,89.76,90.72,91.68,92.64,93.6,94.55,95.52,96.49,97.48,98.48,99.49,100.5,101.5,102.6,103.6,104.7,105.8,106.8,108,109.1,110.2,111.3,112.5,113.7,114.9,116.1,117.3,118.6,119.8,121.1,122.4,123.7,125
GDPPCP[6],WB High Income,Thousand 2011$,SSP2,43.38,44.24,45.09,45.94,46.76,47.55,48.33,48.98,49.73,50.48,51.22,51.95,52.68,53.4,54.12,54.83,55.54,56.25,56.96,57.67,58.39,59.11,59.83,60.55,61.27,62,62.72,63.43,64.14,64.84,65.54,66.24,66.94,67.64,68.35,69.06,69.79,70.52,71.27,72.03,72.8,73.58,74.38,75.19,76.01,76.85,77.71,78.57,79.43,80.31,81.19,82.07,82.96,83.84,84.73,85.62,86.51,87.4,88.3,89.22,90.14,91.07,92,92.94,93.88,94.83,95.78,96.74,97.71,98.69,99.68,100.7,101.7,102.7,103.7,104.7,105.8,106.8,107.9,109,110.1,111.2,112.3,113.4
GDPPCP[7],WB High Income,Thousand 2011$,SSP3,43.38,44.22,45.04,45.85,46.64,47.4,48.12,48.72,49.41,50.09,50.75,51.4,52.03,52.65,53.25,53.84,54.42,54.99,55.55,56.12,56.67,57.23,57.78,58.32,58.86,59.39,59.91,60.42,60.92,61.4,61.87,62.33,62.79,63.24,63.69,64.14,64.6,65.05,65.52,65.99,66.46,66.94,67.43,67.92,68.42,68.93,69.44,69.95,70.45,70.94,71.43,71.91,72.38,72.84,73.29,73.73,74.15,74.58,75,75.43,75.86,76.29,76.72,77.14,77.56,77.97,78.38,78.8,79.21,79.64,80.06,80.5,80.93,81.38,81.83,82.29,82.76,83.23,83.7,84.18,84.66,85.15,85.62,86.09
GDPPCP[8],WB High Income,Thousand 2011$,SSP4,43.38,44.25,45.14,46.04,46.94,47.85,48.76,49.57,50.51,51.47,52.46,53.46,54.48,55.5,56.53,57.58,58.62,59.67,60.71,61.74,62.77,63.8,64.82,65.83,66.84,67.85,68.84,69.83,70.81,71.78,72.74,73.69,74.65,75.6,76.57,77.53,78.5,79.49,80.49,81.51,82.54,83.59,84.66,85.74,86.83,87.95,89.08,90.21,91.35,92.49,93.64,94.79,95.93,97.08,98.21,99.35,100.5,101.6,102.8,104,105.2,106.4,107.6,108.8,110,111.3,112.5,113.8,115.1,116.4,117.7,119,120.4,121.8,123.2,124.6,126.1,127.5,129,130.5,132,133.6,135.1,136.7
GDPPCP[9],WB High Income,Thousand 2011$,SSP5,43.38,44.28,45.21,46.17,47.14,48.13,49.14,50.09,51.17,52.3,53.47,54.68,55.93,57.21,58.52,59.87,61.24,62.62,64,65.38,66.75,68.13,69.51,70.9,72.29,73.69,75.09,76.48,77.86,79.24,80.61,81.99,83.37,84.76,86.16,87.58,89.02,90.47,91.95,93.46,94.99,96.55,98.15,99.78,101.4,103.1,104.9,106.7,108.5,110.3,112.2,114.1,116,118,120,122,124,126.1,128.2,130.4,132.5,134.8,137,139.3,141.6,144,146.4,148.9,151.3,153.9,156.4,159.1,161.7,164.4,167.2,170,172.8,175.8,178.7,181.7,184.8,188,191.2,194.4
GDPPCP[1],WB Low Income,Thousand 2011$,IF,1.819,1.848,1.861,1.821,1.821,1.863,1.928,1.956,1.995,2.033,2.074,2.117,2.161,2.21,2.262,2.319,2.38,2.446,2.516,2.59,2.669,2.754,2.844,2.94,3.042,3.151,3.267,3.39,3.52,3.657,3.801,3.953,4.113,4.281,4.458,4.643,4.837,5.04,5.254,5.477,5.711,5.955,6.211,6.477,6.756,7.046,7.348,7.661,7.985,8.318,8.661,9.014,9.377,9.749,10.13,10.52,10.92,11.33,11.74,12.16,12.59,13.02,13.46,13.9,14.36,14.81,15.28,15.74,16.22,16.69,17.15,17.6,18.06,18.52,18.98,19.45,19.93,20.41,20.9,21.4,21.87,22.34,22.82,23.31
GDPPCP[5],WB Low Income,Thousand 2011$,SSP1,1.819,1.9,1.988,2.083,2.186,2.297,2.418,2.55,2.698,2.862,3.041,3.236,3.449,3.68,3.931,4.2,4.49,4.801,5.133,5.488,5.866,6.268,6.696,7.15,7.632,8.142,8.681,9.25,9.851,10.48,11.15,11.85,12.58,13.35,14.15,14.99,15.86,16.77,17.72,18.71,19.73,20.79,21.89,23.03,24.2,25.41,26.66,27.94,29.26,30.61,32,33.42,34.88,36.36,37.89,39.44,41.03,42.65,44.3,45.98,47.7,49.45,51.22,53.03,54.87,56.74,58.64,60.56,62.52,64.5,66.51,68.55,70.62,72.71,74.82,76.96,79.12,81.3,83.51,85.73,87.98,90.23,92.51,94.8
GDPPCP[6],WB Low Income,Thousand 2011$,SSP2,1.819,1.896,1.976,2.059,2.145,2.234,2.325,2.421,2.525,2.635,2.751,2.873,2.999,3.13,3.266,3.407,3.555,3.711,3.875,4.048,4.23,4.421,4.623,4.835,5.057,5.291,5.536,5.793,6.062,6.343,6.638,6.946,7.268,7.605,7.957,8.324,8.709,9.11,9.528,9.965,10.42,10.89,11.39,11.9,12.43,12.99,13.56,14.16,14.78,15.43,16.1,16.79,17.51,18.25,19.02,19.81,20.63,21.48,22.35,23.25,24.18,25.14,26.13,27.15,28.19,29.27,30.38,31.52,32.7,33.9,35.14,36.41,37.72,39.06,40.43,41.84,43.28,44.76,46.27,47.81,49.39,51,52.64,54.32
GDPPCP[7],WB Low Income,Thousand 2011$,SSP3,1.819,1.892,1.965,2.038,2.11,2.18,2.249,2.317,2.388,2.46,2.532,2.604,2.676,2.746,2.815,2.884,2.953,3.024,3.096,3.172,3.249,3.329,3.411,3.495,3.581,3.669,3.759,3.852,3.946,4.042,4.14,4.24,4.342,4.447,4.554,4.665,4.778,4.894,5.012,5.134,5.259,5.386,5.517,5.652,5.79,5.931,6.075,6.224,6.376,6.531,6.69,6.852,7.018,7.187,7.359,7.534,7.713,7.894,8.078,8.265,8.454,8.646,8.84,9.038,9.238,9.442,9.649,9.86,10.08,10.29,10.52,10.74,10.97,11.2,11.43,11.67,11.91,12.15,12.4,12.65,12.9,13.16,13.42,13.68
GDPPCP[8],WB Low Income,Thousand 2011$,SSP4,1.819,1.892,1.963,2.034,2.103,2.168,2.231,2.292,2.356,2.42,2.483,2.545,2.604,2.661,2.714,2.764,2.813,2.861,2.911,2.962,3.014,3.067,3.121,3.175,3.23,3.286,3.343,3.401,3.459,3.518,3.578,3.638,3.699,3.761,3.824,3.889,3.955,4.022,4.091,4.161,4.232,4.305,4.379,4.454,4.531,4.61,4.69,4.771,4.854,4.939,5.025,5.112,5.2,5.29,5.38,5.472,5.565,5.659,5.754,5.85,5.947,6.045,6.143,6.243,6.344,6.446,6.549,6.654,6.761,6.87,6.98,7.092,7.205,7.319,7.435,7.552,7.67,7.79,7.911,8.034,8.157,8.281,8.407,8.534
GDPPCP[9],WB Low Income,Thousand 2011$,SSP5,1.819,1.902,1.992,2.093,2.204,2.327,2.464,2.617,2.793,2.991,3.212,3.457,3.729,4.03,4.362,4.724,5.118,5.543,6.001,6.491,7.016,7.578,8.178,8.819,9.502,10.23,11,11.82,12.69,13.6,14.57,15.59,16.67,17.8,18.99,20.24,21.54,22.91,24.34,25.84,27.4,29.02,30.71,32.47,34.29,36.18,38.14,40.16,42.25,44.41,46.63,48.92,51.28,53.71,56.21,58.77,61.41,64.11,66.89,69.74,72.67,75.67,78.74,81.89,85.1,88.4,91.77,95.21,98.73,102.3,106,109.7,113.6,117.5,121.5,125.5,129.7,133.9,138.2,142.6,147,151.5,156.1,160.8
