Code,Entity,Sector,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
LABS[5],WB High Income,Agriculture,Mil People,SSP1,31.61,31.71,31.78,31.83,31.83,31.82,31.78,31.72,31.62,31.5,31.35,31.17,30.96,30.71,30.43,30.11,29.79,29.44,29.08,28.69,28.3,27.87,27.42,26.91,26.39,25.85,25.31,24.76,24.22,23.69,23.15,22.61,22.04,21.47,20.9,20.32,19.74,19.15,18.55,17.96,17.39,16.83,16.26,15.69,15.12,14.6,14.28,14.02,13.77,13.53,13.3,13.09,12.88,12.67,12.45,12.23,12.02,11.81,11.6,11.4,11.21,11.01,10.82,10.63,10.44,10.26,10.07,9.883,9.7,9.52,9.343,9.176,9.013,8.853,8.697,8.546,8.397,8.252,8.11,7.968,7.886,7.803,7.721,7.638
LABS[6],WB High Income,Agriculture,Mil People,SSP2,31.61,31.71,31.78,31.83,31.85,31.85,31.83,31.79,31.71,31.63,31.52,31.38,31.22,31.03,30.8,30.54,30.28,29.99,29.69,29.37,29.04,28.69,28.28,27.85,27.4,26.94,26.47,25.99,25.49,24.99,24.47,23.94,23.39,22.83,22.28,21.71,21.15,20.57,20.02,19.47,18.92,18.36,17.8,17.28,16.76,16.23,15.82,15.47,15.13,14.79,14.47,14.23,14.02,13.82,13.62,13.42,13.23,13.03,12.84,12.66,12.48,12.31,12.14,11.98,11.83,11.68,11.52,11.36,11.21,11.05,10.91,10.75,10.6,10.45,10.3,10.16,10.01,9.869,9.727,9.584,9.503,9.422,9.341,9.259
LABS[7],WB High Income,Agriculture,Mil People,SSP3,31.61,31.7,31.76,31.79,31.81,31.8,31.77,31.73,31.67,31.59,31.5,31.39,31.26,31.1,30.92,30.71,30.49,30.27,30.02,29.76,29.48,29.19,28.88,28.55,28.2,27.84,27.43,27.02,26.59,26.16,25.71,25.26,24.8,24.33,23.85,23.38,22.9,22.43,21.98,21.53,21.09,20.65,20.2,19.76,19.33,18.89,18.55,18.27,18,17.73,17.47,17.22,16.96,16.7,16.44,16.18,15.92,15.66,15.4,15.13,14.87,14.6,14.34,14.09,13.84,13.6,13.35,13.1,12.88,12.66,12.44,12.23,12.03,11.83,11.63,11.44,11.26,11.07,10.9,10.72,10.6,10.48,10.37,10.25
LABS[8],WB High Income,Agriculture,Mil People,SSP4,31.61,31.7,31.77,31.81,31.82,31.81,31.78,31.73,31.63,31.53,31.41,31.26,31.08,30.87,30.63,30.35,30.07,29.77,29.44,29.1,28.74,28.36,27.95,27.48,26.99,26.48,25.96,25.43,24.89,24.35,23.79,23.23,22.65,22.06,21.47,20.88,20.28,19.67,19.08,18.49,17.9,17.31,16.72,16.17,15.61,15.06,14.61,14.23,13.85,13.47,13.12,12.83,12.58,12.35,12.11,11.86,11.63,11.39,11.15,10.92,10.7,10.48,10.26,10.06,9.852,9.655,9.45,9.248,9.048,8.855,8.666,8.483,8.304,8.131,7.962,7.796,7.633,7.473,7.315,7.158,7.053,6.947,6.842,6.737
LABS[9],WB High Income,Agriculture,Mil People,SSP5,31.61,31.72,31.81,31.88,31.92,31.94,31.93,31.89,31.82,31.74,31.63,31.49,31.32,31.12,30.89,30.61,30.32,30.02,29.7,29.33,28.94,28.5,28.04,27.57,27.07,26.57,26.06,25.54,25.03,24.53,24.02,23.5,22.96,22.42,21.86,21.31,20.74,20.17,19.6,19.02,18.48,17.93,17.38,16.82,16.25,15.74,15.45,15.23,15.01,14.79,14.61,14.43,14.25,14.07,13.89,13.71,13.53,13.36,13.18,13.02,12.86,12.7,12.54,12.38,12.23,12.09,11.94,11.79,11.64,11.49,11.35,11.21,11.08,10.96,10.84,10.72,10.61,10.49,10.38,10.28,10.24,10.2,10.17,10.13
LABS[5],WB High Income,Energy,Mil People,SSP1,4.411,4.439,4.667,4.77,4.874,4.984,5.15,5.371,5.603,5.798,5.911,5.968,5.991,6.002,6.022,6.053,6.106,6.173,6.249,6.316,6.381,6.435,6.477,6.521,6.556,6.598,6.643,6.693,6.74,6.786,6.836,6.778,6.713,6.628,6.537,6.444,6.358,6.278,6.205,6.137,6.095,6.06,6.017,5.958,5.889,5.814,5.734,5.649,5.562,5.477,5.389,5.3,5.218,5.132,5.053,4.978,4.892,4.814,4.734,4.647,4.561,4.479,4.391,4.308,4.228,4.15,4.073,3.997,3.923,3.851,3.78,3.71,3.641,3.573,3.506,3.44,3.375,3.309,3.24,3.169,3.098,3.029,2.961,2.894
LABS[6],WB High Income,Energy,Mil People,SSP2,4.411,4.438,4.669,4.775,4.885,5.001,5.17,5.395,5.629,5.815,5.916,5.964,5.98,5.979,5.986,6.006,6.05,6.106,6.172,6.237,6.315,6.387,6.447,6.498,6.538,6.58,6.625,6.668,6.71,6.753,6.793,6.737,6.673,6.601,6.508,6.411,6.316,6.233,6.157,6.096,6.045,6.016,5.985,5.943,5.89,5.832,5.773,5.709,5.646,5.585,5.517,5.447,5.375,5.294,5.212,5.131,5.049,4.973,4.9,4.827,4.763,4.694,4.626,4.556,4.49,4.428,4.364,4.3,4.235,4.169,4.102,4.036,3.97,3.905,3.842,3.78,3.721,3.659,3.593,3.524,3.453,3.38,3.311,3.245
LABS[7],WB High Income,Energy,Mil People,SSP3,4.411,4.436,4.678,4.795,4.918,5.045,5.218,5.439,5.673,5.854,5.953,6,6.025,6.033,6.048,6.077,6.122,6.18,6.247,6.314,6.395,6.473,6.542,6.601,6.639,6.673,6.706,6.743,6.784,6.831,6.875,6.821,6.767,6.692,6.596,6.484,6.366,6.248,6.131,6.023,5.922,5.834,5.753,5.682,5.615,5.546,5.477,5.405,5.331,5.252,5.165,5.073,4.977,4.875,4.769,4.661,4.553,4.45,4.354,4.263,4.177,4.105,4.038,3.973,3.911,3.849,3.778,3.706,3.633,3.559,3.483,3.405,3.325,3.249,3.172,3.096,3.024,2.95,2.874,2.796,2.716,2.637,2.56,2.483
LABS[8],WB High Income,Energy,Mil People,SSP4,4.411,4.438,4.669,4.774,4.879,4.988,5.144,5.353,5.567,5.735,5.817,5.85,5.854,5.841,5.834,5.838,5.861,5.892,5.928,5.963,6.015,6.061,6.092,6.113,6.119,6.123,6.134,6.146,6.163,6.186,6.209,6.145,6.078,6,5.898,5.786,5.669,5.558,5.456,5.362,5.277,5.212,5.142,5.066,4.99,4.91,4.828,4.749,4.672,4.595,4.52,4.442,4.361,4.277,4.189,4.104,4.02,3.937,3.856,3.777,3.699,3.625,3.555,3.488,3.424,3.365,3.307,3.252,3.196,3.139,3.078,3.016,2.953,2.89,2.826,2.764,2.703,2.642,2.579,2.516,2.451,2.387,2.323,2.261
LABS[9],WB High Income,Energy,Mil People,SSP5,4.411,4.44,4.658,4.749,4.841,4.94,5.094,5.299,5.519,5.722,5.841,5.891,5.901,5.895,5.894,5.908,5.942,5.991,6.049,6.104,6.156,6.197,6.224,6.24,6.243,6.25,6.266,6.296,6.335,6.379,6.432,6.38,6.32,6.241,6.156,6.071,5.987,5.906,5.829,5.773,5.725,5.675,5.624,5.558,5.482,5.405,5.326,5.247,5.166,5.086,5.003,4.922,4.845,4.773,4.7,4.628,4.551,4.477,4.404,4.329,4.253,4.181,4.109,4.039,3.971,3.905,3.838,3.774,3.71,3.648,3.587,3.528,3.47,3.414,3.359,3.305,3.253,3.202,3.149,3.093,3.035,2.978,2.921,2.865
