Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
LAB[5],WB High Income,Mil People,SSP1,601.9,605.3,608.1,610.6,612.7,614.7,616.6,618.5,620.3,621.9,623.4,624.8,625.9,626.8,627.4,627.8,628.1,628.4,628.6,628.7,628.8,628.7,628.5,628.2,627.9,627.5,627,626.6,626.2,625.6,625,624.3,623.5,622.6,621.8,620.9,620.1,619.3,618.4,617.6,616.7,615.9,615.1,614.2,613.4,612.6,611.9,611.3,610.6,610,609.4,608.8,608.1,607.4,606.6,605.7,604.6,603.3,602,600.5,598.9,597.2,595.5,593.8,592.1,590.5,588.8,587,585.2,583.4,581.5,579.7,577.8,576,574.2,572.4,570.6,568.8,566.9,564.9,562.9,560.8,558.7,556.5
LAB[6],WB High Income,Mil People,SSP2,601.9,605.2,607.9,610.4,612.4,614.2,616,617.7,618.9,620.4,621.7,622.8,623.7,624.3,624.7,624.8,624.9,624.9,624.9,624.8,624.6,624.3,624,623.5,623.1,622.6,622.1,621.6,621.1,620.5,619.8,619,618.2,617.3,616.3,615.5,614.6,613.7,612.9,612,611.2,610.4,609.6,608.8,608.1,607.5,606.9,606.5,606.1,605.7,605.3,605,604.7,604.4,604,603.5,602.8,602,601.2,600.2,599.2,598.1,597.1,596,595,594.2,593.3,592.4,591.6,590.6,589.8,588.9,587.9,587,586.1,585.1,584.1,583.1,582.1,581,579.9,578.8,577.6,576.3
LAB[7],WB High Income,Mil People,SSP3,601.9,604.9,607.3,609.4,611.1,612.6,613.8,614.8,615.7,616.4,616.9,617.3,617.4,617.3,616.9,616.2,615.4,614.5,613.3,612,610.4,608.7,606.7,604.6,602.2,599.7,597.1,594.5,591.8,589,586.1,583.1,579.9,576.7,573.4,570,566.7,563.3,559.8,556.3,552.7,549.1,545.4,541.7,538,534.3,530.6,527,523.4,519.7,516.1,512.4,508.7,505,501.1,496.9,492.6,488.2,483.6,478.8,474,469.1,464.1,459.2,454.4,449.6,444.8,440.1,435.4,430.8,426.2,421.7,417.2,412.8,408.5,404.2,400,395.7,391.4,387,382.5,378.1,373.6,369.1
LAB[8],WB High Income,Mil People,SSP4,601.9,605.1,607.7,610,611.9,613.6,615.3,616.9,617.8,619.1,620.2,621.2,621.9,622.4,622.6,622.5,622.4,622.2,621.8,621.3,620.6,619.8,618.7,617.5,616.2,614.7,613.2,611.6,610,608.3,606.5,604.6,602.7,600.6,598.5,596.3,594.2,592,589.8,587.5,585.2,582.8,580.4,578,575.5,573,570.6,568.2,565.8,563.4,560.9,558.5,556.1,553.6,550.9,548.1,545.1,541.9,538.6,535.2,531.7,528.2,524.6,521,517.4,514,510.5,507,503.6,500.2,496.8,493.5,490.2,486.9,483.7,480.5,477.3,474.1,470.8,467.4,464,460.5,457,453.3
LAB[9],WB High Income,Mil People,SSP5,601.9,605.6,608.7,611.7,614.4,617,619.5,621.9,624.1,626.3,628.2,630.1,631.8,633.2,634.4,635.4,636.3,637.2,638.2,639.2,640.2,641.2,642.2,643.2,644.3,645.4,646.6,647.8,649,650.2,651.3,652.4,653.4,654.4,655.5,656.7,657.9,659.2,660.6,662,663.6,665.2,666.9,668.7,670.7,672.8,675.1,677.4,680,682.5,685.2,687.9,690.7,693.5,696.3,699,701.6,704.1,706.6,709,711.4,713.7,716,718.4,720.7,723.2,725.6,728,730.3,732.5,734.7,737,739.2,741.5,743.8,746,748.2,750.5,752.7,754.9,757.1,759.2,761.4,763.4
LAB[5],WB Low Income,Mil People,SSP1,244,252.5,261.1,270.1,279.4,289.1,298.9,309,319.2,329.7,340.4,351.4,362.5,373.7,385.1,396.7,407.7,418.6,429.4,440.1,450.6,461,471.2,481.1,490.8,500.2,509.5,518.6,527.6,536.3,544.9,553.2,561.3,569,576.4,583.4,590.2,596.6,602.6,608.3,613.5,618.3,622.6,626.4,629.8,632.7,635.2,637.2,638.8,639.9,640.7,641.1,641,640.4,639.4,638,636.1,633.7,630.9,627.6,623.8,619.5,614.8,609.6,604.1,598,592.2,586.3,580.2,574.1,567.7,561.2,554.6,547.9,541.2,534.4,527.5,520.7,513.7,506.6,499.3,491.8,484.3,476.6
LAB[6],WB Low Income,Mil People,SSP2,244,252.5,261.2,270.1,279.5,289.1,298.8,308.7,318.7,329.1,339.7,350.5,361.4,372.5,383.6,394.9,405.7,416.5,427.3,438.2,449.1,460,471,481.9,492.8,503.6,514.5,525.3,536,546.6,557,567.4,577.5,587.5,597.4,607.1,616.7,626.1,635.4,644.4,653.2,661.8,670.2,678.2,686.1,693.6,700.9,708,714.7,721.1,727.2,733,738.5,743.7,748.5,753,757.1,760.8,764.2,767.2,769.8,772,773.9,775.5,776.8,777.7,778.8,779.7,780.3,780.6,780.7,780.6,780.2,779.6,778.7,777.7,776.4,775,773.4,771.5,769.5,767.2,764.7,762.1
LAB[7],WB Low Income,Mil People,SSP3,244,252.6,261.1,269.9,279,288.2,297.7,307.5,317.4,327.6,338,348.7,359.4,370.3,381.2,392.3,402.8,413.5,424.4,435.5,446.8,458.2,469.9,481.7,493.8,506,518.4,530.8,543.3,555.7,568.1,580.5,592.8,605.1,617.4,629.8,642.2,654.6,667.1,679.6,692.1,704.6,717.1,729.6,742.1,754.6,767.1,779.5,791.9,804.1,816.2,828.2,840.1,851.8,863.4,874.7,885.9,897,907.8,918.4,928.8,938.9,949,958.9,968.6,978.2,988,997.7,1007,1016,1025,1034,1043,1051,1060,1068,1075,1083,1091,1098,1105,1112,1119,1126
LAB[8],WB Low Income,Mil People,SSP4,244,252.6,261.3,270.2,279.5,289.2,298.8,308.8,318.5,328.8,339.3,350,360.8,371.7,382.7,393.8,404.4,415.1,426.1,437.2,448.4,459.9,471.5,483.3,495.2,507.4,519.7,532,544.3,556.5,568.6,580.7,592.8,604.8,616.8,628.8,640.8,652.9,664.9,677,689,701,712.9,724.9,736.9,748.8,760.7,772.5,784.2,795.7,807.2,818.5,829.7,840.6,851.4,862.1,872.5,882.7,892.7,902.4,911.9,921.2,930.4,939.3,948.2,956.8,965.7,974.5,983,991.3,999.4,1007,1015,1023,1030,1037,1044,1050,1057,1063,1070,1076,1082,1088
LAB[9],WB Low Income,Mil People,SSP5,244,252.5,261,269.8,278.9,288.3,298,307.9,318.1,328.5,339.2,350.1,361.1,372.3,383.7,395.1,406.1,416.9,427.6,438.2,448.7,458.9,469,478.8,488.4,497.8,506.9,515.9,524.7,533.3,541.7,549.9,557.8,565.3,572.5,579.4,585.9,592.1,597.9,603.2,608.1,612.6,616.6,620.1,623.1,625.6,627.6,629.2,630.3,631,631.2,631.1,630.6,629.7,628.3,626.4,624.1,621.3,618,614.3,610,605.3,600.1,594.5,588.5,582.1,575.7,569.3,562.6,555.8,548.9,542.1,535.2,528.3,521.5,514.6,507.6,500.8,493.8,486.7,479.4,471.9,464.4,456.9
