Code,Entity,Sector,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
LABS[1],WB High Income,Agriculture,Mil People,IF,31.61,31.71,31.82,31.92,31.97,32.01,32,31.95,31.86,31.76,31.63,31.49,31.33,31.16,30.97,30.76,30.55,30.33,30.11,29.87,29.63,29.39,29.14,28.89,28.62,28.36,28.1,27.83,27.56,27.28,27,26.72,26.43,26.14,25.84,25.54,25.24,24.94,24.63,24.33,24.03,23.73,23.43,23.14,22.84,22.56,22.28,22.01,21.73,21.45,21.18,20.9,20.62,20.34,20.05,19.75,19.45,19.14,18.83,18.51,18.19,17.87,17.58,17.29,17.01,16.74,16.46,16.17,15.89,15.61,15.32,15.05,14.87,14.72,14.57,14.43,14.29,14.15,14.01,13.88,13.82,13.76,13.7,13.64
LABS[1],WB High Income,Energy,Mil People,IF,4.411,4.438,4.694,4.861,5.384,5.47,5.4,5.392,5.457,5.569,5.706,5.853,5.986,6.088,6.154,6.188,6.206,6.213,6.223,6.243,6.286,6.344,6.406,6.468,6.513,6.543,6.557,6.562,6.562,6.566,6.586,6.508,6.43,6.331,6.231,6.146,6.06,5.971,5.889,5.806,5.733,5.662,5.575,5.48,5.394,5.302,5.209,5.132,5.071,5.009,4.959,4.915,4.866,4.81,4.751,4.686,4.617,4.546,4.471,4.392,4.312,4.231,4.156,4.085,4.015,3.948,3.887,3.832,3.776,3.722,3.667,3.612,3.556,3.5,3.445,3.388,3.334,3.278,3.219,3.16,3.101,3.043,2.987,2.933
LABS[1],WB High Income,Materials,Mil People,IF,17.12,17.22,17.34,17.53,17.76,17.88,18.28,18.55,18.92,19.71,20.68,21.7,22.67,23.51,24.12,24.51,24.75,24.9,25,25.09,25.17,25.27,25.39,25.51,25.65,25.78,25.9,26,26.09,26.15,26.19,26.21,26.21,26.2,26.16,26.11,26.04,25.95,25.84,25.7,25.55,25.37,25.19,25,24.81,24.62,24.43,24.26,24.1,23.95,23.81,23.69,23.57,23.47,23.38,23.29,23.2,23.11,23.03,22.94,22.86,22.79,22.73,22.66,22.62,22.58,22.55,22.53,22.52,22.51,22.5,22.49,22.48,22.47,22.47,22.47,22.46,22.45,22.43,22.41,22.4,22.39,22.4,22.41
LABS[1],WB High Income,Manufactures,Mil People,IF,111.3,111.9,112.5,113,113.4,114.2,114.5,114.8,115,114.9,114.6,114.3,114,113.8,113.6,113.6,113.6,113.7,113.8,114,114.1,114.3,114.3,114.2,114,113.7,113.2,112.6,111.9,111.1,110.2,109.2,108.1,106.9,105.7,104.5,103.2,101.9,100.6,99.27,97.92,96.59,95.29,94.05,92.86,91.74,90.7,89.74,88.86,88.04,87.25,86.5,85.78,85.1,84.43,83.77,83.12,82.47,81.84,81.23,80.63,80.06,79.49,78.95,78.45,77.98,77.51,77.03,76.56,76.11,75.67,75.25,74.82,74.39,73.96,73.52,73.07,72.62,72.15,71.68,71.18,70.67,70.14,69.61
LABS[1],WB High Income,Services,Mil People,IF,380.8,383.1,384.6,385.7,386.3,387,387.8,388.7,389.2,389.4,389.3,389,388.5,387.9,387.3,386.6,386,385.4,384.6,383.8,382.9,382,381.1,380.3,379.7,379.1,378.8,378.5,378.3,378.2,378.1,378.1,378.1,378.3,378.5,378.8,379.2,379.7,380.3,381,381.6,382.3,383,383.7,384.4,385.1,385.8,386.4,387.1,387.8,388.4,389.1,389.8,390.5,391.1,391.6,392,392.2,392.4,392.4,392.4,392.4,392.3,392.3,392.3,392.6,392.8,393.1,393.5,393.8,394.1,394.4,394.6,394.7,394.9,395,395.2,395.5,395.8,396.3,396.7,397.1,397.6,398.2
LABS[1],WB High Income,ICTech,Mil People,IF,22.59,22.71,22.79,22.91,23.01,23.07,23.17,23.22,23.29,23.48,23.75,24.04,24.35,24.64,24.9,25.13,25.34,25.51,25.66,25.79,25.9,25.98,26.04,26.07,26.08,26.08,26.07,26.07,26.05,26.04,26,25.94,25.85,25.72,25.54,25.34,25.1,24.83,24.55,24.27,23.98,23.71,23.47,23.25,23.07,22.9,22.76,22.61,22.47,22.31,22.13,21.94,21.74,21.54,21.35,21.18,21.04,20.94,20.88,20.86,20.85,20.86,20.88,20.89,20.87,20.84,20.78,20.71,20.63,20.57,20.53,20.52,20.54,20.58,20.64,20.71,20.79,20.85,20.9,20.93,20.93,20.91,20.87,20.82
LABS[1],WB High Income,Total,Mil People,IF,567.9,571.1,573.7,575.9,577.9,579.6,581.2,582.5,583.7,584.8,585.7,586.4,586.9,587.1,587.1,586.8,586.5,586,585.4,584.8,584.1,583.3,582.4,581.5,580.6,579.6,578.6,577.6,576.5,575.3,574,572.6,571.1,569.6,568,566.4,564.9,563.4,561.8,560.3,558.9,557.4,556,554.6,553.4,552.2,551.1,550.2,549.3,548.5,547.8,547.1,546.4,545.8,545.1,544.3,543.4,542.5,541.4,540.4,539.3,538.2,537.1,536.2,535.3,534.7,534,533.4,532.8,532.3,531.8,531.3,530.8,530.4,529.9,529.5,529.2,528.9,528.6,528.3,528.1,527.9,527.7,527.6
LABS[1],WB Low Income,Agriculture,Mil People,IF,144.9,150.2,155.4,160.8,166.2,171.6,177.2,183,188.8,194.7,200.8,206.9,213,219.1,225.2,231.4,237.2,243,248.9,254.9,261,267.3,273.6,280,286.5,293,299.4,305.9,312.4,318.7,325,331.2,337.3,343.2,348.9,354.5,359.9,365.1,370,374.7,379.1,383.2,387.1,390.6,393.9,396.8,399.5,401.8,403.8,405.5,406.8,407.8,408.5,408.9,409,408.7,408,407.1,405.9,404.3,402.5,400.4,397.9,395.3,392.5,389.5,386.4,383.1,379.6,375.8,371.8,367.6,363.2,358.6,353.9,349,343.9,338.7,333.4,328,324,320,316,312
LABS[1],WB Low Income,Energy,Mil People,IF,10.8,11.21,11.31,12.57,14.85,16.22,16.58,16.6,16.93,17.47,18.17,18.93,19.59,20.12,20.54,20.85,21,21.14,21.33,21.54,21.78,22.02,22.29,22.54,22.69,22.81,22.92,23.04,23.19,23.38,23.61,23.75,23.89,24.04,24.2,24.41,24.63,24.83,25.08,25.36,25.59,25.83,26.05,26.29,26.39,26.44,26.52,26.68,26.95,27.31,27.77,28.32,28.9,29.47,30.03,30.55,31.06,31.55,32.03,32.44,32.82,33.19,33.66,34.13,34.7,35.24,35.79,36.23,36.67,37.09,37.54,38.05,38.52,39.02,39.5,39.98,40.5,40.85,41.08,41.2,41.18,41.09,40.9,40.64
LABS[1],WB Low Income,Materials,Mil People,IF,4.107,4.259,4.444,4.563,4.643,4.816,5.106,5.358,5.64,6.037,6.502,7.018,7.57,8.139,8.703,9.254,9.768,10.26,10.74,11.22,11.71,12.21,12.73,13.27,13.84,14.44,15.06,15.72,16.4,17.1,17.82,18.58,19.36,20.16,20.98,21.82,22.68,23.56,24.45,25.37,26.32,27.29,28.28,29.28,30.32,31.38,32.45,33.54,34.63,35.74,36.86,38,39.15,40.32,41.51,42.73,43.95,45.18,46.41,47.66,48.91,50.16,51.43,52.7,53.97,55.25,56.57,57.89,59.2,60.52,61.82,63.12,64.44,65.76,67.1,68.45,69.82,71.21,72.62,74.06,75.32,76.64,77.95,79.23
LABS[1],WB Low Income,Manufactures,Mil People,IF,18.19,18.84,19.56,19.99,20.16,20.73,21.68,22.66,23.53,24.4,25.25,26.1,26.99,27.96,29,30.13,31.31,32.54,33.78,35.06,36.37,37.75,39.17,40.64,42.19,43.78,45.39,47.03,48.65,50.23,51.78,53.33,54.87,56.38,57.88,59.35,60.8,62.24,63.65,65.04,66.44,67.85,69.27,70.7,72.21,73.76,75.33,76.91,78.5,80.11,81.72,83.31,84.89,86.48,88.06,89.65,91.23,92.8,94.37,95.95,97.54,99.11,100.6,102.1,103.6,105,106.4,107.8,109.1,110.4,111.6,112.7,113.7,114.7,115.6,116.5,117.4,118.3,119.2,120.1,120.8,121.5,122.1,122.8
LABS[1],WB Low Income,Services,Mil People,IF,51.74,53.43,55.37,56.76,57.63,59.04,61.1,63.6,66,68.24,70.41,72.61,74.91,77.33,79.87,82.5,85.15,87.88,90.68,93.6,96.62,99.77,103,106.4,110,113.7,117.5,121.4,125.4,129.5,133.6,137.9,142.3,146.8,151.5,156.3,161.3,166.3,171.5,176.7,181.9,187.1,192.4,197.7,203.1,208.5,213.9,219.3,224.7,230,235.2,240.4,245.4,250.5,255.5,260.5,265.5,270.4,275.3,280.1,284.9,289.6,294.2,298.6,302.9,307.1,311.3,315.6,319.7,323.9,327.9,331.9,335.8,339.6,343.2,346.7,350,353.2,356.2,359.2,361.1,362.8,364.5,366.2
LABS[1],WB Low Income,ICTech,Mil People,IF,2.302,2.381,2.472,2.527,2.55,2.603,2.676,2.792,2.902,2.989,3.075,3.174,3.3,3.46,3.656,3.888,4.145,4.416,4.685,4.941,5.177,5.392,5.595,5.8,6.023,6.274,6.565,6.908,7.305,7.757,8.256,8.793,9.341,9.877,10.38,10.86,11.32,11.78,12.26,12.77,13.33,13.95,14.6,15.29,16.01,16.74,17.46,18.16,18.83,19.49,20.14,20.79,21.46,22.15,22.86,23.61,24.37,25.13,25.89,26.63,27.36,28.09,28.86,29.65,30.45,31.26,32.06,32.85,33.6,34.32,34.99,35.63,36.25,36.86,37.48,38.11,38.76,39.44,40.16,40.91,41.6,42.29,42.9,43.42
LABS[1],WB Low Income,Total,Mil People,IF,232,240.3,248.6,257.2,266,275.1,284.4,294,303.8,313.9,324.2,334.7,345.3,356.1,367,378,388.5,399.2,410.1,421.2,432.7,444.4,456.4,468.7,481.2,493.9,506.9,520,533.3,546.7,560.1,573.6,587,600.5,613.9,627.2,640.6,653.8,666.9,679.9,692.7,705.3,717.7,729.9,741.9,753.6,765.2,776.4,787.4,798.2,808.5,818.6,828.4,837.8,846.9,855.7,864.1,872.2,879.9,887.2,894,900.5,906.7,912.6,918.1,923.3,928.6,933.4,937.9,942,945.7,949,951.9,954.5,956.8,958.7,960.3,961.6,962.7,963.4,964,964.3,964.4,964.3
LABS[1],WB Low Middle Income,Agriculture,Mil People,IF,594.3,607.2,619.8,631.8,643.2,654.2,665,675.3,685.3,694.9,704,712.8,721.1,729,736.3,743.2,749.6,755.8,761.7,767.5,773.2,778.6,783.8,788.6,793.1,797.3,801,804.4,807.3,809.7,811.7,813.2,814.3,815,815.3,815.2,814.7,813.8,812.6,810.9,808.8,806.4,803.6,800.4,796.8,793,788.7,784.1,779.1,773.8,768.2,762.2,756,749.3,742.5,735.3,727.9,720.2,712.2,704,695.5,686.9,678.1,669.2,660.2,651,641.8,632.6,623.1,613.5,603.8,594.1,584.2,574.3,564.4,554.3,544.3,534.3,524.3,514.2,507.2,500.1,493.1,486.1
LABS[1],WB Low Middle Income,Energy,Mil People,IF,22.73,23.22,23.78,25.08,29.55,31.2,30.4,29.34,29.48,30.3,31.3,31.73,32.05,32.47,32.87,33.21,33.34,33.41,33.46,33.53,33.69,33.87,34.1,34.34,34.55,34.7,34.84,34.93,35.08,35.24,35.51,35.38,35.26,35.08,34.9,34.78,34.69,34.61,34.58,34.55,34.5,34.37,34.23,34,33.84,33.6,33.39,33.21,33.1,33.09,33.19,33.33,33.42,33.47,33.48,33.43,33.35,33.22,33.07,32.88,32.68,32.49,32.33,32.2,32.09,32.02,32,32.02,32.05,32.1,32.13,32.15,32.14,32.1,32,31.88,31.76,31.54,31.22,30.84,30.37,29.91,29.44,28.97
LABS[1],WB Low Middle Income,Materials,Mil People,IF,18.39,18.8,19.24,19.71,20.07,20.51,21.38,22.32,23.28,24.66,26.23,27.9,29.55,31.08,32.5,33.81,35.07,36.29,37.45,38.54,39.57,40.6,41.67,42.79,43.96,45.17,46.42,47.7,48.98,50.27,51.53,52.82,54.08,55.33,56.57,57.81,59.04,60.27,61.49,62.67,63.81,64.91,65.97,67,67.99,68.95,69.89,70.83,71.79,72.75,73.72,74.71,75.72,76.77,77.85,78.97,80.1,81.25,82.41,83.59,84.78,85.97,87.16,88.34,89.49,90.6,91.67,92.68,93.66,94.62,95.57,96.56,97.6,98.69,99.8,100.9,102.1,103.2,104.4,105.7,106.8,107.9,109,110.1
LABS[1],WB Low Middle Income,Manufactures,Mil People,IF,117.2,120,122.9,125.5,127.3,130.8,134.8,138.4,141.6,144.1,146.7,149.6,152.7,156,159.5,163.3,167.2,171.3,175.5,179.7,183.9,188.1,192.2,196.2,200.1,204.1,208,211.8,215.5,219,222.4,225.8,229,232.2,235.4,238.5,241.6,244.7,247.8,250.8,253.7,256.5,259.3,262,264.7,267.3,270,272.6,275.1,277.6,279.9,282.3,284.6,286.8,288.9,291,292.9,294.9,296.8,298.6,300.3,302,303.6,305.1,306.5,307.9,309.3,310.6,311.8,313,314.1,315.1,316,316.9,317.7,318.6,319.4,320.3,321.2,322.1,322.2,322.3,322.4,322.4
LABS[1],WB Low Middle Income,Services,Mil People,IF,245.2,251.5,257.9,264.3,269.1,275.3,283.5,292.6,301.4,310,318.5,327.3,336.1,344.7,353.4,362.1,370.6,379.1,387.8,396.5,405.3,414.2,423.2,432.3,441.3,450.4,459.5,468.7,477.8,487,496.3,505.9,515.7,525.7,535.9,546.1,556.4,566.7,577,587.3,597.7,608.2,618.8,629.4,640.1,651,662,673,684,694.9,705.6,716.2,726.7,737.1,747.3,757.3,767.2,777,786.7,796.3,805.8,815.3,824.6,833.9,843,852.1,861.3,870.3,879.3,888.1,896.9,905.4,913.7,922,929.9,937.7,945.1,952.3,959.1,965.7,970,974,977.6,981.2
LABS[1],WB Low Middle Income,ICTech,Mil People,IF,13.18,13.47,13.76,14.05,14.27,14.53,14.85,15.29,15.67,16.04,16.44,16.93,17.5,18.16,18.87,19.62,20.37,21.08,21.74,22.34,22.88,23.36,23.8,24.21,24.64,25.09,25.6,26.18,26.8,27.47,28.14,28.82,29.45,30.02,30.51,30.95,31.36,31.8,32.3,32.89,33.58,34.38,35.25,36.18,37.12,38.03,38.89,39.68,40.42,41.13,41.82,42.54,43.32,44.17,45.08,46.04,47.02,47.99,48.91,49.77,50.55,51.29,52.01,52.74,53.49,54.29,55.1,55.92,56.7,57.43,58.1,58.7,59.25,59.76,60.26,60.78,61.33,61.93,62.57,63.25,63.81,64.35,64.85,65.28
LABS[1],WB Low Middle Income,Total,Mil People,IF,1011,1034,1057,1080,1103,1127,1150,1173,1197,1220,1243,1266,1289,1311,1333,1355,1376,1397,1418,1438,1459,1479,1499,1518,1538,1557,1575,1594,1611,1629,1645,1662,1678,1693,1709,1723,1738,1752,1766,1779,1792,1805,1817,1829,1841,1852,1863,1873,1884,1893,1902,1911,1920,1928,1935,1942,1948,1954,1960,1965,1970,1974,1978,1981,1985,1988,1991,1994,1997,1999,2001,2002,2003,2004,2004,2004,2004,2004,2003,2002,2000,1999,1996,1994
LABS[1],WB Upper Middle Income,Agriculture,Mil People,IF,603.3,604.7,604.7,602.5,598.9,594.1,588.5,582.2,575.2,567.6,559.4,550.7,541.8,532.7,523.4,514.2,504.8,495.6,486.5,477.9,469.8,462,454.4,447,439.8,433,426.4,420.1,413.8,407.7,401.4,395.2,388.9,382.5,376,369.2,362.3,355.2,348.1,341.2,334.8,328.7,322.9,317.4,312,306.7,301.4,296.2,290.9,285.8,280.7,275.6,270.6,265.6,260.6,255.7,250.8,246,241.2,236.4,231.7,227,222.4,217.8,213.2,208.7,204.4,200.1,196,191.9,187.9,183.9,180.1,176.5,172.9,169.3,165.9,162.5,159.1,155.8,154.3,152.8,151.4,149.9
LABS[1],WB Upper Middle Income,Energy,Mil People,IF,16.39,16.59,16.91,17.17,18.81,18.77,18.84,18.91,18.97,19.06,19.21,19.37,19.53,19.62,19.61,19.53,19.36,19.16,18.94,18.74,18.56,18.42,18.32,18.23,18.14,18.02,17.8,17.6,17.41,17.27,17.15,16.9,16.67,16.35,16.04,15.73,15.45,15.17,14.93,14.68,14.43,14.19,13.95,13.73,13.5,13.27,13.02,12.81,12.63,12.5,12.39,12.29,12.18,12.05,11.91,11.76,11.6,11.45,11.28,11.09,10.89,10.7,10.52,10.34,10.18,10.02,9.882,9.752,9.628,9.506,9.382,9.261,9.139,9.013,8.886,8.759,8.64,8.505,8.359,8.208,8.041,7.882,7.725,7.573
LABS[1],WB Upper Middle Income,Materials,Mil People,IF,46.65,47.31,48.13,49.27,50.52,51.67,53.37,54.9,56.69,59.1,61.76,64.48,67.13,69.53,71.56,73.23,74.54,75.54,76.29,76.86,77.32,77.73,78.13,78.58,79.12,79.78,80.56,81.43,82.37,83.42,84.59,85.88,87.27,88.69,90.05,91.29,92.36,93.2,93.85,94.37,94.81,95.17,95.48,95.78,96.06,96.31,96.58,96.87,97.19,97.54,97.87,98.18,98.46,98.66,98.78,98.84,98.84,98.81,98.74,98.64,98.5,98.34,98.15,97.96,97.75,97.55,97.36,97.17,96.99,96.84,96.71,96.62,96.56,96.51,96.5,96.52,96.57,96.63,96.71,96.8,96.72,96.68,96.63,96.59
LABS[1],WB Upper Middle Income,Manufactures,Mil People,IF,215.7,218.8,222,225.2,228.1,232.5,235.6,239.8,243.6,245.8,247.5,249,250.8,252.9,255.3,257.7,260,262.1,263.7,264.8,265.5,265.9,266.1,266.3,266.5,266.8,267.3,267.7,268.1,268.2,268.1,267.9,267.6,267.2,266.5,265.6,264.4,263,261.5,260.1,258.9,257.8,257,256.2,255.5,254.8,254.1,253.4,252.8,252.3,251.7,251,250.4,249.6,248.7,247.7,246.6,245.5,244.2,243,241.6,240.1,238.6,237,235.3,233.6,232,230.5,228.9,227.4,225.9,224.4,222.9,221.5,220.1,218.7,217.4,216.1,214.8,213.5,211.9,210.4,208.9,207.3
LABS[1],WB Upper Middle Income,Services,Mil People,IF,459.7,466.6,473.1,480.2,487,495.2,504.4,513.2,522.5,532.8,543.3,553.7,563.7,573.3,582.6,591.4,599.6,607.3,614.6,621.5,628,634.2,639.7,644.7,649.2,653.2,656.8,660.2,663.2,665.8,668,669.8,671.2,672.3,672.9,673.1,673,672.4,671.7,671.3,671.4,672,673.1,674.5,676.1,677.6,679.1,680.6,682.1,683.6,684.9,686.3,687.7,689.1,690.4,691.6,692.7,693.5,694,694.3,694.4,694.5,694.3,694,693.6,693,692.8,692.6,692.5,692.5,692.6,692.8,693,693.3,693.5,693.8,694.2,694.5,694.8,695.2,694.6,693.8,693,692.2
LABS[1],WB Upper Middle Income,ICTech,Mil People,IF,39.3,39.87,40.43,41.11,41.83,42.5,43.35,44.3,45.32,46.43,47.51,48.55,49.55,50.56,51.59,52.66,53.73,54.78,55.77,56.69,57.5,58.24,58.9,59.55,60.23,60.99,61.89,62.89,64,65.16,66.33,67.51,68.65,69.72,70.68,71.49,72.16,72.69,73.15,73.66,74.29,75.06,75.98,77.01,78.08,79.11,80.07,80.9,81.57,82.07,82.4,82.61,82.73,82.83,82.95,83.11,83.35,83.66,84.02,84.41,84.78,85.11,85.41,85.64,85.78,85.82,85.79,85.68,85.52,85.34,85.16,85.02,84.93,84.91,84.97,85.11,85.3,85.53,85.76,85.96,85.96,85.92,85.82,85.69
LABS[1],WB Upper Middle Income,Total,Mil People,IF,1381,1394,1405,1415,1425,1435,1444,1453,1462,1471,1479,1486,1493,1499,1504,1509,1512,1514,1516,1517,1517,1516,1516,1514,1513,1512,1511,1510,1509,1508,1506,1503,1500,1497,1492,1486,1480,1472,1463,1455,1449,1443,1438,1435,1431,1428,1424,1421,1417,1414,1410,1406,1402,1398,1393,1389,1384,1379,1373,1368,1362,1356,1349,1343,1336,1329,1322,1316,1309,1303,1298,1292,1287,1282,1277,1272,1268,1264,1260,1256,1252,1248,1243,1239
LABS[1],World,Agriculture,Mil People,IF,1375,1394,1412,1427,1441,1452,1463,1473,1482,1489,1496,1502,1508,1512,1516,1520,1523,1525,1528,1531,1534,1538,1541,1545,1548,1552,1555,1558,1561,1564,1565,1567,1567,1567,1566,1565,1562,1559,1555,1551,1547,1542,1537,1532,1526,1519,1512,1504,1496,1487,1477,1467,1456,1444,1432,1420,1406,1393,1378,1363,1348,1332,1316,1300,1283,1266,1249,1232,1215,1197,1179,1161,1143,1124,1106,1087,1069,1050,1031,1012,999.5,986.9,974.3,961.7
LABS[1],World,Energy,Mil People,IF,58.06,59.26,60.47,63.53,72.67,75.6,75.09,74.11,74.69,76.25,78.26,79.81,81.1,82.27,83.18,83.8,83.93,83.96,84,84.11,84.39,84.75,85.24,85.73,86.07,86.27,86.31,86.3,86.4,86.6,86.98,86.63,86.3,85.83,85.35,85.01,84.74,84.51,84.38,84.28,84.15,83.89,83.66,83.28,82.83,82.28,81.79,81.43,81.3,81.44,81.85,82.36,82.85,83.28,83.6,83.82,83.96,84.05,84.08,83.99,83.86,83.72,83.71,83.74,83.9,84.1,84.38,84.6,84.84,85.08,85.33,85.64,85.87,86.09,86.24,86.36,86.53,86.42,86.07,85.54,84.77,83.94,83.01,82.01
LABS[1],World,Materials,Mil People,IF,86.89,88.23,89.8,91.73,93.66,95.57,98.84,101.9,105.3,110.3,116,122,127.8,133.2,137.9,141.8,145.2,148,150.5,152.8,154.8,156.9,159,161.2,163.6,166.2,169,171.9,174.9,178,181.2,184.6,188,191.5,194.9,198.1,201.2,204.1,206.8,209.3,211.6,213.9,216.1,218.2,220.4,222.5,224.6,226.7,229,231.2,233.5,235.8,238.2,240.5,242.8,245.1,247.4,249.7,251.9,254.2,256.4,258.6,260.8,263,265.2,267.3,269.5,271.6,273.7,275.9,278,280.2,282.5,284.8,287.3,289.8,292.3,295,297.7,300.4,302.7,305.1,307.5,309.9
LABS[1],World,Manufactures,Mil People,IF,465.6,472.9,480.2,487.1,492.4,501.8,510.3,519.5,527.5,533.2,538.1,543.1,548.6,554.8,561.7,569.1,576.6,584.1,591.3,598.1,604.5,610.5,616.3,621.8,627.4,632.9,638.4,643.7,648.6,653.1,657,660.7,664.1,667.3,670.1,672.5,674.7,676.5,678.1,679.8,681.6,683.5,685.5,687.7,690,692.4,694.9,697.6,700.3,703,705.7,708.3,710.8,713.1,715.4,717.4,719.2,720.9,722.6,724.1,725.5,726.7,727.7,728.6,729.4,730.1,730.8,731.4,732,732.4,732.8,733,733.1,733.2,733.1,733.1,733,733,733.1,733.3,732,730.8,729.6,728.2
LABS[1],World,Services,Mil People,IF,1142,1159,1176,1192,1205,1222,1242,1263,1285,1306,1327,1348,1369,1389,1409,1429,1447,1466,1484,1502,1519,1537,1554,1570,1587,1603,1619,1635,1651,1667,1683,1698,1714,1730,1745,1761,1777,1792,1807,1823,1839,1856,1874,1892,1911,1929,1948,1966,1985,2003,2021,2039,2057,2074,2091,2108,2124,2140,2155,2170,2185,2199,2212,2226,2239,2252,2265,2279,2292,2306,2319,2332,2344,2357,2369,2381,2392,2403,2413,2424,2430,2435,2440,2445
