Code,Entity,Unit,Method,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
MFPTOT[5],WB High Income,Percent,SSP1,0.587,0.57,0.642,0.692,0.875,0.89,0.899,0.94,1.002,1.067,1.123,1.176,1.227,1.277,1.321,1.365,1.407,1.447,1.479,1.523,1.56,1.591,1.621,1.645,1.667,1.69,1.71,1.731,1.75,1.765,1.784,1.799,1.812,1.825,1.835,1.841,1.846,1.851,1.856,1.862,1.87,1.882,1.896,1.905,1.92,1.932,1.942,1.952,1.963,1.971,1.979,1.989,1.994,2.002,2.005,2.015,2.019,2.018,2.016,2.019,2.019,2.021,2.02,2.022,2.019,2.016,2.014,2.01,2.008,2.007,1.999,1.997,1.993,1.988,1.98,1.981,1.983,1.982,1.98,1.979,1.98,1.986,1.991,1.98
MFPTOT[6],WB High Income,Percent,SSP2,0.587,0.567,0.624,0.654,0.818,0.815,0.808,0.83,0.875,0.926,0.964,1.001,1.036,1.072,1.104,1.137,1.165,1.198,1.229,1.264,1.303,1.331,1.359,1.38,1.399,1.414,1.429,1.442,1.457,1.466,1.481,1.493,1.508,1.524,1.54,1.549,1.557,1.565,1.574,1.581,1.589,1.599,1.615,1.626,1.639,1.651,1.662,1.675,1.685,1.695,1.704,1.716,1.722,1.732,1.736,1.743,1.75,1.753,1.755,1.761,1.767,1.771,1.775,1.78,1.782,1.783,1.785,1.781,1.781,1.781,1.775,1.773,1.776,1.779,1.777,1.779,1.778,1.776,1.773,1.768,1.763,1.753,1.742,1.73
MFPTOT[7],WB High Income,Percent,SSP3,0.587,0.548,0.58,0.579,0.71,0.674,0.638,0.632,0.647,0.667,0.68,0.692,0.7,0.71,0.718,0.731,0.739,0.75,0.76,0.775,0.793,0.804,0.813,0.814,0.814,0.813,0.809,0.806,0.805,0.8,0.801,0.802,0.804,0.809,0.812,0.811,0.81,0.809,0.81,0.811,0.813,0.814,0.821,0.822,0.829,0.833,0.837,0.844,0.848,0.853,0.858,0.869,0.871,0.88,0.882,0.889,0.895,0.896,0.885,0.904,0.908,0.911,0.913,0.924,0.93,0.934,0.933,0.927,0.923,0.916,0.901,0.893,0.886,0.879,0.867,0.856,0.845,0.827,0.804,0.771,0.691,0.224,0.209,0.194
MFPTOT[8],WB High Income,Percent,SSP4,0.587,0.561,0.612,0.637,0.797,0.79,0.779,0.796,0.838,0.885,0.92,0.955,0.988,1.022,1.051,1.083,1.109,1.128,1.145,1.166,1.188,1.201,1.219,1.23,1.242,1.248,1.255,1.257,1.261,1.259,1.264,1.268,1.274,1.282,1.29,1.292,1.293,1.294,1.297,1.3,1.302,1.305,1.312,1.314,1.319,1.323,1.325,1.33,1.334,1.34,1.344,1.355,1.358,1.365,1.368,1.375,1.383,1.386,1.389,1.396,1.402,1.406,1.411,1.419,1.422,1.423,1.425,1.426,1.43,1.434,1.43,1.434,1.441,1.448,1.444,1.447,1.451,1.453,1.452,1.45,1.45,1.444,1.437,1.436
MFPTOT[9],WB High Income,Percent,SSP5,0.587,0.585,0.666,0.727,0.922,0.947,0.963,1.015,1.087,1.156,1.224,1.288,1.343,1.398,1.447,1.494,1.526,1.557,1.595,1.627,1.666,1.699,1.733,1.758,1.778,1.795,1.806,1.817,1.829,1.837,1.849,1.86,1.87,1.879,1.889,1.894,1.896,1.901,1.903,1.906,1.908,1.913,1.919,1.92,1.925,1.928,1.931,1.935,1.934,1.929,1.927,1.927,1.926,1.927,1.932,1.936,1.94,1.94,1.939,1.942,1.942,1.943,1.941,1.942,1.939,1.936,1.936,1.934,1.935,1.935,1.93,1.925,1.92,1.914,1.907,1.901,1.892,1.885,1.888,1.869,1.864,1.853,1.866,1.832
MFPTOT[5],WB Low Income,Percent,SSP1,1.254,1.191,1.482,1.639,1.745,1.8,1.792,1.807,1.845,1.872,1.898,1.904,1.897,1.875,1.851,1.814,1.772,1.726,1.677,1.623,1.573,1.518,1.458,1.391,1.319,1.232,1.144,1.056,0.967,0.872,0.781,0.693,0.599,0.504,0.415,0.328,0.249,0.187,0.124,0.072,0.022,-0.018,-0.062,-0.104,-0.136,-0.17,-0.201,-0.233,-0.261,-0.286,-0.309,-0.323,-0.343,-0.371,-0.407,-0.437,-0.463,-0.494,-0.52,-0.546,-0.563,-0.57,-0.579,-0.584,-0.59,-0.608,-0.639,-0.76,-0.726,-0.744,-0.771,-0.798,-0.847,-0.981,-46.73,-1.315,-1.291,-1.277,-1.268,-1.259,-1.255,-1.251,-1.258,-1.272
MFPTOT[6],WB Low Income,Percent,SSP2,1.254,1.206,1.483,1.614,1.693,1.725,1.703,1.706,1.742,1.771,1.793,1.805,1.817,1.803,1.787,1.761,1.734,1.704,1.679,1.646,1.62,1.587,1.555,1.518,1.487,1.448,1.412,1.374,1.334,1.295,1.257,1.215,1.173,1.128,1.084,1.037,0.988,0.943,0.896,0.853,0.807,0.763,0.724,0.688,0.652,0.614,0.577,0.541,0.506,0.473,0.447,0.427,0.403,0.379,0.356,0.328,0.304,0.282,0.26,0.241,0.228,0.217,0.207,0.201,0.201,0.203,0.204,0.208,0.213,0.218,0.219,0.227,0.236,0.242,0.242,0.235,0.122,0.207,0.202,0.202,0.205,0.207,0.203,0.202
MFPTOT[7],WB Low Income,Percent,SSP3,1.254,1.221,1.491,1.602,1.661,1.678,1.644,1.632,1.653,1.665,1.678,1.675,1.668,1.648,1.628,1.593,1.552,1.508,1.473,1.427,1.393,1.35,1.313,1.276,1.236,1.193,1.158,1.112,1.071,1.031,0.99,0.954,0.923,0.889,0.859,0.824,0.792,0.763,0.735,0.707,0.676,0.65,0.619,0.592,0.566,0.544,0.521,0.504,0.482,0.463,0.439,0.419,0.383,0.348,0.315,0.274,0.24,0.205,0.175,0.134,0.115,0.07,0.072,0.003,0.032,-0.054,-0.02,-0.106,-0.07,-0.157,-0.122,-0.21,-0.172,-0.267,-0.236,-0.329,-0.296,-0.386,-0.348,-0.434,-0.398,-0.477,-0.441,-0.526
MFPTOT[8],WB Low Income,Percent,SSP4,1.254,1.22,1.454,1.558,1.61,1.616,1.574,1.555,1.571,1.588,1.597,1.597,1.595,1.583,1.57,1.548,1.521,1.487,1.463,1.437,1.411,1.381,1.355,1.327,1.297,1.284,1.249,1.224,1.203,1.18,1.158,1.135,1.114,1.096,1.082,1.061,1.046,1.036,1.027,1.018,1.01,1.006,0.998,0.995,0.991,0.987,0.981,0.975,0.969,0.963,0.95,0.945,0.932,0.92,0.907,0.886,0.867,0.849,0.834,0.819,0.811,0.802,0.795,0.785,0.783,0.772,0.766,0.762,0.757,0.748,0.731,0.718,0.702,0.682,0.664,0.647,0.634,0.625,0.603,0.589,0.558,0.541,0.531,0.502
MFPTOT[9],WB Low Income,Percent,SSP5,1.254,1.189,1.478,1.633,1.741,1.798,1.784,1.792,1.821,1.832,1.842,1.821,1.79,1.746,1.693,1.626,1.546,1.463,1.374,1.29,1.197,1.098,0.996,0.878,0.759,0.634,0.499,0.366,0.234,0.106,-0.016,-0.137,-0.241,-0.332,-0.412,-0.487,-0.555,-0.611,-0.653,-0.681,-0.707,-0.73,-0.753,-0.765,-0.753,-0.755,-0.773,-0.792,-0.819,-0.848,-0.895,-1.002,-1.034,-1.057,-1.087,-1.115,-1.146,-1.173,-1.204,-1.23,-1.253,-1.28,-1.308,-1.333,-1.363,-1.398,-1.438,-1.48,-1.562,-2.174,-1.962,-1.951,-1.954,-1.993,-2.201,-2.531,-2.481,-2.449,-2.418,-2.396,-2.382,-2.369,-2.353,-2.353
