"Bound","Last_Year","Year_IC","Year","Method","Income","pcGDP"
"Lower",2020,2020,2020,"Kuznets","High income",37.4361559504915
"Lower",2020,2020,2021,"Kuznets","High income",37.6506866740813
"Lower",2020,2020,2022,"Kuznets","High income",37.8586868046722
"Lower",2020,2020,2023,"Kuznets","High income",38.0604329485679
"Lower",2020,2020,2024,"Kuznets","High income",38.2560991360261
"Lower",2020,2020,2025,"Kuznets","High income",38.4456929432762
"Lower",2020,2020,2026,"Kuznets","High income",38.6287909723896
"Lower",2020,2020,2027,"Kuznets","High income",38.8054351034203
"Lower",2020,2020,2028,"Kuznets","High income",38.9757572413687
"Lower",2020,2020,2029,"Kuznets","High income",39.1399378355758
"Lower",2020,2020,2030,"Kuznets","High income",39.298155892376
"Lower",2020,2020,2031,"Kuznets","High income",39.4505886381037
"Lower",2020,2020,2032,"Kuznets","High income",39.5974112170622
"Lower",2020,2020,2033,"Kuznets","High income",39.7387964224913
"Lower",2020,2020,2034,"Kuznets","High income",39.8749144585794
"Lower",2020,2020,2035,"Kuznets","High income",40.0059327315922
"Lower",2020,2020,2036,"Kuznets","High income",40.1320156682264
"Lower",2020,2020,2037,"Kuznets","High income",40.2533245593453
"Lower",2020,2020,2038,"Kuznets","High income",40.3700174273067
"Lower",2020,2020,2039,"Kuznets","High income",40.4822489151556
"Lower",2020,2020,2040,"Kuznets","High income",40.5901701960218
"Lower",2020,2020,2041,"Kuznets","High income",40.6939289011293
"Lower",2020,2020,2042,"Kuznets","High income",40.793669064902
"Lower",2020,2020,2043,"Kuznets","High income",40.8895310857204
"Lower",2020,2020,2044,"Kuznets","High income",40.9816517009606
"Lower",2020,2020,2045,"Kuznets","High income",41.070163975023
"Lower",2020,2020,2046,"Kuznets","High income",41.1551972991306
"Lower",2020,2020,2047,"Kuznets","High income",41.2368774017515
"Lower",2020,2020,2048,"Kuznets","High income",41.3153263685723
"Lower",2020,2020,2049,"Kuznets","High income",41.3906626710166
"Lower",2020,2020,2050,"Kuznets","High income",41.4630012023743
"Lower",2020,2020,2051,"Kuznets","High income",41.5324533206682
"Lower",2020,2020,2052,"Kuznets","High income",41.5991268974507
"Lower",2020,2020,2053,"Kuznets","High income",41.6631263717813
"Lower",2020,2020,2054,"Kuznets","High income",41.7245528086925
"Lower",2020,2020,2055,"Kuznets","High income",41.7835039615076
"Lower",2020,2020,2056,"Kuznets","High income",41.8400743374233
"Lower",2020,2020,2057,"Kuznets","High income",41.8943552658202
"Lower",2020,2020,2058,"Kuznets","High income",41.9464349688079
"Lower",2020,2020,2059,"Kuznets","High income",41.9963986335584
"Lower",2020,2020,2060,"Kuznets","High income",42.0443284860162
"Lower",2020,2020,2061,"Kuznets","High income",42.0903038656164
"Lower",2020,2020,2062,"Kuznets","High income",42.1344013006741
"Lower",2020,2020,2063,"Kuznets","High income",42.1766945841431
"Lower",2020,2020,2064,"Kuznets","High income",42.2172548494707
"Lower",2020,2020,2065,"Kuznets","High income",42.2561506463057
"Lower",2020,2020,2066,"Kuznets","High income",42.293448015841
"Lower",2020,2020,2067,"Kuznets","High income",42.3292105655982
"Lower",2020,2020,2068,"Kuznets","High income",42.3634995434827
"Lower",2020,2020,2069,"Kuznets","High income",42.3963739109585
"Lower",2020,2020,2070,"Kuznets","High income",42.4278904152124
"Lower",2020,2020,2071,"Kuznets","High income",42.4581036601922
"Lower",2020,2020,2072,"Kuznets","High income",42.4870661764215
"Lower",2020,2020,2073,"Kuznets","High income",42.5148284895079
"Lower",2020,2020,2074,"Kuznets","High income",42.5414391872726
"Lower",2020,2020,2075,"Kuznets","High income",42.5669449854451
"Lower",2020,2020,2076,"Kuznets","High income",42.5913907918744
"Lower",2020,2020,2077,"Kuznets","High income",42.61481976922
"Lower",2020,2020,2078,"Kuznets","High income",42.6372733960935
"Lower",2020,2020,2079,"Kuznets","High income",42.6587915266318
"Lower",2020,2020,2080,"Kuznets","High income",42.6794124484873
"Lower",2020,2020,2081,"Kuznets","High income",42.6991729392298
"Lower",2020,2020,2082,"Kuznets","High income",42.718108321159
"Lower",2020,2020,2083,"Kuznets","High income",42.7362525145314
"Lower",2020,2020,2084,"Kuznets","High income",42.7536380892127
"Lower",2020,2020,2085,"Kuznets","High income",42.7702963147655
"Lower",2020,2020,2086,"Kuznets","High income",42.7862572089928
"Lower",2020,2020,2087,"Kuznets","High income",42.8015495849538
"Lower",2020,2020,2088,"Kuznets","High income",42.8162010964768
"Lower",2020,2020,2089,"Kuznets","High income",42.8302382821925
"Lower",2020,2020,2090,"Kuznets","High income",42.8436866081153
"Lower",2020,2020,2091,"Kuznets","High income",42.856570508801
"Lower",2020,2020,2092,"Kuznets","High income",42.8689134271104
"Lower",2020,2020,2093,"Kuznets","High income",42.8807378526094
"Lower",2020,2020,2094,"Kuznets","High income",42.892065358639
"Lower",2020,2020,2095,"Kuznets","High income",42.9029166380857
"Lower",2020,2020,2096,"Kuznets","High income",42.9133115378867
"Lower",2020,2020,2097,"Kuznets","High income",42.9232690923036
"Lower",2020,2020,2098,"Kuznets","High income",42.9328075549963
"Lower",2020,2020,2099,"Kuznets","High income",42.9419444299334
"Lower",2020,2020,2100,"Kuznets","High income",42.9506965011698
"Lower",2020,2020,2020,"Kuznets","Low income",1.40614471932278
"Lower",2020,2020,2021,"Kuznets","Low income",1.45630606398649
"Lower",2020,2020,2022,"Kuznets","Low income",1.50864634810093
"Lower",2020,2020,2023,"Kuznets","Low income",1.56333571733522
"Lower",2020,2020,2024,"Kuznets","Low income",1.62033288270444
"Lower",2020,2020,2025,"Kuznets","Low income",1.67959565222811
"Lower",2020,2020,2026,"Kuznets","Low income",1.74136134919869
"Lower",2020,2020,2027,"Kuznets","Low income",1.80579203153794
"Lower",2020,2020,2028,"Kuznets","Low income",1.8730204147786
"Lower",2020,2020,2029,"Kuznets","Low income",1.94317847234049
"Lower",2020,2020,2030,"Kuznets","Low income",2.01634701565002
"Lower",2020,2020,2031,"Kuznets","Low income",2.09262302425058
"Lower",2020,2020,2032,"Kuznets","Low income",2.17217828147754
"Lower",2020,2020,2033,"Kuznets","Low income",2.25505165378293
"Lower",2020,2020,2034,"Kuznets","Low income",2.341397369435
"Lower",2020,2020,2035,"Kuznets","Low income",2.43126385804683
"Lower",2020,2020,2036,"Kuznets","Low income",2.52467622419065
"Lower",2020,2020,2037,"Kuznets","Low income",2.62183154112974
"Lower",2020,2020,2038,"Kuznets","Low income",2.7228143689679
"Lower",2020,2020,2039,"Kuznets","Low income",2.82782366357976
"Lower",2020,2020,2040,"Kuznets","Low income",2.93712559632598
"Lower",2020,2020,2041,"Kuznets","Low income",3.05082832763865
"Lower",2020,2020,2042,"Kuznets","Low income",3.1691468546651
"Lower",2020,2020,2043,"Kuznets","Low income",3.29242003702554
"Lower",2020,2020,2044,"Kuznets","Low income",3.42064488411718
"Lower",2020,2020,2045,"Kuznets","Low income",3.55388906644773
"Lower",2020,2020,2046,"Kuznets","Low income",3.69210791470266
"Lower",2020,2020,2047,"Kuznets","Low income",3.83572602848186
"Lower",2020,2020,2048,"Kuznets","Low income",3.9848608874633
"Lower",2020,2020,2049,"Kuznets","Low income",4.1398682158537
"Lower",2020,2020,2050,"Kuznets","Low income",4.30091875991599
"Lower",2020,2020,2051,"Kuznets","Low income",4.4679851415316
"Lower",2020,2020,2052,"Kuznets","Low income",4.64130179302618
"Lower",2020,2020,2053,"Kuznets","Low income",4.8210754200348
"Lower",2020,2020,2054,"Kuznets","Low income",5.00746965618707
"Lower",2020,2020,2055,"Kuznets","Low income",5.20065271689666
"Lower",2020,2020,2056,"Kuznets","Low income",5.40076139932602
"Lower",2020,2020,2057,"Kuznets","Low income",5.60779777677134
"Lower",2020,2020,2058,"Kuznets","Low income",5.82204350712723
"Lower",2020,2020,2059,"Kuznets","Low income",6.04369450814957
"Lower",2020,2020,2060,"Kuznets","Low income",6.27285016227413
"Lower",2020,2020,2061,"Kuznets","Low income",6.50945948107853
"Lower",2020,2020,2062,"Kuznets","Low income",6.75357350488847
"Lower",2020,2020,2063,"Kuznets","Low income",7.00532219749958
"Lower",2020,2020,2064,"Kuznets","Low income",7.26491271537517
"Lower",2020,2020,2065,"Kuznets","Low income",7.53241156426434
"Lower",2020,2020,2066,"Kuznets","Low income",7.80783520060354
"Lower",2020,2020,2067,"Kuznets","Low income",8.09176343734876
"Lower",2020,2020,2068,"Kuznets","Low income",8.38415293240237
"Lower",2020,2020,2069,"Kuznets","Low income",8.6848571542875
"Lower",2020,2020,2070,"Kuznets","Low income",8.9939525187638
"Lower",2020,2020,2071,"Kuznets","Low income",9.31110099263639
"Lower",2020,2020,2072,"Kuznets","Low income",9.63665581918231
"Lower",2020,2020,2073,"Kuznets","Low income",9.97042261687975
"Lower",2020,2020,2074,"Kuznets","Low income",10.311904957444
"Lower",2020,2020,2075,"Kuznets","Low income",10.6612362536271
"Lower",2020,2020,2076,"Kuznets","Low income",11.0188212454641
"Lower",2020,2020,2077,"Kuznets","Low income",11.38491257893
"Lower",2020,2020,2078,"Kuznets","Low income",11.758514025553
"Lower",2020,2020,2079,"Kuznets","Low income",12.1396874115877
"Lower",2020,2020,2080,"Kuznets","Low income",12.5280666388626
"Lower",2020,2020,2081,"Kuznets","Low income",12.9238777102291
"Lower",2020,2020,2082,"Kuznets","Low income",13.3272806229037
"Lower",2020,2020,2083,"Kuznets","Low income",13.7381156988973
"Lower",2020,2020,2084,"Kuznets","Low income",14.1555520520041
"Lower",2020,2020,2085,"Kuznets","Low income",14.5791936658517
"Lower",2020,2020,2086,"Kuznets","Low income",15.0096371917839
"Lower",2020,2020,2087,"Kuznets","Low income",15.446119241847
"Lower",2020,2020,2088,"Kuznets","Low income",15.8875336144635
