"Last_Year","Year_IC","Year","Method","Income","pcGDP"
1980,2020,2020,"Kuznets","High income",37.4361559504915
1980,2020,2021,"Kuznets","High income",37.3767113034199
1980,2020,2022,"Kuznets","High income",37.320151272726
1980,2020,2023,"Kuznets","High income",37.2663256326224
1980,2020,2024,"Kuznets","High income",37.2150935233403
1980,2020,2025,"Kuznets","High income",37.166322656346
1980,2020,2026,"Kuznets","High income",37.1198886110759
1980,2020,2027,"Kuznets","High income",37.0756742105768
1980,2020,2028,"Kuznets","High income",37.0335689653123
1980,2020,2029,"Kuznets","High income",36.993468575988
1980,2020,2030,"Kuznets","High income",36.9552744875981
1980,2020,2031,"Kuznets","High income",36.9188934880392
1980,2020,2032,"Kuznets","High income",36.8842373456046
1980,2020,2033,"Kuznets","High income",36.8512224804947
1980,2020,2034,"Kuznets","High income",36.8197696661716
1980,2020,2035,"Kuznets","High income",36.7898037569654
1980,2020,2036,"Kuznets","High income",36.7612534263825
1980,2020,2037,"Kuznets","High income",36.7340508707169
1980,2020,2038,"Kuznets","High income",36.7081315827015
1980,2020,2039,"Kuznets","High income",36.6834341898608
1980,2020,2040,"Kuznets","High income",36.6599003023295
1980,2020,2041,"Kuznets","High income",36.6374743674346
1980,2020,2042,"Kuznets","High income",36.6161035308843
1980,2020,2043,"Kuznets","High income",36.5957375043851
1980,2020,2044,"Kuznets","High income",36.5763284394863
1980,2020,2045,"Kuznets","High income",36.5578308074361
1980,2020,2046,"Kuznets","High income",36.5402012848284
1980,2020,2047,"Kuznets","High income",36.5233986448102
1980,2020,2048,"Kuznets","High income",36.5073836536216
1980,2020,2049,"Kuznets","High income",36.492118972238
1980,2020,2050,"Kuznets","High income",36.4775690629718
1980,2020,2051,"Kuznets","High income",36.4637001022148
1980,2020,2052,"Kuznets","High income",36.4504798978118
1980,2020,2053,"Kuznets","High income",36.4378778080791
1980,2020,2054,"Kuznets","High income",36.4258646646453
1980,2020,2055,"Kuznets","High income",36.4144126993413
1980,2020,2056,"Kuznets","High income",36.4034954749105
1980,2020,2057,"Kuznets","High income",36.3930878193237
1980,2020,2058,"Kuznets","High income",36.3831657634973
1980,2020,2059,"Kuznets","High income",36.3737064822255
1980,2020,2060,"Kuznets","High income",36.3646882381486
1980,2020,2061,"Kuznets","High income",36.3560903285888
1980,2020,2062,"Kuznets","High income",36.3478930350991
1980,2020,2063,"Kuznets","High income",36.3400775755749
1980,2020,2064,"Kuznets","High income",36.3326260587912
1980,2020,2065,"Kuznets","High income",36.3255214412336
1980,2020,2066,"Kuznets","High income",36.3187474861006
1980,2020,2067,"Kuznets","High income",36.3122887243611
1980,2020,2068,"Kuznets","High income",36.3061304177579
1980,2020,2069,"Kuznets","High income",36.3002585236546
1980,2020,2070,"Kuznets","High income",36.2946596616286
1980,2020,2071,"Kuznets","High income",36.2893210817188
1980,2020,2072,"Kuznets","High income",36.2842306342419
1980,2020,2073,"Kuznets","High income",36.279376741096
1980,2020,2074,"Kuznets","High income",36.2747483684738
1980,2020,2075,"Kuznets","High income",36.2703350009136
1980,2020,2076,"Kuznets","High income",36.26612661662
1980,2020,2077,"Kuznets","High income",36.2621136639874
1980,2020,2078,"Kuznets","High income",36.2582870392678
1980,2020,2079,"Kuznets","High income",36.2546380653223
1980,2020,2080,"Kuznets","High income",36.2511584714038
1980,2020,2081,"Kuznets","High income",36.2478403739172
1980,2020,2082,"Kuznets","High income",36.2446762581091
1980,2020,2083,"Kuznets","High income",36.2416589606403
1980,2020,2084,"Kuznets","High income",36.2387816529963
1980,2020,2085,"Kuznets","High income",36.236037825696
1980,2020,2086,"Kuznets","High income",36.2334212732564
1980,2020,2087,"Kuznets","High income",36.2309260798788
1980,2020,2088,"Kuznets","High income",36.2285466058181
1980,2020,2089,"Kuznets","High income",36.226277474404
1980,2020,2090,"Kuznets","High income",36.224113559681
1980,2020,2091,"Kuznets","High income",36.2220499746363
1980,2020,2092,"Kuznets","High income",36.2200820599885
1980,2020,2093,"Kuznets","High income",36.2182053735089
1980,2020,2094,"Kuznets","High income",36.2164156798484
1980,2020,2095,"Kuznets","High income",36.2147089408485
1980,2020,2096,"Kuznets","High income",36.2130813063093
1980,2020,2097,"Kuznets","High income",36.211529105195
1980,2020,2098,"Kuznets","High income",36.2100488372556
1980,2020,2099,"Kuznets","High income",36.2086371650428
1980,2020,2100,"Kuznets","High income",36.2072909063036
1980,2020,2020,"Kuznets","Low income",1.40614471932278
1980,2020,2021,"Kuznets","Low income",1.46084450091319
1980,2020,2022,"Kuznets","Low income",1.51852162766438
1980,2020,2023,"Kuznets","Low income",1.57936647127816
1980,2020,2024,"Kuznets","Low income",1.64357547634468
1980,2020,2025,"Kuznets","Low income",1.711355920359
1980,2020,2026,"Kuznets","Low income",1.78292620191207
1980,2020,2027,"Kuznets","Low income",1.85851608069249
1980,2020,2028,"Kuznets","Low income",1.93836685871246
1980,2020,2029,"Kuznets","Low income",2.02273149118246
1980,2020,2030,"Kuznets","Low income",2.11187461451181
1980,2020,2031,"Kuznets","Low income",2.20607247803946
1980,2020,2032,"Kuznets","Low income",2.30561276533978
1980,2020,2033,"Kuznets","Low income",2.41079429034588
1980,2020,2034,"Kuznets","Low income",2.52192655313577
1980,2020,2035,"Kuznets","Low income",2.63932914008737
1980,2020,2036,"Kuznets","Low income",2.76333095328103
1980,2020,2037,"Kuznets","Low income",2.8942692545693
1980,2020,2038,"Kuznets","Low income",3.03248851069727
1980,2020,2039,"Kuznets","Low income",3.17833902729438
1980,2020,2040,"Kuznets","Low income",3.33217536151516
1980,2020,2041,"Kuznets","Low income",3.4943545056158
1980,2020,2042,"Kuznets","Low income",3.66523383683999
1980,2020,2043,"Kuznets","Low income",3.84516883265395
1980,2020,2044,"Kuznets","Low income",4.03451055460473
1980,2020,2045,"Kuznets","Low income",4.23360290883938
1980,2020,2046,"Kuznets","Low income",4.44277969655225
1980,2020,2047,"Kuznets","Low income",4.66236147323502
1980,2020,2048,"Kuznets","Low income",4.89265224147081
1980,2020,2049,"Kuznets","Low income",5.13393600799661
1980,2020,2050,"Kuznets","Low income",5.38647324168963
1980,2020,2051,"Kuznets","Low income",5.65049727482507
1980,2020,2052,"Kuznets","Low income",5.92621069520199
1980,2020,2053,"Kuznets","Low income",6.21378178133196
1980,2020,2054,"Kuznets","Low income",6.51334103662233
1980,2020,2055,"Kuznets","Low income",6.82497788116407
1980,2020,2056,"Kuznets","Low income",7.14873756117666
1980,2020,2057,"Kuznets","Low income",7.48461833622077
1980,2020,2058,"Kuznets","Low income",7.83256900285662
1980,2020,2059,"Kuznets","Low income",8.19248681044141
1980,2020,2060,"Kuznets","Low income",8.56421582021671
1980,2020,2061,"Kuznets","Low income",8.94754575278657
1980,2020,2062,"Kuznets","Low income",9.34221136163957
