Entity,Code,TilmanEconomicGroup,WBEconomicGroup,Year,pop,pcgdpthousand2005usd,pcgdpgrowth
Afghanistan,AFG,NA,Low income,1960,8996967,1.1349707959281783,NA
Afghanistan,AFG,NA,Low income,1961,9169406,1.1204198882880734,-1.2903404835907961
Afghanistan,AFG,NA,Low income,1962,9351442,1.1144283380833244,-0.5361943141385286
Afghanistan,AFG,NA,Low income,1963,9543200,1.111004595109182,-0.30769255044793
Afghanistan,AFG,NA,Low income,1964,9744772,1.105013044904433,-0.540750641739271
Afghanistan,AFG,NA,Low income,1965,9956318,1.1041571091608975,-0.07748934909247163
Afghanistan,AFG,NA,Low income,1966,10174840,1.088750265777257,-1.405175345565042
Afghanistan,AFG,NA,Low income,1967,10399936,1.093029944494935,0.3923112132471915
Afghanistan,AFG,NA,Low income,1968,10637064,1.1041571091608975,1.0128641323178504
Afghanistan,AFG,NA,Low income,1969,10893772,1.0938858802384706,-0.9345862418237677
Afghanistan,AFG,NA,Low income,1970,11173654,1.088750265777257,-0.47058910374127433
Afghanistan,AFG,NA,Low income,1971,11475450,1.0587925147535118,-2.790137150757949
Afghanistan,AFG,NA,Low income,1972,11791222,0.8619272937403285,-20.571347967392562
Afghanistan,AFG,NA,Low income,1973,12108963,0.8653510367144708,0.39643263019090713
Afghanistan,AFG,NA,Low income,1974,12412960,0.889317237533467,2.731877207875602
Afghanistan,AFG,NA,Low income,1975,12689164,0.9192749885572122,3.3131283969582523
Afghanistan,AFG,NA,Low income,1976,12943093,0.9458089966068153,2.845533888304328
Afghanistan,AFG,NA,Low income,1977,13171294,0.8747663298933621,-7.8083843188203526
Afghanistan,AFG,NA,Low income,1978,13341199,0.91585124558307,4.589715669230214
Afghanistan,AFG,NA,Low income,1979,13411060,0.8756222656368977,-4.491916150432538
Afghanistan,AFG,NA,Low income,1980,13356500,0.8721985226627554,-0.3917732728901613
Afghanistan,AFG,NA,Low income,1981,13171679,0.9791904906047029,11.570913871701837
Afghanistan,AFG,NA,Low income,1982,12882518,1.0870383942901858,10.448600751289366
Afghanistan,AFG,NA,Low income,1983,12537732,1.1529454465424254,5.886299695772701
Afghanistan,AFG,NA,Low income,1984,12204306,1.1443860891070696,-0.7451599308420764
Afghanistan,AFG,NA,Low income,1985,11938204,1.1161402095703956,-2.499183461534482
Afghanistan,AFG,NA,Low income,1986,11736177,1.1503776393118188,3.02137785964966
Afghanistan,AFG,NA,Low income,1987,11604538,1.0365381854215867,-10.420377753000261
Afghanistan,AFG,NA,Low income,1988,11618008,0.9423852536326729,-9.522760683041238
Afghanistan,AFG,NA,Low income,1989,11868873,0.8550798077920438,-9.721935807412638
Afghanistan,AFG,NA,Low income,1990,12412311,0.8242661210247629,-3.6701366850428045
Afghanistan,AFG,NA,Low income,1991,13299016,0.7542248991312465,-8.88028419342576
Afghanistan,AFG,NA,Low income,1992,14485543,0.7223070552548048,-4.324026547124532
Afghanistan,AFG,NA,Low income,1993,15816601,0.4950732340609791,-37.77446335480678
Afghanistan,AFG,NA,Low income,1994,17075728,0.36669999124551295,-30.016164801988477
Afghanistan,AFG,NA,Low income,1995,18110662,0.5417559695134097,39.02716080971024
Afghanistan,AFG,NA,Low income,1996,18853444,0.513715514555184,-5.3146020696628105
Afghanistan,AFG,NA,Low income,1997,19357126,0.4883969352614016,-5.054117144574477
Afghanistan,AFG,NA,Low income,1998,19737770,0.4665192176566322,-4.582925231398683
Afghanistan,AFG,NA,Low income,1999,20170847,0.4439396327421636,-4.961062394822912
Afghanistan,AFG,NA,Low income,2000,20779957,0.429996439479969,-3.191166252190547
Afghanistan,AFG,NA,Low income,2001,21606992,0.41913461489450254,-2.5584783452463733
Afghanistan,AFG,NA,Low income,2002,22600774,0.6820267191640205,48.68766898141708
Afghanistan,AFG,NA,Low income,2003,23680871,0.7213912040092216,5.611274071385841
Afghanistan,AFG,NA,Low income,2004,24726689,0.74384239856216,3.064760705465186
Afghanistan,AFG,NA,Low income,2005,25654274,0.8254729904231481,10.412736126919642
Afghanistan,AFG,NA,Low income,2006,26433058,0.9048096744914609,9.176807337992534
Afghanistan,AFG,NA,Low income,2007,27100542,1.07847903685483,17.558241117090645
Afghanistan,AFG,NA,Low income,2008,27722281,1.1295013665269857,4.622451743414495
Afghanistan,AFG,NA,Low income,2009,28394806,1.3329658521228285,16.56301567797979
Afghanistan,AFG,NA,Low income,2010,29185511,1.3931809316805566,4.418314915334687
Afghanistan,AFG,NA,Low income,2011,30117411,1.5338368524157584,9.618277022206245
Afghanistan,AFG,NA,Low income,2012,31161378,1.664795021176702,8.19296625176708
Afghanistan,AFG,NA,Low income,2013,32269592,1.7332698806595483,4.030772348809286
Afghanistan,AFG,NA,Low income,2014,33370803,1.7307020734289416,-0.14825799602228296
Afghanistan,AFG,NA,Low income,2015,34413603,1.650244113536597,-4.760392440992578
Afghanistan,AFG,NA,Low income,2016,35383028,1.6511000492801327,0.051853773523813373
Afghanistan,AFG,NA,Low income,2017,36296111,1.7244965392883087,4.349338429889171
Afghanistan,AFG,NA,Low income,2018,37171922,1.6558590520141905,-4.061520777868422
Afghanistan,AFG,NA,Low income,2019,38041757,1.6812870308906416,1.5239651111301655
Afghanistan,AFG,NA,Low income,2020,38928341,1.6112077747198075,-4.257552154156297
Albania,ALB,NA,Upper-middle income,1960,1636091,1.9797793747977952,NA
Albania,ALB,NA,Upper-middle income,1961,1685926,1.996042153924971,0.818088523894378
Albania,ALB,NA,Upper-middle income,1962,1737675,2.0619492061772107,3.2485455144488307
Albania,ALB,NA,Upper-middle income,1963,1790571,2.1321359371471282,3.3472512647309105
Albania,ALB,NA,Upper-middle income,1964,1843649,2.2048904753476526,3.3553571962063877
Albania,ALB,NA,Upper-middle income,1965,1896175,2.285348435239997,3.584066417005094
Albania,ALB,NA,Upper-middle income,1966,1947836,2.370942009593555,3.676884778708911
Albania,ALB,NA,Upper-middle income,1967,1998743,2.461671198408326,3.755311965955288
Albania,ALB,NA,Upper-middle income,1968,2049214,2.5498325799924912,3.5187233872345236
Albania,ALB,NA,Upper-middle income,1969,2099738,2.6362820900895847,3.3341923254337824
Albania,ALB,NA,Upper-middle income,1970,2150704,2.7338587648526405,3.6344452807337446
Albania,ALB,NA,Upper-middle income,1971,2202186,2.8434185400251946,3.929296139828242
Albania,ALB,NA,Upper-middle income,1972,2254058,2.9538342509412847,3.8097032924763408
Albania,ALB,NA,Upper-middle income,1973,2306284,3.101055198829404,4.8638367797073645
Albania,ALB,NA,Upper-middle income,1974,2358852,3.113038299238902,0.3856754091911885
Albania,ALB,NA,Upper-middle income,1975,2411733,3.1233095281613292,0.3293991449458522
Albania,ALB,NA,Upper-middle income,1976,2464981,3.1370045000578983,0.43751778843041933
Albania,ALB,NA,Upper-middle income,1977,2518685,3.150699471954468,0.4356119058269492
Albania,ALB,NA,Upper-middle income,1978,2572852,3.1635385081075014,0.40666993825535513
Albania,ALB,NA,Upper-middle income,1979,2627506,3.180657222978213,0.5396667172154368
Albania,ALB,NA,Upper-middle income,1980,2682697,3.2020556165666028,0.6705134414417113
Albania,ALB,NA,Upper-middle income,1981,2737018,3.22003026718085,0.5597775512829362
Albania,ALB,NA,Upper-middle income,1982,2790284,3.238004917795097,0.5566614772053669
Albania,ALB,NA,Upper-middle income,1983,2844867,3.2568355041528796,0.5798645662756785
Albania,ALB,NA,Upper-middle income,1984,2904142,3.2748101547671267,0.5503879704412018
Albania,ALB,NA,Upper-middle income,1985,2969671,3.2919288696378386,0.5213776148526916
Albania,ALB,NA,Upper-middle income,1986,3044201,3.3124713274826925,0.6220859875102569
Albania,ALB,NA,Upper-middle income,1987,3124892,3.3330137853275463,0.6182399908317482
