"Year","A","B","C","D","E","F","G"
2020,41.3090342350528,25.3129734430494,12.1487542676044,9.33104925100583,4.99325548109307,1.92816216666961,0.887859101922117
2021,41.5736983518455,25.8322911091566,12.5773783484859,9.69820948498435,5.22010897376097,2.02479967568687,0.944436151072362
2022,41.8315232161685,26.3485670379901,13.0146135016194,10.0747246914652,5.4557113175126,2.12581758816295,1.00285889557229
2023,42.0825240313334,26.8615266179799,13.4601877179526,10.461066099843,5.70042720960812,2.23143797932312,1.06312630373726
2024,42.3268097824862,27.3710243820962,13.9138071912673,10.8571500696298,5.95447216991909,2.34187390784985,1.12539076174327
2025,42.5644925495889,27.8767195384248,14.3751551333652,11.2628300099342,6.21801932921751,2.45734390355087,1.19018625410849
2026,42.7956871009465,28.3782158381179,14.8438927695729,11.6779327584712,6.49122754139388,2.57807166919271,1.25770231283856
2027,43.0205105071657,28.8751732784417,15.3196604680682,12.1022586798922,6.77423997954927,2.70428572119417,1.3280931904677
2028,43.2390817754245,29.3672689925336,15.8020789940658,12.5355819257767,7.06718275210917,2.83621896598696,1.4015188240293
2029,43.4515215038402,29.854197631875,16.290750878644,12.9776508567039,7.37016355205674,2.97410820912645,1.47814500477743
2030,43.6579515556396,30.3356716520293,16.7852618908797,13.4281886250592,7.68327035274484,3.11819359458959,1.5581435155181
2031,43.858494752762,30.8114215053276,17.2851826010135,13.8868939154741,8.006570163933,3.2687179721354,1.64169223386832
2032,44.0532745884666,31.281195744681,17.7900700215975,14.3534418380767,8.34010786169592,3.42592619112559,1.72897519928891
2033,44.2424149584588,31.7447610431157,18.29946931299,14.8274849680742,8.68390510565261,3.59006431981166,1.82018264134431
2034,44.426039910008,32.2019021339717,18.8129155391638,15.3086545236248,9.03795935656477,3.76137878978703,1.91551096631961
2035,44.6042734084922,32.6524216769622,19.3299354595861,15.7965616725092,9.40224300674822,3.94011546607785,2.01516269906773
2036,44.7772391207748,33.096140055492,19.8500493429034,16.2907989568058,9.7767026349325,4.12651864419747,2.11934637676594
2037,44.9450602147955,33.5328951107517,20.3727727883225,16.7909418236243,10.1612583962003,4.32082997641149,2.22827639113067
2038,45.1078591747432,33.962541818171,20.8976185409042,17.2965502489814,10.5558035564496,4.52328733044321,2.34217277557564
2039,45.2657576311632,34.3849519118169,21.4240982874689,17.8071704411148,10.9602041794647,4.73412358488181,2.46126093380228
2040,45.418876205348,34.8000134622786,21.9517244204463,18.3223366089415,11.3742989731731,4.95356536662422,2.58577130638885
2041,45.5673343673569,35.2076304134835,22.4800117577497,18.8415727809734,11.7978993000352,5.1818317367709,2.71593897209746
2042,45.7112503070116,35.6077220837587,23.0084792076291,19.3643946598118,12.2307893547763,5.41913283248702,2.85200318085225
2043,45.850740817221,36.0002226362802,23.5366513684064,19.8903114973417,12.6727265108678,5.66566847341553,2.9942068156594
2044,45.985921188995,36.3850805238532,24.0640600540322,20.4188279759398,13.1234418353166,5.9216267422658,3.14279578114512
2045,46.1169051175187,36.7622579127428,24.5902457374822,20.9494460813759,13.5826407694658,6.18718255017893,3.29801831688135
2046,46.2438046186717,37.131730090031,25.1147589051322,21.4816669536198,14.0500039716768,6.46249619836703,3.46012423425361
2047,46.3667299553895,37.4934848587142,25.6371613163828,22.0149927024486,14.5251883159808,6.74771194831535,3.62936407629908
2048,46.4857895732847,37.8475219244883,26.1570271639427,22.5489281755579,15.0078280390902,7.04295661350234,3.80598820070385
2049,46.6010900449577,38.1938522778876,26.6739441312974,23.0829826678097,15.4975360265768,7.34833818611245,3.99024578699239
2050,46.7127360224507,38.5324975751662,27.1875143449776,23.6166715612652,15.9939052275712,7.66394451257161,4.18238376986227
2051,46.8208301973138,38.8634895210248,27.6973552202905,24.149517886742,16.496510186049,7.98984203190892,4.3826457016053
2052,46.9254732677744,39.1868692560123,28.2031002001696,24.6810537987788,17.004908675657,8.32607459092795,4.59127054760123
2053,47.0267639125205,39.5026867511515,28.7043993877271,25.2108219570682,17.5186434241104,8.67266234994614,4.80849141995801
2054,47.1247987706299,39.811000212077,29.2009200739545,25.7383768086083,18.0372439124759,9.02960079242673,5.03453425548878
2055,47.219672427197,40.1118754947101,29.6923471628007,26.2632857660112,18.5602282341441,9.39685985118166,5.26961644534197
2056,47.3114774042294,40.40538553425,30.1783834965614,26.7851302785748,19.0871049979998,9.77438316297013,5.51394542471687
2057,47.4003041564084,40.6916097890244,30.6587500851349,27.3035067938577,19.6173752602045,10.1620874622623,5.76771723218328
2058,47.4862410713258,40.9706337005153,31.1331862432392,27.8180276085824,20.150534469123,10.5598621236948,6.03111504915626
2059,47.5693744738316,41.2425481706673,31.6014496401423,28.3283216087175,20.6860744082277,10.9675688613283,6.30430773103325
2060,47.6497886341427,41.5074490573856,32.0633162668298,28.8340348995524,21.2234851223037,11.3850415912533,6.58744834235828
2061,47.7275657793871,41.7654366889468,32.5185803258362,29.334831327458,21.7622568129242,11.8120864623921,6.88067270911225
2062,47.8027861082715,42.0166153978761,32.9670540491802,29.8303928958302,22.3018816899669,12.2484820585574,7.18409800181955
2063,47.8755278085811,42.2610930746846,33.4085674500044,30.3204200784331,22.8418557668648,12.6939797729605,7.49782136358744
2064,47.9458670772363,42.4989807417187,33.8429680135956,30.8046320339878,23.3816805883157,13.1483043544643,7.82191859743971
2065,48.0138781426492,42.7303921472425,34.2701203334955,31.2827667263958,23.9208648802942,13.6111546229687,8.15644292735409
2066,48.0796332891363,42.955443379755,34.6899056983715,31.7545809554449,24.4589261133893,14.0822043494379,8.50142384725263
2067,48.1432028831616,43.1742525024393,35.1022216352458,32.2198503032151,24.9953919717172,14.5611032942603,8.85686607181888
2068,48.2046554011994,43.3869392075454,35.5069814145494,32.6783690016946,25.5298017209036,15.0474783959031,9.22274860242146
2069,48.2640574590157,43.5936244904264,35.9041135223112,33.1299497273253,26.0617074698852,15.5409351002119,9.59902392061246
2070,48.3214738421881,43.7944303428735,36.2935611045931,33.5744233283399,26.5906753225109,16.0410588192437,9.98561732064731
2071,48.376967537689,43.9894794653345,36.6752813890647,34.0116384908219,27.1162864161342,16.5474165072206,10.3824263912516
2072,48.4305997663757,44.1788949975435,37.0492450883639,34.441461349429,27.6381378455442,17.0595583400791,10.7893206554553
2073,48.4824300162379,44.362800267048,37.4154357896305,34.8637750486737,28.1558434716894,17.5770194841792,11.2061413757462
2074,48.5325160762667,44.5413185550784,37.773849334327,35.2784792605566,28.6690346156788,18.0993219390323,11.6327015300865
2075,48.5809140708192,44.7145728791776,38.1244931921779,35.6854896642068,29.1773606395049,18.6259764384229,12.0687859625171
2076,48.627678494361,44.8826857919837,38.4673858327724,36.0847373930014,29.6804894158055,19.1564843940254,12.5141517101717
2077,48.6728622464814,45.0457791955406,38.8025560980875,36.4761684544261,30.1781076897652,19.690339865567,12.9685285065733
2078,48.716516667081,45.2039741704997,39.1300425789026,36.8597431276967,30.6699213369561,20.2270315417329,13.4316194591189
2079,48.7586915716428,45.3573908195703,39.4498929977942,37.2354353439024,31.155655521513,20.7660447163637,13.9031018967113
2080,48.7994352865041,45.5061481245695,39.7621636011235,37.6032320531525,31.6350547595543,21.3068632450209,14.3826283815995
2081,48.8387946840537,45.6503638164279,40.0669185621638,37.9631325829195,32.1078828931746,21.8489714676947,14.86982787768
2082,48.8768152177865,45.7901542575091,40.3642293972559,38.3151479914754,32.573922980671,22.3918560842759,15.3643070658137
2083,48.9135409571538,45.9256343356087,40.6541743966363,38.6593004200143,33.0329771089116,22.9350079703783,15.8656517951582
2084,48.9490146221526,46.05691736901,40.936838071347,38.9956224467575,33.4848661339255,23.477923922184,16.3734286581289
2085,48.9832776176038,46.1841150219846,41.2123106174185,39.324156446035,33.9294293558907,24.0201083201382,16.8871866754003
2086,49.016370067075,46.3073372301411,41.480687398308,39.6449539550463,34.3665241347235,24.5610747025482,17.4064590763617
2087,49.0483308464063,46.4266921350398,41.7420684463847,39.9580750507176,34.7960254524435,25.1003472414018,17.9307651596578
2088,49.0791976168037,46.5422860275106,41.9965579840736,40.2635877387967,35.2178254283976,25.6374621140052,18.4596122178842
2089,49.1090068574688,46.6542232991269,42.2442639651046,40.5615673570609,35.6318327932936,26.1719687653204,18.9924975101704
2090,49.1377938977373,46.7626064013095,42.4852976361657,40.8520959942623,36.0379723278126,26.7034310571486,19.5289102662675
2091,49.1655929487007,46.8675358115522,42.7197731191159,41.1352619261954,36.4361842713579,27.231428301534,20.0683337058618
2092,49.1924371342928,46.9691100062829,42.9478070137957,41.411159070045,36.8264237062534,27.7555561769393,20.6102470571389
2093,49.2183585218203,47.0674254398921,43.169518021357,41.6798864579633,37.2086599224348,28.2754275268674,21.1541275591277
2094,49.243388151926,47.1625765294832,43.3850265879355,41.9415477306296,37.5828757673926,28.7906730416426,21.6994524330262
