"Year","A","B","C","D","E","F","G"
2020,41.3090342350528,25.3129734430494,12.1487542676044,9.33104925100583,4.99325548109307,1.92816216666961,0.887859101922117
2021,41.6243777009331,25.8554336540164,12.5809533486874,9.69846379937167,5.21663508758132,2.02089462407305,0.941512106878497
2022,41.9320938893409,26.3956006982028,13.0223843844347,10.0756431338789,5.44875764807365,2.11778617281286,0.996840532357262
2023,42.2321878926225,26.9331764461745,13.4728009122989,10.4630901593084,5.6900041444669,2.21905274140774,1.05384262657991
2024,42.5247468462734,27.4679898321652,13.9319329204235,10.8607525161918,5.94061301616532,2.32490111493923,1.11260552393515
2025,42.8098637941197,27.9996166369204,14.3994854859927,11.2685146404005,6.20077983328764,2.43554412610556,1.17362890857406
2026,43.0876371522,28.527628873898,14.8751395947826,11.6862337078077,6.47068755544172,2.55120045619576,1.2371333955573
2027,43.3581701922431,29.0516405233161,15.3585531095361,12.1137395114514,6.7505050843717,2.6720943812889,1.30326127921664
2028,43.6215705453926,29.5712822180096,15.849361880031,12.5508345015683,7.04038581841141,2.79845546002184,1.37216036960812
2029,43.8779497266572,30.0862018520288,16.3471809862187,12.9972939914366,7.34046622130439,2.93051815940925,1.44398420156463
2030,44.1274226804086,30.5960650830897,16.8516061044486,13.4528665301953,7.65086441855879,3.06852141541049,1.51889221961974
2031,44.3701073471052,31.1005557313701,17.3622149855717,13.9172744420013,7.97167883496174,3.21270812522387,1.59704993739128
2032,44.6061242512917,31.5993760778373,17.8785690326579,14.3902145290688,8.30298688716325,3.36332456865414,1.67862906955915
2033,44.835596110804,32.0922470658985,18.4002149651837,14.8713589343454,8.64484374534109,3.52061975634785,1.76380763417397
2034,45.0586474670098,32.5789084106884,18.9266865558489,15.3603561578412,8.99728117786165,3.68484470322464,1.85277002268507
2035,45.2754043358181,33.059118620748,19.4575064256826,15.8568322189734,9.36030649255077,3.85625162605294,1.94570703477326
2036,45.4859938791149,33.5326549372035,19.9921878827908,16.3603919557415,9.73390158767728,4.03509306482366,2.04281587481484
2037,45.6905440962061,33.9993131958369,20.5302367899878,16.8706204501403,10.118022125032,4.22162092836412,2.14430010658861
2038,45.8891835347952,34.4589076176411,21.0711534466282,17.3870845679594,10.5125968365588,4.41608546550123,2.25036956266954
2039,46.082041020966,34.9112705335869,21.6144344702189,17.9093346000411,10.9175269748735,4.618734164021,2.36124020483435
2040,46.2692454076019,35.3562520493975,22.159574663812,18.4369059911688,11.332685916701,4.82981058067284,2.47713393173962
2041,46.4509253406377,35.7937196561347,22.7060688557702,18.9693211420683,11.7579189267947,5.04955310651888,2.59827833012744
2042,46.6272090425124,36.2235577923536,23.2534136992145,19.5060912695088,12.1930430882875,5.27819367301889,2.72490636587136
2043,46.7982241121696,36.6456673634887,23.8011094193117,20.0467183092048,12.6378474036965,5.5159564053525,2.85725601130295
2044,46.9640973409407,37.059965223997,24.3486614975111,20.5906968461401,13.0920930689834,5.76305623059674,2.99556980546079
2045,47.1249545436315,37.4663836276072,24.8955822828711,21.1375160570454,13.5555139211952,6.01969744947642,3.14009434418469
2046,47.280920404134,37.8648696508205,25.4413925217153,21.6866616500703,14.027817058301,6.2860722814683,3.29107969734272
2047,47.4321183348802,38.2553845945738,25.9856227980038,22.2376177871654,14.5086836279446,6.56235939404443,3.4487787509298
2048,47.5786703494607,38.6379033687243,26.5278148779718,22.7898689753342,14.9977697799635,6.84872242776266,3.61344647231745
2049,47.7206969477377,39.0124138637457,27.0675229537667,23.3429019136952,15.4947077757357,7.14530852973055,3.78533909756514
2050,47.8583170127907,39.378916313744,27.6043147819849,23.8962072842072,15.9991072457166,7.45224690866076,3.96471324042305
2051,47.9916477190459,39.7374226546124,28.13777271415,24.449281474923,16.5105565849635,7.76964742527982,4.15182492346297
2052,48.1208044509559,40.0879558808548,28.6674946172829,25.0016282257347,17.0286244750239,8.09759923222965,4.34692853266188
2053,48.2459007316104,40.4305494043118,29.1930946837682,25.5527601877362,17.5528615193249,8.43616947779388,4.55027569772548
2054,48.3670481606781,40.7652464177329,29.7142041307147,26.1022003885337,18.0828019781415,8.78540208777741,4.76211410146757
2055,48.4843563610979,41.0920992658564,30.2304717899333,26.6494835970601,18.6179655883765,9.14531663965458,4.98268622264254
2056,48.5979329339576,41.4111688263756,30.7415645905038,27.1941575826843,19.1578594527397,9.51590734267513,5.21222801775008
2057,48.707883421019,41.7225239029049,31.2471679366688,27.7357842646208,19.7019799824985,9.89714213697364,5.45096754847546
2058,48.8143112743689,42.0262406317976,31.7469859844766,28.2739407488379,20.249814877761,10.2889619238713,5.69912356257783
2059,48.9173178326978,42.3224019044233,32.2407418211915,28.8082202508027,20.8008451292614,10.6912799384954,5.95690403717258
2060,49.0170023037281,42.6110968062759,32.728177552,29.3382329034967,21.3545470258318,11.1039812745835,6.22450469444912
2061,49.113461752337,42.8924200740661,33.2090542989687,29.8636064511509,21.9103941521424,11.5269225699032,6.50210750090063
2062,49.2067910939387,43.1664715717415,33.6831521175515,30.3839868301033,22.4678593618821,11.9599318591245,6.7898791620931
2063,49.2970830927138,43.4333557861903,34.1502698362067,30.8990386390426,23.0264167122905,12.4028085992555,7.08796962584374
2064,49.3844283642934,43.6931813432007,34.6102248248736,31.4084455016852,23.5855433468433,12.8553238709194,7.39651060739111
2065,49.4689153825255,43.9460605440888,35.0628526981742,31.9119103256189,24.1447213138985,13.3172207568462,7.71561415069835
2066,49.550630489973,44.1921089232555,35.5080069592583,32.40915546165,24.7034393102209,13.7882148970019,8.04537124041781
2067,49.6296579118102,44.4314448267976,35.9455585902014,32.8999227684979,25.2611943394901,14.2679952178218,8.38585047924175
2068,49.7060797728058,44.6641890121737,36.3753955948022,33.3839735881005,25.8174932771388,14.7562248310793,8.73709684535599
2069,49.7799761170957,44.8904642688171,36.797422499518,33.8610886371324,26.371854334146,15.2525420960497,9.09913054449035
2070,49.8514249304706,45.1103950594889,37.2115598181207,34.3310678205839,26.9238084137025,15.7565618368379,9.47194597061552
2071,49.9205021649167,45.3241071820768,37.6177434854713,34.7937299734278,27.4729003559519,16.267876705077,9.85551078866736
2072,49.9872817651664,45.5317274514699,38.0159242655884,35.2489125364998,28.0186900672734,16.7860586766796,10.2497651517916
2073,50.051835697031,45.7333834010764,38.4060671389433,35.6964711727536,28.5607535317989,17.310660669976,10.6546210644996
2074,50.114233977303,45.9292030034904,38.7881506736509,36.1362793300235,29.0986837040267,17.8412182714065,11.0699619018233
2075,50.1745447050285,46.1193144097716,39.1621663849446,36.5682277563491,29.6320912825007,18.3772515539814,11.4956420930727
2076,50.2328340939661,46.3038457067599,39.5281180870347,36.9922239737826,30.1606053655573,18.9182669729751,11.9314869771511
2077,50.2891665060591,46.4829246918163,39.8860212411534,37.408191716431,30.6838739910872,19.4637593228012,12.3772928346016
2078,50.3436044857636,46.6566786643574,40.2359023032904,37.8160703382734,31.2015645631217,20.0132137387167,12.8328270996656
2079,50.3962087950827,46.8252342335317,40.5777980748225,38.2158141960595,31.713364168817,20.5661077269244,13.2978287536709
2080,50.4470384491727,46.9887171413744,40.9117550589495,38.6073920123278,32.2189797900851,21.1219132067818,13.7720088990594
2081,50.4961507523931,47.1472521007692,41.2378288255534,38.9907862233047,32.7181384146909,21.6800985491609,14.255051511346
2082,50.5436013346867,47.3009626475424,41.5560833868219,39.3659923161461,33.2105870521226,22.2401305955366,14.7466143643173
2083,50.589444188181,47.4499710060176,41.8665905857019,39.7330181596789,33.6960926599266,22.8014766430818,15.2463301218513
2084,50.6337317039153,47.5943979673615,42.1694294989897,40.0918833324884,34.1744419865035,23.3636063819043,15.7538075879062
2085,50.6765147086025,47.7343627800611,42.4646858566168,40.4426184518854,34.6454413365767,23.9259937715524,16.2686331045232
2086,50.7178425013454,47.869983051883,42.752451478455,40.7852645069732,35.1089162656816,24.4881188450149,16.7903720861332
2087,50.7577628902312,48.001374662677,43.0328237297443,41.1198721987325,35.5647112100916,25.0494694296346,17.3185706770787
2088,50.79632222874,48.1286516874032,43.3059049960407,41.4465012897368,36.0126890585922,25.6095427756071,17.8527575180837
2089,50.8335654519022,48.2519263287768,43.5718021783899,41.7652199658264,36.452730672453,26.1678470840401,18.3924456064332
2090,50.8695361121541,48.3713088589434,43.8306262092537,42.0761042117841,36.8847343598315,26.7239029278677,18.9371342338786
2091,50.9042764148388,48.4869075696166,44.0824915895575,42.3792372027936,37.3086153106786,27.2772445602389,19.4863109857683
2092,50.9378272533108,48.5988287301292,44.3275159470737,42.6747087132033,37.724304998012,27.8274211063057,20.0394537846154
2093,50.9702282436029,48.7071765528705,44.5658196162254,42.9626145438822,38.1317505511868,28.373997635607,20.5960329612539
2094,51.0015177586227,48.8120531656022,44.7975252392715,43.2430559692292,38.5309141065254,28.9165561134689,21.1555133368974
2095,51.0317329618466,48.913558590167,45.0227573887268,43.5161392046856,38.9217721403805,29.454696230998,21.7173562997804
2096,51.0609098404851,49.0117907271266,45.2416422107728,43.7819748954102,39.3043147894018,29.9880361143318,22.2810218606291
2097,51.089083238096,49.1068453458836,45.4543070893343,44.0406776265945,39.6785451624571,30.516212914813,22.8459706719449
2098,51.1162868866271,49.1988160798674,45.6608803304173,44.2923654557343,40.044478648338,31.038883282665,23.4116659969829
2099,51.1425534378698,49.2877944263805,45.8614908662466,44.5371594670225,40.4021422230494,31.5557237275686,23.9775756153398
2100,51.1679144943107,49.3738697507272,46.0562679786828,44.7751833478963,40.751573760158,32.0664308702576,24.5431736532069
