"Year","World"
2020,12.7874152059295
2021,13.0493851582804
2022,13.3153858292736
2023,13.5856799136354
2024,13.8605962926325
2025,14.1403609143075
2026,14.4250508936817
2027,14.7146037162462
2028,15.0089510231583
2029,15.307966547313
2030,15.6115312290683
2031,15.919597041873
2032,16.2321126533198
2033,16.5489390209134
2034,16.8699084894855
2035,17.1948624083259
2036,17.5236671147264
2037,17.8562067679736
2038,18.1923602239855
2039,18.5320080069146
2040,18.8750184584075
2041,19.2212392807973
2042,19.570504105266
2043,19.9226448723542
2044,20.2774878521652
2045,20.6348563413087
2046,20.9945744663303
2047,21.3564652550012
2048,21.7203490480458
2049,22.0860442261757
2050,22.4533675677161
2051,22.8221331722729
2052,23.1921564535645
2053,23.5632571254812
2054,23.9352572317176
2055,24.3079787091637
2056,24.681240494329
2057,25.0548650473644
2058,25.4286847744611
2059,25.802537849513
2060,26.1762631308011
2061,26.5496929932712
2062,26.9226631502866
2063,27.2950236939889
2064,27.6666298533379
2065,28.0373345070867
2066,28.4069876211959
2067,28.775434713078
2068,29.1425208042163
2069,29.5080915357858
2070,29.8720000867838
2071,30.2341120991956
2072,30.5942985681821
2073,30.9524269231865
2074,31.3083675528298
2075,31.6619973912044
2076,32.0132014499874
2077,32.3618724647163
2078,32.7079089979418
2079,33.0512148354322
2080,33.3916955929578
2081,33.7292549534172
2082,34.0637987323558
2083,34.3952402107677
2084,34.7234963461009
2085,35.0484851397749
2086,35.3701216323807
2087,35.6883233698918
2088,36.0030124895395
2089,36.3141140026499
2090,36.6215524433093
2091,36.9252519569818
2092,37.2251369862771
2093,37.52113364612
2094,37.8131697573253
2095,38.1011769200519
2096,38.3850894948284
2097,38.6648457495075
2098,38.940387669938
2099,39.2116607345065
2100,39.4786142157893
