"Year","World"
2020,12.7874152059295
2021,13.0561010039071
2022,13.3288882591332
2023,13.6060466907283
2024,13.8879025377244
2025,14.1746966056658
2026,14.4665207206535
2027,14.7633230364216
2028,15.0650457292326
2029,15.3715722875714
2030,15.6827931608674
2031,15.9986705925327
2032,16.3191635458484
2033,16.6441417807119
2034,16.9734455008627
2035,17.3069234992943
2036,17.6444494991474
2037,17.9859149737197
2038,18.3312055931811
2039,18.6802083040228
2040,19.0327971119095
2041,19.3888243270287
2042,19.7481271661767
2043,20.1105403808173
2044,20.4758921547687
2045,20.844006877068
2046,21.2147090546329
2047,21.5878213514635
2048,21.9631629454413
2049,22.3405502677748
2050,22.7197973491502
2051,23.1007147006581
2052,23.4831135024029
2053,23.866808782372
2054,24.2516174068922
2055,24.6373555873735
2056,25.0238359068554
2057,25.4108741428256
2058,25.7982960437847
2059,26.1859330721672
2060,26.573617178292
2061,26.9611733408804
2062,27.3484298831796
2063,27.7352301042742
2064,28.1214226841467
2065,28.5068538589788
2066,28.8913668501369
2067,29.2748002517502
2068,29.65699220494
2069,30.0377815945292
2070,30.4170153744309
2071,30.7945538134713
2072,31.1702629992012
2073,31.5440053926341
2074,31.9156467139304
2075,32.2850597410529
2076,32.6521259289416
2077,33.0167350326494
2078,33.3787830746685
2079,33.7381716736359
2080,34.0948043796698
2081,34.4485825800154
2082,34.7994097923502
2083,35.1471973401278
2084,35.4918602513147
2085,35.8333143672435
2086,36.1714719771012
2087,36.506247601694
2088,36.8375601924729
2089,37.1653312449817
2090,37.4894811866027
2091,37.8099294338935
2092,38.1265950983426
2093,38.4393984310405
2094,38.7482608294601
2095,39.0531070501808
2096,39.3538641035465
2097,39.6504624911961
2098,39.9428360137055
2099,40.2309215311175
2100,40.5146593183851
