"Year","A","B","C","D","E","F","G"
2020,41.3090342350528,25.3129734430494,12.1487542676044,9.33104925100583,4.99325548109307,1.92816216666961,0.887859101922117
2021,42.0563792186424,25.9037302538519,12.5440441640946,9.67196782267571,5.21760670882282,2.0283083274205,0.94209194815983
2022,42.809810937323,26.5009897589613,12.9470754317493,10.0202006941548,5.44933955617455,2.13341915643161,0.998188692946793
2023,43.5692636381371,27.1049106019129,13.357829128235,10.3762929077997,5.68868901735368,2.24370029928041,1.05624382727621
2024,44.3347037780086,27.7157200683564,13.7762867131883,10.7403011779716,5.935749477584,2.35933954222065,1.11644455664376
2025,45.1060980458675,28.3333191805622,14.2024279380748,11.112219169313,6.19057801253043,2.48052051147703,1.17938467223476
2026,45.8834133655548,28.9576676703948,14.6362309630227,11.492037901223,6.4532258189395,2.60742216652231,1.24534857398432
2027,46.6666168983672,29.5887291420129,15.0776724681533,11.8797459106108,6.72373842265726,2.74021832971508,1.3145498279505
2028,47.4556760452658,30.2264672201399,15.5267277595273,12.275329408291,7.00215589428732,2.87907725782698,1.38720156281605
2029,48.2505584487694,30.8708455693104,15.9833708698465,12.6787724289578,7.28851307019664,3.02416125963214,1.46351649960301
2030,49.051231994553,31.5218279117914,16.4475746540587,13.0900569747263,7.58283977680587,3.1756263624354,1.54370681091347
2031,49.8576648127715,32.1793780442533,16.9193108800272,13.5091631522737,7.88516105632594,3.3336220292031,1.62798384734739
2032,50.669825279125,32.8434598532617,17.3985503144333,13.9360693036539,8.19549739232121,3.49829092685225,1.71655776207347
2033,51.4876820156855,33.5140373296599,17.8852628040832,14.3707521308851,8.51386493368689,3.6697687452671,1.80963705971547
2034,52.3112038914971,34.1910745819049,18.3794173527971,14.8131868144445,8.84027571582451,3.84818406575617,1.90742809208444
2035,53.1403600229692,34.8745358484196,18.8809821940558,15.2633471258163,9.1747378779811,4.03365827694422,2.01013452039595
2036,53.9751197740732,35.5643855090174,19.3899248595854,15.7212055342635,9.51725587588585,4.22630553551094,2.11795676116851
2037,54.815452756358,36.2605880954552,19.9062122440533,16.1867333080032,9.8678306889709,4.42623276873836,2.231091430824
2038,55.6613288287968,36.963108301166,20.4298106660517,16.6599006099753,10.2264600216015,4.63353971550338,2.34973080199131
2039,56.5127180974756,37.6719109902196,20.9606859255387,17.1406765884021,10.5931384978654,4.84831900214081,2.47406228259165
2040,57.369590915137,38.3869612055583,21.4988033579046,17.6290294623401,10.9678578495804,5.07065624949209,2.6042679269327
2041,58.2319178805863,39.1082241765505,22.0441278848267,18.1249266024275,11.3506070972797,5.30063020743369,2.74052398625603
2042,59.0996698379738,39.8356653259036,22.5966240620699,18.6283346070318,11.7413727240151,5.5383129132321,2.88300050447926
2043,59.972817875959,40.5692502759753,23.1562561243877,19.1392193739989,12.1401388418974,5.78376987018587,3.0318609632684
2044,60.8513333267667,41.3089448545195,23.7229880276703,19.6575461682064,12.5468873513536,6.03706024317761,3.18726197908749
2045,61.7351877651448,42.0547150999018,24.2967834884838,20.1832796851156,12.961598093135,6.29823706795661,3.34935305351945
2046,62.624353007228,42.8065272658171,24.8776060211357,20.7163841105166,13.3842489931585,6.56734747119634,3.51827637694909
2047,63.5188011093175,43.5643478255392,25.4654189724,21.2568231766526,13.814816200298,6.84443289861138,3.69416668465654
2048,64.4185043665828,44.3281434757333,26.0601855540268,21.8045602149076,14.2532742172778,7.12952934866585,3.87715116349061
2049,65.3234353116912,45.0978811398571,26.6618688731568,22.359558205231,14.6995960248405,7.42266760965536,4.06734940657644
2050,66.2335667133711,45.8735279711764,27.2704319607558,22.9217798224721,15.1537531993874,7.72387349819012,4.26487341295433
2051,67.1488715749156,46.6550513554207,27.8858377981797,23.4911874797855,15.6157160242994,8.03316809734466,4.46982762863691
2052,68.0693231326314,47.4424189131001,28.5080493419728,24.0677433692668,16.0854535951614,8.35056799296613,4.68230902529772
2053,68.9948948542362,48.2355985015065,29.1370295470002,24.6514094999677,16.5629339191193,8.67608550684582,4.90240721265041
2054,69.9255604372127,49.0345582164177,29.772741388008,25.2421477334351,17.0481240086024,9.00972892565674,5.1302045805287
2055,70.8612938071198,49.8392663935261,30.4151478797019,25.8399198169124,17.5409899696499,9.35150272474196,5.36577646671632
2056,71.8020691158675,50.6496916096069,31.0642120954276,26.4446874143331,18.0414970850758,9.70140778600393,5.60919134668762
2057,72.7478607399592,51.4658026834453,31.7198971845362,27.0564121352338,18.5496098927079,10.0594416092949,5.86051104158795
2058,73.698643278703,52.2875686765372,32.3821663885089,27.6750555617026,19.0652922589325,10.4255985168418,6.11979094099445
2059,74.6543915523983,53.1149588935797,33.0509830559147,28.3005792734787,19.5885074477713,10.7998698503586,6.38708023724014
2060,75.6150806004984,53.9479428827635,33.72631065627,28.9329448713092,20.1192181857132,11.1822441606019,6.66242216834562
2061,76.5806856797531,54.786490435883,34.4081127928633,29.5721139986649,20.6573867225161,11.5727073892187,6.94585426687479
2062,77.5511822623342,55.6305715882753,35.096353214608,30.2180483619117,21.2029748881872,11.9712430428115,7.23740861230515
2063,78.5265460339463,56.480156618599,35.7909958269814,30.8707097490295,21.7559441463451,12.3778323592165,7.53711208477366
2064,79.5067528919243,57.3352160484667,36.4920047021028,31.5300600469642,22.3162556441563,12.7924544660444,7.84498661832107
2065,80.4917789433225,58.1957206419382,37.1993440880046,32.1960612576946,22.8838702590339,13.2150865315838,8.16104945200657
2066,81.4816005029938,59.0616414048871,37.9129784171442,32.8686755130921,23.4587486422774,13.6457039082056,8.48531337749886
2067,82.4761940916642,59.9329495842484,38.6328723142026,33.5478650886461,24.0408512598244,14.0842802684405,8.81778698196717
2068,83.475536434003,60.8096166671563,39.3589906032141,34.2335924161229,24.6301384302775,14.5307877339247,9.15847488529494
2069,84.4796044566894,61.6916143799804,40.0912983140669,34.9258200952248,25.2265703603634,14.9851969974339,9.50737797082047
2070,85.4883752864799,62.5789146872682,40.8297606884149,35.6245109043097,25.8301071779709,15.4474774382354,9.86449360897197
2071,86.5018262482748,63.4714897906,41.5743431850351,36.3296278102284,26.44070896291,15.9175972310033,10.22981587331
