"Year","A","B","C","D","E","F","G"
2020,41.3090342350528,25.3129734430494,12.1487542676044,9.33104925100583,4.99325548109307,1.92816216666961,0.887859101922117
2021,42.0223358856563,25.878121278013,12.5286634031761,9.65958250557414,5.21081964819424,2.02608093952066,0.939971649509253
2022,42.741134137706,26.4491340461367,12.9156437051939,9.99477591734526,5.43522267267081,2.12873635300213,0.993978630823231
2023,43.4653657469658,27.0261453798202,13.3096754335957,10.3371556972182,5.66668053217338,2.23631268383346,1.04995261336847
2024,44.1950011193946,27.6093928540251,13.710739719226,10.6867896625634,5.90527996182818,2.34897601002227,1.10802748273504
2025,44.9300108717907,28.1987999186266,14.1188163323181,11.0436689589759,6.15106663398426,2.46688831304813,1.16874369789135
2026,45.6703658335213,28.7943222006544,14.5338837768203,11.4077825777758,6.40408119920471,2.59020705849446,1.2323995952937
2027,46.4160370479957,29.3959270521027,14.9559193802074,11.7791174903167,6.66435947500312,2.7190848130558,1.29918727875187
2028,47.1669957738987,30.0035818752067,15.3848993788937,12.1576587768121,6.93193263909369,2.85366890149024,1.36929868467161
2029,47.9232134861997,30.6172541369005,15.8207989993768,12.54338974968,7.20682742541552,2.99410110601131,1.44292546031936
2030,48.6846618769521,31.2369113822744,16.2635925352455,12.9362920714398,7.489066321379,3.1405174096018,1.52025872595242
2031,49.4513128558961,31.8625212470861,16.7132534201942,13.3363458672292,7.77866776496446,3.29304778380169,1.60148874685207
2032,50.2231385508791,32.4940514693813,17.169754297187,13.7435298320298,8.07564634047612,3.45181602068797,1.68680453737484
2033,51.000111308104,33.1314699002748,17.633067083919,14.1578213327158,8.38001297191776,3.61693960803529,1.77639341618449
2034,51.7822036922189,33.7747445139382,18.1031630347211,14.5791965050513,8.69177511310903,3.78852964602872,1.87044052948282
2035,52.569388486257,34.4238434168432,18.5800127990565,15.0076303457808,9.0109369338011,3.96669080339365,1.96912835708001
2036,53.3616386914387,35.0787348563014,19.0635864767546,15.4430967999641,9.33749950117951,4.15152131041183,2.07263621438306
2037,54.1589275268433,35.7393872283427,19.5538536701265,15.8855688437155,9.67146095625759,4.34311298599962,2.18113976173818
2038,54.9612284289621,36.4057690849705,20.050783533103,16.335018562513,10.0128166847692,4.54155129582744,2.29481053099005
2039,55.7685150511385,37.0778491408314,20.5543448175351,16.791417225247,10.3615594822624,4.74691543834901,2.41381547759245
2040,56.5807612629053,37.7555962793323,21.0645059167897,17.2547353541781,10.7176797131777,4.95927845557319,2.53831656511934
2041,57.3979411492249,38.4389795582395,21.5812349067734,17.7249427909749,11.0811654637692,5.17870736544063,2.66847038759076
2042,58.2200290096415,39.1279682147898,22.1044995845104,18.2020087590033,11.4520026887861,5.40526331274954,2.80442783365958
2043,59.0469993573498,39.8225316703429,22.634267504397,18.6859019220323,11.8301753518916,5.63900173570011,2.94633379542133
2044,59.878826918188,40.5226395346026,23.1705060122511,19.1765904395245,12.2156655598375,5.87997254528499,3.09432692342662
2045,60.7154866295603,41.2282616094335,23.7131822772707,19.6740420186697,12.6084536904573,6.12822031493491,3.24853942840996
2046,61.5569536392948,41.9393678922968,24.2622633220096,20.1782239633226,13.0085185145695,6.38378447802616,3.40909692930966
2047,62.4032033044415,42.6559285793299,24.8177160504763,20.6891032199938,13.4158373119136,6.64669953106336,3.57611834634805
2048,63.2542111900155,43.3779140680899,25.3795072744542,21.2066464210451,13.8303859812603,6.91699524056059,3.74971583727148
2049,64.1099530676909,44.1052949599829,25.9476037381415,21.7308199252308,14.2521391448576,7.19469685185236,3.92999477431244
2050,64.9704049144477,44.8380420623991,26.5219721411993,22.2615898557234,14.681070247388,7.47982529826884,4.11705375902623
2051,65.835542911178,45.5761263905698,27.1025791602973,22.7989221357556,15.1171516496198,7.77239740930426,4.31098467186291
2052,66.7053434412538,46.3195191691667,27.6893914692391,23.3427825220063,15.560354716947,8.07242611659158,4.5118727531502
2053,67.5797830890606,47.0681918336579,28.2823757577453,23.8931366358518,16.0106499030129,8.37992065666892,4.71979671207295
2054,68.4588386384998,47.8221160314356,28.8814987489715,24.4499499925997,16.4680068286182,8.6948867696822,4.93482886022547
2055,69.3424870714641,48.5812636227328,29.4867272158306,25.013188028815,16.9323943561137,9.01732689331481,5.1570352663725
2056,70.230705566287,49.345606681339,30.0980279961883,25.5828161278458,17.4037806594757,9.34724035136719,5.38647592916824
2057,71.1234714961708,50.1151174951312,30.7153680069949,26.158799643649,17.8821332902635,9.68462353652892,5.6232049647407
2058,72.0207624275957,50.88976856643,31.3387142574163,26.7411039230116,18.3674192396507,10.0294700869919,5.86727080623755
2059,72.9225561187106,51.6695326121939,31.9680338610196,27.3296943262605,18.8596049967218,10.3817710566481,6.11871641264125
2060,73.8288305177106,52.4543825640613,32.6032940470697,27.9245362465451,19.3586566032177,10.7415150786969,6.37757948438629
2061,74.7395637612011,53.2442915682516,33.2444621709876,28.5255951277766,19.8645397049108,11.1086885225616,6.64389268354271
2062,75.6547341725514,54.0392329853342,33.8915057240202,29.1328364813022,20.3772195997827,11.483275644073,6.91768385656188
2063,76.5743202602404,54.8391803898748,34.5443923421677,29.7462259013867,20.8966612831725,11.8652587289361,7.19897625780768
2064,77.4983007161944,55.6441075699674,35.2030898144117,30.3657290795722,21.4228294900569,12.2546182295363,7.48778877231545
2065,78.4266544141203,56.4539885266602,35.8675660902864,30.9913118179828,21.9556887346171,12.6513328951831,7.78413613642864
2066,79.3593604078353,57.2687974732828,36.5377892868316,31.6229400416354,22.4952033472418,13.0553798959176,8.08802915515865
2067,80.2963979295936,58.0885088346816,37.2137276949647,32.2605798098169,23.0413375091062,13.4667349400374,8.39947491529356
2068,81.2377463884129,58.913097246371,37.8953497853059,32.9041973265836,23.5940552844655,13.8853723855119,8.71847699344744
2069,82.1833853684006,59.7425375536057,38.5826242134902,33.5537589504349,24.1533206507897,14.311265345477,9.04503565839251
2070,83.1332946270824,60.57680481038,39.275519824998,34.2092312032122,24.7190975268645,14.7443857880091,9.37914806715179
2071,84.0874540937329,61.4158742783614,39.9740056595313,34.8705807782692,25.2913497989739,15.1847046303882,9.72080845445105
2072,85.0458438677094,62.259721425761,40.6780509549664,35.5377745479584,25.8700413452779,15.6321918280646,10.0700083152357
2073,86.0084442167913,63.108321926148,41.3876251509064,36.2107795704757,26.4551360584883,16.086816458546,10.4267365800527
2074,86.9752355755244,63.9616516572122,42.1026978918597,36.8895630961024,27.0465978669444,16.5485468004234,10.790979783178
2075,87.946198543571,64.8196866994781,42.8232390300678,37.5740925728822,27.6443907541829,17.0173504077543,11.1627222234428
2076,88.9213138840682,65.682403334976,43.5492186280035,38.2643356517677,28.2484787770917,17.493194180016,11.5419461177696
2077,89.9005625219923,66.5497780458732,44.2806069605604,38.9602601912699,28.8588260827319,17.9760444278431,11.9286317474807
2078,90.883925542533,67.4217875130688,45.0173745169538,39.6618342616424,29.47539692391,18.4658669347533,12.3227575974863
2079,91.8713841894758,68.2984086147559,45.7594920023506,40.3690261486277,30.0981556735733,18.9626270150651,12.7243004884904
2080,92.8629198635938,69.1796184249552,46.5069303392463,41.0818043567963,30.7270668381027,19.4662895682011,13.133235702385
2081,93.8585141210501,70.0653942120202,47.259660668604,41.8001376125011,31.362095069569,19.9768191295679,13.5495371010231
2082,94.8581486718097,70.9557134371211,48.017654350773,42.5239948664748,32.0032051770165,20.4941799181923,13.9731772385792
2083,95.8618053780633,71.8505537527056,48.780882966199,43.2533452960911,32.6503621368345,21.0183358812918,14.4041274677198
2084,96.8694662526616,72.749893000943,49.5493183159408,43.9881583073131,33.3035311022727,21.5492507359454,14.842358039814
2085,97.8811134575617,73.6537092121507,50.3229324220077,44.7284035363473,33.9626774121543,22.0868880080274,15.2878381994209
2086,98.8967293022849,74.5619806032074,51.1016975275259,45.4740508510249,34.6277665988364,22.6312110685568,15.7405362732949
2087,99.9162962423872,75.4746855759549,51.8855860967496,46.2250703519263,35.2987643954662,23.1821831676097,16.2004197541475
2088,100.939796877942,76.3918027155885,52.6745708149246,46.9814323732674,35.9756367425763,23.7397674659349,16.6674553794065
2089,101.967213952037,77.313310789041,53.4686245880155,47.7431074835625,36.6583497940614,24.3039270644051,17.1416092052085
2090,102.99853034928,78.2391887433587,54.2677205423061,48.5100664860797,37.346869922576,24.8746250314305,17.6228466758559
2091,104.033729094321,79.1694157040729,55.0718320238817,49.2822804191028,38.0411637243906,25.4518244284545,18.1111326889671
2092,105.07279335039,80.1039709735691,55.880932598002,50.0597205560124,38.7411980237399,26.0354883336456,18.6064316565388
2093,106.115706417843,81.0428340294521,56.694996048372,50.8423584051998,39.4469398766976,26.6255798638929,19.1087075621352
2094,107.162451732723,81.985984522912,57.5139963763186,51.6301657098244,40.1583565746074,27.2220621952075,19.6179240144106
2095,108.213012865335,82.93340227709,58.3379077998808,52.4231144474261,40.8754156470993,27.8248985816253,20.1340442971638
2096,109.267373518839,83.8850672854455,59.1667047528178,53.221176829404,41.5980848647193,28.4340523727036,20.6570314161169
2097,110.32551752785,84.8409597101266,60.0003618835445,54.0243253003687,42.3263322411975,29.0494870296966,21.1868481425988
2098,111.387428857054,85.801059880343,60.8388540539966,54.8325325373808,43.0601260353777,29.6711661404913,21.7234570543122
2099,112.45309159984,86.7653482907447,61.682156338434,55.645771449081,43.7994347528338,30.2990534333803,22.2668205733474
2100,113.522489976945,87.7338055998048,62.5302440221854,56.464015174722,44.5442271471913,30.9331127897435,22.8169010016054
