"Year","World"
2020,12.7874152059295
2021,13.0904169807237
2022,13.3980357354909
2023,13.7104941959333
2024,14.0281367526
2025,14.3512544479497
2026,14.6799800245148
2027,15.0143098054077
2028,15.3542400091012
2029,15.699711706345
2030,16.0506803686964
2031,16.4071885929332
2032,16.7692871838099
2033,17.1369383453122
2034,17.5100792761667
2035,17.8886644390354
2036,18.2726851927258
2037,18.6621634225964
2038,19.0571255757496
2039,19.4576108383306
2040,19.8636537677148
2041,20.2752722117258
2042,20.6924746352956
2043,21.1152752793355
2044,21.5436882399257
2045,21.9777298900633
2046,22.4174219163834
2047,22.8627908299426
2048,23.31386775427
2049,23.7706870864536
2050,24.2332830383117
2051,24.7016852402689
2052,25.1759239345039
2053,25.656036129941
2054,26.142061395021
2055,26.6340384569523
2056,27.1320019083335
2057,27.6359882530374
2058,28.1460427850243
2059,28.662215011404
2060,29.1845527825565
2061,29.7130907788107
2062,30.2478652256187
2063,30.788930017483
2064,31.3363434441256
2065,31.8901537111085
2066,32.4503982075179
2067,33.0170961729476
2068,33.5902541644311
2069,34.1698675245389
2070,34.7559357676131
2071,35.3484741200212
2072,35.947502150903
2073,36.553022942881
2074,37.1650361259169
2075,37.78354314186
2076,38.4085519878506
2077,39.0400754338956
2078,39.6781281799859
2079,40.3227274550968
2080,40.9738887774199
2081,41.6316219617995
2082,42.2959336821008
2083,42.9668352138743
2084,43.6443383980149
2085,44.3284539441432
2086,45.0191827069296
2087,45.7165290047129
2088,46.4205035593449
2089,47.1311213508766
2090,47.8483872875125
2091,48.5722948423585
2092,49.3028256144336
2093,50.0399535943527
2094,50.7836446748779
2095,51.533864710501
2096,52.2905751798688
2097,53.0537373507251
2098,53.823310601501
2099,54.5992527405813
2100,55.3815187684333
