"Year","World"
2020,12.7874152059295
2021,13.0764346440936
2022,13.3695916976326
2023,13.667112312459
2024,13.9693347541851
2025,14.2765463941432
2026,14.5888765037589
2027,14.9063186062866
2028,15.2288663316908
2029,15.5564587500247
2030,15.8890495946455
2031,16.2266793611809
2032,16.5693967788701
2033,16.9171628303581
2034,17.2699140013867
2035,17.6276041634024
2036,17.9902239196875
2037,18.3577941995847
2038,18.7303405279412
2039,19.1079010780568
2040,19.4905094859323
2041,19.8781829398353
2042,20.2709294482736
2043,20.6687628001423
2044,21.0716967155375
2045,21.4797472314849
2046,21.8929356620111
2047,22.3112881464027
2048,22.7348354656491
2049,23.1636116885516
2050,23.5976507095889
2051,24.0369818978374
2052,24.4816352163213
2053,24.9316473028164
2054,25.3870573107722
2055,25.8479035818824
2056,26.3142204519584
2057,26.7860441313234
2058,27.2634193926323
2059,27.7463951067125
2060,28.2350185354621
2061,28.7293240930511
2062,29.2293477493677
2063,29.7351427415433
2064,30.2467666021035
2065,30.7642669933023
2066,31.2876810295435
2067,31.8170280897377
2068,32.3523151742689
2069,32.8935383602588
2070,33.4406978552563
2071,33.9938092498998
2072,34.5528924340827
2073,35.1179512620289
2074,35.6889862742585
2075,36.2659997902604
2076,36.8490005276362
2077,37.4380018272808
2078,38.0330188881047
2079,38.6340693591749
2080,39.2411692543998
2081,39.8543291382
2082,40.4735565335928
2083,41.0988633732695
2084,41.7302621296447
2085,42.3677642270299
2086,43.0113716055659
2087,43.6610896473424
2088,44.3169299759653
2089,44.9789084039843
2090,45.6470309813053
2091,46.3212926856628
2092,47.0016769938812
2093,47.6881600431909
2094,48.3807101600312
2095,49.0792957031133
2096,49.7838808469227
2097,50.4944296311157
2098,51.2109043242288
2099,51.9332657520972
2100,52.6614720770974
