WBEconomicGroup,year,projectionyear,projectionmonth,yearsaheadproj,pcgdppppgrowthproj,populationproj,gdppppproj,pcgdppppproj
High income,2004,2003,10,1,1.1173398083681008,NA,NA,NA
Low income,2004,2003,10,1,3.630862955425762,NA,NA,NA
Lower-middle income,2004,2003,10,1,1.7384197481989716,NA,NA,NA
Upper-middle income,2004,2003,10,1,3.347750926990045,NA,NA,NA
NA,2004,2003,10,1,0.5840011182183247,NA,NA,NA
World,2004,2003,10,1,1.4094364230304635,NA,NA,NA
High income,2005,2004,9,1,1.0570700011081513,NA,NA,NA
Low income,2005,2004,9,1,2.5166568882143636,NA,NA,NA
Lower-middle income,2005,2004,9,1,2.0803565961172055,NA,NA,NA
Upper-middle income,2005,2004,9,1,3.8158607514606757,NA,NA,NA
NA,2005,2004,9,1,0.24604193192043766,NA,NA,NA
World,2005,2004,9,1,1.6106412964019157,NA,NA,NA
High income,2006,2005,9,1,1.4976915798690982,NA,NA,NA
Low income,2006,2005,9,1,2.544766773143081,NA,NA,NA
Lower-middle income,2006,2005,9,1,3.0687823354492494,NA,NA,NA
Upper-middle income,2006,2005,9,1,4.187171410678836,NA,NA,NA
NA,2006,2005,9,1,0.7337650322318368,NA,NA,NA
World,2006,2005,9,1,2.0647739064010295,NA,NA,NA
High income,2007,2006,9,1,1.638783778215469,NA,NA,NA
Low income,2007,2006,9,1,3.0963579483194614,NA,NA,NA
Lower-middle income,2007,2006,9,1,3.4086179207530876,NA,NA,NA
Upper-middle income,2007,2006,9,1,5.258064105727023,NA,NA,NA
NA,2007,2006,9,1,1.1661904536905965,NA,NA,NA
World,2007,2006,9,1,2.6250518711743,NA,NA,NA
High income,2008,2007,10,1,1.507430878697491,NA,NA,NA
Low income,2008,2007,10,1,4.712363506182982,NA,NA,NA
Lower-middle income,2008,2007,10,1,5.36449163367827,NA,NA,NA
Upper-middle income,2008,2007,10,1,6.537714140986672,NA,NA,NA
NA,2008,2007,10,1,1.9000272658706407,NA,NA,NA
World,2008,2007,10,1,3.4064551948459254,NA,NA,NA
High income,2009,2008,10,1,0.8745547236367557,NA,NA,NA
High income,2010,2008,10,2,2.0365531987863505,NA,NA,NA
High income,2011,2008,10,3,2.207401396059261,NA,NA,NA
High income,2012,2008,10,4,2.2762349938229676,NA,NA,NA
High income,2013,2008,10,5,2.1898947298209848,NA,NA,NA
Low income,2009,2008,10,1,4.901916216042501,NA,NA,NA
Low income,2010,2008,10,2,5.049897344081433,NA,NA,NA
Low income,2011,2008,10,3,4.0495962443807265,NA,NA,NA
Low income,2012,2008,10,4,3.7304481195969075,NA,NA,NA
Low income,2013,2008,10,5,3.3679755055975313,NA,NA,NA
Lower-middle income,2009,2008,10,1,4.984469201222552,NA,NA,NA
Lower-middle income,2010,2008,10,2,5.0253400697252815,NA,NA,NA
Lower-middle income,2011,2008,10,3,4.593459970942071,NA,NA,NA
Lower-middle income,2012,2008,10,4,4.998076078261882,NA,NA,NA
Lower-middle income,2013,2008,10,5,5.216950877420423,NA,NA,NA
Upper-middle income,2009,2008,10,1,6.255940641192126,NA,NA,NA
Upper-middle income,2010,2008,10,2,5.91818874829535,NA,NA,NA
Upper-middle income,2011,2008,10,3,5.5969202968372045,NA,NA,NA
Upper-middle income,2012,2008,10,4,5.829198673598945,NA,NA,NA
Upper-middle income,2013,2008,10,5,6.0027513702504365,NA,NA,NA
NA,2009,2008,10,1,1.4734804032420001,NA,NA,NA
NA,2010,2008,10,2,1.6155791612398218,NA,NA,NA
NA,2011,2008,10,3,1.4658741104454975,NA,NA,NA
NA,2012,2008,10,4,1.7986199599670627,NA,NA,NA
NA,2013,2008,10,5,2.0861520592761806,NA,NA,NA
World,2009,2008,10,1,2.536246394487307,NA,NA,NA
World,2010,2008,10,2,3.1613617986886666,NA,NA,NA
World,2011,2008,10,3,3.1363397576944507,NA,NA,NA
World,2012,2008,10,4,3.3500635090943476,NA,NA,NA
World,2013,2008,10,5,3.4436843157575225,NA,NA,NA
High income,2010,2009,10,1,1.1372305602353805,NA,NA,NA
High income,2011,2009,10,2,1.2628887817037082,NA,NA,NA
High income,2012,2009,10,3,1.871923070684467,NA,NA,NA
High income,2013,2009,10,4,2.1710559592287737,NA,NA,NA
High income,2014,2009,10,5,1.9565378604685435,NA,NA,NA
Low income,2010,2009,10,1,2.9987141762533476,NA,NA,NA
Low income,2011,2009,10,2,2.3477348611319115,NA,NA,NA
Low income,2012,2009,10,3,3.1406267335441385,NA,NA,NA
Low income,2013,2009,10,4,3.364333538466102,NA,NA,NA
Low income,2014,2009,10,5,3.4317299499978304,NA,NA,NA
Lower-middle income,2010,2009,10,1,3.610921250746202,NA,NA,NA
Lower-middle income,2011,2009,10,2,3.3992486194149407,NA,NA,NA
Lower-middle income,2012,2009,10,3,4.2385694691068565,NA,NA,NA
Lower-middle income,2013,2009,10,4,4.893033831143967,NA,NA,NA
Lower-middle income,2014,2009,10,5,4.893344952463252,NA,NA,NA
Upper-middle income,2010,2009,10,1,5.114935145783228,NA,NA,NA
Upper-middle income,2011,2009,10,2,5.086738952598147,NA,NA,NA
Upper-middle income,2012,2009,10,3,5.957276388028454,NA,NA,NA
Upper-middle income,2013,2009,10,4,6.43824417540646,NA,NA,NA
Upper-middle income,2014,2009,10,5,6.288616172325412,NA,NA,NA
NA,2010,2009,10,1,0.9026723441003526,NA,NA,NA
NA,2011,2009,10,2,0.3755618791009496,NA,NA,NA
NA,2012,2009,10,3,1.2833961676355088,NA,NA,NA
NA,2013,2009,10,4,1.8102107447713678,NA,NA,NA
NA,2014,2009,10,5,1.741522519610328,NA,NA,NA
World,2010,2009,10,1,2.2151407491184827,NA,NA,NA
World,2011,2009,10,2,2.2682547776112116,NA,NA,NA
World,2012,2009,10,3,3.0304581001928454,NA,NA,NA
World,2013,2009,10,4,3.475263180075139,NA,NA,NA
World,2014,2009,10,5,3.352862798201528,NA,NA,NA
High income,2011,2010,10,1,0.8903893577636879,NA,NA,NA
High income,2012,2010,10,2,1.504416618620752,NA,NA,NA
High income,2013,2010,10,3,1.7634640479876396,NA,NA,NA
High income,2014,2010,10,4,1.8145928192470961,NA,NA,NA
High income,2015,2010,10,5,2.635911024812998,NA,NA,NA
Low income,2011,2010,10,1,2.6778498487141533,NA,NA,NA
Low income,2012,2010,10,2,3.318292514610821,NA,NA,NA
Low income,2013,2010,10,3,3.2754737389891098,NA,NA,NA
Low income,2014,2010,10,4,3.365892743991594,NA,NA,NA
Low income,2015,2010,10,5,4.314563183315112,NA,NA,NA
Lower-middle income,2011,2010,10,1,3.910689145067181,NA,NA,NA
Lower-middle income,2012,2010,10,2,4.119667679846728,NA,NA,NA
Lower-middle income,2013,2010,10,3,4.640773952556998,NA,NA,NA
Lower-middle income,2014,2010,10,4,4.793810800626375,NA,NA,NA
Lower-middle income,2015,2010,10,5,5.708791249076839,NA,NA,NA
Upper-middle income,2011,2010,10,1,5.034818406826069,NA,NA,NA
Upper-middle income,2012,2010,10,2,5.41482665004569,NA,NA,NA
Upper-middle income,2013,2010,10,3,5.747977376912772,NA,NA,NA
Upper-middle income,2014,2010,10,4,5.914239083499062,NA,NA,NA
Upper-middle income,2015,2010,10,5,6.858129571837068,NA,NA,NA
NA,2011,2010,10,1,0.48866770691819994,NA,NA,NA
NA,2012,2010,10,2,1.0333940380951034,NA,NA,NA
NA,2013,2010,10,3,1.5468712740428714,NA,NA,NA
NA,2014,2010,10,4,1.7515161699515502,NA,NA,NA
NA,2015,2010,10,5,2.805530240734022,NA,NA,NA
World,2011,2010,10,1,2.155534297393835,NA,NA,NA
World,2012,2010,10,2,2.6820935884009245,NA,NA,NA
World,2013,2010,10,3,3.0390288021914458,NA,NA,NA
World,2014,2010,10,4,3.175447676124854,NA,NA,NA
World,2015,2010,10,5,4.092345306633582,NA,NA,NA
High income,2012,2011,9,1,0.5182516296882156,NA,NA,NA
High income,2013,2011,9,2,0.7310357509688004,NA,NA,NA
High income,2014,2011,9,3,1.0911050616561724,NA,NA,NA
High income,2015,2011,9,4,2.3077435019635217,NA,NA,NA
High income,2016,2011,9,5,2.551372100752225,NA,NA,NA
Low income,2012,2011,9,1,1.5234473571726248,NA,NA,NA
Low income,2013,2011,9,2,1.6967968970093672,NA,NA,NA
Low income,2014,2011,9,3,1.961859535235444,NA,NA,NA
Low income,2015,2011,9,4,3.401713230527026,NA,NA,NA
Low income,2016,2011,9,5,3.8022832628204384,NA,NA,NA
Lower-middle income,2012,2011,9,1,3.4518092850918336,NA,NA,NA
Lower-middle income,2013,2011,9,2,3.6302961759590247,NA,NA,NA
Lower-middle income,2014,2011,9,3,4.0050820372945495,NA,NA,NA
Lower-middle income,2015,2011,9,4,5.20206627529749,NA,NA,NA
Lower-middle income,2016,2011,9,5,5.477506043801839,NA,NA,NA
Upper-middle income,2012,2011,9,1,4.724177400439977,NA,NA,NA
Upper-middle income,2013,2011,9,2,4.8481571159006975,NA,NA,NA
Upper-middle income,2014,2011,9,3,5.022819672152323,NA,NA,NA
Upper-middle income,2015,2011,9,4,6.194185889907544,NA,NA,NA
Upper-middle income,2016,2011,9,5,6.5213844433419155,NA,NA,NA
NA,2012,2011,9,1,1.3750230384941275,NA,NA,NA
NA,2013,2011,9,2,0.9347510062601927,NA,NA,NA
NA,2014,2011,9,3,1.2159354369190467,NA,NA,NA
NA,2015,2011,9,4,2.3988810647203707,NA,NA,NA
NA,2016,2011,9,5,2.6277084445473164,NA,NA,NA
World,2012,2011,9,1,1.8410828420892145,NA,NA,NA
World,2013,2011,9,2,2.0475973186137253,NA,NA,NA
World,2014,2011,9,3,2.38351397654899,NA,NA,NA
World,2015,2011,9,4,3.6212526056543126,NA,NA,NA
World,2016,2011,9,5,3.9320185810741037,NA,NA,NA
High income,2013,2012,10,1,0.5594702122294848,1.1395270810173692,43403.76216449314,38089.27658458304
High income,2014,2012,10,2,1.2717343043510354,1.1462723379508952,44219.47767243675,38576.76418457814
High income,2015,2012,10,3,2.610836364949165,1.1529305577814788,45652.82581088076,39597.20340722688
High income,2016,2012,10,4,2.8904874607713182,1.159543847429076,47261.218869651515,40758.457711140814
High income,2017,2012,10,5,2.272352555442403,1.1662157996575484,48625.643831233654,41695.23671820623
Low income,2013,2012,10,1,3.0709049579435543,0.46369575980192934,520.880214082846,1123.3232201764006
Low income,2014,2012,10,2,2.5497142599959055,0.4760706126864671,548.5918841544607,1152.3330143374235
Low income,2015,2012,10,3,3.9950598271702553,0.48858352787665066,585.9588932456048,1199.301367756176
Low income,2016,2012,10,4,4.262334589301808,0.5014176686603377,627.5365795219327,1251.5246644549904
Low income,2017,2012,10,5,3.706366604258804,0.5146182255359673,668.3764226394791,1298.7810953321268
Lower-middle income,2013,2012,10,1,3.0449578607083083,2.9497911631226867,11915.344623104515,4039.385829094009
Lower-middle income,2014,2012,10,2,3.4280543571085786,2.995717550003827,12522.875189081224,4180.258979710963
Lower-middle income,2015,2012,10,3,4.752971736418665,3.0423657388687624,13336.949420323348,4383.742970127715
Lower-middle income,2016,2012,10,4,5.104271610368372,3.0897205204335996,14253.839019536677,4613.310144160336
Lower-middle income,2017,2012,10,5,4.543659736997263,3.138268986516142,15150.804033341374,4827.758263691921
Upper-middle income,2013,2012,10,1,4.883153789304018,2.378555685472047,26493.33338513095,11138.412082151062
Upper-middle income,2014,2012,10,2,5.09775903309162,2.3935465712072292,28054.62379893475,11720.94336346457
Upper-middle income,2015,2012,10,3,6.167007544202896,2.4087997369193053,30029.371030892784,12466.528690881689
Upper-middle income,2016,2012,10,4,6.423845781502457,2.4240810749710318,32224.86373760172,13293.641070972353
Upper-middle income,2017,2012,10,5,5.845132333552172,2.4394426791416284,34381.090975100655,14093.830229779533
NA,2013,2012,10,1,1.1649996191332335,0.08710508893977689,1384.165297174586,15890.751206643923
NA,2014,2012,10,2,1.5920485309800725,0.08890633441119268,1435.4607163781623,16145.764257236635
NA,2015,2012,10,3,2.6386032467272003,0.09074185628968538,1504.2692391875246,16577.457203269874
NA,2016,2012,10,4,2.9147671473838344,0.0926116938928459,1580.6743863101483,17067.7623944448
NA,2017,2012,10,5,2.3463669505684237,0.09448864901047435,1650.9973265302337,17472.969968564328
World,2013,2012,10,1,1.9080149757011,7.01867477835381,83717.48568398604,11927.819471302175
World,2014,2012,10,2,2.4347506223861615,7.100513406259611,86781.02926098535,12221.796410451343
World,2015,2012,10,3,3.706396237625853,7.183421417735882,91109.37439453002,12683.284064273437
World,2016,2012,10,4,4.012772222528405,7.267374805386891,95948.132592622,13202.58486207442
World,2017,2012,10,5,3.4402278931093377,7.35303433986176,100476.9125888454,13664.686977476349
High income,2014,2013,10,1,1.3207639397494475,NA,NA,NA
High income,2015,2013,10,2,2.9445852086491087,NA,NA,NA
High income,2016,2013,10,3,3.1014680964402075,NA,NA,NA
High income,2017,2013,10,4,2.2509595341833943,NA,NA,NA
High income,2018,2013,10,5,1.6140531576352757,NA,NA,NA
Low income,2014,2013,10,1,4.218241138840373,NA,NA,NA
Low income,2015,2013,10,2,4.774423527137461,NA,NA,NA
Low income,2016,2013,10,3,4.28048072644609,NA,NA,NA
Low income,2017,2013,10,4,3.660502603001081,NA,NA,NA
Low income,2018,2013,10,5,3.1034680730877895,NA,NA,NA
Lower-middle income,2014,2013,10,1,2.8339293259902476,NA,NA,NA
Lower-middle income,2015,2013,10,2,4.701470206132363,NA,NA,NA
Lower-middle income,2016,2013,10,3,4.83768174730308,NA,NA,NA
Lower-middle income,2017,2013,10,4,4.103532172005053,NA,NA,NA
Lower-middle income,2018,2013,10,5,3.651560209068805,NA,NA,NA
Upper-middle income,2014,2013,10,1,4.351670416046005,NA,NA,NA
Upper-middle income,2015,2013,10,2,5.674647108811293,NA,NA,NA
Upper-middle income,2016,2013,10,3,5.750040983207683,NA,NA,NA
