database,Entity,Code,Scenario,Year,pcgdpgrowth,EntityScenario,Grouping,Model
IMF,World,WBGroups,1-year projections,2004,1.4094364230304635,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2005,1.6106412964019157,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2006,2.0647739064010295,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2007,2.6250518711743,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2008,3.4064551948459254,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2009,2.536246394487307,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2010,3.1613617986886666,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2011,3.1363397576944507,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2012,3.3500635090943476,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2013,3.4436843157575225,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2010,2.2151407491184827,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2011,2.2682547776112116,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2012,3.0304581001928454,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2013,3.475263180075139,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2014,3.352862798201528,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2011,2.155534297393835,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2012,2.6820935884009245,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2013,3.0390288021914458,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2014,3.175447676124854,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2015,4.092345306633582,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2012,1.8410828420892145,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2013,2.0475973186137253,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2014,2.38351397654899,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2015,3.6212526056543126,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2016,3.9320185810741037,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2013,1.9080149757011,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2014,2.4347506223861615,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2015,3.706396237625853,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2016,4.012772222528405,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2017,3.4402278931093377,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2014,2.096437658318351,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2015,3.6685133029296324,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2016,3.8065759883259886,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2017,2.9948308711837512,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2018,2.4528378801363715,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2015,3.3549253304917315,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2016,3.5932570470066594,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2017,2.9586988372026113,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2018,2.4562413773367098,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2019,3.048540797089494,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2016,2.4426602302204614,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2017,2.4032410666738,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2018,2.264800359651531,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2019,3.068998421454161,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,5-year projections,2020,2.863475886678657,World IMF 5-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2017,2.4554837563693255,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2018,2.2732865110127065,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2019,2.9361041286030343,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,4-year projections,2020,2.6457651791712777,World IMF 4-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2018,2.4328730857750003,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2019,2.429203906975097,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,3-year projections,2020,2.4540610008150665,World IMF 3-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2019,2.4296150473320566,World IMF 1-year projections,NA,NA
IMF,World,WBGroups,2-year projections,2020,2.4421817477055185,World IMF 2-year projections,NA,NA
IMF,World,WBGroups,1-year projections,2020,2.2279222427775025,World IMF 1-year projections,NA,NA
NA,World,WBGroups,1-year projections,2003,NA,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2004,2.20407735767596,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2005,2.2760377116021857,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2006,2.3438790390791553,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2007,2.4161529952819727,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2008,2.4712530498467444,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2009,2.448004109962465,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2010,2.396099224074444,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2011,2.424601415903327,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2012,2.4049788898453883,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2013,2.3654337809824177,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2014,2.338202550529944,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2015,2.3152305389926298,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2016,2.283987358329176,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2017,2.2434890034032318,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2018,2.2137788305453654,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,1-year projections,2019,2.184652825954503,World Kuznets 1-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2003,NA,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2004,NA,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2005,2.2136502778831613,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2006,2.285844978633289,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2007,2.3477115791175507,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2008,2.4081206964698065,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2009,2.44937049335725,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2010,2.4184697693030888,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2011,2.366499442011527,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2012,2.3970273102236206,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2013,2.3808866380370386,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2014,2.346490015876146,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2015,2.322812622226955,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2016,2.3009310447384745,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2017,2.2696236990479957,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2018,2.2303885696098646,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,2-year projections,2019,2.2009735046319534,World Kuznets 2-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2003,NA,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2004,NA,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2005,NA,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2006,2.224543619492536,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2007,2.290854123462882,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2008,2.3409306608658476,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2009,2.3872056319226065,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2010,2.4194594558226257,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2011,2.3873899031894297,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2012,2.3404984667290574,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2013,2.3732238571748887,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2014,2.361965047372605,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2015,2.3309950523087597,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2016,2.3080628662637714,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2017,2.2856856162709605,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2018,2.2549478547695845,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,3-year projections,2019,2.2165573096040614,World Kuznets 3-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2003,NA,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2004,NA,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2005,NA,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2006,NA,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2007,2.230604482969012,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2008,2.285126085434852,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2009,2.321067380319919,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2010,2.358094940054878,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2011,2.387976364279165,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2012,2.3599136298897427,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2013,2.318140395438384,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2014,2.354595693631323,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2015,2.3464857848224607,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2016,2.316136586771833,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2017,2.2923684414150713,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2018,2.2700933896623976,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,4-year projections,2019,2.2394985661759126,World Kuznets 4-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2003,NA,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2004,NA,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2005,NA,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2006,NA,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2007,NA,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2008,2.2258401626216173,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2009,2.2661514172860553,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2010,2.2928699609641168,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2011,2.327317098398707,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2012,2.3601560254310705,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2013,2.3364868143827877,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2014,2.3010612074922054,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2015,2.339409586135499,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2016,2.331623961766738,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2017,2.300328525257056,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2018,2.276315096690329,World Kuznets 5-year projections,WB,Kuznets
NA,World,WBGroups,5-year projections,2019,2.253695938620348,World Kuznets 5-year projections,WB,Kuznets
NA,World,OWID_WRL,NA,1990,NA,World Observations,NA,NA
NA,World,OWID_WRL,NA,1991,-0.29654184141638673,World Observations,NA,NA
NA,World,OWID_WRL,NA,1992,0.021155740349598773,World Observations,NA,NA
NA,World,OWID_WRL,NA,1993,0.08624910075640813,World Observations,NA,NA
NA,World,OWID_WRL,NA,1994,1.2578222008874373,World Observations,NA,NA
NA,World,OWID_WRL,NA,1995,1.608549199364262,World Observations,NA,NA
NA,World,OWID_WRL,NA,1996,2.277207521976221,World Observations,NA,NA
NA,World,OWID_WRL,NA,1997,2.394113162994538,World Observations,NA,NA
NA,World,OWID_WRL,NA,1998,1.071476798649229,World Observations,NA,NA
NA,World,OWID_WRL,NA,1999,2.0995431205016235,World Observations,NA,NA
NA,World,OWID_WRL,NA,2000,3.3017816777648257,World Observations,NA,NA
NA,World,OWID_WRL,NA,2001,1.0020583573502329,World Observations,NA,NA
NA,World,OWID_WRL,NA,2002,1.406886735321633,World Observations,NA,NA
NA,World,OWID_WRL,NA,2003,2.4119621270143554,World Observations,NA,NA
NA,World,OWID_WRL,NA,2004,3.7047260518723313,World Observations,NA,NA
NA,World,OWID_WRL,NA,2005,3.2217245287831986,World Observations,NA,NA
NA,World,OWID_WRL,NA,2006,3.78079699876519,World Observations,NA,NA
NA,World,OWID_WRL,NA,2007,3.8212429301911044,World Observations,NA,NA
NA,World,OWID_WRL,NA,2008,1.4067917211903147,World Observations,NA,NA
NA,World,OWID_WRL,NA,2009,-1.87992650153741,World Observations,NA,NA
NA,World,OWID_WRL,NA,2010,3.7310034724117536,World Observations,NA,NA
NA,World,OWID_WRL,NA,2011,2.627749378045463,World Observations,NA,NA
NA,World,OWID_WRL,NA,2012,1.9412787725315184,World Observations,NA,NA
NA,World,OWID_WRL,NA,2013,2.0668275217098575,World Observations,NA,NA
NA,World,OWID_WRL,NA,2014,2.222970286165493,World Observations,NA,NA
NA,World,OWID_WRL,NA,2015,2.169033557950728,World Observations,NA,NA
NA,World,OWID_WRL,NA,2016,2.04018156631256,World Observations,NA,NA
NA,World,OWID_WRL,NA,2017,2.5768377604356907,World Observations,NA,NA
NA,World,OWID_WRL,NA,2018,2.3965052382434404,World Observations,NA,NA
NA,World,OWID_WRL,NA,2019,1.6597824268493433,World Observations,NA,NA
NA,World,OWID_WRL,NA,2020,-4.357452685408969,World Observations,NA,NA
