Entity,Code,Scenario,EntityScenario,Year,pcgdpthousand2005usd,pcgdpgrowth,fertility,EmploymentServices,EmploymentIndustry
World,OWID_WRL,Observations,World Observations,1990,7.552300025445248,NA,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1991,7.5299374694356676,-0.29654184141638673,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1992,7.531530651974029,0.021155740349598773,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1993,7.538029331558042,0.08624910075640813,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1994,7.6334431481219,1.2578222008874373,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1995,7.757223703395298,1.608549199364262,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1996,7.935898461404698,2.277207521976221,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1997,8.128185450666601,2.394113162994538,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1998,8.21574532609659,1.071476798649229,NA,NA,NA
World,OWID_WRL,Observations,World Observations,1999,8.390061965087211,2.0995431205016235,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2000,8.671707568793083,3.3017816777648257,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2001,8.759039969251996,1.0020583573502329,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2002,8.883140671920827,1.406886735321633,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2003,9.100003471577965,2.4119621270143554,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2004,9.44345638416063,3.7047260518723313,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2005,9.752652514909888,3.2217245287831986,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2006,10.128439619505011,3.78079699876519,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2007,10.52296172110244,3.8212429301911044,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2008,10.672044055703136,1.4067917211903147,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2009,10.473291525421189,-1.87992650153741,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2010,10.871431519969713,3.7310034724117536,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2011,11.160891985909993,2.627749378045463,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2012,11.37967271407612,1.9412787725315184,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2013,11.617318324370098,2.0668275217098575,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2014,11.878459652126015,2.222970286165493,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2015,12.138921974157011,2.169033557950728,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2016,12.389121607615525,2.04018156631256,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2017,12.712517976611688,2.5768377604356907,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2018,13.020854023675518,2.3965052382434404,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2019,13.23877537789097,1.6597824268493433,NA,NA,NA
World,OWID_WRL,Observations,World Observations,2020,12.674289912936752,-4.357452685408969,NA,NA,NA
World,WBGroups,IF,World IF,2017,13.24988530993077,NA,2.441,35.629601896917514,21.471359041557474
World,WBGroups,IF,World IF,2018,13.472428603250021,1.6656374827676235,2.427,35.638400915098195,21.49712033110811
World,WBGroups,IF,World IF,2019,13.57514089247429,0.7594973217444956,2.414,35.655487943533345,21.53367109025144
World,WBGroups,IF,World IF,2020,12.907511012516538,-5.043085362689181,2.41,35.66449049445585,21.639848485755145
World,WBGroups,IF,World IF,2021,13.446750530943953,4.092808968771955,2.405,35.58035846103877,21.870847727876694
World,WBGroups,IF,World IF,2022,13.883277760147097,3.194759641973688,2.398,35.626822157434404,22.040816326530614
World,WBGroups,IF,World IF,2023,14.16573655551384,2.0141053135805276,2.389,35.755309317971786,22.12712423098736
World,WBGroups,IF,World IF,2024,14.328364346785598,1.1414963238257414,2.38,35.90669376963425,22.21637834226499
World,WBGroups,IF,World IF,2025,14.525229567798782,1.3646014184805377,2.371,36.075036075036074,22.319358117023484
World,WBGroups,IF,World IF,2026,14.704976073941255,1.2298837309974608,2.36,36.237011140245,22.44835670981257
World,WBGroups,IF,World IF,2027,14.884722580083727,1.2149411810082444,2.348,36.390860327106395,22.583723659818126
World,WBGroups,IF,World IF,2028,15.064469086226199,1.2003573677914492,2.336,36.5508770312445,22.722552270736795
World,WBGroups,IF,World IF,2029,15.244215592368668,1.1861195257464097,2.323,36.70605395173248,22.86098084796615
World,WBGroups,IF,World IF,2030,15.432521455946498,1.2276939913655749,2.311,36.85787296372857,23.020381952644666
World,WBGroups,IF,World IF,2031,15.620827319524325,1.2128042813274398,2.299,37.00814494375235,23.173297402075505
World,WBGroups,IF,World IF,2032,15.817692540537509,1.2523986185037472,2.291,37.160317253933165,23.312963203744637
World,WBGroups,IF,World IF,2033,16.01455776155069,1.236907407246024,2.284,37.29544851191934,23.45025426371774
World,WBGroups,IF,World IF,2034,16.21998233999923,1.2745791242437132,2.276,37.46141423227099,23.569515710284765
World,WBGroups,IF,World IF,2035,16.42540691844777,1.2585378491173138,2.268,37.605797982869596,23.673407328569258
World,WBGroups,IF,World IF,2036,16.622272139460954,1.1914152843570225,2.26,37.754724996292396,23.761597261148577
World,WBGroups,IF,World IF,2037,16.83625607534485,1.2791169537789138,2.252,37.892678156704555,23.840456608019075
World,WBGroups,IF,World IF,2038,17.041680653793385,1.2127485675136995,2.243,38.03843441030527,23.898382685953994
World,WBGroups,IF,World IF,2039,17.247105232241925,1.1982170316587215,2.234,38.178628812335084,23.96212601404305
World,WBGroups,IF,World IF,2040,17.46108916812582,1.2330612457478463,2.225,38.29427073805499,24.021239905069233
World,WBGroups,IF,World IF,2041,17.68363246144507,1.2664562841322002,2.215,38.43015132326126,24.08410560905857
World,WBGroups,IF,World IF,2042,17.906175754764323,1.2506175505229589,2.205,38.53949035551057,24.14716651800633
World,WBGroups,IF,World IF,2043,18.13727840551893,1.28237330834855,2.195,38.65428647147724,24.219453205392977
World,WBGroups,IF,World IF,2044,18.368381056273535,1.266136492234482,2.186,38.767042086544166,24.291641967990515
World,WBGroups,IF,World IF,2045,18.616602421898854,1.3423020332140823,2.175,38.87816135261149,24.363019827626808
World,WBGroups,IF,World IF,2046,18.86482378752417,1.324522675002049,2.165,38.98776808475805,24.43342610566691
World,WBGroups,IF,World IF,2047,19.11304515314949,1.3072081567352622,2.154,39.11697439616222,24.50865547312248
World,WBGroups,IF,World IF,2048,19.36982587621016,1.33453937933794,2.143,39.22809822272226,24.570235160666552
World,WBGroups,IF,World IF,2049,19.626606599270836,1.316963722436748,2.132,39.37333455848571,24.630157125792522
World,WBGroups,IF,World IF,2050,19.891946679766864,1.342883511389692,2.121,39.52000328952629,24.683554424527074
World,WBGroups,IF,World IF,2051,20.157286760262895,1.3250888478716583,2.11,39.66765551653197,24.733749332242187
World,WBGroups,IF,World IF,2052,20.431186198194283,1.349661988831219,2.098,39.834329003056006,24.76491864613046
World,WBGroups,IF,World IF,2053,20.705085636125666,1.3316884271196816,2.087,40.02126059088227,24.79966847892184
World,WBGroups,IF,World IF,2054,20.978985074057054,1.314187291808544,2.076,40.199111222775315,24.828559314999968
World,WBGroups,IF,World IF,2055,21.261443869423793,1.3374059525256943,2.066,40.38819153881916,24.856059793298286
World,WBGroups,IF,World IF,2056,21.578140094531957,1.4785484134550053,2.055,40.58705399881556,24.881667475587655
World,WBGroups,IF,World IF,2057,21.89483631964012,1.4570054950868272,2.044,40.78373972921726,24.90824212989145
World,WBGroups,IF,World IF,2058,22.237210617054355,1.5516215091757157,2.033,40.99854428660103,24.939087561492297
World,WBGroups,IF,World IF,2059,22.588144271903943,1.565813927277926,2.022,41.221602407306385,24.96964471114083
World,WBGroups,IF,World IF,2060,22.956196641624242,1.616272733829982,2.011,41.44142565513375,25.00240938521251
World,WBGroups,IF,World IF,2061,23.32424901134454,1.5905643255720303,2.001,41.679116603381,25.038658416629765
World,WBGroups,IF,World IF,2062,23.70942009593555,1.6378892084039531,1.991,41.91127584963216,25.085495526422136
World,WBGroups,IF,World IF,2063,24.09459118052656,1.6114941392406656,1.981,42.154556608938584,25.125890212049534
World,WBGroups,IF,World IF,2064,24.496880979988283,1.655841954260584,1.972,42.39234264052975,25.177299612086344
World,WBGroups,IF,World IF,2065,24.907730136885363,1.6632400049141793,1.962,42.63774030716357,25.228224680485447
World,WBGroups,IF,World IF,2066,25.327138651217794,1.6698292234671452,1.953,42.879406752810816,25.287503960404518
World,WBGroups,IF,World IF,2067,25.755106522985585,1.6756424229835698,1.945,43.127087267799794,25.354502096603827
World,WBGroups,IF,World IF,2068,26.191633752188732,1.6807118316381153,1.938,43.37411932881795,25.41948878526939
World,WBGroups,IF,World IF,2069,26.63672033882723,1.685069035185549,1.931,43.629036534280715,25.489156370963467
World,WBGroups,IF,World IF,2070,27.098925640336446,1.720335514267557,1.925,43.88322069832296,25.563562962053922
World,WBGroups,IF,World IF,2071,27.569690299281014,1.722290889024114,1.92,44.136271529888546,25.637453562985474
World,WBGroups,IF,World IF,2072,28.04045495822558,1.6931295641761324,1.916,44.389040034365706,25.709424458613743
World,WBGroups,IF,World IF,2073,28.519778974605508,1.6949558313773316,1.911,44.6503649389526,25.79294339241868
World,WBGroups,IF,World IF,2074,29.007662348420787,1.696216832031805,1.907,44.90185587343552,25.86997345754781
World,WBGroups,IF,World IF,2075,29.504105079671422,1.696939490981375,1.903,45.16039799827322,25.962094604223076
World,WBGroups,IF,World IF,2076,30.009107168357417,1.6971498964314602,1.899,45.42038977810988,26.050581987989762
World,WBGroups,IF,World IF,2077,30.514109257043405,1.6688267367216625,1.896,45.68300801177514,26.133607640456958
World,WBGroups,IF,World IF,2078,31.027670703164755,1.669023444037876,1.892,45.946318653077086,26.222623390625195
World,WBGroups,IF,World IF,2079,31.55835086415681,1.6958830945369208,1.89,46.19873392077293,26.31594336686849
World,WBGroups,IF,World IF,2080,32.08903102514888,1.6676018501767587,1.887,46.46269834312264,26.40275186080393
World,WBGroups,IF,World IF,2081,32.628270543576285,1.666484803818058,1.885,46.72565632956301,26.49943653741809
World,WBGroups,IF,World IF,2082,33.18462877687442,1.69076728968367,1.882,46.991069192888745,26.592104164927804
World,WBGroups,IF,World IF,2083,33.7495463676079,1.6880196206698006,1.882,47.25562686205947,26.685972276698905
World,WBGroups,IF,World IF,2084,34.32302331577674,1.68493864229875,1.882,47.5346237276823,26.76873018521609
World,WBGroups,IF,World IF,2085,34.91361897881629,1.7060619016943779,1.882,47.803380441493005,26.855822334940687
World,WBGroups,IF,World IF,2086,35.51277399929119,1.7015481015309586,1.883,48.09497192721933,26.939858342996814
World,WBGroups,IF,World IF,2087,36.10336966233074,1.6493740705851856,1.883,48.377709120418565,27.026637989122836
World,WBGroups,IF,World IF,2088,36.702524682805645,1.6459341711918096,1.883,48.66098816027243,27.112850924600508
World,WBGroups,IF,World IF,2089,37.31879841815127,1.6651633592442039,1.883,48.93456671823168,27.203569050139148
World,WBGroups,IF,World IF,2090,37.93507215349688,1.6378892084039531,1.884,49.228365731042274,27.295739877064847
World,WBGroups,IF,World IF,2091,38.56846460371321,1.655889256507015,1.885,49.502260930617425,27.386932573281737
World,WBGroups,IF,World IF,2092,39.21897576880025,1.672574202125121,1.885,49.78401140787763,27.488050582730118
World,WBGroups,IF,World IF,2093,39.87804629132265,1.6665248803355848,1.886,50.044667795042805,27.59005215775786
World,WBGroups,IF,World IF,2094,40.55423552871576,1.6814272901934046,1.887,50.315966682161395,27.698280085932886
World,WBGroups,IF,World IF,2095,41.23898412354422,1.674379845608609,1.887,50.57671710364979,27.813421589320413
World,WBGroups,IF,World IF,2096,41.940851433243395,1.6876300923901244,1.888,50.850230965776774,27.920217162372506
World,WBGroups,IF,World IF,2097,42.6170406706365,1.5993862543464576,1.889,51.0293008985777,27.98148665363285
World,WBGroups,IF,World IF,2098,43.31034862290032,1.6137415639328356,1.889,51.199132032784256,28.04997539918502
World,WBGroups,IF,World IF,2099,44.02077529003485,1.6270083493405085,1.89,51.3737206574994,28.112584245532695
World,WBGroups,IF,World IF,2100,44.73120195716938,1.600960030564158,1.89,51.5528041984435,28.169759483502055
World,WBGroups,SSP1,World SSP1,2017,13.24988530993077,NA,2.441,35.629601896917514,21.471359041557474
World,WBGroups,SSP1,World SSP1,2018,13.746328041181405,3.678284035703472,2.393,35.64135996851013,21.490602243652823
World,WBGroups,SSP1,World SSP1,2019,14.259889487302754,3.667892822008101,2.346,35.706376485364025,21.51877997651934
World,WBGroups,SSP1,World SSP1,2020,14.790569648294813,3.6539126637213037,2.302,35.81202876939568,21.57884335531162
World,WBGroups,SSP1,World SSP1,2021,15.355487239028296,3.7483093254740307,2.261,35.94272810035588,21.670863926033647
World,WBGroups,SSP1,World SSP1,2022,15.928964187197133,3.6666214023509447,2.219,36.08865497553732,21.783602272097372
World,WBGroups,SSP1,World SSP1,2023,16.528119207672038,3.6924025786263748,2.174,36.28053876167807,21.90606827311552
World,WBGroups,SSP1,World SSP1,2024,17.1358335855823,3.610867744665125,2.128,36.500815080555,22.019692801401998
World,WBGroups,SSP1,World SSP1,2025,17.786344750669343,3.725921178400693,2.085,36.704054589552555,22.151430924149636
World,WBGroups,SSP1,World SSP1,2026,18.471093345497803,3.777597415890721,2.043,36.94646232765489,22.276412834384914
World,WBGroups,SSP1,World SSP1,2027,19.172960655196977,3.72939990310055,2.008,37.22662979666633,22.391941271356615
World,WBGroups,SSP1,World SSP1,2028,19.900506037202224,3.7244173172371386,1.984,37.52803078166224,22.503531810700373
World,WBGroups,SSP1,World SSP1,2029,20.65372949151353,3.7150747603575063,1.967,37.83247533247534,22.61904761904762
World,WBGroups,SSP1,World SSP1,2030,21.43263101813091,3.701866659495723,1.951,38.15001605059785,22.74489100184914
World,WBGroups,SSP1,World SSP1,2031,22.228651259618996,3.64674794427593,1.938,38.46103359105288,22.8679066958953
World,WBGroups,SSP1,World SSP1,2032,23.0417902159778,3.592747910187022,1.923,38.77651266084325,22.992756692976823
World,WBGroups,SSP1,World SSP1,2033,23.872047887207312,3.539869686287034,1.906,39.08482798041124,23.1177230899157
