Entity,Code,Scenario,EntityScenario,Year,pcgdpthousand2005usd,pcgdpgrowth,fertility,EmploymentServices,EmploymentIndustry
High income,WBGroups,Observations,High income Observations,1960,9.820169510796335,NA,3.0272410079848,NA,NA
High income,WBGroups,Observations,High income Observations,1961,10.132050933301686,3.126537509162519,3.005260074531802,NA,NA
High income,WBGroups,Observations,High income Observations,1962,10.562930630257757,4.16470024798703,2.9726345880462386,NA,NA
High income,WBGroups,Observations,High income Observations,1963,10.960242612233184,3.6923655846757164,2.9299714821765788,NA,NA
High income,WBGroups,Observations,High income Observations,1964,11.516244982560606,4.948422832994037,2.877377495098186,NA,NA
High income,WBGroups,Observations,High income Observations,1965,11.996707533072717,4.087359413963787,2.8162648482128247,NA,NA
High income,WBGroups,Observations,High income Observations,1966,12.550665835909653,4.514147892749065,2.748894275131561,NA,NA
High income,WBGroups,Observations,High income Observations,1967,12.90655501510617,2.7961604189160827,2.6770680793949824,NA,NA
High income,WBGroups,Observations,High income Observations,1968,13.539499933178698,4.787601123137941,2.6037764950990376,NA,NA
High income,WBGroups,Observations,High income Observations,1969,14.130934769266046,4.275501520059555,2.5310234409523202,NA,NA
High income,WBGroups,Observations,High income Observations,1970,14.485555694637693,2.478564449416787,2.459338994592664,NA,NA
High income,WBGroups,Observations,High income Observations,1971,14.869327853565844,2.6148564001855057,2.3891883586208396,NA,NA
High income,WBGroups,Observations,High income Observations,1972,15.512701230910281,4.235856468276777,2.319663417463815,NA,NA
High income,WBGroups,Observations,High income Observations,1973,16.309247827374598,5.007317567792313,2.2516298528362744,NA,NA
High income,WBGroups,Observations,High income Observations,1974,16.355308351525625,0.28202161650532354,2.185824359798818,NA,NA
High income,WBGroups,Observations,High income Observations,1975,16.273900797376914,-0.4989867985433438,2.1244179491231745,NA,NA
High income,WBGroups,Observations,High income Observations,1976,16.912637591217326,3.8498482456530425,2.069386333672347,NA,NA
High income,WBGroups,Observations,High income Observations,1977,17.42428870010948,2.9804006221113344,2.021593398559339,NA,NA
High income,WBGroups,Observations,High income Observations,1978,18.055426609248173,3.5581147606718044,1.9819546888852824,NA,NA
High income,WBGroups,Observations,High income Observations,1979,18.607926819693553,3.0141380268564166,1.950770241383114,NA,NA
High income,WBGroups,Observations,High income Observations,1980,18.675183089190117,0.3607871908523741,1.9269519578417158,NA,NA
High income,WBGroups,Observations,High income Observations,1981,18.842865765567492,0.8938833335949692,1.9094360156119599,NA,NA
High income,WBGroups,Observations,High income Observations,1982,18.704073673998153,-0.7393024614071653,1.8959715092469966,NA,NA
High income,WBGroups,Observations,High income Observations,1983,19.081920223785595,1.9999957950433966,1.8840619598136437,NA,NA
High income,WBGroups,Observations,High income Observations,1984,19.844479641516447,3.9184563137419914,1.87329523990402,NA,NA
High income,WBGroups,Observations,High income Observations,1985,20.36787044812545,2.6032816482136845,1.8624739005743303,NA,NA
High income,WBGroups,Observations,High income Observations,1986,20.8717829975767,2.443946972517086,1.8520843777145195,NA,NA
High income,WBGroups,Observations,High income Observations,1987,21.48341615514422,2.888314491484767,1.842672301194161,NA,NA
High income,WBGroups,Observations,High income Observations,1988,22.309119397072365,3.7714240569602264,1.8349939902386556,NA,NA
High income,WBGroups,Observations,High income Observations,1989,22.94316555389219,2.802455849512242,1.8277711841639113,NA,NA
High income,WBGroups,Observations,High income Observations,1990,23.225216725938047,1.2218521295911167,1.8209565742124523,NA,NA
High income,WBGroups,Observations,High income Observations,1991,23.357731808083056,0.5689439753021386,1.812457757205844,63.69694799396887,30.142452578097007
High income,WBGroups,Observations,High income Observations,1992,23.765957346211547,1.732613713726039,1.8019934253299401,64.16404513780907,29.853445898760263
High income,WBGroups,Observations,High income Observations,1993,24.03650044276929,1.1319333679839616,1.7888928084885256,64.8133583955056,29.45229440724252
High income,WBGroups,Observations,High income Observations,1994,24.741358276100403,2.8902740676193694,1.7736055559858603,65.35751868589627,29.063014956471047
High income,WBGroups,Observations,High income Observations,1995,25.383391538991116,2.5618816254040944,1.7568030190247468,65.79401398446544,28.821873159162628
High income,WBGroups,Observations,High income Observations,1996,26.080662150421542,2.7099042203033274,1.7391580637779136,66.33327878323294,28.468180000944383
High income,WBGroups,Observations,High income Observations,1997,26.900232299689062,3.0940796307247442,1.7225867674971427,66.73177574112675,28.229993745805466
High income,WBGroups,Observations,High income Observations,1998,27.557301378880418,2.413260106677395,1.7081904481813985,67.14465054150781,27.999722428209495
High income,WBGroups,Observations,High income Observations,1999,28.428102972742707,3.1110673874222616,1.6968888882492388,67.7020065177107,27.60640982635437
High income,WBGroups,Observations,High income Observations,2000,29.514164106734437,3.7492090139486844,1.6897358845864399,68.18309158887187,27.29805397355339
High income,WBGroups,Observations,High income Observations,2001,29.87855031050325,1.2270554709032933,1.6875381101076088,68.74159217238027,26.867035455710898
High income,WBGroups,Observations,High income Observations,2002,30.268358940311916,1.2962065464760641,1.6902413328968688,69.54515299425047,26.182834305995332
High income,WBGroups,Observations,High income Observations,2003,30.859188024016003,1.9331627487642944,1.6967541868839446,70.16189104325062,25.709197915302923
High income,WBGroups,Observations,High income Observations,2004,31.811556621844037,3.0395104559270525,1.7062009612481013,70.61595536454749,25.43360798741961
High income,WBGroups,Observations,High income Observations,2005,32.612848717268946,2.487670360657024,1.716336611374037,71.00177314389802,25.1195340447923
High income,WBGroups,Observations,High income Observations,2006,33.510961820717704,2.716626068116046,1.7255944096418303,71.20827792100702,25.058447878607193
High income,WBGroups,Observations,High income Observations,2007,34.28383192499278,2.2801266756186767,1.731969668774829,71.44530289431944,24.9853065840895
High income,WBGroups,Observations,High income Observations,2008,34.33861029345909,0.1596515027172174,1.7342281229754613,72.03427480802314,24.600022889126592
High income,WBGroups,Observations,High income Observations,2009,33.17895203013654,-3.435468573952871,1.7316081607492677,73.24263956553615,23.43025979059199
High income,WBGroups,Observations,High income Observations,2010,34.13461712036433,2.8396334298766757,1.7239679956135368,73.71361194491243,22.973716661554903
High income,WBGroups,Observations,High income Observations,2011,34.83429863124912,2.0290460076479278,1.7124859493726898,73.8682474390385,22.882439613517032
High income,WBGroups,Observations,High income Observations,2012,35.132591205529906,0.8526729779117392,1.698464697426205,74.11543043297551,22.697949573407453
High income,WBGroups,Observations,High income Observations,2013,35.42546460331499,0.8301676582282536,1.6839498235054733,74.32356490505954,22.586029616059257
High income,WBGroups,Observations,High income Observations,2014,35.915232308005265,1.3730603162225297,1.669673922987175,74.47570242543705,22.456109707996745
High income,WBGroups,Observations,High income Observations,2015,36.4891938164094,1.5854653151381903,1.6566961355401397,74.63466477487655,22.30891926721479
High income,WBGroups,Observations,High income Observations,2016,36.796015917933794,0.8373419284703587,1.6457837844932446,74.81768682609099,22.23124460513036
High income,WBGroups,Observations,High income Observations,2017,37.4827056932294,1.8490068871193088,1.6371282029398722,74.9443441489262,22.218212381234434
High income,WBGroups,Observations,High income Observations,2018,38.15546204755999,1.7789275333970789,1.630861583995088,75.02607565742791,22.24795448131359
High income,WBGroups,Observations,High income Observations,2019,38.61614554547709,1.2001546977453703,1.627008317253355,75.16495981713939,22.18157663925479
High income,WBGroups,Observations,High income Observations,2020,37.436155950491504,-3.1033493321284578,1.6528300345067977,NA,NA
Low income,WBGroups,Observations,Low income Observations,1960,0.9991835894221133,NA,6.7348081504050255,NA,NA
Low income,WBGroups,Observations,Low income Observations,1961,0.9804598318708012,-1.8916857147820254,6.749606047028559,NA,NA
Low income,WBGroups,Observations,Low income Observations,1962,1.0238244643295407,4.327869154009965,6.765299213999902,NA,NA
Low income,WBGroups,Observations,Low income Observations,1963,1.0287536928600445,0.4802972290314764,6.781377555203412,NA,NA
Low income,WBGroups,Observations,Low income Observations,1964,1.0281954420666222,-0.05427949555480843,6.797030354125412,NA,NA
Low income,WBGroups,Observations,Low income Observations,1965,1.0431110200990457,1.440234569741253,6.812836221854244,NA,NA
Low income,WBGroups,Observations,Low income Observations,1966,1.0589122469093548,1.5034585675633003,6.828783865074829,NA,NA
Low income,WBGroups,Observations,Low income Observations,1967,1.0664740087560296,0.7115688955580415,6.846025700687181,NA,NA
Low income,WBGroups,Observations,Low income Observations,1968,1.0882475900802888,2.021079892375578,6.864349478524595,NA,NA
Low income,WBGroups,Observations,Low income Observations,1969,1.128658073480472,3.646069448380292,6.8837310998155035,NA,NA
Low income,WBGroups,Observations,Low income Observations,1970,1.135740936732636,0.6255864200332861,6.903845952050017,NA,NA
Low income,WBGroups,Observations,Low income Observations,1971,1.158955246172805,2.02337037974111,6.9240811044461665,NA,NA
Low income,WBGroups,Observations,Low income Observations,1972,1.1336092033674112,-2.211242136907776,6.944110221180101,NA,NA
Low income,WBGroups,Observations,Low income Observations,1973,1.1227642934318123,-0.961276443053119,6.963001509533652,NA,NA
Low income,WBGroups,Observations,Low income Observations,1974,1.1127302848741407,-0.8977052361985802,6.9801266999933596,NA,NA
Low income,WBGroups,Observations,Low income Observations,1975,1.0766280267992752,-3.298275177615506,6.995610695279813,NA,NA
Low income,WBGroups,Observations,Low income Observations,1976,1.0747445972088774,-0.1750910140388265,7.009749731841529,NA,NA
Low income,WBGroups,Observations,Low income Observations,1977,1.0813430052406146,0.6120742611921206,7.022305284103965,NA,NA
Low income,WBGroups,Observations,Low income Observations,1978,1.065294348945476,-1.495264701152478,7.033258287228072,NA,NA
Low income,WBGroups,Observations,Low income Observations,1979,1.05297700109534,-1.162975336238619,7.04212344884565,NA,NA
Low income,WBGroups,Observations,Low income Observations,1980,1.0385204801388486,-1.3824306573986562,7.048468775050132,NA,NA
Low income,WBGroups,Observations,Low income Observations,1981,1.0269375626846846,-1.1215951754040756,7.051487092775889,NA,NA
Low income,WBGroups,Observations,Low income Observations,1982,1.0231699342540486,-0.3675546455851903,7.050462056795608,NA,NA
Low income,WBGroups,Observations,Low income Observations,1983,1.0112259605758698,-1.1742169695712534,7.0458280258193495,NA,NA
Low income,WBGroups,Observations,Low income Observations,1984,0.972925635825243,-3.861104455891994,7.036921012440006,NA,NA
Low income,WBGroups,Observations,Low income Observations,1985,0.9413779340034486,-3.296296240408256,7.023210494650355,NA,NA
Low income,WBGroups,Observations,Low income Observations,1986,0.955416187407185,1.4802354742458403,7.004586897120316,NA,NA
Low income,WBGroups,Observations,Low income Observations,1987,0.9550783607066992,-0.03536536697688261,6.980827975096095,NA,NA
Low income,WBGroups,Observations,Low income Observations,1988,0.9534969028248875,-0.165721339259374,6.952243174673366,NA,NA
Low income,WBGroups,Observations,Low income Observations,1989,0.949937950201247,-0.37395099341888116,6.918964043543249,NA,NA
Low income,WBGroups,Observations,Low income Observations,1990,0.9067958909547121,-4.647927962955556,6.8830832980596055,NA,NA
Low income,WBGroups,Observations,Low income Observations,1991,0.86548976602704,-4.6621837055614925,6.84685671731145,18.287679612517024,7.405418165180849
Low income,WBGroups,Observations,Low income Observations,1992,0.8097376821731243,-6.658520415159053,6.812059590278896,18.34317531570867,7.3913215750075265
Low income,WBGroups,Observations,Low income Observations,1993,0.77462072303952,-4.433682611030193,6.779234006006201,18.534171424373,7.344320265159752
Low income,WBGroups,Observations,Low income Observations,1994,0.7531966582681096,-2.8047159876125605,6.746978656835197,18.70825871707158,7.320986521505403
Low income,WBGroups,Observations,Low income Observations,1995,0.7738847577500467,2.7096610647829977,6.713480359152982,18.921300892789898,7.324830048617298
Low income,WBGroups,Observations,Low income Observations,1996,0.7919585320720333,2.3086061240326474,6.675690086431532,19.189555911766753,7.29779432527412
Low income,WBGroups,Observations,Low income Observations,1997,0.8080122947752487,2.006824276256494,6.632300815788617,19.378443146040997,7.282011871040118
Low income,WBGroups,Observations,Low income Observations,1998,0.8115258119388438,0.4338919425501825,6.5824327205326405,19.531751598711217,7.243845811032118
Low income,WBGroups,Observations,Low income Observations,1999,0.8114570657399106,-0.008471586474478876,6.526793701532682,19.77207047113461,7.211377815340154
Low income,WBGroups,Observations,Low income Observations,2000,0.8090073952257508,-0.30234200616165163,6.466238020488024,19.835207728663278,7.198018726439791
Low income,WBGroups,Observations,Low income Observations,2001,0.834254637809053,3.07306186612431,6.401231822254946,20.022213621173428,7.193376529567314
Low income,WBGroups,Observations,Low income Observations,2002,0.8655111931656687,3.6781630261351532,6.333116388980942,20.208525129932255,7.341899424525401
