Entity,Code,TilmanEconomicGroup,WBEconomicGroup,Year,pop,pcgdp,gdp,pcgdpthousand2005usd,pcgdpgrowth
Afghanistan,AFG,NA,Low income,1960,8996967,1326,11929978242,1.1349707959281783,NA
Albania,ALB,NA,Upper-middle income,1960,1636091,2313,3784278483,1.9797793747977952,NA
Algeria,DZA,D,Lower-middle income,1960,11057864,3328,36800571392,2.848554154486408,NA
Angola,AGO,NA,Lower-middle income,1960,5454938,1997,10893511186,1.709303679840552,NA
Argentina,ARG,B,Upper-middle income,1960,20481781,8861,181489061441,7.584446623468769,NA
Australia,AUS,A,High income,1960,10242070,14013,143522126910,11.994227574164075,NA
Austria,AUT,A,High income,1960,7070773,10391,73472402243,8.894028311078205,NA
Bahrain,BHR,NA,High income,1960,162429,4532,736128228,3.8791007897032457,NA
Bangladesh,BGD,E,Lower-middle income,1960,48013505,869,41723735845,0.7438081611324185,NA
Barbados,BRB,NA,High income,1960,230985,5316,1227916260,4.55015441263514,NA
Belgium,BEL,NA,High income,1960,9167361,11081,101583527241,9.484623974117754,NA
Benin,BEN,E,Lower-middle income,1960,2431617,1468,3569613756,1.2565136715102305,NA
Bolivia,BOL,D,Lower-middle income,1960,3656961,2560,9361820160,2.191195503451083,NA
Bosnia and Herzegovina,BIH,NA,Upper-middle income,1960,3225664,2871,9260881344,2.4573915196906486,NA
Botswana,BWA,C,Upper-middle income,1960,502733,564,283541412,0.4827477593540668,NA
Brazil,BRA,C,Upper-middle income,1960,72179235,3398,245265040530,2.908469656533899,NA
Bulgaria,BGR,NA,Upper-middle income,1960,7885607,4642,36604987694,3.9732537214921595,NA
Burkina Faso,BFA,F,Low income,1960,4829289,971,4689239619,0.8311136069730476,NA
Burundi,BDI,F,Low income,1960,2797925,733,2050879025,0.6274009000115797,NA
Cambodia,KHM,NA,Lower-middle income,1960,5722372,1070,6122938040,0.91585124558307,NA
Cameroon,CMR,E,Lower-middle income,1960,5176920,1326,6864595920,1.1349707959281783,NA
Canada,CAN,A,High income,1960,17847404,13952,249006980608,11.942015493808404,NA
Cape Verde,CPV,NA,Lower-middle income,1960,201770,1135,229008950,0.9714870689128826,NA
Central African Republic,CAF,G,Low income,1960,1501668,1567,2353113756,1.341251310120253,NA
Chad,TCD,G,Low income,1960,3001604,974,2923562296,0.8336814142036544,NA
Chile,CHL,B,High income,1960,8132988,6781,55149791628,5.804100276914764,NA
China,CHN,C,Upper-middle income,1960,660408054,1057,698051313078,0.9047240809171074,NA
Colombia,COL,C,Upper-middle income,1960,16057714,3980,63909701720,3.406624259271606,NA
Comoros,COM,NA,Lower-middle income,1960,191122,679,129771838,0.5811803698606585,NA
Congo,COG,NA,Lower-middle income,1960,1018254,1999,2035489746,1.7110155513276233,NA
Costa Rica,CRI,C,Upper-middle income,1960,1330787,4328,5759646136,3.7044898980219876,NA
Cote d'Ivoire,CIV,E,Lower-middle income,1960,3503559,2002,7014125118,1.71358335855823,NA
Croatia,HRV,NA,High income,1960,4192640,5067,21244106880,4.337026412494781,NA
Cyprus,CYP,NA,High income,1960,572933,3496,2002973768,2.9923513594003857,NA
Democratic Republic of Congo,COD,G,Low income,1960,15248256,1192,18175921152,1.0202754062944106,NA
Denmark,DNK,A,High income,1960,4581099,14046,64346116554,12.022473453700748,NA
Djibouti,DJI,NA,Lower-middle income,1960,83634,4087,341812158,3.498209383829913,NA
Dominica,DMA,NA,Upper-middle income,1960,60020,1245,74724900,1.0656400007017963,NA
Dominican Republic,DOM,D,Upper-middle income,1960,3294222,2075,6835510650,1.7760666678363273,NA
Ecuador,ECU,C,Upper-middle income,1960,4543658,3649,16579808042,3.1233095281613292,NA
Egypt,EGY,D,Lower-middle income,1960,26632891,1580,42079967780,1.3523784747862155,NA
El Salvador,SLV,D,Lower-middle income,1960,2766319,2813,7781655347,2.407747246565585,NA
Equatorial Guinea,GNQ,NA,Upper-middle income,1960,255338,1101,281127138,0.9423852536326729,NA
Eswatini,SWZ,D,Lower-middle income,1960,336578,783,263540574,0.6701976871883587,NA
Ethiopia,ETH,F,Low income,1960,22151284,701,15528050084,0.6000109562184411,NA
Finland,FIN,A,High income,1960,4434593,9931,44039943083,8.500297869051838,NA
France,FRA,A,High income,1960,45673147,11792,538577749424,10.093194287771553,NA
Gabon,GAB,NA,Upper-middle income,1960,500922,3982,1994671404,3.408336130758677,NA
Gambia,GMB,F,Low income,1960,365049,1167,426012183,0.9988770127060211,NA
Germany,DEU,A,High income,1960,73414229,12282,901673560578,10.512602802103986,NA
Ghana,GHA,E,Lower-middle income,1960,6635229,2197,14577598113,1.880490828547668,NA
Greece,GRC,B,High income,1960,8273628,5015,41492244420,4.29251775383093,NA
Guatemala,GTM,C,Upper-middle income,1960,4210751,3496,14720785496,2.9923513594003857,NA
Guinea,GIN,F,Low income,1960,3494164,671,2344584044,0.5743328839123738,NA
Guinea-Bissau,GNB,NA,Low income,1960,616140,800,492912000,0.6847485948284635,NA
Haiti,HTI,F,Lower-middle income,1960,3866162,1809,6993887058,1.548387760055863,NA
Honduras,HND,E,Lower-middle income,1960,2038636,2147,4376951492,1.8376940413708889,NA
Hong Kong,HKG,NA,High income,1960,3046048,5088,15498292224,4.355001063109028,NA
Hungary,HUN,NA,High income,1960,10000989,5816,58165752024,4.97812228440293,NA
Iceland,ISL,NA,High income,1960,175584,10959,1924225056,9.380199813406415,NA
India,IND,E,Lower-middle income,1960,450547675,1200,540657210000,1.0271228922426954,NA
Indonesia,IDN,D,Lower-middle income,1960,87751066,1613,141542469458,1.3806243543228895,NA
Iran,IRN,C,Lower-middle income,1960,21906909,3437,75294046233,2.9418511505317864,NA
Iraq,IRQ,NA,Upper-middle income,1960,7289753,4360,31783323080,3.731879841815126,NA
Ireland,IRL,A,High income,1960,2791390,6825,19051236750,5.841761449630329,NA
Israel,ISR,B,High income,1960,2060476,7433,15315518108,6.362170381699961,NA
Italy,ITA,B,High income,1960,49699947,9430,468670500210,8.071474061540513,NA
Jamaica,JAM,D,Upper-middle income,1960,1628524,4230,6888656520,3.620608195155501,NA
Japan,JPN,A,High income,1960,93673612,6354,595202130648,5.4386157144250715,NA
Jordan,JOR,C,Upper-middle income,1960,933102,3714,3465540828,3.178945351491142,NA
Kenya,KEN,F,Lower-middle income,1960,8120082,1157,9394934874,0.9903176552706654,NA
Kuwait,KWT,NA,High income,1960,269026,45929,12356095154,39.31227276484562,NA
Laos,LAO,NA,Lower-middle income,1960,2120892,771,1635207732,0.6599264582659318,NA
Lebanon,LBN,D,Upper-middle income,1960,1804935,5812,10490282220,4.974698541428787,NA
Lesotho,LSO,NA,Lower-middle income,1960,837264,813,680695632,0.695875759494426,NA
Liberia,LBR,NA,Low income,1960,1118655,3674,4109938470,3.1447079217497187,NA
Libya,LBY,E,Upper-middle income,1960,1448416,1323,1916254368,1.1324029886975715,NA
Luxembourg,LUX,NA,High income,1960,314585,15870,4992463950,13.583700249909645,NA
Madagascar,MDG,F,Low income,1960,5099368,1793,9143166824,1.5346927881592938,NA
Malawi,MWI,F,Low income,1960,3659980,628,2298467440,0.5375276469403438,NA
Malaysia,MYS,B,Upper-middle income,1960,8156342,2439,19893318138,2.087627278483278,NA
Mali,MLI,F,Low income,1960,5263727,851,4479431677,0.728401317748778,NA
Malta,MLT,NA,High income,1960,312973,2383,745814659,2.0396948768452856,NA
Mauritania,MRT,NA,Lower-middle income,1960,850377,913,776394201,0.781469333847984,NA
Mauritius,MUS,B,Upper-middle income,1960,660025,4396,2901469900,3.7626935285824072,NA
Mexico,MEX,C,Upper-middle income,1960,37771861,4723,178396499503,4.0425845167185415,NA
Mongolia,MNG,NA,Lower-middle income,1960,955514,912,871428768,0.7806133981044484,NA
Montenegro,MNE,NA,Upper-middle income,1960,487416,2439,1188807624,2.087627278483278,NA
Morocco,MAR,D,Lower-middle income,1960,12328532,2118,26111830776,1.8128719048083572,NA
Mozambique,MOZ,E,Low income,1960,7184870,2115,15196000050,1.8103040975777505,NA
Myanmar,MMR,E,Lower-middle income,1960,21736947,899,19541515353,0.7694862334384859,NA
Namibia,NAM,NA,Upper-middle income,1960,634138,4855,3078739990,4.155568034865238,NA
Nepal,NPL,F,Lower-middle income,1960,10105060,980,9902958800,0.8388170286648678,NA
Netherlands,NLD,A,High income,1960,11448815,13209,151227397335,11.306055236361468,NA
New Zealand,NZL,B,High income,1960,2372599,15087,35795401113,12.913502562721286,NA
Nicaragua,NIC,E,Lower-middle income,1960,1773132,3148,5581819536,2.694485720650004,NA
Niger,NER,G,Low income,1960,3388774,1213,4110582862,1.038250056908658,NA
Nigeria,NGA,E,Lower-middle income,1960,45138460,1307,58995967220,1.1187080168010022,NA
