Entity,Code,TilmanEconomicGroup,WBEconomicGroup,Year,fertility,laborproductivityhr,hours,laborproductivity,AgeDependency,EmploymentIndustry,EmploymentServices,ManufacturingValue
Afghanistan,AFG,NA,Low income,1960,7.45,NA,NA,NA,81.61726559,NA,NA,NA
Afghanistan,AFG,NA,Low income,1961,7.45,NA,NA,NA,82.68867813,NA,NA,NA
Afghanistan,AFG,NA,Low income,1962,7.45,NA,NA,NA,83.28937027,NA,NA,NA
Afghanistan,AFG,NA,Low income,1963,7.45,NA,NA,NA,83.60407457,NA,NA,NA
Afghanistan,AFG,NA,Low income,1964,7.45,NA,NA,NA,83.85384023,NA,NA,NA
Afghanistan,AFG,NA,Low income,1965,7.45,NA,NA,NA,84.13051322,NA,NA,NA
Afghanistan,AFG,NA,Low income,1966,7.45,NA,NA,NA,85.33760664,NA,NA,NA
Afghanistan,AFG,NA,Low income,1967,7.45,NA,NA,NA,86.38758178,NA,NA,NA
Afghanistan,AFG,NA,Low income,1968,7.45,NA,NA,NA,87.28817961,NA,NA,NA
Afghanistan,AFG,NA,Low income,1969,7.45,NA,NA,NA,88.00433382,NA,NA,NA
Afghanistan,AFG,NA,Low income,1970,7.45,NA,NA,NA,88.52577344,NA,NA,NA
Afghanistan,AFG,NA,Low income,1971,7.45,NA,NA,NA,89.7775514,NA,NA,NA
Afghanistan,AFG,NA,Low income,1972,7.45,NA,NA,NA,90.71120792,NA,NA,NA
Afghanistan,AFG,NA,Low income,1973,7.45,NA,NA,NA,91.37867189,NA,NA,NA
Afghanistan,AFG,NA,Low income,1974,7.45,NA,NA,NA,91.80304716,NA,NA,NA
Afghanistan,AFG,NA,Low income,1975,7.45,NA,NA,NA,91.94576396,NA,NA,NA
Afghanistan,AFG,NA,Low income,1976,7.45,NA,NA,NA,92.98885748,NA,NA,NA
Afghanistan,AFG,NA,Low income,1977,7.449,NA,NA,NA,93.85839807,NA,NA,NA
Afghanistan,AFG,NA,Low income,1978,7.449,NA,NA,NA,94.51050014,NA,NA,NA
Afghanistan,AFG,NA,Low income,1979,7.449,NA,NA,NA,94.81592367,NA,NA,NA
