Entity,Code,Scenario,EntityScenario,TilmanEconomicGroup,WBEconomicGroup,Year,pcgdpthousand2005usd,pcgdpgrowth,laborprodgrowth,fertility,EmploymentServices,EmploymentIndustry
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1960,2.848554154486408,NA,NA,7.524,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1961,2.454823712460042,NA,NA,7.5729999999999995,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1962,1.9549572382352634,NA,NA,7.614,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1963,2.412026925283263,NA,NA,7.646,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1964,2.464239005638933,NA,NA,7.665,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1965,2.551544451479562,NA,NA,7.675,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1966,2.3538232947228432,-0.3907069275544861,NA,7.676,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1967,2.488205206457929,2.4279425571320252,NA,7.672000000000001,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1968,2.6970535278806107,4.5244770436188,NA,7.666,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1969,2.871664419561869,2.883882668774563,NA,7.656000000000001,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1970,3.068529640575052,3.0348990090990084,NA,7.643,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1971,2.7287231503914273,3.023044050677874,NA,7.624,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1972,3.2063352952842803,4.268627095037178,NA,7.597,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1973,3.215750588463172,4.581737968506305,NA,7.558,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1974,3.3124713274826925,4.356045120569849,NA,7.505,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1975,3.4408616890130292,3.670678715838658,NA,7.434,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1976,3.5581248858774037,3.0079801494171687,NA,7.343999999999999,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1977,3.764405400069478,4.351196439618583,NA,7.234,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1978,4.118762797893208,3.0564113597136258,NA,7.105,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1979,4.355001063109028,3.232088711396082,NA,6.957000000000001,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1980,4.300221175522751,3.1440116120267736,NA,6.794,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1981,4.271975295986077,2.4475389089742854,NA,6.617000000000001,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1982,4.403789400490556,1.8371924160665505,NA,6.43,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1983,4.487671103357043,0.8893528437892958,NA,6.237,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1984,4.588671521094241,0.14431804985523697,NA,6.037999999999999,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1985,4.681112581396084,-0.7269165362996619,NA,5.835,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1986,4.503933882484219,-0.5901307994999478,NA,5.627000000000001,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1987,4.355001063109028,-0.2601111431100826,NA,5.412000000000001,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1988,4.15128835614756,-0.599005905664079,NA,5.191,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1989,4.184669850145448,-0.6952268101181123,NA,4.962,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1990,4.020330187386617,-0.37849561387732766,NA,4.726,NA,NA
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1991,4.02994234578652,-0.02891943488137533,NA,4.479,49.72999954,25.39999962
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1992,4.151476662011138,0.6282122093014567,NA,4.223,50.00999832,25.26000023
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1993,4.122974001751404,1.6039775868607902,NA,3.9619999999999997,50.41999817,25.03000069
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1994,4.157271346994873,2.5515871598992734,NA,3.702,50.81000137,24.81999969
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1995,4.401546848842493,3.0454804255584493,NA,3.448,51.04999924,24.81999969
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1996,4.666244977530871,3.9062594019007126,NA,3.208,51.34999847,24.78000069
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1997,4.826176571210493,4.606476809040514,NA,2.988,51.75999832,24.700000760000002
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1998,5.195341657397389,5.196323869360242,NA,2.7960000000000003,52.04999924,24.77000046
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,1999,5.496399936471159,5.86492644725742,NA,2.635,52.47000122,24.67000008
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2000,5.849935635981095,6.537486949335861,NA,2.5140000000000002,52.75999832,24.89999962
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2001,6.178358180775696,6.39019595925466,NA,2.438,53.27999878,25.01000023
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2002,6.689000886011588,6.360742017708382,NA,2.403,53.47999954,24.799999239999998
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2003,7.352642105404463,6.459602093684978,NA,2.405,53.59000015,24.69000053
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2004,7.859450218509316,6.125507105084898,NA,2.438,54.25999832,25.63999939
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2005,8.533354107467185,6.118818471444227,NA,2.496,54.70000076,26.76000023
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2006,8.88956032649695,5.986628941663714,NA,2.569,55.41999817,27.52000046
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2007,9.393672242009664,5.609761565795872,NA,2.6489999999999996,55.99000168,28.37999916
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2008,9.821862657070774,4.965642290817037,NA,2.728,56.79000092,28.88999939
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2009,10.191644016993015,4.272569771517364,NA,2.799,57.40000153,29.56999969
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2010,10.774296596332555,3.8369670384649,NA,2.86,57.93000031,30.200000760000002
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2011,11.30177555764379,3.298932310650789,NA,2.909,58.36999893,30.86000061
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2012,11.451564312762518,2.88661578440447,NA,2.952,58.49000168,30.80999947
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2013,11.54999692326911,2.3601608556981257,NA,2.99,58.45000076,30.95999908
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2014,11.763980859153003,1.8515594805310298,NA,3.022,58.56000137,30.95999908
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2015,11.986524152472255,0.8361781221579995,NA,3.043,58.70000076,30.92000008
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2016,12.26641514060839,NA,NA,3.052,58.77999878,30.950000760000002
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2017,12.211832118243125,NA,NA,3.045,58.84999847,30.98999977
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2018,12.17827943709653,NA,NA,3.023,59.22000122,30.90999985
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2019,12.04057657693642,NA,NA,2.988,59.99000168,30.42000008
Algeria,DZA,Observations,Algeria Observations,D,Lower-middle income,2020,11.173531963695364,NA,NA,2.9419999999999997,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1960,7.584446623468769,NA,NA,3.109,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1961,7.997863587596454,NA,NA,3.1,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1962,7.745362543253458,NA,NA,3.09,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1963,7.4423612900418625,NA,NA,3.0789999999999997,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1964,8.085169033437083,NA,NA,3.068,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1965,8.692027475603808,NA,NA,3.0589999999999997,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1966,8.624408551864498,2.7590635770731136,2.5749945070110374,3.053,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1967,8.73054458406291,2.402177099214222,2.4691592131642346,3.05,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1968,8.97448627097055,3.0748984223548277,2.829195049025804,3.053,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1969,9.601031235238594,3.852837779165943,3.365593004650645,3.062,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1970,9.962236119010608,2.8654135331763007,2.8619913745785373,3.0789999999999997,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1971,10.27379672965756,2.030188983561455,1.9451728686767378,3.109,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1972,10.416737998828001,2.4798548324454748,2.2382722319950843,3.1489999999999996,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1973,10.862680521210038,1.8077350795014995,1.8430422792641388,3.198,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1974,11.370250417126638,2.0339517953413133,2.114220388660293,3.2510000000000003,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1975,11.080944135811611,1.3968532851451447,1.4072472832642537,3.301,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1976,10.866960199927716,0.3718900805791605,1.316647925101876,3.339,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1977,11.329165501436929,-0.34973801432186635,1.4311473487196342,3.359,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1978,10.651264392556751,-0.29995697360867674,1.8107636892110823,3.359,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1979,11.224741340725588,-0.6332987441479173,1.761520562116074,3.339,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1980,11.195639525445378,-1.8023303192537925,1.3775974067088557,3.301,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1981,10.378220890368901,-1.0648756986424546,2.251828269641587,3.253,NA,NA
Argentina,ARG,Observations,Argentina Observations,B,Upper-middle income,1982,9.886057837835942,-0.7949190580861661,2.613711890997324,3.2039999999999997,NA,NA
