Entity,Scenario,Year,Energy-BBOE,Carbon-emissions-Btons,Population-M,Extrene-poverty-M,Population-raw,Primary-energy-raw,co2emissions,energy,population
World,Observations,1960,NA,4.415647605,3035.16018,NA,3035160180,NA,16178.932824720001,NA,3.0351601799999997
World,Observations,1961,NA,4.432388495,3091.8435060000006,NA,3091843506,NA,16240.271445679999,NA,3.0918435060000005
World,Observations,1962,NA,4.451640592,3150.420759,NA,3150420759,NA,16310.811129088002,NA,3.150420759
World,Observations,1963,NA,4.455225629,3211.000941,NA,3211000941,NA,16323.946704656002,NA,3.211000941
World,Observations,1964,NA,4.519585441,3273.978271,NA,3273978271,NA,16559.761055824,NA,3.273978271
World,Observations,1965,25.44861215,4.505937014,3339.583509,NA,3339583509,43247.517,16509.753219296,155.691046327999,3.339583509
World,Observations,1966,26.82266837,4.58736497,3407.92263,NA,3407922630,45582.596,16808.10525008,164.0973299140882,3.40792263
World,Observations,1967,27.83238429,4.713665395,3478.7701020000004,NA,3478770102,47298.513,17270.87000728,170.2746305524194,3.4787701020000004
World,Observations,1968,29.52780932,4.902980054,3551.5994320000004,NA,3551599432,50179.728,17964.518917856,180.6470035264552,3.5515994320000006
World,Observations,1969,31.52367233,5.049676192,3625.6809639999997,NA,3625680964,53571.509,18502.013567488,192.8574140008138,3.625680964
World,Observations,1970,33.5096301,5.35244423,3700.685676,NA,3700685676,56946.457,19611.35565872,205.00722560358602,3.700685676
World,Observations,1971,34.87449958,5.503010661,3775.76003,NA,3775760030,59265.924,20163.031061904,213.3573060004988,3.77576003
World,Observations,1972,36.76658101,5.703471947,3851.650585,NA,3851650585,62481.338,20897.521213808,224.93279529783862,3.851650585
World,Observations,1973,38.8835387,5.899879469,3927.780518,NA,3927780518,66078.908,21617.158374416,237.88404607118204,3.927780518
World,Observations,1974,39.09259119,5.834622378,4003.794178,NA,4003794178,66434.173,21378.056392992,239.1629999376534,4.003794178
World,Observations,1975,39.30431462,6.069446063,4079.480473,NA,4079480473,66793.977,22238.450374832002,240.4582942411132,4.079480473
World,Observations,1976,41.42810646,6.210217574,4154.666824000002,NA,4154666824,70403.161,22754.237191136,253.45135538737563,4.154666824000001
World,Observations,1977,42.94752585,6.314918428,4229.5059169999995,NA,4229505917,72985.271,23137.861120192003,262.746950496681,4.229505916999999
World,Observations,1978,44.45251255,6.358040004,4304.533596999999,NA,4304533597,75542.854,23295.858574656002,271.95424842914304,4.304533596999999
World,Observations,1979,46.00389253,6.512820837,4380.50618,NA,4380506180,78179.278,23862.975546767997,281.44537395358583,4.38050618
World,Observations,1980,45.67972391,6.451009771,4458.274951999999,NA,4458274952,77628.384,23636.499800944002,279.4621557200326,4.458274951999999
World,Observations,1981,45.46611924,6.370580398,4536.996616,NA,4536996616,77265.383,23341.806578272004,278.1553522536264,4.536996616000001
World,Observations,1982,45.18871697,6.307163119,4617.386524000001,NA,4617386524,76793.964,23109.445668016,276.4582440020842,4.617386524000001
World,Observations,1983,45.92110417,6.457211031,4699.569184000001,NA,4699569184,78038.587,23659.221217584,280.93888635747624,4.6995691840000005
World,Observations,1984,48.12462153,6.7766359,4784.011512,NA,4784011512,81783.257,24829.5939376,294.4196970735258,4.784011512
World,Observations,1985,49.40092829,6.882877959,4870.921665000001,NA,4870921665,83952.22,25218.864841776,302.22796314825945,4.870921665000001
World,Observations,1986,50.48879623,6.945373195,4960.5679979999995,NA,4960567998,85800.949,25447.847386480003,308.8833869036678,4.960567997999999
World,Observations,1987,52.25084044,7.06775806,5052.521994000001,NA,5052521994,88795.377,25896.26553184,319.6633266942584,5.052521994000001
World,Observations,1988,54.24712006,7.261298587,5145.4259919999995,NA,5145425992,92187.866,26605.398022768,331.8762859302716,5.145425992
World,Observations,1989,55.29910487,7.303642888,5237.441433,NA,5237441433,93975.615,26760.547541632,338.31218171997824,5.237441433
World,Observations,1990,55.93893618,7.38230138,5327.5290780000005,NA,5327529078,95062.948,27048.752256320004,342.2265800981748,5.327529078
World,Observations,1991,56.33160992,7.491863542,5414.289381999999,NA,5414289382,95730.26,27450.188017888,344.6289030651712,5.414289381999999
World,Observations,1992,56.75464134,7.358411803,5498.919891,NA,5498919891,96449.162,26961.220846192,347.21695006833244,5.498919891
World,Observations,1993,57.14953468,7.395384084,5581.597596,NA,5581597596,97120.246,27096.687283776,349.63285223738484,5.581597596
World,Observations,1994,57.88097979,7.581741809,5663.150426000001,NA,5663150426,98363.268,27779.501988176,354.1077310180494,5.663150426000001
World,Observations,1995,59.09183425,7.702006928,5744.212929000001,NA,5744212929,100421.001,28220.153384192003,361.515569084705,5.7442129290000015
World,Observations,1996,60.82706379,7.913749657,5824.891927000001,NA,5824891927,103369.86,28995.978743248004,372.1314604782894,5.824891927
World,Observations,1997,61.40502112,8.45283651,5905.045647,NA,5905045647,104352.044,30971.192972639998,375.66732250920325,5.905045647
World,Observations,1998,61.78905832,8.00783003,5984.794072,NA,5984794072,105004.679,29340.689229919997,378.01680833359524,5.984794072
World,Observations,1999,62.90607233,8.076414962,6064.23903,NA,6064239030,106902.939,29591.984420768,384.8505436648138,6.0642390299999995
World,Observations,2000,64.48335253,8.1254077,6143.776621000001,1718,6143776621,109583.378,29771.493812800003,394.50012310918584,6.143776621000001
World,Observations,2001,65.12941015,8.082960782,6222.912459,1687,6222912459,110681.292,29615.968305248003,398.452613180279,6.222912459
World,Observations,2002,66.55632249,8.394464152,6302.062210000001,1631,6302062210,113106.195,30757.316652928,407.1822631086714,6.302062210000001
World,Observations,2003,68.93549243,8.859192278,6381.477291999999,1586,6381477292,117149.37,32460.080506592,421.7376917177998,6.381477291999999
World,Observations,2004,72.28516281,9.062179921,6461.454653,1488,6461454653,122841.819,33203.827230544,442.2305061487866,6.461454653
World,Observations,2005,74.71192115,9.198332453,6542.20533,1378,6542205330,126965.866,33702.690107792005,457.077073926739,6.54220533
World,Observations,2006,76.84772425,9.613404465,6623.819401000001,1352,6623819401,130595.462,35223.51395976001,470.143618280105,6.623819401
World,Observations,2007,79.22205133,9.699873794,6706.251239000001,1288,6706251239,134630.407,35540.337581216,484.66941894975383,6.706251239000001
World,Observations,2008,80.13067778,9.882182068,6789.39638,1259,6789396380,136174.532,36208.315097152,490.22826836315085,6.78939638
World,Observations,2009,78.9190966,9.862522774,6873.077807999999,1221,6873077808,134115.564,36136.283443936,482.815984325276,6.873077807999999
World,Observations,2010,82.71266333,10.26805727,6957.137521000001,1123,6957137521,140562.373,37622.16183728,506.0244944800738,6.957137521000001
World,Observations,2011,84.72099599,10.72587036,7041.509491,981.3,7041509491,143975.345,39299.58899904,518.3111925273814,7.041509491
World,Observations,2012,85.81138834,10.8216471,7126.144677,922.8,7126144677,145828.364,39650.5149744,524.9820602697524,7.126144677
World,Observations,2013,87.43389436,10.80780967,7210.900156999999,821.5,7210900157,148585.66,39599.81463088,534.9083249492696,7.210900156999999
World,Observations,2014,88.1435948,10.94381489,7295.610265000001,782.4,7295610265,149791.729,40098.13775696001,539.250172883128,7.295610265000001
World,Observations,2015,88.78517673,10.98889523,7380.11787,751.1,7380117870,150882.037,40263.31212272,543.1752813093979,7.38011787
World,Observations,2016,89.99907226,10.68669045,7464.344232,726.2,7464344232,152944.938,39156.033808800006,550.6017242165636,7.464344232
World,Observations,2017,91.60424869,10.80475355,7548.182589000001,713.8,7548182589,155672.784,39588.6170072,560.4219688906035,7.5481825890000005
World,Observations,2018,94.18803545,11.0544974,7631.09111,NA,7631091110,160063.686,40503.678473600005,576.2292145581371,7.631091110000001
World,Observations,2019,95.4417702,11.06111178,7713.468203,NA,7713468203,162194.29,40527.91356192,583.899388235772,7.713468203000001
World,Observations,2020,NA,10.37588757,7794.798725,NA,7794798725,NA,38017.25205648001,NA,7.794798725
World,IFs base,2017,88.64,9.306,7544,713.8,NA,NA,34097.184,542.2871104000001,7.544
World,IFs base,2018,89.96,9.37,7630,700.3,NA,NA,34331.68,550.3626856,7.63
World,IFs base,2019,91.5,9.487,7716,701.5,NA,NA,34760.368,559.7841900000001,7.716
World,IFs base,2020,92.8,9.597,7801,749.5,NA,NA,35163.407999999996,567.737408,7.801
World,IFs base,2021,91.68,9.673,7885,753,NA,NA,35441.872,560.8854048000001,7.885
World,IFs base,2022,93.31,9.728,7969,745.3,NA,NA,35643.392,570.8575166,7.969
World,IFs base,2023,95.37,9.746,8051,740.4,NA,NA,35709.344000000005,583.4603082000001,8.051
