Entity,Code,Year,"CO2 mitigation curves for 1.5C (Andrews & GCP, 2019)"
Historical,,1850,2718006000
Historical,,1851,2732542000
Historical,,1852,2761601000
Historical,,1853,2787943000
Historical,,1854,2834687000
Historical,,1855,2849509000
Historical,,1856,2882696000
Historical,,1857,2910674000
Historical,,1858,2934488000
Historical,,1859,2963179000
Historical,,1860,2885120000
Historical,,1861,2865329000
Historical,,1862,2857422000
Historical,,1863,2875022000
Historical,,1864,2897211000
Historical,,1865,2924828000
Historical,,1866,2922833000
Historical,,1867,2945460000
Historical,,1868,2958653000
Historical,,1869,2985209000
Historical,,1870,3257930000
Historical,,1871,3398642000
Historical,,1872,3533893000
Historical,,1873,3646942000
Historical,,1874,3666625000
Historical,,1875,3772955000
Historical,,1876,3829393000
Historical,,1877,3877780000
Historical,,1878,3917454000
Historical,,1879,3989466000
Historical,,1880,4076085000
Historical,,1881,4152849000
Historical,,1882,4234905999.9999995
Historical,,1883,4334574000
Historical,,1884,4378583000
Historical,,1885,4415734000
Historical,,1886,4444208000
Historical,,1887,4510162000
Historical,,1888,4643592000
Historical,,1889,4664792000
Historical,,1890,4890654000
Historical,,1891,5046902000
Historical,,1892,5111044000
Historical,,1893,5136584000
Historical,,1894,5227870000
Historical,,1895,5351065000
Historical,,1896,5429017000
Historical,,1897,5543612000
Historical,,1898,5652376000
Historical,,1899,5819317000
Historical,,1900,6056737000
Historical,,1901,6230751000
Historical,,1902,6347917000
Historical,,1903,6595517000
Historical,,1904,6672369000
Historical,,1905,6855108000
Historical,,1906,7043236000
Historical,,1907,7364660000
Historical,,1908,7247909000
Historical,,1909,7412944000
Historical,,1910,7451339000
Historical,,1911,7489370000
Historical,,1912,7606259000
Historical,,1913,7816688000
Historical,,1914,7401985000
Historical,,1915,7320023000
Historical,,1916,7519393000
Historical,,1917,7699044000
Historical,,1918,7625260000
Historical,,1919,7149887000
Historical,,1920,7801949000
Historical,,1921,7437493000
Historical,,1922,7677516000
Historical,,1923,8175316000
Historical,,1924,8184663000
Historical,,1925,8253458999.999999
Historical,,1926,8298616000.000001
Historical,,1927,8607910000
Historical,,1928,8620914000
Historical,,1929,8907968000
Historical,,1930,8798940000
Historical,,1931,8537335000.000001
Historical,,1932,8280586000
Historical,,1933,8549787999.999999
Historical,,1934,8915188000
Historical,,1935,9177520000
Historical,,1936,9619883000
Historical,,1937,9949008000
Historical,,1938,9723009000
Historical,,1939,9909232000
Historical,,1940,10403578000
Historical,,1941,10626051000
Historical,,1942,10636619000
Historical,,1943,10788394000
Historical,,1944,10721013000
Historical,,1945,9862430000
Historical,,1946,10114735000
Historical,,1947,10638962000
Historical,,1948,10863323000
Historical,,1949,10585903000
Historical,,1950,11657012000
Historical,,1951,12332944000
Historical,,1952,12501518000
Historical,,1953,12774388000
Historical,,1954,12963686000
Historical,,1955,13702498000
Historical,,1956,14317252000
Historical,,1957,14754808000
Historical,,1958,15088685000
Historical,,1959,15623169000
Historical,,1960,15538909000
Historical,,1961,15342277000
Historical,,1962,15578825000
Historical,,1963,15925664000
Historical,,1964,16333088000
Historical,,1965,16660546000
Historical,,1966,17087363000
Historical,,1967,17394907000
Historical,,1968,18023430000
Historical,,1969,18839355000
Historical,,1970,19690548000
Historical,,1971,20116523000
Historical,,1972,20594256000
Historical,,1973,21361049000
Historical,,1974,21244373000
Historical,,1975,21031451000
Historical,,1976,21943064000
Historical,,1977,22408518000
Historical,,1978,22479369000
Historical,,1979,23413987000
Historical,,1980,23366405000
Historical,,1981,22801812000
Historical,,1982,22682142000
Historical,,1983,22761663000
Historical,,1984,23562440000
Historical,,1985,24203773000
Historical,,1986,24945641000
Historical,,1987,25598992000
Historical,,1988,26431735000
Historical,,1989,27003333000
Historical,,1990,27024354000
Historical,,1991,27312798000
Historical,,1992,27134295000
Historical,,1993,27095385000
Historical,,1994,27460364000
Historical,,1995,27883869000
Historical,,1996,28306643000
Historical,,1997,30437517000
Historical,,1998,28482587000
Historical,,1999,28333047000
Historical,,2000,29379836000
Historical,,2001,29453605000
Historical,,2002,30397202000
Historical,,2003,31948771000
Historical,,2004,33083227000
Historical,,2005,33702877000
Historical,,2006,34881629000
Historical,,2007,34809941000
Historical,,2008,36010373000
Historical,,2009,37288306000
Historical,,2010,38265679000
Historical,,2011,39323299000
Historical,,2012,40778535000
Historical,,2013,40858162000
Historical,,2014,41373736000
Historical,,2015,41410120000
Historical,,2016,40438809000
Historical,,2017,41240425000
Historical,,2018,42231942000
Start in 2000,,2000,29379836000
Start in 2000,,2001,29487287000
Start in 2000,,2002,29486288000
Start in 2000,,2003,29388895000
Start in 2000,,2004,29206143000
Start in 2000,,2005,28948115000
Start in 2000,,2006,28624023000
Start in 2000,,2007,28242270000
Start in 2000,,2008,27810514000
Start in 2000,,2009,27335727000
Start in 2000,,2010,26824244000
Start in 2000,,2011,26281818000
Start in 2000,,2012,25713664000
Start in 2000,,2013,25124500000
Start in 2000,,2014,24518590000
Start in 2000,,2015,23899779000
Start in 2000,,2016,23271524000
Start in 2000,,2017,22636933000
Start in 2000,,2018,21998787000
