MODEL,SCENARIO,UNIT,Year,Emissions|CO2|Fossil Fuels and Industry,Min (0.3),Max (0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1960,9386.933671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1961,9417.462637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1962,9750.056664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1963,10272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1964,10829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1965,11317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1966,11866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1967,12243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1968,12910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1969,13767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1970,14898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1971,15498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1972,16221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1973,17079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1974,17010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1975,17046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1976,17984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWID,Observations,Mt CO2/yr,1977,18495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
