Year,"FortyTwo, PR_CP_EmIntensity_1","E3ME, PR_CP_CarbonPrice_1","E3ME, PR_CP_EmIntensity_1","GCAM, PR_CP_CarbonPrice_1","GCAM, PR_CP_EmIntensity_1","GEMINI, PR_CP_CarbonPrice_1","GEMINI, PR_CP_EmIntensity_1","ICES, PR_CP_CarbonPrice_1","ICES, PR_CP_EmIntensity_1","MUSE, PR_CP_CarbonPrice_1","MUSE, PR_CP_EmIntensity_1","TIAM, PR_CP_CarbonPrice_1","TIAM, PR_CP_EmIntensity_1"
2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2005,26.938951,NaN,NaN,27.293392,27.293392,NaN,NaN,NaN,NaN,NaN,NaN,25.862533,25.862533
2006,27.626489,NaN,NaN,27.965401,27.965401,NaN,NaN,NaN,NaN,NaN,NaN,26.211478,26.211478
2007,28.314027,NaN,NaN,28.637411,28.637411,NaN,NaN,NaN,NaN,NaN,NaN,26.560422,26.560422
2008,29.001564,NaN,NaN,29.309421,29.309421,NaN,NaN,NaN,NaN,NaN,NaN,26.909366,26.909366
2009,29.689102,NaN,NaN,29.98143,29.98143,NaN,NaN,NaN,NaN,NaN,NaN,27.25831,27.25831
2010,30.37664,29.580085,29.580085,30.65344,30.65344,NaN,NaN,NaN,NaN,NaN,NaN,27.607254,27.607254
2011,30.743808,30.157788,30.157788,30.934127,30.934127,NaN,NaN,NaN,NaN,NaN,NaN,28.216554,28.216554
2012,31.110975,30.735491,30.735491,31.214814,31.214814,NaN,NaN,NaN,NaN,NaN,NaN,28.825853,28.825853
2013,31.478142,31.313193,31.313193,31.495502,31.495502,NaN,NaN,NaN,NaN,NaN,NaN,29.435152,29.435152
2014,31.84531,31.890896,31.890896,31.776189,31.776189,31.176782,31.176782,NaN,NaN,NaN,NaN,30.044451,30.044451
2015,32.212477,32.468599,32.468599,32.056876,32.056876,31.700215,31.700215,31.486989,31.486989,33.52185,33.52244,30.65375,30.65375
2016,32.366599,32.385776,32.384011,32.085615,32.08698,31.988202,31.988202,31.496132,31.494711,33.787302,33.78849,31.263049,31.263049
2017,32.520721,32.302954,32.299424,32.114354,32.117083,32.276188,32.276188,31.505276,31.502434,34.052754,34.05454,31.872348,31.872348
2018,32.674843,32.220131,32.214836,32.143093,32.147187,32.564175,32.564175,31.514419,31.510156,34.318206,34.32059,32.481647,32.481647
2019,32.828965,32.137309,32.130249,32.171833,32.17729,32.852161,32.852161,31.523563,31.517879,34.583658,34.58664,33.090946,33.090946
2020,32.983087,32.054486,32.045661,32.200572,32.207393,33.140148,33.140148,31.532706,31.525601,34.84911,34.85269,33.700246,33.700246
2021,33.193469,32.203921,32.189753,32.473575,32.479487,33.279856,33.279856,31.682885,31.66777,34.91039,34.918768,33.694513,33.679706
2022,33.403851,32.353355,32.333845,32.746578,32.75158,33.419564,33.419564,31.833064,31.809939,34.97167,34.984846,33.688781,33.659167
