MODEL,SCENARIO,Year,MAF,OECD
AIM/CGE,SSP3-Baseline,2005,3.5341357559170343,29.21414407819009
AIM/CGE,SSP3-Baseline,2010,4.093552092416774,29.800883880680146
AIM/CGE,SSP3-Baseline,2020,5.191386094538982,35.13024189026157
AIM/CGE,SSP3-Baseline,2030,6.282657676062268,39.8785417362148
AIM/CGE,SSP3-Baseline,2040,7.141739074514797,43.6978818324041
AIM/CGE,SSP3-Baseline,2050,7.81815104946156,46.99618703380043
AIM/CGE,SSP3-Baseline,2060,8.584160179548936,50.109453577920355
AIM/CGE,SSP3-Baseline,2070,9.658870852159648,53.317498602467985
AIM/CGE,SSP3-Baseline,2080,11.024835237060271,55.81529651460075
AIM/CGE,SSP3-Baseline,2090,12.638107422150384,58.079134925070626
AIM/CGE,SSP3-Baseline,2100,14.493535746302133,60.45973568114874
GCAM4,SSP4-60,2005,NA,NA
GCAM4,SSP4-60,2010,4.28192737889699,29.822319411478148
GCAM4,SSP4-60,2020,5.448862342902502,35.4688813224047
GCAM4,SSP4-60,2030,6.835028900981959,42.728408973808016
GCAM4,SSP4-60,2040,8.109430255526986,50.70618465187244
GCAM4,SSP4-60,2050,9.117663909670897,58.42639403948127
GCAM4,SSP4-60,2060,10.108468071499908,66.61073578174886
GCAM4,SSP4-60,2070,11.258824892130418,75.91195512158833
GCAM4,SSP4-60,2080,12.544806248856384,85.57294134695293
GCAM4,SSP4-60,2090,14.006991333545992,96.31465674922572
GCAM4,SSP4-60,2100,15.681516795636554,108.63574972184676
IMAGE,SSP1-19,2005,3.676818966825884,30.06516183178518
IMAGE,SSP1-19,2010,4.140251976009301,30.554434671944218
IMAGE,SSP1-19,2020,5.216060018534877,35.451151952689436
IMAGE,SSP1-19,2030,7.492954383604106,42.28622506177759
IMAGE,SSP1-19,2040,11.120006023793627,49.82153300919049
IMAGE,SSP1-19,2050,16.220697539919836,56.84798752949017
IMAGE,SSP1-19,2060,23.223722920781476,63.79415579028546
IMAGE,SSP1-19,2070,32.24221527159854,71.5357523795813
IMAGE,SSP1-19,2080,42.938493480240794,79.58461643566932
IMAGE,SSP1-19,2090,55.267595595199914,88.58705288497681
IMAGE,SSP1-19,2100,68.91038762724419,98.83639597305557
IMAGE,SSP1-26,2005,3.676818966825884,30.06516183178518
IMAGE,SSP1-26,2010,4.140251976009301,30.554434671944218
IMAGE,SSP1-26,2020,5.216060018534877,35.451151952689436
IMAGE,SSP1-26,2030,7.492954383604106,42.28622506177759
IMAGE,SSP1-26,2040,11.120006023793627,49.82153300919049
IMAGE,SSP1-26,2050,16.220697539919836,56.84798752949017
IMAGE,SSP1-26,2060,23.223722920781476,63.79415579028546
IMAGE,SSP1-26,2070,32.24221527159854,71.5357523795813
