MODEL,SCENARIO,UNIT,Year,Min (0.3),Max (0.3),FFI CO2 emissions (Gt/y)
OWID,Observations,Mt CO2/yr,1960,NA,NA,9.386933671000001
OWID,Observations,Mt CO2/yr,1961,NA,NA,9.417462636999998
OWID,Observations,Mt CO2/yr,1962,NA,NA,9.750056663999997
OWID,Observations,Mt CO2/yr,1963,NA,NA,10.272
OWID,Observations,Mt CO2/yr,1964,NA,NA,10.829
OWID,Observations,Mt CO2/yr,1965,NA,NA,11.317
OWID,Observations,Mt CO2/yr,1966,NA,NA,11.866
OWID,Observations,Mt CO2/yr,1967,NA,NA,12.243
OWID,Observations,Mt CO2/yr,1968,NA,NA,12.91
OWID,Observations,Mt CO2/yr,1969,NA,NA,13.767
OWID,Observations,Mt CO2/yr,1970,NA,NA,14.898
OWID,Observations,Mt CO2/yr,1971,NA,NA,15.498
OWID,Observations,Mt CO2/yr,1972,NA,NA,16.221
OWID,Observations,Mt CO2/yr,1973,NA,NA,17.079
OWID,Observations,Mt CO2/yr,1974,NA,NA,17.01
OWID,Observations,Mt CO2/yr,1975,NA,NA,17.046
OWID,Observations,Mt CO2/yr,1976,NA,NA,17.984
OWID,Observations,Mt CO2/yr,1977,NA,NA,18.495
OWID,Observations,Mt CO2/yr,1978,NA,NA,19.068
OWID,Observations,Mt CO2/yr,1979,NA,NA,19.61
OWID,Observations,Mt CO2/yr,1980,NA,NA,19.493
OWID,Observations,Mt CO2/yr,1981,NA,NA,19.027
OWID,Observations,Mt CO2/yr,1982,NA,NA,18.876
OWID,Observations,Mt CO2/yr,1983,NA,NA,18.998
OWID,Observations,Mt CO2/yr,1984,NA,NA,19.657
OWID,Observations,Mt CO2/yr,1985,NA,NA,20.317
OWID,Observations,Mt CO2/yr,1986,NA,NA,20.62
OWID,Observations,Mt CO2/yr,1987,NA,NA,21.266
OWID,Observations,Mt CO2/yr,1988,NA,NA,22.101
OWID,Observations,Mt CO2/yr,1989,NA,NA,22.407
OWID,Observations,Mt CO2/yr,1990,NA,NA,22.75
OWID,Observations,Mt CO2/yr,1991,NA,NA,23.238
OWID,Observations,Mt CO2/yr,1992,NA,NA,22.57
OWID,Observations,Mt CO2/yr,1993,NA,NA,22.803
OWID,Observations,Mt CO2/yr,1994,NA,NA,22.965
OWID,Observations,Mt CO2/yr,1995,NA,NA,23.454
OWID,Observations,Mt CO2/yr,1996,NA,NA,24.155
OWID,Observations,Mt CO2/yr,1997,NA,NA,24.301
OWID,Observations,Mt CO2/yr,1998,NA,NA,24.206
OWID,Observations,Mt CO2/yr,1999,NA,NA,24.519
OWID,Observations,Mt CO2/yr,2000,NA,NA,25.234
OWID,Observations,Mt CO2/yr,2001,NA,NA,25.451
OWID,Observations,Mt CO2/yr,2002,NA,NA,26.039
OWID,Observations,Mt CO2/yr,2003,NA,NA,27.367
OWID,Observations,Mt CO2/yr,2004,NA,NA,28.628
OWID,Observations,Mt CO2/yr,2005,NA,NA,29.603
OWID,Observations,Mt CO2/yr,2006,NA,NA,30.584
OWID,Observations,Mt CO2/yr,2007,NA,NA,31.494
OWID,Observations,Mt CO2/yr,2008,NA,NA,32.069
OWID,Observations,Mt CO2/yr,2009,NA,NA,31.607
OWID,Observations,Mt CO2/yr,2010,NA,NA,33.343
OWID,Observations,Mt CO2/yr,2011,NA,NA,34.468
OWID,Observations,Mt CO2/yr,2012,NA,NA,34.974
OWID,Observations,Mt CO2/yr,2013,NA,NA,35.283
OWID,Observations,Mt CO2/yr,2014,NA,NA,35.534
OWID,Observations,Mt CO2/yr,2015,NA,NA,35.496
OWID,Observations,Mt CO2/yr,2016,NA,NA,35.452
OWID,Observations,Mt CO2/yr,2017,NA,NA,35.926
OWID,Observations,Mt CO2/yr,2018,NA,NA,36.646
OWID,Observations,Mt CO2/yr,2019,NA,NA,36.703
OWID,Observations,Mt CO2/yr,2020,NA,NA,34.807
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2005,25.995279999999998,30.87588521,28.674112819999998
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2010,28.6763436,34.6,31.981483730000004
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2020,29.04573104,42.60099252,37.59921189999999
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2030,31.34984519,51.645608419999995,40.36962976999999
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2040,31.09297634,48.97671864,39.729308810000006
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2050,26.79273,39.2327005,34.10806065999999
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2060,15.50799,37.8718645,24.592893019999998
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2070,-1.20968367,37.53720285,15.595403000000001
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2080,-19.92835467,37.23689833,5.06196533
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2090,-39.610551480000005,36.50709904,-0.7055673599999999
PBR-2022,Pielke et al STEPS 2021,Mt CO2/yr,2100,-58.92544333,35.250319239999996,-3.8623322900000003
PBR-2022,Pielke et al APS 2021,Mt CO2/yr,2005,23.69539244,30.825501380000002,28.674112819999998
