ModelScenario,CumulativeCO2post2010,"Cumulative CO2 emissions (2010-2100, thousand Gt)",divergence0550steps,divergence0550aps,tolerance03in2005to2050steps,tolerance03in2005to2050aps
AIM/CGESSP1-19,881967.3017003883,0.8819673017003883,-4.053600243978003,-2.959999234644669,N,N
AIM/CGESSP1-26,1429304.1980683538,1.4293041980683538,-1.791282875456801,-0.6976818661234676,N,N
AIM/CGESSP1-34,2167712.1860630903,2.16771218606309,-0.5426600074198932,0.5509410019134402,N,N
AIM/CGESSP1-45,2787570.353676583,2.7875703536765832,0.009802360091227869,1.1034033694245613,Y,N
AIM/CGESSP1-Baseline,3270290.0357655287,3.2702900357655285,0.2829834598780009,1.3765844692113343,Y,N
AIM/CGESSP2-19,668245.1366169873,0.6682451366169873,-5.262554643928747,-4.168953634595415,N,N
AIM/CGESSP2-26,1211625.9117095277,1.2116259117095278,-2.388999767207463,-1.2953987578741297,N,N
AIM/CGESSP2-34,1943127.2744357528,1.9431272744357528,-0.8691348175673377,0.2244661917659957,N,Y
AIM/CGESSP2-45,2804822.926181683,2.804822926181683,0.28125929694489593,1.3748603062782294,Y,N
AIM/CGESSP2-60,3909565.0360534694,3.9095650360534693,0.6142920716836604,1.7078930810169939,N,N
AIM/CGESSP2-Baseline,5046642.805139178,5.046642805139179,1.11071126190221,2.204312271235543,N,N
AIM/CGESSP3-34,1753682.6666657203,1.7536826666657204,-1.0877790264010772,0.005821982932256109,N,Y
AIM/CGESSP3-45,2445357.908866289,2.445357908866289,-0.07112832585187079,1.0224726834814626,Y,N
AIM/CGESSP3-60,3558117.3224091604,3.5581173224091605,0.4955315457135929,1.5891325550469264,N,N
AIM/CGESSP3-Baseline,5522528.769781686,5.522528769781687,1.2346929804992377,2.328293989832571,N,N
AIM/CGESSP4-26,1393071.785746047,1.393071785746047,-1.8946940087576536,-0.8010929994243201,N,N
AIM/CGESSP4-34,2184680.871764879,2.184680871764879,-0.4652040639873511,0.6283969453459823,N,N
AIM/CGESSP4-45,2970325.0422199094,2.9703250422199092,0.237818541078458,1.3314195504117914,Y,N
AIM/CGESSP4-Baseline,3655942.605355715,3.655942605355715,0.5526625470497968,1.64626355638313,N,N
AIM/CGESSP5-26,1081002.0989553477,1.0810020989553477,-2.2827774965731487,-1.1891764872398152,N,N
AIM/CGESSP5-34,1942353.6376803,1.9423536376803001,-0.6471337375786883,0.44646727175464507,N,N
AIM/CGESSP5-45,2655040.267496648,2.6550402674966476,0.016356097121325353,1.1099571064546587,Y,N
AIM/CGESSP5-60,3630956.871735296,3.6309568717352962,0.5246986015030333,1.6182996108363668,N,N
AIM/CGESSP5-Baseline,6772232.1846284,6.7722321846284,1.6288883801766278,2.722489389509961,N,N
