ModelScenario,SSPscenario,RCPScenario,Marker,CumulativeCO2post2010,"Cumulative CO2 emissions (2010-2100, thousand Gt)"
AIM/CGE SSP1-19,SSP1,RCP1.9,Non-marker,693305.0974981727,0.6933050974981727
AIM/CGE SSP1-26,SSP1,RCP2.6,Non-marker,1355309.3803937952,1.3553093803937952
AIM/CGE SSP1-34,SSP1,RCP3.4,Non-marker,2176120.3163062963,2.1761203163062963
AIM/CGE SSP1-45,SSP1,RCP4.5,Non-marker,2865314.2149243993,2.8653142149243993
AIM/CGE SSP1-Baseline,SSP1,Baseline,Non-marker,3397233.053700998,3.397233053700998
AIM/CGE SSP2-19,SSP2,RCP1.9,Non-marker,608223.0495541957,0.6082230495541957
AIM/CGE SSP2-26,SSP2,RCP2.6,Non-marker,1244664.6159735343,1.2446646159735344
AIM/CGE SSP2-34,SSP2,RCP3.4,Non-marker,2074732.0577458686,2.0747320577458686
AIM/CGE SSP2-45,SSP2,RCP4.5,Non-marker,3002371.063269564,3.002371063269564
AIM/CGE SSP2-60,SSP2,RCP6.0,Non-marker,4196031.866714206,4.196031866714206
AIM/CGE SSP2-Baseline,SSP2,Baseline,Non-marker,5339608.230680069,5.339608230680069
AIM/CGE SSP3-34,SSP3,RCP3.4,Non-marker,2003273.6310652026,2.003273631065203
AIM/CGE SSP3-45,SSP3,RCP4.5,Non-marker,2756855.6519582607,2.7568556519582605
AIM/CGE SSP3-60,SSP3,RCP6.0,Non-marker,3950094.8930767477,3.9500948930767477
AIM/CGE SSP3-Baseline,SSP3,Baseline,Marker,5918664.039151056,5.918664039151055
AIM/CGE SSP4-26,SSP4,RCP2.6,Non-marker,1491379.877894583,1.4913798778945828
AIM/CGE SSP4-34,SSP4,RCP3.4,Non-marker,2375790.2199649364,2.3757902199649363
AIM/CGE SSP4-45,SSP4,RCP4.5,Non-marker,3208014.4465529383,3.208014446552938
AIM/CGE SSP4-Baseline,SSP4,Baseline,Non-marker,3958565.8012025575,3.9585658012025573
AIM/CGE SSP5-26,SSP5,RCP2.6,Non-marker,1111368.3865917246,1.1113683865917245
AIM/CGE SSP5-34,SSP5,RCP3.4,Non-marker,2037291.996701346,2.037291996701346
AIM/CGE SSP5-45,SSP5,RCP4.5,Non-marker,2790719.3029018794,2.7907193029018793
AIM/CGE SSP5-60,SSP5,RCP6.0,Non-marker,3819779.2144811302,3.8197792144811302
AIM/CGE SSP5-Baseline,SSP5,Baseline,Non-marker,6967211.973142144,6.9672119731421445
GCAM4 SSP1-19,SSP1,RCP1.9,Non-marker,567369.8416256533,0.5673698416256533
GCAM4 SSP1-26,SSP1,RCP2.6,Non-marker,1293520.1507683941,1.2935201507683942
GCAM4 SSP1-34,SSP1,RCP3.4,Non-marker,2165454.2629464627,2.165454262946463
GCAM4 SSP1-45,SSP1,RCP4.5,Non-marker,2878669.175267459,2.8786691752674587
GCAM4 SSP1-Baseline,SSP1,Baseline,Non-marker,3932578.058127843,3.932578058127843
GCAM4 SSP2-19,SSP2,RCP1.9,Non-marker,140188.87046359456,0.14018887046359457
GCAM4 SSP2-26,SSP2,RCP2.6,Non-marker,819997.880084696,0.819997880084696
GCAM4 SSP2-34,SSP2,RCP3.4,Non-marker,1862470.173192335,1.862470173192335
