MODEL,SCENARIO,REGION,Year,GDP|PPP,Population,p.-c. GDP (thousand 2005 USD PPP)
AIM/CGE,SSP3-Baseline,R5.2ASIA,2005,12547.985200000001,3472.0678000000003,3.6139804643215783
AIM/CGE,SSP3-Baseline,R5.2ASIA,2010,18580.698600000003,3657.7622,5.079799501454743
AIM/CGE,SSP3-Baseline,R5.2ASIA,2020,37104.9083,4037.7836,9.189424688336443
AIM/CGE,SSP3-Baseline,R5.2ASIA,2030,56432.0967,4392.651599999999,12.846932067182385
AIM/CGE,SSP3-Baseline,R5.2ASIA,2040,69042.4986,4674.2948,14.770676979979955
AIM/CGE,SSP3-Baseline,R5.2ASIA,2050,78233.0172,4909.6385,15.934577912406382
AIM/CGE,SSP3-Baseline,R5.2ASIA,2060,85006.2645,5089.8331,16.701188983976706
AIM/CGE,SSP3-Baseline,R5.2ASIA,2070,91713.7063,5231.6782,17.530456345728602
AIM/CGE,SSP3-Baseline,R5.2ASIA,2080,98544.9761,5367.3544,18.360065081597742
AIM/CGE,SSP3-Baseline,R5.2ASIA,2090,105522.0628,5511.3096,19.14645891060085
AIM/CGE,SSP3-Baseline,R5.2ASIA,2100,113411.6053,5668.6748,20.006722788190284
AIM/CGE,SSP3-Baseline,R5.2LAM,2005,4476.0288,557.1652,8.0335756791702
AIM/CGE,SSP3-Baseline,R5.2LAM,2010,5336.2841,590.2103,9.041326625441814
AIM/CGE,SSP3-Baseline,R5.2LAM,2020,7879.0679,664.8341,11.851178963293249
AIM/CGE,SSP3-Baseline,R5.2LAM,2030,10404.6728,744.0540000000001,13.983760318471507
AIM/CGE,SSP3-Baseline,R5.2LAM,2040,12526.9178,815.9182999999999,15.353152147708908
AIM/CGE,SSP3-Baseline,R5.2LAM,2050,14567.2976,882.4591,16.50761786013652
AIM/CGE,SSP3-Baseline,R5.2LAM,2060,16664.7945,941.4580000000001,17.7010493298692
AIM/CGE,SSP3-Baseline,R5.2LAM,2070,18921.704599999997,994.7173,19.022193139699084
AIM/CGE,SSP3-Baseline,R5.2LAM,2080,21392.6665,1045.7791,20.45620007131525
AIM/CGE,SSP3-Baseline,R5.2LAM,2090,23980.6789,1096.6858,21.86649895530698
AIM/CGE,SSP3-Baseline,R5.2LAM,2100,26799.8072,1148.8949,23.32659601848698
AIM/CGE,SSP3-Baseline,R5.2MAF,2005,3891.9617,1101.2485,3.5341357559170343
AIM/CGE,SSP3-Baseline,R5.2MAF,2010,5066.6496,1237.7147,4.093552092416774
AIM/CGE,SSP3-Baseline,R5.2MAF,2020,8094.553,1559.2277000000001,5.191386094538982
AIM/CGE,SSP3-Baseline,R5.2MAF,2030,12147.611600000002,1933.5148000000002,6.282657676062268
AIM/CGE,SSP3-Baseline,R5.2MAF,2040,16680.4986,2335.6354,7.141739074514797
AIM/CGE,SSP3-Baseline,R5.2MAF,2050,21577.2111,2759.8867,7.81815104946156
AIM/CGE,SSP3-Baseline,R5.2MAF,2060,27260.6428,3175.6913000000004,8.584160179548936
AIM/CGE,SSP3-Baseline,R5.2MAF,2070,34464.669,3568.1882,9.658870852159648
AIM/CGE,SSP3-Baseline,R5.2MAF,2080,43468.7325,3942.8011,11.024835237060271
AIM/CGE,SSP3-Baseline,R5.2MAF,2090,54273.7141,4294.4495,12.638107422150384
AIM/CGE,SSP3-Baseline,R5.2MAF,2100,66922.2389,4617.3853,14.493535746302133
AIM/CGE,SSP3-Baseline,R5.2OECD,2005,31628.804099999998,1082.6538,29.21414407819009
AIM/CGE,SSP3-Baseline,R5.2OECD,2010,33227.0766,1114.9695,29.800883880680146
AIM/CGE,SSP3-Baseline,R5.2OECD,2020,40501.90529999999,1152.9071000000001,35.13024189026157
AIM/CGE,SSP3-Baseline,R5.2OECD,2030,46229.9572,1159.269,39.8785417362148
AIM/CGE,SSP3-Baseline,R5.2OECD,2040,50056.5223,1145.5137,43.6978818324041
AIM/CGE,SSP3-Baseline,R5.2OECD,2050,52453.0412,1116.1127000000001,46.99618703380043
AIM/CGE,SSP3-Baseline,R5.2OECD,2060,53853.105800000005,1074.7095000000002,50.109453577920355
AIM/CGE,SSP3-Baseline,R5.2OECD,2070,54680.1819,1025.5579,53.317498602467985
AIM/CGE,SSP3-Baseline,R5.2OECD,2080,54327.444899999995,973.3433,55.81529651460075
AIM/CGE,SSP3-Baseline,R5.2OECD,2090,53413.4057,919.666,58.079134925070626
AIM/CGE,SSP3-Baseline,R5.2OECD,2100,52291.311,864.8947999999999,60.45973568114874
AIM/CGE,SSP3-Baseline,R5.2REF,2005,2183.3359,277.8526,7.857892638039018
AIM/CGE,SSP3-Baseline,R5.2REF,2010,2602.0101,278.9328,9.32844792724269
AIM/CGE,SSP3-Baseline,R5.2REF,2020,3867.5623,283.1015,13.661398120462097
AIM/CGE,SSP3-Baseline,R5.2REF,2030,5187.3206,284.818,18.21275551404757
AIM/CGE,SSP3-Baseline,R5.2REF,2040,6270.6712,285.8579,21.936322907290652
AIM/CGE,SSP3-Baseline,R5.2REF,2050,6823.7351,289.0339,23.60877080508549
AIM/CGE,SSP3-Baseline,R5.2REF,2060,7299.0661,292.6701,24.93956881827013
AIM/CGE,SSP3-Baseline,R5.2REF,2070,8115.8189,297.235,27.30438508251047
AIM/CGE,SSP3-Baseline,R5.2REF,2080,9000.2594,304.1374,29.592741307053984
AIM/CGE,SSP3-Baseline,R5.2REF,2090,9891.2156,312.2159,31.680691470229416
AIM/CGE,SSP3-Baseline,R5.2REF,2100,10839.6297,320.2856,33.84363736615071
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2005,12124,3495,3.4689556509299
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2010,19088,3681,5.185547405596306
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2020,37517,3960,9.473989898989899
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2030,74550,4120,18.094660194174757
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2040,125110,4173,29.980829139707645
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2050,176810,4116,42.956754130223516
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2060,224650,3961,56.715475889926786
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2070,270200,3733,72.38146263059201
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2080,309650,3448.8,89.78485270238923
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2090,343800,3123.1,110.08293042169639
REMIND-MAGPIE,SSP5-Baseline,R5.2ASIA,2100,373500,2775.2,134.58489478235805
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2005,4828,552.7,8.73529943911706
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2010,5846,585.8,9.979515192898601
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2020,8397,632.5,13.275889328063242
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2030,12770,656.5,19.45163747143945
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2040,19480,663,29.381598793363498
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2050,27390,652.4,41.983445738810545
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2060,35730,627.3,56.9583931133429
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2070,44130,593.3,74.38058317883028
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2080,52050,553.2,94.08893709327548
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2090,59350,506.1,117.26931436475004
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,2100,66130,451.9,146.33768532861254
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2005,4101.9,1126.9,3.639985801757032
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2010,5267,1264.3,4.165941627778217
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2020,8436,1522.3,5.5416146620245685
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2030,15121,1751.3,8.63415748301262
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2040,27760,1950.1,14.23516742731142
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2050,47050,2098.6,22.419708377013247
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2060,74580,2193,34.008207934336525
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2070,111980,2241.1,49.96653429119629
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2080,157560,2243.2,70.2389443651926
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2090,210020,2204.4,95.27309018326982
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,2100,268260,2129.1,125.99690009863323
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2005,33923,1187.3,28.571548892445044
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2010,35346,1220,28.972131147540985
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2020,44598,1295.5,34.425318409880354
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2030,58641,1385.6,42.32173787528868
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2040,80798,1477.4,54.689319074049
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2050,104652,1573.6,66.50482968988308
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2060,133017,1672.8000000000002,79.51757532281205
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2070,167520,1761,95.12776831345826
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2080,208230,1833.6,113.56348167539268
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2090,254880,1885.3,135.19333793030287
REMIND-MAGPIE,SSP5-Baseline,R5.2OECD,2100,308490,1916.1,160.99890402379836
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2005,1707,143.8,11.870653685674547
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2010,2029,143,14.188811188811188
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2020,2995,142,21.091549295774648
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2030,4742,140.7,33.70291400142147
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2040,7011,139.9,50.11436740528949
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2050,8786,138.1,63.62056480811007
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2060,10340,134.8,76.70623145400593
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2070,11980,129.6,92.43827160493828
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2080,13170,121.8,108.12807881773399
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2090,14200,112.2,126.55971479500892
REMIND-MAGPIE,SSP5-Baseline,R5.2REF,2100,15170,101.7,149.16420845624384
