Year,SCENARIO,Population (billions)
2020,Vollset et al. 2020 (reference),7.86
2025,Vollset et al. 2020 (reference),8.285
2030,Vollset et al. 2020 (reference),8.605
2040,Vollset et al. 2020 (reference),9.162
2050,Vollset et al. 2020 (reference),9.556
2060,Vollset et al. 2020 (reference),9.711
2070,Vollset et al. 2020 (reference),9.707
2080,Vollset et al. 2020 (reference),9.508
2090,Vollset et al. 2020 (reference),9.205
2100,Vollset et al. 2020 (reference),8.788
2020,UN 2019 medium,7.794799
2025,UN 2019 medium,8.184437
2030,UN 2019 medium,8.548487
2040,UN 2019 medium,9.198847
2050,UN 2019 medium,9.735034
2060,UN 2019 medium,10.15147
2070,UN 2019 medium,10.45924
2080,UN 2019 medium,10.673904
2090,UN 2019 medium,10.809892
2100,UN 2019 medium,10.875394
2005,SSP3-Baseline,6.4909879
2005,SSP4-60,NA
2005,SSP1-19,6.5305478515625
2005,SSP1-26,6.5305478515625
2005,SSP2-34,6.5031300000000005
2005,SSP2-45,6.5031300000000005
2005,SSP5-Baseline,6.505
2010,SSP3-Baseline,6.8795896
2010,SSP4-60,6.895881999999999
2010,SSP1-19,6.9217978515625
2010,SSP1-26,6.9217978515625
2010,SSP2-34,6.86739
2010,SSP2-45,6.86739
2010,SSP5-Baseline,6.894
2020,SSP3-Baseline,7.6978539
2020,SSP4-60,7.626353
2020,SSP1-19,7.57610498046875
2020,SSP1-26,7.57610498046875
2020,SSP2-34,7.61125
2020,SSP2-45,7.61125
2020,SSP5-Baseline,7.552
2030,SSP3-Baseline,8.5143073
2030,SSP4-60,8.258565
2030,SSP1-19,8.06193798828125
2030,SSP1-26,8.06193798828125
2030,SSP2-34,8.261989999999999
2030,SSP2-45,8.261989999999999
2030,SSP5-Baseline,8.054
2040,SSP3-Baseline,9.257220199999999
2040,SSP4-60,8.76568
2040,SSP1-19,8.3887626953125
2040,SSP1-26,8.3887626953125
2040,SSP2-34,8.787120000000002
2040,SSP2-45,8.787120000000002
2040,SSP5-Baseline,8.403
2050,SSP3-Baseline,9.957130800000002
2050,SSP4-60,9.146527
2050,SSP1-19,8.5305
2050,SSP1-26,8.5305
2050,SSP2-34,9.16911
2050,SSP2-45,9.16911
2050,SSP5-Baseline,8.579
2060,SSP3-Baseline,10.5743619
2060,SSP4-60,9.377450000000001
2060,SSP1-19,8.49217578125
2060,SSP1-26,8.49217578125
2060,SSP2-34,9.3847
2060,SSP2-45,9.3847
2060,SSP5-Baseline,8.589
2070,SSP3-Baseline,11.1173765
2070,SSP4-60,9.472529
2070,SSP1-19,8.2989501953125
2070,SSP1-26,8.2989501953125
2070,SSP2-34,9.45688
2070,SSP2-45,9.45688
2070,SSP5-Baseline,8.457
2080,SSP3-Baseline,11.633415300000001
2080,SSP4-60,9.471440000000001
2080,SSP1-19,7.96738720703125
2080,SSP1-26,7.96738720703125
2080,SSP2-34,9.40726
2080,SSP2-45,9.40726
2080,SSP5-Baseline,8.2
2090,SSP3-Baseline,12.134326999999999
2090,SSP4-60,9.401586
2090,SSP1-19,7.5104541015625
2090,SSP1-26,7.5104541015625
2090,SSP2-34,9.253950000000001
2090,SSP2-45,9.253950000000001
2090,SSP5-Baseline,7.831
2100,SSP3-Baseline,12.6201355
2100,SSP4-60,9.292446
2100,SSP1-19,6.95798876953125
2100,SSP1-26,6.95798876953125
2100,SSP2-34,9.03242
2100,SSP2-45,9.03242
2100,SSP5-Baseline,7.375
