Year,CCS (Mt),SCENARIO,MODEL,REGION,VARIABLE,UNIT
2010,13.339,Operational Capacity,NA,NA,NA,NA
2011,20.295,Operational Capacity,NA,NA,NA,NA
2012,20.348,Operational Capacity,NA,NA,NA,NA
2013,27.212,Operational Capacity,NA,NA,NA,NA
2014,28.088,Operational Capacity,NA,NA,NA,NA
2015,29.887,Operational Capacity,NA,NA,NA,NA
2016,30.628,Operational Capacity,NA,NA,NA,NA
2017,32.157,Operational Capacity,NA,NA,NA,NA
2018,32.762,Operational Capacity,NA,NA,NA,NA
2019,37.601,Operational Capacity,NA,NA,NA,NA
2020,38.369,Operational Capacity,NA,NA,NA,NA
2005,NA,SSP4-60,GCAM4,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2005,0,SSP1-19,IMAGE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2005,0,SSP1-26,IMAGE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2005,0,SSP2-34,MESSAGE-GLOBIOM,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2005,0,SSP2-45,MESSAGE-GLOBIOM,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2005,0,SSP5-Baseline,REMIND-MAGPIE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2010,1813.315031,SSP4-60,GCAM4,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2010,0,SSP1-19,IMAGE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2010,0,SSP1-26,IMAGE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2010,0,SSP2-34,MESSAGE-GLOBIOM,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2010,0,SSP2-45,MESSAGE-GLOBIOM,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2010,0,SSP5-Baseline,REMIND-MAGPIE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2020,2566.11219056133,SSP4-60,GCAM4,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
2020,181.46895712096256,SSP1-19,IMAGE,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr
