SCENARIO,Path,Year,CO2intensity
Historical,NA,1850,NA
Historical,NA,1851,NA
Historical,NA,1852,NA
Historical,NA,1853,NA
Historical,NA,1854,NA
Historical,NA,1855,NA
Historical,NA,1856,NA
Historical,NA,1857,NA
Historical,NA,1858,NA
Historical,NA,1859,NA
Historical,NA,1860,NA
Historical,NA,1861,NA
Historical,NA,1862,NA
Historical,NA,1863,NA
Historical,NA,1864,NA
Historical,NA,1865,NA
Historical,NA,1866,NA
Historical,NA,1867,NA
Historical,NA,1868,NA
Historical,NA,1869,NA
Historical,NA,1870,1.9784003519683684
Historical,NA,1871,NA
Historical,NA,1872,NA
Historical,NA,1873,NA
Historical,NA,1874,NA
Historical,NA,1875,NA
Historical,NA,1876,NA
Historical,NA,1877,NA
Historical,NA,1878,NA
Historical,NA,1879,NA
Historical,NA,1880,NA
Historical,NA,1881,NA
Historical,NA,1882,NA
Historical,NA,1883,NA
Historical,NA,1884,NA
Historical,NA,1885,NA
Historical,NA,1886,NA
Historical,NA,1887,NA
Historical,NA,1888,NA
Historical,NA,1889,NA
Historical,NA,1890,NA
Historical,NA,1891,NA
Historical,NA,1892,NA
Historical,NA,1893,NA
Historical,NA,1894,NA
Historical,NA,1895,NA
Historical,NA,1896,NA
Historical,NA,1897,NA
Historical,NA,1898,NA
Historical,NA,1899,NA
Historical,NA,1900,2.0698064212254628
Historical,NA,1901,NA
Historical,NA,1902,NA
Historical,NA,1903,NA
Historical,NA,1904,NA
Historical,NA,1905,NA
Historical,NA,1906,NA
Historical,NA,1907,NA
Historical,NA,1908,NA
Historical,NA,1909,NA
Historical,NA,1910,NA
Historical,NA,1911,NA
Historical,NA,1912,NA
Historical,NA,1913,1.927190390613506
Historical,NA,1914,NA
Historical,NA,1915,NA
Historical,NA,1916,NA
Historical,NA,1917,NA
Historical,NA,1918,NA
Historical,NA,1919,NA
Historical,NA,1920,NA
Historical,NA,1921,NA
Historical,NA,1922,NA
Historical,NA,1923,NA
Historical,NA,1924,NA
Historical,NA,1925,NA
Historical,NA,1926,NA
Historical,NA,1927,NA
Historical,NA,1928,NA
Historical,NA,1929,NA
Historical,NA,1930,NA
Historical,NA,1931,NA
Historical,NA,1932,NA
Historical,NA,1933,NA
Historical,NA,1934,NA
Historical,NA,1935,NA
Historical,NA,1936,NA
Historical,NA,1937,NA
Historical,NA,1938,NA
Historical,NA,1939,NA
Historical,NA,1940,1.5570139840223298
Historical,NA,1941,NA
Historical,NA,1942,NA
Historical,NA,1943,NA
Historical,NA,1944,NA
Historical,NA,1945,NA
Historical,NA,1946,NA
Historical,NA,1947,NA
Historical,NA,1948,NA
Historical,NA,1949,NA
Historical,NA,1950,1.4721580189681225
Historical,NA,1951,1.4709340340413155
Historical,NA,1952,1.4251251758090346
Historical,NA,1953,1.3864076262146137
Historical,NA,1954,1.3604490955193673
Historical,NA,1955,1.3518158126410802
Historical,NA,1956,1.3490275186440264
Historical,NA,1957,1.3392859359394131
Historical,NA,1958,1.3269807649902998
Historical,NA,1959,1.313775631211678
Historical,NA,1960,1.2417071740621994
Historical,NA,1961,1.1848959177265923
Historical,NA,1962,1.1490213121818313
Historical,NA,1963,1.1256786747247773
Historical,NA,1964,1.076419214916092
Historical,NA,1965,1.043370099677762
Historical,NA,1966,1.0147713358751476
Historical,NA,1967,0.9959750416696491
Historical,NA,1968,0.9781393794508404
Historical,NA,1969,0.9689534955487684
Historical,NA,1970,0.9638812446923289
Historical,NA,1971,0.9455437253326862
Historical,NA,1972,0.9240459184177519
Historical,NA,1973,0.8988001318128925
Historical,NA,1974,0.8735538542617174
Historical,NA,1975,0.8518079396377943
Historical,NA,1976,0.8473935169351533
Historical,NA,1977,0.8316458735067398
Historical,NA,1978,0.7991385672270853
Historical,NA,1979,0.80363106530483
Historical,NA,1980,0.7861088355655627
Historical,NA,1981,0.7523668990280469
Historical,NA,1982,0.7402360309629413
Historical,NA,1983,0.7222878967755539
Historical,NA,1984,0.71508118177835
Historical,NA,1985,0.7100701780054343
Historical,NA,1986,0.706837217285889
