Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,17231.37976,20262.94489,24343.25518,27313.49536,27884.25315,28953.52471,29031.74375,29324.79206,29989.01814,29367.30967,28684.56498,29901.35929,29857.55966,29640.04523,31245.72404,29656.10401,28051.11922,28008.50355,29695.49296,29670.28769,29743.52963,30160.52784,30092.73937,26903.17135,25857.49338,26647.64354,26150.63694,27090.02617,27011.32032,28396.90842,28847.81406,29286.24932,,,
Africa Eastern and Southern,AFE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1368.947838,1381.216886,1344.973136,1309.328021,1314.879652,1275.813487,1266.23027,1276.644587,1292.250938,1287.094742,1252.115067,1214.899624,1151.732721,1105.285512,1096.596102,1115.121467,1147.106044,1154.860772,1145.359957,1145.426015,1151.358502,1160.964083,1176.893053,1180.575857,1215.126949,1261.335847,1314.497669,1374.253716,1405.067916,1388.12618,1421.483955,1444.501381,1449.610605,1479.016654,1503.50664,1507.800256,1501.67131,1507.821357,1507.861055,1499.256275,1418.380523
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.7668827,345.6395712,335.7017313,359.8990021,368.0086446,408.5734542,415.0869954,491.942093,547.3548959,532.679977,580.4872876,591.9470685,588.0088976,578.4663529,575.3344424,575.7070531,568.8279274,577.5630576,553.4891257
Africa Western and Central,AFW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1084.714724,1082.417306,1099.685348,1154.999045,1191.701873,1212.801697,1165.37882,1030.971333,1022.924771,1154.632864,1329.971634,1439.136667,1448.995448,1473.207726,1583.362493,1510.181812,1598.149248,1629.354086,1550.815764,1587.846303,1574.824356,1425.665111,1340.397542,1218.369387,1191.285494,1223.244761,1206.827349,1191.363141,1216.006218,1210.661105,1256.142249,1236.87283,1237.022971,1190.95135,1156.454082,1148.411951,1170.276279,1181.690502,1191.400285,1176.669319,1186.146977,1217.817591,1304.340681,1342.773361,1409.681789,1452.768767,1488.023643,1528.674789,1578.758843,1631.732242,1693.863497,1729.457149,1771.909728,1828.235094,1884.5173,1886.248158,1838.271128,1830.38184,1834.366604,1843.558468,1778.989069
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3550.08297,3276.361709,3162.004129,3179.348236,3252.107869,3248.608116,3226.817179,3242.579102,3323.534292,3212.66272,2998.780751,2929.482887,2669.434706,1964.389715,1927.50049,2146.455653,2360.087804,2451.60866,2485.066842,2458.09645,2451.509826,2471.664627,2717.44097,2705.706139,2900.166963,3220.078085,3464.234669,3806.849178,4077.776844,3963.24842,3988.623646,3979.815051,4167.125797,4220.964805,4272.455537,4166.979833,3924.620471,3790.791565,3595.106667,3458.650512,3213.7842
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1740.602249,1804.110707,1818.468543,1799.978316,1740.444083,1735.386434,1798.114676,1748.675578,1691.624647,1808.746263,1606.385444,1163.556047,1086.498952,1197.647244,1305.073347,1488.103306,1633.642486,1464.379073,1603.746264,1821.970527,1961.057323,2143.653801,2247.705088,2380.895778,2522.603857,2675.760999,2851.567369,3045.015606,3298.605602,3432.162465,3577.103981,3678.034042,3736.336637,3780.694571,3855.757468,3952.801215,4090.363323,4249.79385,4433.741739,4549.457441,4424.310223
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,35391.0736,35159.46658,36166.41344,37123.26233,37504.7417,36246.68328,36175.32105,36081.65766,35551.73561,34462.49276,34014.48837,32669.46174,31709.2961,30896.95148,30084.56691,29480.34645,29178.54285,29564.82104,29854.80023,30091.2493,30051.17774,29642.71146,28792.19813,27517.54879,27408.28009,27641.88642,28701.09471,31325.51738,32416.01423,33625.24377,34267.58224,35974.87965,36158.58643,37620.20554,39042.95877,39782.92876,40602.53758,40391.87146,37610.56095,35362.69655,34667.17131,34956.59623,33750.05692,33220.56195,34721.89197,35770.7767,37432.76266,37707.6836,38301.29844,39003.38445,34287.22795
Arab World,ARB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,3843.684227,4314.228711,4526.186743,4354.41305,4702.426035,4969.25908,4969.262347,4391.587374,3975.852673,3918.476236,3719.692095,3784.003467,3660.913731,3764.277165,3744.255705,4071.360626,4050.624109,4176.685138,4191.887449,4219.723298,4210.487037,4304.031598,4388.553597,4515.89759,4504.817076,4705.55892,4681.965157,4607.142766,4721.684354,5037.270711,5192.348026,5384.490871,5500.379092,5685.396601,5589.597363,5720.204126,5809.505212,6023.55529,6094.028531,6127.26428,6185.08363,6260.054362,6203.634244,6221.698018,6206.570758,5822.977998
United Arab Emirates,ARE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,99527.56101,99681.2269,105014.8499,90957.51961,98626.73609,111657.4386,108644.1017,95409.05198,86172.95548,85096.33591,77702.29218,62414.50689,60858.81088,55857.76362,59163.82664,66072.8416,62900.92528,61340.23539,58676.99507,59408.9462,60213.90637,60593.69829,62311.32657,59342.12254,57918.21524,60761.51292,58465.39287,56857.41745,57975.41689,57953.38034,53884.84264,51235.50312,45422.50087,40785.47851,34605.97902,32559.04647,33271.44781,34022.68892,35523.15911,36979.65046,38663.4005,39429.3804,39828.1757,39700.49043,39789.96685,
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7362.534063,7637.066652,7451.803393,6945.957125,7532.004475,8202.112548,8026.876237,8161.602114,8429.868889,9108.496877,9243.256579,9613.676881,9614.237931,9725.467045,10100.06848,9939.696623,9591.172001,10103.62737,9505.85621,10321.2391,10318.18299,9630.115178,9407.874641,9660.19213,9655.183649,9009.001729,9412.994813,9517.10861,9269.35579,8477.672903,8149.240619,8769.7504,9338.699517,9974.004419,10423.37888,10003.09169,10430.68249,11146.72103,11445.56494,10935.64459,10730.60822,10146.10682,8943.308002,9629.844086,10389.15127,11192.17958,11970.65539,12919.23536,13310.62368,12398.28358,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13112.40113,12711.70519,11342.02182
