Country,REGION
Afghanistan,ASIA
Albania,REF
Algeria,MAF
Angola,MAF
Antigua and Barbuda,LAM
Argentina,LAM
Armenia,REF
Aruba,LAM
Australia,OECD90
Austria,OECD90
Azerbaijan,REF
Bahrain,MAF
Bangladesh,ASIA
Barbados,LAM
Belarus,REF
Belgium,OECD90
Belize,LAM
Benin,MAF
Bhutan,ASIA
Bolivia,LAM
Bosnia and Herzegovina,REF
Botswana,MAF
Brazil,LAM
Brunei Darussalam,ASIA
Bulgaria,REF
Burkina Faso,MAF
Burundi,MAF
Cabo Verde,MAF
Cambodia,ASIA
Cameroon,MAF
Canada,OECD90
Central African Republic,MAF
Chad,MAF
Chile,LAM
China,ASIA
Colombia,LAM
Comoros,MAF
Costa Rica,LAM
Croatia,REF
Cote d'Ivoire,MAF
Cyprus,REF
Czech Republic,REF
Democratic Republic of the Congo,MAF
Denmark,OECD90
Djibouti,MAF
Dominica,LAM
Dominican Republic,LAM
Ecuador,LAM
Egypt,MAF
El Salvador,LAM
Equatorial Guinea,MAF
Eritrea,MAF
Estonia,REF
Eswatini,MAF
Ethiopia,MAF
Fiji,ASIA
Finland,OECD90
France,OECD90
Gabon,MAF
Georgia,REF
Germany,OECD90
Ghana,MAF
Greece,OECD90
Grenada,LAM
Guatemala,LAM
Guinea,MAF
Guinea-Bissau,MAF
Guyana,LAM
Haiti,LAM
Honduras,LAM
Hong Kong SAR,ASIA
Hungary,REF
Iceland,OECD90
India,ASIA
Indonesia,ASIA
Iraq,MAF
Ireland,OECD90
Islamic Republic of Iran,MAF
Israel,MAF
Italy,OECD90
Jamaica,LAM
Japan,OECD90
Jordan,MAF
Kazakhstan,REF
Kenya,MAF
Kiribati,ASIA
Korea,ASIA
Kosovo,REF
Kuwait,MAF
Kyrgyz Republic,REF
Lao P.D.R.,ASIA
Latvia,REF
Lebanon,MAF
Lesotho,MAF
Liberia,MAF
Libya,MAF
Lithuania,REF
Luxembourg,OECD90
Macao SAR,ASIA
Madagascar,MAF
Malawi,MAF
Malaysia,ASIA
Maldives,ASIA
Mali,MAF
Malta,REF
Marshall Islands,ASIA
Mauritania,MAF
Mauritius,MAF
Mexico,LAM
Micronesia,ASIA
Moldova,REF
Mongolia,ASIA
Montenegro,REF
Morocco,MAF
Mozambique,MAF
Myanmar,ASIA
Namibia,MAF
Nauru,ASIA
Nepal,ASIA
Netherlands,OECD90
New Zealand,OECD90
Nicaragua,LAM
Niger,MAF
Nigeria,MAF
North Macedonia,REF
Norway,OECD90
Oman,MAF
Pakistan,ASIA
Palau,ASIA
Panama,LAM
Papua New Guinea,ASIA
Paraguay,LAM
Peru,LAM
Philippines,ASIA
Poland,REF
Portugal,OECD90
Puerto Rico,LAM
Qatar,MAF
Republic of Congo,MAF
Romania,REF
Russia,REF
Rwanda,MAF
Sao Tome and Principe,MAF
Samoa,ASIA
San Marino,OECD90
Saudi Arabia,MAF
Senegal,MAF
Serbia,REF
Seychelles,MAF
Sierra Leone,MAF
Singapore,ASIA
Slovak Republic,REF
Slovenia,REF
Solomon Islands,ASIA
Somalia,MAF
South Africa,MAF
South Sudan,MAF
Spain,OECD90
Sri Lanka,ASIA
St. Kitts and Nevis,LAM
St. Lucia,LAM
St. Vincent and the Grenadines,LAM
Sudan,MAF
Suriname,LAM
Sweden,OECD90
Switzerland,OECD90
Syria,MAF
Taiwan Province of China,ASIA
Tajikistan,REF
Tanzania,MAF
Thailand,ASIA
The Bahamas,LAM
The Gambia,MAF
Timor-Leste,ASIA
Togo,MAF
Tonga,ASIA
Trinidad and Tobago,LAM
Tunisia,MAF
Turkey,OECD90
Turkmenistan,REF
Tuvalu,ASIA
Uganda,MAF
Ukraine,REF
United Arab Emirates,MAF
United Kingdom,OECD90
United States,OECD90
Uruguay,LAM
Uzbekistan,REF
Vanuatu,ASIA
Venezuela,LAM
Vietnam,ASIA
Yemen,MAF
Zambia,MAF
Zimbabwe,MAF
