MODEL,SCENARIO,CLIMATE_METRIC,CLIMATE_VALUE,CLIMATE,BUDGET_2100,BUDGET_2050,OVERSHOOT,NEGATIVE_EMISSION,POLICY,TECHNOLOGY,BASELINE,Baseline Scenario
AIM-Enduse 12.1,EMF27-Base-Conv,Carbon Budget 2050,1791364.1573536,Category 6,N/A,Category 6,N/A,N/A,P0,T2,EMF27-Base-Conv,Baseline
AIM-Enduse 12.1,EMF27-Base-EERE,Carbon Budget 2050,1597849.3091639,Category 5 - 6,N/A,Category 5 - 6,N/A,N/A,P0,T3,EMF27-Base-EERE,Baseline
AIM-Enduse 12.1,EMF27-Base-FullTech,Carbon Budget 2050,1789091.0351659,Category 6,N/A,Category 6,N/A,N/A,P0,T0,EMF27-Base-FullTech,Baseline
AIM-Enduse 12.1,EMF27-Base-LimBio,Carbon Budget 2050,1789092.6785803,Category 6,N/A,Category 6,N/A,N/A,P0,T2,EMF27-Base-LimBio,Baseline
AIM-Enduse 12.1,EMF27-Base-LimSW,Carbon Budget 2050,1791347.4142469,Category 6,N/A,Category 6,N/A,N/A,P0,T2,EMF27-Base-LimSW,Baseline
AIM-Enduse 12.1,EMF27-Base-LimTech,Carbon Budget 2050,1842437.9132483,Category 6,N/A,Category 6,N/A,N/A,P0,T3,EMF27-Base-LimTech,Baseline
AIM-Enduse 12.1,EMF27-Base-LowEI,Carbon Budget 2050,1546862.9763866,Category 4 - 6,N/A,Category 4 - 6,N/A,N/A,P0,T0,EMF27-Base-LowEI,Baseline
AIM-Enduse 12.1,EMF27-Base-NucOff,Carbon Budget 2050,1840239.38839,Category 6,N/A,Category 6,N/A,N/A,P0,T2,EMF27-Base-NucOff,Baseline
AIM-Enduse[Backcast] 1.0,LIMITS-Base,Carbon Budget 2050,1929534.8983976,Category 6,N/A,Category 6,N/A,N/A,P0,T0,LIMITS-Base,Baseline
BET 1.5,EMF27-Base-Conv,Carbon Budget 2100,6612835.0885534,Category 7,Category 7,Category 7,N/A,N1,P0,T2,EMF27-Base-Conv,Baseline
BET 1.5,EMF27-Base-EERE,Carbon Budget 2100,4554544.3579114,Category 6,Category 6,Category 6,N/A,N1,P0,T3,EMF27-Base-EERE,Baseline
BET 1.5,EMF27-Base-FullTech,Carbon Budget 2100,6360981.5048164,Category 7,Category 7,Category 7,N/A,N1,P0,T0,EMF27-Base-FullTech,Baseline
BET 1.5,EMF27-Base-LimBio,Carbon Budget 2100,6544137.9505397,Category 7,Category 7,Category 7,N/A,N1,P0,T2,EMF27-Base-LimBio,Baseline
BET 1.5,EMF27-Base-LimSW,Carbon Budget 2100,6412275.1435256,Category 7,Category 7,Category 7,N/A,N1,P0,T2,EMF27-Base-LimSW,Baseline
BET 1.5,EMF27-Base-LimTech,Carbon Budget 2100,4798820.6634985,Category 6,Category 6,Category 6,N/A,N1,P0,T3,EMF27-Base-LimTech,Baseline
