country,REGION
Arab World,AG-NA
Caribbean small states,AG-NA
Central Europe and the Baltics,AG-NA
Early-demographic dividend,AG-NA
East Asia & Pacific,AG-NA
East Asia & Pacific (excluding high income),AG-NA
East Asia & Pacific (IDA & IBRD countries),AG-NA
Euro area,AG-NA
Europe & Central Asia,AG-NA
Europe & Central Asia (excluding high income),AG-NA
Europe & Central Asia (IDA & IBRD countries),AG-NA
European Union,AG-NA
Fragile and conflict affected situations,AG-NA
Heavily indebted poor countries (HIPC),AG-NA
High income,AG-NA
IBRD only,AG-NA
IDA & IBRD total,AG-NA
IDA blend,AG-NA
IDA only,AG-NA
IDA total,AG-NA
Late-demographic dividend,AG-NA
Latin America & Caribbean,AG-NA
Latin America & Caribbean (excluding high income),AG-NA
Latin America & the Caribbean (IDA & IBRD countries),AG-NA
Least developed countries: UN classification,AG-NA
Low & middle income,AG-NA
Low income,AG-NA
Lower middle income,AG-NA
Middle East & North Africa,AG-NA
Middle East & North Africa (excluding high income),AG-NA
Middle East & North Africa (IDA & IBRD countries),AG-NA
Middle income,AG-NA
North America,AG-NA
Not classified,AG-NA
OECD members,AG-NA
Other small states,AG-NA
Pacific island small states,AG-NA
Post-demographic dividend,AG-NA
Pre-demographic dividend,AG-NA
Small states,AG-NA
South Asia,AG-NA
South Asia (IDA & IBRD),AG-NA
Sub-Saharan Africa,AG-NA
Sub-Saharan Africa (excluding high income),AG-NA
Sub-Saharan Africa (IDA & IBRD countries),AG-NA
Upper middle income,AG-NA
World,World
Afghanistan,ASIA
Albania,REF
Algeria,MAF
American Samoa,ASIA
Andorra,OECD90
Angola,MAF
Antigua and Barbuda,LAM
Argentina,LAM
Armenia,REF
Aruba,LAM
Australia,OECD90
Austria,OECD90
Azerbaijan,REF
"Bahamas, The",LAM
Bahrain,MAF
Bangladesh,ASIA
Barbados,LAM
Belarus,REF
Belgium,OECD90
Belize,LAM
Benin,MAF
Bermuda,LAM
Bhutan,ASIA
Bolivia,LAM
Bosnia and Herzegovina,REF
Botswana,MAF
Brazil,LAM
British Virgin Islands,LAM
Brunei Darussalam,ASIA
Bulgaria,REF
Burkina Faso,MAF
Burundi,MAF
Cabo Verde,MAF
Cambodia,ASIA
Cameroon,MAF
Canada,OECD90
Cayman Islands,LAM
Central African Republic,MAF
Chad,MAF
Channel Islands,OECD90
Chile,LAM
China,ASIA
Colombia,LAM
Comoros,MAF
"Congo, Dem. Rep.",MAF
"Congo, Rep.",MAF
Costa Rica,LAM
Cote d'Ivoire,MAF
Croatia,REF
Cuba,LAM
Curacao,LAM
Cyprus,REF
Czech Republic,REF
Denmark,OECD90
Djibouti,MAF
Dominica,LAM
Dominican Republic,LAM
Ecuador,LAM
"Egypt, Arab Rep.",MAF
El Salvador,LAM
Equatorial Guinea,MAF
Eritrea,MAF
Estonia,REF
Eswatini,MAF
Ethiopia,MAF
Faroe Islands,OECD90
Fiji,ASIA
Finland,OECD90
France,OECD90
French Polynesia,ASIA
Gabon,MAF
"Gambia, The",MAF
Georgia,REF
Germany,OECD90
Ghana,MAF
Gibraltar,OECD90
Greece,OECD90
Greenland,OECD90
Grenada,LAM
Guam,OECD90
Guatemala,LAM
Guinea,MAF
Guinea-Bissau,MAF
Guyana,LAM
Haiti,LAM
