MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
AIM-Enduse 12.1,EMF27-Base-LowEI,World,co2intensity,0.1%/y tolerance 2005-2040,0.08683567669977232,0.8349826541765003,0.5143482352579025
AIM-Enduse 12.1,EMF27-Base-LowEI,World,energyintensity,0.1%/y tolerance 2005-2040,-0.839301026402574,-0.11906894665069856,-0.42773983797293086
AIM-Enduse 12.1,EMF27-Base-LowEI,World,fossilco2,0.1%/y tolerance 2005-2040,-0.8495131912867778,0.6357398890011117,-7.971454079838125e-4
AIM-Enduse 12.1,EMF27-Base-LowEI,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.00560088992936425,0.07853459688819975,0.04727729390584167
AIM-Enduse 12.1,EMF27-Base-LowEI,World,pop,0.1%/y tolerance 2005-2040,-0.10264873151334042,-0.15870841541288983,-0.1346828365987972
AIM-Enduse[Backcast] 1.0,LIMITS-RefPol-500,World,co2intensity,0.1%/y tolerance 2005-2040,-0.441502069864977,-0.12564583042250838,-0.2610127901835663
AIM-Enduse[Backcast] 1.0,LIMITS-RefPol-500,World,energyintensity,0.1%/y tolerance 2005-2040,-0.465837866137653,0.3465959876542116,-0.0015899496851589368
AIM-Enduse[Backcast] 1.0,LIMITS-RefPol-500,World,fossilco2,0.1%/y tolerance 2005-2040,-0.4139073824398576,0.27891817121373724,-0.01800706606637481
AIM-Enduse[Backcast] 1.0,LIMITS-RefPol-500,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6045623713908319,0.16102357194487127,0.35111162885028296
AIM-Enduse[Backcast] 1.0,LIMITS-RefPol-500,World,pop,0.1%/y tolerance 2005-2040,-0.11112981782805953,-0.10305555796283727,-0.10651595504793251
AIM-Enduse[Backcast] 1.0,LIMITS-StrPol-500,World,co2intensity,0.1%/y tolerance 2005-2040,-0.660587737587172,0.02461247234698194,-0.2690447604819412
AIM-Enduse[Backcast] 1.0,LIMITS-StrPol-500,World,energyintensity,0.1%/y tolerance 2005-2040,-0.5970786875276377,0.47048590595855455,0.012958223035900718
AIM-Enduse[Backcast] 1.0,LIMITS-StrPol-500,World,fossilco2,0.1%/y tolerance 2005-2040,-0.7642338715520374,0.5530663922875705,-0.011490863643690064
AIM-Enduse[Backcast] 1.0,LIMITS-StrPol-500,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6045623713908319,0.16102357194487127,0.35111162885028296
AIM-Enduse[Backcast] 1.0,LIMITS-StrPol-500,World,pop,0.1%/y tolerance 2005-2040,-0.11112981782805953,-0.10305555796283727,-0.10651595504793251
BET 1.5,EMF27-550-LowEI,World,co2intensity,0.1%/y tolerance 2005-2040,0.35300427689480585,0.11741185247025382,0.2183800343664904
BET 1.5,EMF27-550-LowEI,World,energyintensity,0.1%/y tolerance 2005-2040,-1.12484156822475,-0.3060481198173556,-0.6569595977062388
BET 1.5,EMF27-550-LowEI,World,fossilco2,0.1%/y tolerance 2005-2040,-0.08200316382227224,-0.023990841910873143,-0.04885326558718704
BET 1.5,EMF27-550-LowEI,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.7998261436444314,0.26490613483615555,0.49415756718255943
BET 1.5,EMF27-550-LowEI,World,pop,0.1%/y tolerance 2005-2040,-0.10999201613675957,-0.10026070939992693,-0.10443126942999806
DNE21 V.11,AME CO2 price $50 (5% p.a.),World,co2intensity,0.1%/y tolerance 2005-2040,-0.44482334768950416,0.5343152376490666,0.11468441536110774
DNE21 V.11,AME CO2 price $50 (5% p.a.),World,energyintensity,0.1%/y tolerance 2005-2040,-0.5324735886087093,0.6026719820945196,0.11618102322170717
DNE21 V.11,AME CO2 price $50 (5% p.a.),World,fossilco2,0.1%/y tolerance 2005-2040,-0.8699405814604363,0.8046834120327178,0.08698741482136607
DNE21 V.11,AME CO2 price $50 (5% p.a.),World,pcgdpmer,0.1%/y tolerance 2005-2040,0.20731136081815094,-0.17599263523756548,-0.01171949407082988
DNE21 V.11,AME CO2 price $50 (5% p.a.),World,pop,0.1%/y tolerance 2005-2040,-0.09995500598037377,-0.15631117247330295,-0.132158529690619
DNE21 V.12,AMPERE2-550-FullTech-HST,World,co2intensity,0.1%/y tolerance 2005-2040,0.18469586860444576,-0.3524753510519586,-0.12225911405635673
DNE21 V.12,AMPERE2-550-FullTech-HST,World,energyintensity,0.1%/y tolerance 2005-2040,-0.06604161315308699,-0.31636154575876396,-0.20908157464204524
DNE21 V.12,AMPERE2-550-FullTech-HST,World,fossilco2,0.1%/y tolerance 2005-2040,0.611959460027238,-0.6106917027261523,-0.08669834726041353
DNE21 V.12,AMPERE2-550-FullTech-HST,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6141932187468537,0.16159936118766283,0.3555681572844589
DNE21 V.12,AMPERE2-550-FullTech-HST,World,pop,0.1%/y tolerance 2005-2040,-0.1208880141709745,-0.10345416710309252,-0.1109258158464705
DNE21 V.12,AMPERE3-CF550,World,co2intensity,0.1%/y tolerance 2005-2040,0.08606683042785046,0.13182669628472138,0.11221532520320526
DNE21 V.12,AMPERE3-CF550,World,energyintensity,0.1%/y tolerance 2005-2040,-0.5107566059107345,-0.06994655646682524,-0.25886514908564345
DNE21 V.12,AMPERE3-CF550,World,fossilco2,0.1%/y tolerance 2005-2040,0.06861542909299523,0.12002533390246645,0.09799251755555022
DNE21 V.12,AMPERE3-CF550,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.6141932187468537,0.16159936118766283,0.3555681572844589
DNE21 V.12,AMPERE3-CF550,World,pop,0.1%/y tolerance 2005-2040,-0.1208880141709745,-0.10345416710309252,-0.1109258158464705
FARM_3.0,EMF27-550-Conv,World,co2intensity,0.1%/y tolerance 2005-2040,-0.4144025043767121,0.7202470509193926,0.23396867007820482
FARM_3.0,EMF27-550-Conv,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0871079882361412,0.5484746455778292,-0.15248934034244382
FARM_3.0,EMF27-550-Conv,World,fossilco2,0.1%/y tolerance 2005-2040,-1.3056000237397956,0.8652255274347737,-0.06512828021147021
FARM_3.0,EMF27-550-Conv,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.30492658271065,-0.30335558908016125,-0.04266322974124215
FARM_3.0,EMF27-550-Conv,World,pop,0.1%/y tolerance 2005-2040,-0.10901611383759224,-0.10014057998228687,-0.10394438020598917
FARM_3.0,EMF27-550-FullTech,World,co2intensity,0.1%/y tolerance 2005-2040,-0.49519913198757315,0.5309278737883039,0.09115915702721372
FARM_3.0,EMF27-550-FullTech,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0120833935996005,0.7568258410643872,-0.0012781166487503826
FARM_3.0,EMF27-550-FullTech,World,fossilco2,0.1%/y tolerance 2005-2040,-1.3100446866874342,0.8934780199852471,-0.050888854303044795
FARM_3.0,EMF27-550-FullTech,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.3062539527373316,-0.2941351148851571,-0.0368255144755191
FARM_3.0,EMF27-550-FullTech,World,pop,0.1%/y tolerance 2005-2040,-0.10901611383759224,-0.10014057998228687,-0.10394438020598917
FARM_3.0,EMF27-550-LimBio,World,co2intensity,0.1%/y tolerance 2005-2040,-0.4159623202575613,0.7115108007884561,0.22830803462587718
FARM_3.0,EMF27-550-LimBio,World,energyintensity,0.1%/y tolerance 2005-2040,-1.0865860267772627,0.5471558515228684,-0.1530192391771878
FARM_3.0,EMF27-550-LimBio,World,fossilco2,0.1%/y tolerance 2005-2040,-1.3065013774451284,0.8557744046613017,-0.07091521624145403
FARM_3.0,EMF27-550-LimBio,World,pcgdpmer,0.1%/y tolerance 2005-2040,0.30506308342728783,-0.30275166766773587,-0.04225963148415429
FARM_3.0,EMF27-550-LimBio,World,pop,0.1%/y tolerance 2005-2040,-0.10901611383759224,-0.10014057998228687,-0.10394438020598917
GCAM 3.0,AMPERE2-450-Conv-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,-0.3041476781303931,-0.2545692972123759,-0.27581717474866896
GCAM 3.0,AMPERE2-450-Conv-OPT,World,energyintensity,0.1%/y tolerance 2005-2040,NA,NA,NA
GCAM 3.0,AMPERE2-450-Conv-OPT,World,fossilco2,0.1%/y tolerance 2005-2040,-0.466335341820286,0.24197066821378838,-0.06158905037224349
GCAM 3.0,AMPERE2-450-Conv-OPT,World,pcgdpmer,0.1%/y tolerance 2005-2040,NA,NA,NA
GCAM 3.0,AMPERE2-450-Conv-OPT,World,pop,0.1%/y tolerance 2005-2040,-0.1070809883385564,-0.10025797543912696,-0.10318212382459671
GCAM 3.0,AMPERE2-550-EERE-OPT,World,co2intensity,0.1%/y tolerance 2005-2040,0.05573441233928533,0.27302835672610254,0.17990238056032373
