MODEL,SCENARIO,REGION,variable,filter,growtherror
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,co2intensity,0.1%/y tolerance 2005-2020,-0.09724305439009795
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,energyintensity,0.1%/y tolerance 2005-2020,-0.3066124593888464
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,fossilco2,0.1%/y tolerance 2005-2020,0.08957703978382803
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.6045623713908319
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,pop,0.1%/y tolerance 2005-2020,-0.11112981782805953
BET 1.5,EMF27-550-LowEI,World,co2intensity,0.1%/y tolerance 2005-2020,0.35300427689480585
BET 1.5,EMF27-550-LowEI,World,energyintensity,0.1%/y tolerance 2005-2020,-1.12484156822475
BET 1.5,EMF27-550-LowEI,World,fossilco2,0.1%/y tolerance 2005-2020,-0.08200316382227224
BET 1.5,EMF27-550-LowEI,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.7998261436444314
BET 1.5,EMF27-550-LowEI,World,pop,0.1%/y tolerance 2005-2020,-0.10999201613675957
DNE21 V.12,AMPERE3-550,World,co2intensity,0.1%/y tolerance 2005-2020,-0.01851512960938906
DNE21 V.12,AMPERE3-550,World,energyintensity,0.1%/y tolerance 2005-2020,-0.4769850421444166
DNE21 V.12,AMPERE3-550,World,fossilco2,0.1%/y tolerance 2005-2020,-0.0021949671779264435
DNE21 V.12,AMPERE3-550,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.6141932187468537
DNE21 V.12,AMPERE3-550,World,pop,0.1%/y tolerance 2005-2020,-0.1208880141709745
DNE21 V.12,AMPERE3-CF550,World,co2intensity,0.1%/y tolerance 2005-2020,0.08606683042785046
DNE21 V.12,AMPERE3-CF550,World,energyintensity,0.1%/y tolerance 2005-2020,-0.5107566059107345
DNE21 V.12,AMPERE3-CF550,World,fossilco2,0.1%/y tolerance 2005-2020,0.06861542909299523
DNE21 V.12,AMPERE3-CF550,World,pcgdpmer,0.1%/y tolerance 2005-2020,0.6141932187468537
DNE21 V.12,AMPERE3-CF550,World,pop,0.1%/y tolerance 2005-2020,-0.1208880141709745
EC-IAM 2012,EMF27-Base-Conv,World,co2intensity,0.1%/y tolerance 2005-2020,0.10470820864408203
EC-IAM 2012,EMF27-Base-Conv,World,energyintensity,0.1%/y tolerance 2005-2020,0.14072850792457126
EC-IAM 2012,EMF27-Base-Conv,World,fossilco2,0.1%/y tolerance 2005-2020,-0.07534293869991449
EC-IAM 2012,EMF27-Base-Conv,World,pcgdpmer,0.1%/y tolerance 2005-2020,-0.2011429540699079
EC-IAM 2012,EMF27-Base-Conv,World,pop,0.1%/y tolerance 2005-2020,-0.11963670119865988
EC-IAM 2012,EMF27-Base-FullTech,World,co2intensity,0.1%/y tolerance 2005-2020,0.09279205870953722
EC-IAM 2012,EMF27-Base-FullTech,World,energyintensity,0.1%/y tolerance 2005-2020,0.13521867050497627
EC-IAM 2012,EMF27-Base-FullTech,World,fossilco2,0.1%/y tolerance 2005-2020,-0.09263600287357399
