MODEL,SCENARIO,REGION,variable,criterion,errortolerance,error
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,fossilco2,2005 to ~2020 error,0.1,0.08957703978382803
BET 1.5,EMF27-550-LowEI,World,fossilco2,2005 to ~2020 error,0.1,0.08200316382227224
DNE21 V.12,AMPERE3-550,World,fossilco2,2005 to ~2020 error,0.1,0.0021949671779264435
DNE21 V.12,AMPERE3-CF550,World,fossilco2,2005 to ~2020 error,0.1,0.06861542909299523
EC-IAM 2012,EMF27-Base-Conv,World,fossilco2,2005 to ~2020 error,0.1,0.07534293869991449
EC-IAM 2012,EMF27-Base-FullTech,World,fossilco2,2005 to ~2020 error,0.1,0.09263600287357399
EC-IAM 2012,EMF27-Base-LimBio,World,fossilco2,2005 to ~2020 error,0.1,0.08790506709401869
EC-IAM 2012,EMF27-Base-LimSW,World,fossilco2,2005 to ~2020 error,0.1,0.08036578187119225
EC-IAM 2012,EMF27-Base-LimTech,World,fossilco2,2005 to ~2020 error,0.1,0.06886096442425638
FARM_3.0,EMF27-Base-EERE,World,fossilco2,2005 to ~2020 error,0.1,0.0013081514737902644
FARM_3.0,EMF27-Base-LowEI,World,fossilco2,2005 to ~2020 error,0.1,0.04773043199146643
GCAM 2.0,AME CO2 price $10 (5% p.a.),World,fossilco2,2005 to ~2020 error,0.1,0.02719011374323621
GCAM 3.0,AMPERE2-450-LowEI-LST,World,fossilco2,2005 to ~2020 error,0.1,0.01707600828618827
GCAM 3.0,AMPERE2-550-LowEI-OPT,World,fossilco2,2005 to ~2020 error,0.1,5.824111804355603e-4
GCAM 3.0,EMF27-Base-EERE,World,fossilco2,2005 to ~2020 error,0.1,0.002997042730864319
GCAM 3.0,EMF27-Base-LowEI,World,fossilco2,2005 to ~2020 error,0.1,0.06637730652350915
GCAM 3.0,EMF27-FP-FullTech,World,fossilco2,2005 to ~2020 error,0.1,0.03457892906156146
GCAM 3.0,EMF27-G8-FullTech,World,fossilco2,2005 to ~2020 error,0.1,0.027796227272783636
GCAM 3.1,LIMITS-500,World,fossilco2,2005 to ~2020 error,0.1,0.06931022583035995
GCAM 3.1,LIMITS-StrPol,World,fossilco2,2005 to ~2020 error,0.1,0.08196142261444872
GCAM 3.1,LIMITS-StrPol-450,World,fossilco2,2005 to ~2020 error,0.1,0.08196142261444872
GCAM 3.1,LIMITS-StrPol-500,World,fossilco2,2005 to ~2020 error,0.1,0.08196142261444872
GEM-E3-ICCS,AMPERE3-450,World,fossilco2,2005 to ~2020 error,0.1,0.0055350313139763685
GEM-E3-ICCS,AMPERE3-450P-CE,World,fossilco2,2005 to ~2020 error,0.1,0.09996086467342424
GEM-E3-ICCS,AMPERE3-550,World,fossilco2,2005 to ~2020 error,0.1,0.0811349335253877
GEM-E3-ICCS,AMPERE3-CF450,World,fossilco2,2005 to ~2020 error,0.1,0.028232191473872792
GRAPE ver2011,EMF27-550-Conv,World,fossilco2,2005 to ~2020 error,0.1,0.051689051772146666
GRAPE ver2011,EMF27-550-LimBio,World,fossilco2,2005 to ~2020 error,0.1,0.0478701545286746
IMACLIM v1.1,AMPERE2-450-LowEI-LST,World,fossilco2,2005 to ~2020 error,0.1,0.08026888376014618
IMACLIM v1.1,AMPERE3-450,World,fossilco2,2005 to ~2020 error,0.1,0.026659978407167717
IMAGE 2.4,AMPERE2-450-LowEI-HST,World,fossilco2,2005 to ~2020 error,0.1,0.025467474093507025
IMAGE 2.4,EMF27-550-FullTech,World,fossilco2,2005 to ~2020 error,0.1,0.03517925614792072
IMAGE 2.4,EMF27-550-LimSW,World,fossilco2,2005 to ~2020 error,0.1,0.04624599010362518
IMAGE 2.4,EMF27-550-NucOff,World,fossilco2,2005 to ~2020 error,0.1,0.014681547504453718
IMAGE 2.4,EMF27-FP-FullTech,World,fossilco2,2005 to ~2020 error,0.1,0.013630900926810074
IMAGE 2.4,LIMITS-500,World,fossilco2,2005 to ~2020 error,0.1,0.008804030235228577
