MODEL,SCENARIO,REGION,variable,filter,growtherror
AIM/CGE,SSP5-26,World,co2intensity,0.1%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-26,World,energyintensity,0.1%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-26,World,fossilco2,0.1%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-26,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-26,World,pop,0.1%/y tolerance 2005-2020,-0.19798468758270782
AIM/CGE,SSP5-34,World,co2intensity,0.1%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-34,World,energyintensity,0.1%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-34,World,fossilco2,0.1%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-34,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-34,World,pop,0.1%/y tolerance 2005-2020,-0.19798468758270782
AIM/CGE,SSP5-45,World,co2intensity,0.1%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-45,World,energyintensity,0.1%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-45,World,fossilco2,0.1%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-45,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-45,World,pop,0.1%/y tolerance 2005-2020,-0.19798468758270782
AIM/CGE,SSP5-60,World,co2intensity,0.1%/y tolerance 2005-2020,0.17033292546485335
AIM/CGE,SSP5-60,World,energyintensity,0.1%/y tolerance 2005-2020,-0.57285612100333
AIM/CGE,SSP5-60,World,fossilco2,0.1%/y tolerance 2005-2020,0.06286801248090934
AIM/CGE,SSP5-60,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.6633758956020939
AIM/CGE,SSP5-60,World,pop,0.1%/y tolerance 2005-2020,-0.19798468758270782
IMAGE,SSP2-60,World,co2intensity,0.1%/y tolerance 2005-2020,-0.09350609039070856
IMAGE,SSP2-60,World,energyintensity,0.1%/y tolerance 2005-2020,-0.25640348963229953
IMAGE,SSP2-60,World,fossilco2,0.1%/y tolerance 2005-2020,-0.06655044880708338
IMAGE,SSP2-60,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.40488640646473795
IMAGE,SSP2-60,World,pop,0.1%/y tolerance 2005-2020,-0.12152727524881324
IMAGE,SSP2-Baseline,World,co2intensity,0.1%/y tolerance 2005-2020,-0.07501456894658887
IMAGE,SSP2-Baseline,World,energyintensity,0.1%/y tolerance 2005-2020,-0.19903381481255655
IMAGE,SSP2-Baseline,World,fossilco2,0.1%/y tolerance 2005-2020,0.00931074745677929
IMAGE,SSP2-Baseline,World,pcgdpppp,0.1%/y tolerance 2005-2020,0.40488640646473795
IMAGE,SSP2-Baseline,World,pop,0.1%/y tolerance 2005-2020,-0.12152727524881324
IMAGE,SSP3-45,World,co2intensity,0.1%/y tolerance 2005-2020,-0.11596006342572052
IMAGE,SSP3-45,World,energyintensity,0.1%/y tolerance 2005-2020,-0.11172159168884122
IMAGE,SSP3-45,World,fossilco2,0.1%/y tolerance 2005-2020,0.008087583102017515
