MODEL,SCENARIO,REGION,variable,filter,growtherror,ieadivergencestps2020,2005-2040 divergence from IEA STPS
AIM/CGE,SSP1-45,World,co2intensity,0.1%/y tolerance 2005-2040,-0.007882954902832195,0.4603207196220261,0.25966200196851535
AIM/CGE,SSP1-45,World,energyintensity,0.1%/y tolerance 2005-2040,-1.1931047189324873,-0.9564566822635991,-1.0578772694074083
AIM/CGE,SSP1-45,World,fossilco2,0.1%/y tolerance 2005-2040,-0.8069864895548218,0.4547770257114541,-0.08597876654552128
AIM/CGE,SSP1-45,World,pcgdpppp,0.1%/y tolerance 2005-2040,0.5998211140525214,1.285155142799137,0.9914405590505875
AIM/CGE,SSP1-45,World,pop,0.1%/y tolerance 2005-2040,-0.20581992977202357,-0.33424215444610994,-0.2792040581572158
IMAGE,SSP1-34,World,co2intensity,0.1%/y tolerance 2005-2040,0.07125124996931875,0.21155278516017056,0.15142355579266265
IMAGE,SSP1-34,World,energyintensity,0.1%/y tolerance 2005-2040,-0.602254480159301,-1.0822400776207228,-0.8765319644229705
IMAGE,SSP1-34,World,fossilco2,0.1%/y tolerance 2005-2040,-0.2336765148707709,0.09495126847763818,-0.04588921010025142
IMAGE,SSP1-34,World,pcgdpppp,0.1%/y tolerance 2005-2040,0.5022753587800113,1.2971864454556377,0.9565102654517977
IMAGE,SSP1-34,World,pop,0.1%/y tolerance 2005-2040,-0.20494864346079988,-0.33154788451744743,-0.2772910669217413
IMAGE,SSP3-45,World,co2intensity,0.1%/y tolerance 2005-2040,-0.11596006342572052,0.2507170231144228,0.09356970031150422
IMAGE,SSP3-45,World,energyintensity,0.1%/y tolerance 2005-2040,-0.11172159168884122,0.26147607790110533,0.10153421950541394
IMAGE,SSP3-45,World,fossilco2,0.1%/y tolerance 2005-2040,0.008087583102017515,-0.11150188024948111,-0.060249253098838836
IMAGE,SSP3-45,World,pcgdpppp,0.1%/y tolerance 2005-2040,0.29207790761491936,-0.7095988455146455,-0.28030880845911765
IMAGE,SSP3-45,World,pop,0.1%/y tolerance 2005-2040,-0.056308669398340117,0.08590386424963625,0.024955635543360666
MESSAGE-GLOBIOM,SSP1-45,World,co2intensity,0.1%/y tolerance 2005-2040,-0.1892963914922391,0.4120420823602299,0.1543255935663146
MESSAGE-GLOBIOM,SSP1-45,World,energyintensity,0.1%/y tolerance 2005-2040,-0.9150029242026598,-0.6617910509254411,-0.7703104251871062
MESSAGE-GLOBIOM,SSP1-45,World,fossilco2,0.1%/y tolerance 2005-2040,-0.7283468319369303,0.635760494398953,0.051143068826431604
MESSAGE-GLOBIOM,SSP1-45,World,pcgdpppp,0.1%/y tolerance 2005-2040,0.6055634819295364,1.2177048339517138,0.9553585402279234
MESSAGE-GLOBIOM,SSP1-45,World,pop,0.1%/y tolerance 2005-2040,-0.22961099817156772,-0.3321953709875497,-0.2882306397807003
REMIND-MAGPIE,SSP1-34,World,co2intensity,0.1%/y tolerance 2005-2040,-0.2884516595587737,0.6575948374066419,0.25214633870717806
REMIND-MAGPIE,SSP1-34,World,energyintensity,0.1%/y tolerance 2005-2040,-0.9128706715415986,-1.0530316996430336,-0.9929626875995614
REMIND-MAGPIE,SSP1-34,World,fossilco2,0.1%/y tolerance 2005-2040,-0.860514757300619,0.5261338413003551,-0.06814412952863375
REMIND-MAGPIE,SSP1-34,World,pcgdpppp,0.1%/y tolerance 2005-2040,0.5488195936215824,1.2573748223252212,0.9537082957379474
REMIND-MAGPIE,SSP1-34,World,pop,0.1%/y tolerance 2005-2040,-0.20801201982182904,-0.3358041187884747,-0.281036076374198
AIM/CGE,SSP1-45,World,co2intensity,0.2%/y tolerance 2005-2040,-0.007882954902832195,0.4603207196220261,0.25966200196851535
AIM/CGE,SSP1-45,World,energyintensity,0.2%/y tolerance 2005-2040,-1.1931047189324873,-0.9564566822635991,-1.0578772694074083
AIM/CGE,SSP1-45,World,fossilco2,0.2%/y tolerance 2005-2040,-0.8069864895548218,0.4547770257114541,-0.08597876654552128
AIM/CGE,SSP1-45,World,pcgdpppp,0.2%/y tolerance 2005-2040,0.5998211140525214,1.285155142799137,0.9914405590505875
AIM/CGE,SSP1-45,World,pop,0.2%/y tolerance 2005-2040,-0.20581992977202357,-0.33424215444610994,-0.2792040581572158
AIM/CGE,SSP1-Baseline,World,co2intensity,0.2%/y tolerance 2005-2040,0.14672746588392882,0.6249186966701834,0.41997959776178856
AIM/CGE,SSP1-Baseline,World,energyintensity,0.2%/y tolerance 2005-2040,-0.97529826822026,-0.9428778554648305,-0.9567723180743002
AIM/CGE,SSP1-Baseline,World,fossilco2,0.2%/y tolerance 2005-2040,-0.4313481106901338,0.632697511233699,0.17667795898062783
AIM/CGE,SSP1-Baseline,World,pcgdpppp,0.2%/y tolerance 2005-2040,0.603042621418221,1.284898824474456,0.9926747374503552
AIM/CGE,SSP1-Baseline,World,pop,0.2%/y tolerance 2005-2040,-0.20581992977202357,-0.33424215444610994,-0.2792040581572158
AIM/CGE,SSP4-34,World,co2intensity,0.2%/y tolerance 2005-2040,0.08352394496540994,-0.15254869553373523,-0.0513747067483873
AIM/CGE,SSP4-34,World,energyintensity,0.2%/y tolerance 2005-2040,-0.19124654634995109,-0.33692053979824077,-0.27448882832040233
AIM/CGE,SSP4-34,World,fossilco2,0.2%/y tolerance 2005-2040,0.23852010754276343,-0.420676707705992,-0.13816378688509684
AIM/CGE,SSP4-34,World,pcgdpppp,0.2%/y tolerance 2005-2040,0.4800060929671446,0.21226034493380752,0.32700852266238056
AIM/CGE,SSP4-34,World,pop,0.2%/y tolerance 2005-2040,-0.13376338403984,-0.14346781730782354,-0.13930877447868772
AIM/CGE,SSP5-34,World,co2intensity,0.2%/y tolerance 2005-2040,0.17033292546485335,0.07473006685984157,0.11570272054770375
AIM/CGE,SSP5-34,World,energyintensity,0.2%/y tolerance 2005-2040,-0.57285612100333,-1.4243018842161623,-1.0593965571249484
AIM/CGE,SSP5-34,World,fossilco2,0.2%/y tolerance 2005-2040,0.06286801248090934,0.29986111291293743,0.19829264129921112
AIM/CGE,SSP5-34,World,pcgdpppp,0.2%/y tolerance 2005-2040,0.6633758956020939,1.9540957924031561,1.400930122345558
AIM/CGE,SSP5-34,World,pop,0.2%/y tolerance 2005-2040,-0.19798468758270782,-0.30466286213389815,-0.2589436444691023
