MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0519
BET 1.5,EMF27-550-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4462891409010226,-0.09035995732985451,-0.08925922059121771
BET 1.5,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5802913132214276,-0.02153257320848133,0.0447429517291873
EC-IAM 2012,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5098217255751816,0.854255300670926,-0.025726635917058704
EC-IAM 2012,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5104193388237992,0.8499222673568004,-0.02512902266844108
FARM_3.0,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.617546317541117,1.2677687100596517,0.08199795604887683
FARM_3.0,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5658438840727011,1.201645110169017,0.030295522580460865
GCAM 3.0,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6099418360213729,0.3042927351154982,0.07439347452913259
GCAM 3.0,AMPERE2-550-EERE-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4516651756887693,0.43727591543051303,-0.08388318580347098
GCAM 3.0,EMF27-G8-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6333155582934111,-0.4476062690402216,0.09776719680117085
GCAM 3.1,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.548047293149158,-0.1744603743911968,0.012498931656917733
GCAM 3.1,LIMITS-StrPol,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6014987524998503,0.8664493936750972,0.06595039100761002
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.601498752499187,-0.769885768257643,0.06595039100694677
GCAM 3.1,LIMITS-StrPol-500,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6014987524998503,-0.21735195511861527,0.06595039100761002
GEM-E3-ICCS,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6018567354531992,-1.2809503151367707,0.0663083739609589
GEM-E3-ICCS,AMPERE3-RefP-EUback,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.603536065145228,0.9690708647583711,0.06798770365298767
GEM-E3-ICCS,AMPERE3-RefPol,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.629042768402229,0.9682306028486762,0.09349440690998878
GRAPE ver2011,EMF27-Base-LowEI,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6034356355288655,0.8863459190800229,0.0678872740366252
IMACLIM v1.1,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4830714958953213,-1.5479244162416232,-0.052476865596919
IMACLIM v1.1,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5914749683738567,-1.487860699824025,0.055926606881616436
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5134484625817162,0.24652492005422744,-0.022099898910524107
IMAGE 2.4,AMPERE2-450-LowEI-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.510891239005841,-2.3004612615158413,-0.024657122486399174
IMAGE 2.4,AMPERE2-550-FullTech-LST,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5098121894117966,-0.07768558920744005,-0.025736172080443653
IMAGE 2.4,AMPERE3-550,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5171864624806612,-0.004846282546379952,-0.01836189901157903
IMAGE 2.4,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4929153815542644,-0.46390754090350267,-0.04263297993797588
IMAGE 2.4,EMF27-550-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.6150017193777206,-0.5071205814192344,0.07945335788548036
IMAGE 2.4,EMF27-Base-EERE,World,Baseline,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4614325193185707,0.8394814805314531,-0.07411584217366962
IMAGE 2.4,POEM_ScenarioA_CPH,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4949714039152795,-1.1805383280669721,-0.04057695757696078
IMAGE 2.4,POEM_ScenarioB_CPH_early,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.4949714039152795,-1.1805383280669721,-0.04057695757696078
MERGE_EMF27,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2019,co2ffi,1.5608554407620308,-1.1020985021828542,0.025307079269790478
