MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0550aps
AIM-Enduse[Backcast] 1.0,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,-0.017461127592639514,-0.6772881206525404,0.0729217997731938
DNE21 V.12,AMPERE2-450-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.3260782408253036,-0.698227468533352,0.05198245189238215
DNE21 V.12,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.265216425054625,-0.7629371692313411,-0.012727248805606939
DNE21 V.12,AMPERE2-450-NucOff-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.336624268856544,-0.7210469099477221,0.029163010478012064
DNE21 V.12,AMPERE2-550-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,2.3138885835562797,-0.7032175434229041,0.0469923770028301
DNE21 V.12,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.9416921009976917,-0.812941752922273,-0.0627318324965388
EC-IAM 2012,EMF27-550-LowEI,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,0.809931809354616,-0.6877301815539738,0.06247973887176039
GCAM 3.0,EMF27-450-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.341959420342557,-0.8229380708305061,-0.07272815040477187
GCAM 3.1,LIMITS-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.3734314852846314,-0.7376362293485488,0.012573691077185423
GCAM 3.1,LIMITS-RefPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.9077523026395582,-0.7760566366363028,-0.025846716210568554
GCAM 3.1,LIMITS-RefPol-450-EE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.9077523026395582,-0.7760566366363028,-0.025846716210568554
GCAM 3.1,LIMITS-RefPol-450-PC,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.9077523026395582,-0.7760566366363028,-0.025846716210568554
GCAM 3.1,LIMITS-StrPol-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,1.601498752499187,-0.769885768257643,-0.019675847831908788
GRAPE_ver1998,AME CO2 price $50 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,0.8925162466527089,-0.6882006476077704,0.062009272817963756
IMACLIM v1.1,EMF27-550-Conv,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,0.5934217676807307,-0.7955574352642832,-0.04534751483854904
IMACLIM v1.1,EMF27-550-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 APS,co2ffi,0.21544214634463543,-0.8131150377668995,-0.06290511734116533
