MODEL,SCENARIO,REGION,scenariotype,Database,tolerance,variable,growth0520,growth0550,divergence0550steps
AIM-Enduse 12.1,EMF27-FP-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,0.6767868291616589,0.35379144965044734,0.01040036074284817
AIM-Enduse[Backcast] 1.0,LIMITS-500,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,0.7258081736774002,0.4351107114873266,0.09171962257972743
EC-IAM 2012,EMF27-FP-FullTech,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.2034843074549784,0.4271412413002472,0.08375015239264805
GCAM 3.0,AMPERE2-450-FullTech-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.347988953930257,0.3815876415680937,0.03819655266049454
GCAM 3.0,AMPERE2-450-FullTech-LST,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.8304606083766235,0.4302698674855263,0.08687877857792714
GCAM 3.0,AMPERE2-450-FullTech-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.000060735615629,0.4026931778799536,0.05930208897235445
GCAM 3.0,AMPERE2-450-LimSW-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.3654415107778584,0.4003856689265817,0.0569945800189825
GCAM 3.0,AMPERE2-450-LimSW-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.044251727072902,0.4197062930618698,0.07631520415427062
GCAM 3.0,AMPERE2-450-LowEI-HST,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.061275719826187,0.28790183928120505,-0.05548924962639412
GCAM 3.0,AMPERE2-450-LowEI-LST,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.7949002669225915,0.29920998731349296,-0.04418110159410621
GCAM 3.0,AMPERE2-450-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.6099418360213729,0.3042927351154982,-0.03909835379210097
GCAM 3.0,AMPERE2-550-EERE-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.4516651756887693,0.43727591543051303,0.09388482652291386
GCAM 3.0,AMPERE2-550-NoCCS-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.8083195864138208,0.3396429388487516,-0.003748150058847599
GCAM 3.0,AMPERE3-450,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.9581821020163777,0.3856422583336578,0.04225116942605861
GCAM 3.0,AMPERE3-450P-CE,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.9443131002979896,0.36530711299010854,0.021916024082509367
GCAM 3.0,AMPERE3-450P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.096429591574586,0.3946050921974731,0.05121400328987391
GCAM 3.0,AMPERE3-CF450,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.083949267761369,0.3971577994816992,0.05376671057410004
IMACLIM v1.1,AMPERE3-550P-EU,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.304622432054977,0.3501285292197191,0.0067374403121199244
IMAGE 2.4,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.5134484625817162,0.24652492005422744,-0.09686616885337174
IMAGE 2.4,EMF27-FP-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.254085204249075,0.3778518388709647,0.03446074996336551
IMAGE 2.4,LIMITS-StrPol,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.2405429704469857,0.3250177898116154,-0.018373299095983786
MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.004370632049278,0.2877864659406626,-0.05560462296693658
MERGE-ETL_2011,AMPERE3-550,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.070777660823732,0.30675558800375313,-0.03663550090384604
MESSAGE V.4,AMPERE2-550-LowEI-OPT,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,0.7620058626483465,0.31522618498652516,-0.028164903921074014
REMIND 1.3,AME CO2 price $10 (5% p.a.),World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,2.242359742210548,0.32170534187945143,-0.02168574702814774
TIAM-ECN,LIMITS-StrPol,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,co2ffi,1.2723757727678493,0.40273773625970694,0.05934664735210776
AIM-Enduse 12.1,EMF27-FP-EERE,World,Policy,AR5,0.1%/y tolerance 2005-2050 STEPS,population,1.0923557476886596,0.7531322239886032,-0.13220854020567796
