MODEL,SCENARIO,REGION,variable,percent,resulttype
AIM-Enduse 12.1,EMF27-Base-Conv,ASIA,fossilco2,-1.9154449813693297,growtherror
AIM-Enduse 12.1,EMF27-Base-Conv,LAM,fossilco2,0.5809472858802707,growtherror
AIM-Enduse 12.1,EMF27-Base-Conv,MAF,fossilco2,-2.1428965416450385,growtherror
AIM-Enduse 12.1,EMF27-Base-Conv,OECD90,fossilco2,1.4696079671515578,growtherror
AIM-Enduse 12.1,EMF27-Base-Conv,REF,fossilco2,1.046550272203426,growtherror
AIM-Enduse 12.1,EMF27-Base-Conv,World,fossilco2,-0.36721429744588674,growtherror
AIM-Enduse 12.1,EMF27-Base-EERE,ASIA,fossilco2,-2.190979959989523,growtherror
AIM-Enduse 12.1,EMF27-Base-EERE,LAM,fossilco2,0.049989324390738776,growtherror
AIM-Enduse 12.1,EMF27-Base-EERE,MAF,fossilco2,-2.5150193915495254,growtherror
AIM-Enduse 12.1,EMF27-Base-EERE,OECD90,fossilco2,1.0459772991122989,growtherror
AIM-Enduse 12.1,EMF27-Base-EERE,REF,fossilco2,0.7749578586999798,growtherror
AIM-Enduse 12.1,EMF27-Base-EERE,World,fossilco2,-0.734239347868219,growtherror
AIM-Enduse 12.1,EMF27-Base-FullTech,ASIA,fossilco2,-1.9156717797522957,growtherror
AIM-Enduse 12.1,EMF27-Base-FullTech,LAM,fossilco2,0.5722544776252692,growtherror
AIM-Enduse 12.1,EMF27-Base-FullTech,MAF,fossilco2,-2.143360053631935,growtherror
AIM-Enduse 12.1,EMF27-Base-FullTech,OECD90,fossilco2,1.4558434374618865,growtherror
AIM-Enduse 12.1,EMF27-Base-FullTech,REF,fossilco2,1.04642840361245,growtherror
AIM-Enduse 12.1,EMF27-Base-FullTech,World,fossilco2,-0.3727814697071856,growtherror
AIM-Enduse 12.1,EMF27-Base-LimBio,ASIA,fossilco2,-1.9156149550719626,growtherror
AIM-Enduse 12.1,EMF27-Base-LimBio,LAM,fossilco2,0.5722544776252692,growtherror
AIM-Enduse 12.1,EMF27-Base-LimBio,MAF,fossilco2,-2.147869062708988,growtherror
AIM-Enduse 12.1,EMF27-Base-LimBio,OECD90,fossilco2,1.4556051104783634,growtherror
AIM-Enduse 12.1,EMF27-Base-LimBio,REF,fossilco2,1.04642840361245,growtherror
AIM-Enduse 12.1,EMF27-Base-LimBio,World,fossilco2,-0.3727814697071856,growtherror
AIM-Enduse 12.1,EMF27-Base-LimSW,ASIA,fossilco2,-1.915823893017758,growtherror
AIM-Enduse 12.1,EMF27-Base-LimSW,LAM,fossilco2,0.5809472858802645,growtherror
AIM-Enduse 12.1,EMF27-Base-LimSW,MAF,fossilco2,-2.147480080099955,growtherror
AIM-Enduse 12.1,EMF27-Base-LimSW,OECD90,fossilco2,1.4695889683916592,growtherror
AIM-Enduse 12.1,EMF27-Base-LimSW,REF,fossilco2,1.046550272203426,growtherror
AIM-Enduse 12.1,EMF27-Base-LimSW,World,fossilco2,-0.3672142974458985,growtherror
