year,MODEL,SCENARIO,REGION,pcgdpppp,lnpcgdpppp,inlnpcgdp,pcgdpgrowth,database,pcgdpmer,pcgdpgrowthppp,pcgdpgrowthmer
2005,AIM/CGE,SSP1-Baseline,ASIA,3.6139804643215783,1.284809786599693,1.284809786599693,NA,SSPs,NA,NA,NA
2006,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.3530094693017416,6.819968270204857,SSPs,NA,NA,NA
2007,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.42120915200379,6.819968270204835,SSPs,NA,NA,NA
2008,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.4894088347058385,6.819968270204857,SSPs,NA,NA,NA
2009,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.5576085174078869,6.819968270204835,SSPs,NA,NA,NA
2010,AIM/CGE,SSP1-Baseline,ASIA,5.082525075030849,1.6258082001099354,1.6258082001099354,6.819968270204857,SSPs,NA,NA,NA
2011,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.688109251983089,6.230105187315349,SSPs,NA,NA,NA
2012,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.7504103038562424,6.230105187315349,SSPs,NA,NA,NA
2013,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.812711355729396,6.230105187315349,SSPs,NA,NA,NA
2014,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.8750124076025494,6.230105187315349,SSPs,NA,NA,NA
2015,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.9373134594757029,6.230105187315349,SSPs,NA,NA,NA
2016,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,1.9996145113488564,6.230105187315349,SSPs,NA,NA,NA
2017,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.06191556322201,6.230105187315349,SSPs,NA,NA,NA
2018,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.1242166150951634,6.230105187315349,SSPs,NA,NA,NA
2019,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.186517666968317,6.230105187315349,SSPs,NA,NA,NA
2020,AIM/CGE,SSP1-Baseline,ASIA,9.476534769884841,2.2488187188414703,2.2488187188414703,6.230105187315349,SSPs,NA,NA,NA
2021,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.3046853643621485,5.5866645520678215,SSPs,NA,NA,NA
2022,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.360552009882827,5.586664552067866,SSPs,NA,NA,NA
2023,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.4164186554035054,5.5866645520678215,SSPs,NA,NA,NA
2024,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.4722853009241836,5.5866645520678215,SSPs,NA,NA,NA
2025,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.5281519464448623,5.586664552067866,SSPs,NA,NA,NA
2026,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.5840185919655405,5.5866645520678215,SSPs,NA,NA,NA
2027,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.6398852374862187,5.5866645520678215,SSPs,NA,NA,NA
2028,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.6957518830068974,5.586664552067866,SSPs,NA,NA,NA
2029,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.7516185285275756,5.5866645520678215,SSPs,NA,NA,NA
2030,AIM/CGE,SSP1-Baseline,ASIA,16.568199644856808,2.807485174048254,2.807485174048254,5.5866645520678215,SSPs,NA,NA,NA
2031,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.850399224022505,4.291404997425108,SSPs,NA,NA,NA
2032,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.8933132739967564,4.291404997425152,SSPs,NA,NA,NA
2033,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.9362273239710075,4.291404997425108,SSPs,NA,NA,NA
2034,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,2.979141373945259,4.291404997425152,SSPs,NA,NA,NA
2035,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.02205542391951,4.291404997425108,SSPs,NA,NA,NA
2036,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.064969473893761,4.291404997425108,SSPs,NA,NA,NA
2037,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.1078835238680127,4.291404997425152,SSPs,NA,NA,NA
2038,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.1507975738422638,4.291404997425108,SSPs,NA,NA,NA
2039,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.1937116238165153,4.291404997425152,SSPs,NA,NA,NA
2040,AIM/CGE,SSP1-Baseline,ASIA,25.44770784194125,3.2366256737907664,3.2366256737907664,4.291404997425108,SSPs,NA,NA,NA
2041,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.2674166608167363,3.079098702596994,SSPs,NA,NA,NA
2042,AIM/CGE,SSP1-Baseline,ASIA,NA,NA,3.298207647842706,3.0790987025969496,SSPs,NA,NA,NA
