MODEL,SCENARIO,REGION,variable,percent,resulttype
AIM/CGE,SSP1-Baseline,ASIA,fossilco2,-2.3810808059531103,growtherror
AIM/CGE,SSP1-Baseline,LAM,fossilco2,-1.0967888742927332,growtherror
AIM/CGE,SSP1-Baseline,MAF,fossilco2,-0.8931746443731914,growtherror
AIM/CGE,SSP1-Baseline,OECD90,fossilco2,1.5388875297446318,growtherror
AIM/CGE,SSP1-Baseline,REF,fossilco2,1.428071473706467,growtherror
AIM/CGE,SSP1-Baseline,World,fossilco2,-0.4313481106901338,growtherror
AIM/CGE,SSP2-Baseline,ASIA,fossilco2,-1.1960118628530538,growtherror
AIM/CGE,SSP2-Baseline,LAM,fossilco2,-0.09599953307161635,growtherror
AIM/CGE,SSP2-Baseline,MAF,fossilco2,-0.24444475751792272,growtherror
AIM/CGE,SSP2-Baseline,OECD90,fossilco2,2.252888153963347,growtherror
AIM/CGE,SSP2-Baseline,REF,fossilco2,2.0305901833481483,growtherror
AIM/CGE,SSP2-Baseline,World,fossilco2,0.43175760034991995,growtherror
AIM/CGE,SSP3-Baseline,ASIA,fossilco2,-0.8583721816422774,growtherror
AIM/CGE,SSP3-Baseline,LAM,fossilco2,0.8385993204967916,growtherror
AIM/CGE,SSP3-Baseline,MAF,fossilco2,0.25689200011218416,growtherror
AIM/CGE,SSP3-Baseline,OECD90,fossilco2,2.1402867369292595,growtherror
AIM/CGE,SSP3-Baseline,REF,fossilco2,1.5427151496517766,growtherror
AIM/CGE,SSP3-Baseline,World,fossilco2,0.5681761446881681,growtherror
AIM/CGE,SSP4-Baseline,ASIA,fossilco2,-0.8667366135079568,growtherror
AIM/CGE,SSP4-Baseline,LAM,fossilco2,-0.7530436999166622,growtherror
AIM/CGE,SSP4-Baseline,MAF,fossilco2,-0.40089249579054087,growtherror
AIM/CGE,SSP4-Baseline,OECD90,fossilco2,1.892264212424791,growtherror
AIM/CGE,SSP4-Baseline,REF,fossilco2,1.358384086515573,growtherror
AIM/CGE,SSP4-Baseline,World,fossilco2,0.2932535935169127,growtherror
AIM/CGE,SSP5-Baseline,ASIA,fossilco2,-1.2782524797982417,growtherror
AIM/CGE,SSP5-Baseline,LAM,fossilco2,-0.2646122728495601,growtherror
AIM/CGE,SSP5-Baseline,MAF,fossilco2,-0.24707413703615044,growtherror
AIM/CGE,SSP5-Baseline,OECD90,fossilco2,2.240153662766007,growtherror
AIM/CGE,SSP5-Baseline,REF,fossilco2,2.08981299993481,growtherror
AIM/CGE,SSP5-Baseline,World,fossilco2,0.3985602109196138,growtherror
GCAM4,SSP1-Baseline,ASIA,fossilco2,NA,growtherror
GCAM4,SSP1-Baseline,LAM,fossilco2,NA,growtherror
GCAM4,SSP1-Baseline,MAF,fossilco2,NA,growtherror
GCAM4,SSP1-Baseline,OECD90,fossilco2,NA,growtherror
GCAM4,SSP1-Baseline,REF,fossilco2,NA,growtherror
GCAM4,SSP1-Baseline,World,fossilco2,NA,growtherror
GCAM4,SSP2-Baseline,ASIA,fossilco2,NA,growtherror
GCAM4,SSP2-Baseline,LAM,fossilco2,NA,growtherror
GCAM4,SSP2-Baseline,MAF,fossilco2,NA,growtherror
GCAM4,SSP2-Baseline,OECD90,fossilco2,NA,growtherror
GCAM4,SSP2-Baseline,REF,fossilco2,NA,growtherror
GCAM4,SSP2-Baseline,World,fossilco2,NA,growtherror
GCAM4,SSP3-Baseline,ASIA,fossilco2,NA,growtherror
GCAM4,SSP3-Baseline,LAM,fossilco2,NA,growtherror
GCAM4,SSP3-Baseline,MAF,fossilco2,NA,growtherror
GCAM4,SSP3-Baseline,OECD90,fossilco2,NA,growtherror
GCAM4,SSP3-Baseline,REF,fossilco2,NA,growtherror
GCAM4,SSP3-Baseline,World,fossilco2,NA,growtherror
GCAM4,SSP4-Baseline,ASIA,fossilco2,-0.1409699078255917,growtherror
GCAM4,SSP4-Baseline,LAM,fossilco2,1.4439998412632336,growtherror
GCAM4,SSP4-Baseline,MAF,fossilco2,-0.2932569123323989,growtherror
GCAM4,SSP4-Baseline,OECD90,fossilco2,1.2511438835411297,growtherror
GCAM4,SSP4-Baseline,REF,fossilco2,1.1724845952449847,growtherror
GCAM4,SSP4-Baseline,World,fossilco2,0.505032626723289,growtherror
GCAM4,SSP5-Baseline,ASIA,fossilco2,NA,growtherror
GCAM4,SSP5-Baseline,LAM,fossilco2,NA,growtherror
GCAM4,SSP5-Baseline,MAF,fossilco2,NA,growtherror
GCAM4,SSP5-Baseline,OECD90,fossilco2,NA,growtherror
GCAM4,SSP5-Baseline,REF,fossilco2,NA,growtherror
GCAM4,SSP5-Baseline,World,fossilco2,NA,growtherror
IMAGE,SSP1-Baseline,ASIA,fossilco2,-0.7110680519736867,growtherror
IMAGE,SSP1-Baseline,LAM,fossilco2,0.9250017202669967,growtherror
IMAGE,SSP1-Baseline,MAF,fossilco2,-0.6453916204458183,growtherror
IMAGE,SSP1-Baseline,OECD90,fossilco2,0.3466693633598411,growtherror
IMAGE,SSP1-Baseline,REF,fossilco2,0.11142447965323636,growtherror
IMAGE,SSP1-Baseline,World,fossilco2,-0.2316933276870763,growtherror
IMAGE,SSP2-Baseline,ASIA,fossilco2,-0.3552520801317094,growtherror
IMAGE,SSP2-Baseline,LAM,fossilco2,1.2101821198526004,growtherror
IMAGE,SSP2-Baseline,MAF,fossilco2,-0.6847107888069432,growtherror
IMAGE,SSP2-Baseline,OECD90,fossilco2,0.5590099629649212,growtherror
IMAGE,SSP2-Baseline,REF,fossilco2,0.11857030523341786,growtherror
IMAGE,SSP2-Baseline,World,fossilco2,0.00931074745677929,growtherror
IMAGE,SSP3-Baseline,ASIA,fossilco2,-0.22867451149626472,growtherror
IMAGE,SSP3-Baseline,LAM,fossilco2,1.675423430667622,growtherror
IMAGE,SSP3-Baseline,MAF,fossilco2,-0.3129671127893463,growtherror
IMAGE,SSP3-Baseline,OECD90,fossilco2,0.6112317447251641,growtherror
IMAGE,SSP3-Baseline,REF,fossilco2,0.5298270039693521,growtherror
IMAGE,SSP3-Baseline,World,fossilco2,0.17333515529000643,growtherror
IMAGE,SSP4-Baseline,ASIA,fossilco2,-0.8159063551176557,growtherror
IMAGE,SSP4-Baseline,LAM,fossilco2,1.0941604011763895,growtherror
IMAGE,SSP4-Baseline,MAF,fossilco2,-0.339477828764426,growtherror
IMAGE,SSP4-Baseline,OECD90,fossilco2,0.3311296711571733,growtherror
IMAGE,SSP4-Baseline,REF,fossilco2,-0.15867185830555167,growtherror
IMAGE,SSP4-Baseline,World,fossilco2,-0.26129900766167524,growtherror
IMAGE,SSP5-Baseline,ASIA,fossilco2,-0.06190603549012419,growtherror
IMAGE,SSP5-Baseline,LAM,fossilco2,1.737998206664947,growtherror
IMAGE,SSP5-Baseline,MAF,fossilco2,-0.08553565881025049,growtherror
IMAGE,SSP5-Baseline,OECD90,fossilco2,0.9626196887563974,growtherror
IMAGE,SSP5-Baseline,REF,fossilco2,0.6236201952549318,growtherror
IMAGE,SSP5-Baseline,World,fossilco2,0.3974977073314625,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,ASIA,fossilco2,-1.5512929840170564,growtherror
MESSAGE-GLOBIOM,SSP1-Baseline,LAM,fossilco2,-0.11771031962653233,growtherror
